# NOAA Paleoclimatology Program - Paleocean Site Data
# odp704a_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David A. Hodell
# Core/Site:      ODP704A
# Latitude:       46.53.00S	( -46.88334)
# Longitude:      7.25.00E	( 7.41667)
# Water Depth(m): 2532
#
# Publications:
#   Hodell, D.A., C. Charles, and U. Ninnemann. 2000. Comparison of interglacial
#     stages in the South Atlantic sector of the southern ocean for the past 450 kyr:
#     implications for Marine Isotope Stage(MIS) 11. Global and Planetary
#     Change 24:7-26.
#------------------
#
# Description & Notes:
#   South Atlantic Foraminifer Stable Isotope Data, Marine Isotope Stage 11.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cn.pachy   delta C13 PDB (Neogloboquadrina pachyderma)
#             d18On.pachy   delta O18 PDB (Neogloboquadrina pachyderma)
#
# CORE: ODP704A
depth         yrBP          d13Cn.pachy   d18On.pachy   
-999           354000        0.98          3.4          
-999           362800        1.08          3.25         
-999           371600        1             2.98         
-999           389200        1.22          2.06         
-999           398000        1.31          2.22         
-999           398780        1.31          2.2          
-999           399560        1.06          2            
-999           400330        1.11          2.05         
-999           401110        1.11          1.98         
-999           401890        1.03          1.94         
-999           402670        1.08          1.92         
-999           403440        1.05          2            
-999           404220        0.96          1.89         
-999           405000        1.09          1.98         
-999           405780        1.16          2.05         
-999           406560        1.04          1.94         
-999           407330        1.13          2            
-999           408110        1.05          1.98         
-999           408890        1.09          2.08         
-999           409670        1.06          2.12         
-999           410440        1.09          2.15         
-999           411220        1.01          2.2          
-999           412000        1.04          2.4          
-999           412420        0.86          2.39         
-999           412850        0.78          2.5          
-999           413270        0.81          2.48         
-999           413700        0.73          2.53         
-999           414120        0.53          2.63         
-999           414550        0.27          2.98         
-999           415820       -0.13          3.38         
-999           416250        0.43          2.46         
-999           417520        0.64          3.41         
-999           417950        0.71          2.88         
-999           418370        0.9           2.85         
-999           418800        1.17          2.64         
-999           419220        1.33          2.41         
-999           419650        1.22          2.61         
-999           420070        1.18          2.64         
-999           420500        1.18          2.68         
-999           420920        1.18          2.77         
