Comp. Depth	Age	age (kyrs)	b-o18	b-c13	Leg 138 age mod	
183.41	3.587	3587	2.59	0.14	3.8296	
183.53	3.593	3593	2.64	0.2	3.8378	
183.7	3.603	3603	2.65	0.38	3.8493	
183.81	3.608	3608	2.94	0.2	3.8568	
184.07	3.622	3622	2.69	0.4	3.8744	
184.16	3.627	3627	2.79	0.27	3.8805	
184.25	3.632	3632	2.58	0.1	3.8867	
184.52	3.647	3647	2.64	0.41	3.9050	
184.66	3.654	3654	2.58	0.27	3.9145	
184.93	3.669	3669	2.6	0.53	3.9328	
184.99	3.672	3672	2.63	0.4	3.9369	
185.17	3.682	3682	2.55	0.53	3.9491	
185.67	3.709	3709	2.61	0.18	3.9831	
185.88	3.72	3720	2.64	0.33	3.9973	
186.05	3.729	3729	2.63	0.3	4.0089	
186.17	3.736	3736	2.63	0.43	4.0170	
