hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982A	1	3	52-54	3.52	172.5	3.63	0.98	3.08	-1.10	45.58	2.9412
982A	1	3	57-59	3.57	176.25	3.48	0.84	2.72	-1.04	56.75	0.8265
982A	1	3	62-64	3.62	179.55	3.58	0.81	2.89	-1.09	54.00	2.2587
982A	1	3	67-69	3.67	182.21	3.22	0.82	2.75	-1.18	44.58	1.6495
982A	1	3	72-74	3.72	184.86	3.19	0.77	2.81	-1.36	47.00	1.0183
982A	1	3	77-79	3.77	187.51	3.03	0.93	2.30	-0.50	49.00	0.8180
982A	1	3	82-84	3.82	190.16	2.63	0.82	2.34	-0.64	73.83	0.8247
982A	1	3	87-89	3.87	192.78	2.52	0.71	2.45	-0.54	64.25	0.6135
982A	1	3	92-94	3.92	195.33	2.38	0.80	2.56	-0.56	71.08	0.4049
982A	1	3	97-99	3.97	197.89	2.34	0.91	2.12	-0.93	72.25	0.8696
982A	1	3	102-104	4.02	200.44	2.71	1.02	2.37	-0.50	78.92	0.8621
982A	1	3	107-109	4.07	203	2.54	0.91	1.96	-1.12	75.25	2.1505
982A	1	3	112-114	4.12	205.56	2.65	0.97	2.62	-0.50	69.75	1.2766
982A	1	3	117-119	4.17	208.11	2.69	0.98	2.36	-0.92	78.33	1.5119
982A	1	3	122-124	4.22	210.67	2.53	0.93	2.22	-0.77	67.25	2.6201
982A	1	3	127-129	4.27	213.22	3.26	0.89	2.17	-0.90	62.50	4.0169
982A	1	3	132-134	4.32	215.78	2.64	1.07	1.96	-1.08	47.00	5.3691
982A	1	3	137-139	4.37	218.33	2.50	0.86	2.47	-1.02	53.42	3.5491
982A	1	3	142-144	4.42	220.89	2.75	0.74	2.62	-0.91	60.33	0.6186
982A	1	3	147-149	4.47	223.44	2.59	0.94	2.51	-0.83	64.33	2.7197
982A	1	4	 2-4	4.52	226	2.59	0.84	2.24	-0.54	74.17	1.2220
982A	1	4	 7-9	4.57	228.56	2.86	1.12	2.21	-0.84	74.58	0.8403
982A	1	4	 12-14	4.62	231.11	2.51	0.94	2.10	-0.85	75.58	2.2869
982A	1	4	17-19	4.67	233.67	2.37	0.90	1.83	-0.87	67.67	3.8934
982A	1	4	22-24	4.72	236.22	2.40	0.81	1.92	-0.92	55.17	3.9832
982A	1	4	27-29	4.77	238.78	2.45	0.78	2.27	-1.34	33.25	7.2034
982A	1	4	32-34	4.82	241.33	3.12	0.13	3.06	-1.04	42.00	5.5215
982A	1	4	37-39	4.87	243.99	2.58	0.95	2.21	-0.25	41.33	3.6810
