hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982C	3	2	107-109	15.85	610.05	2.68	1.05	1.79	-0.29	68.42	4.1068
982C	3	2	112-114	15.9	612.79	2.35	0.72	1.77	-0.73	72.58	15.7890
982C	3	2	117-119	15.95	615.52	2.66	0.83	1.97	-0.70	56.33	30.3030
982C	3	2	122-124	16	617.75	2.65	0.90	2.22	-1.41	55.33	21.4780
982C	3	2	127-129	16.05	619.94	3.37	0.40	3.25	-1.22	40.17	15.7300
982C	3	2	132-134	16.1	622.13	4.31	1.05	3.68	-1.44	31.08	23.5300
982C	3	2	137-139	16.15	624.31	4.39	0.97	3.54	-1.23	21.00	1.0178
982C	3	2	142-144	16.2	626.5	2.52	0.61	3.30	-1.44	42.83	1.4614
982C	3	2	147-149	16.24	628.02	4.11	0.87	3.20	-1.05	45.83	1.4583
982C	3	3	 2-4	16.28	629.5	4.08	0.98	3.21	-1.32	34.58	29.1780
982C	3	3	 7-9	16.33	631.34	3.25	0.87	3.30	-1.79	8.50	31.1480
982C	3	3	 12-14	16.38	633.19	3.22	1.31	3.27	-1.30	36.75	38.6160
982C	3	3	17-19	16.43	635.04	4.16	1.06	3.35	-1.55	31.75	10.9130
982C	3	3	22-24	16.48	636.88			3.12	-1.67	41.75	10.5990
982C	3	3	27-29	16.53	638.73	4.11	1.19	2.93	-1.72	34.00	6.2000
982C	3	3	32-34	16.58	640.58	3.85	0.97	2.68	-1.80	29.25	2.2936
982C	3	3	37-39	16.63	642.43	3.96	1.08	2.95	-1.60	29.25	4.8523
982C	3	3	42-44	16.68	644.27	3.64	0.72	2.82	-1.56	38.67	5.7447
982C	3	3	47-49	16.73	646.12	3.59	0.76	2.85	-1.47	38.67	2.5478
982C	3	3	52-54	16.78	647.97	3.63	0.77	2.95	-1.63	47.58	4.7516
982C	3	3	57-59	16.83	649.81	3.52	0.63	2.81	-1.54	33.00	3.4843
982C	3	3	62-64	16.88	651.66	3.61	0.83	2.85	-1.54	45.42	5.7940
982C	3	3	67-69	16.93	653.51	3.53	0.80	2.81	-1.49	34.33	4.5802
982C	3	3	72-74	16.98	655.35			2.62	-1.52	41.92	6.8650
982C	3	3	77-79	17.03	657.2	3.71	0.66	2.59	-1.71	36.42	10.2400
982C	3	3	82-84	17.08	659.05	4.11	0.76	2.63	-1.76	44.75	12.0000
982C	3	3	87-89	17.13	660.9	3.85	0.83	2.64	-1.74	31.32	9.6244
982C	3	3	92-94	17.18	662.74	3.89	0.86	2.70	-1.28	39.75	11.8880
982C	3	3	97-99	17.23	664.59	4.11	0.92	2.62	-1.14	31.42	15.7180
982C	3	3	102-104	17.28	666.44	4.02	0.90	2.32	-0.92	28.75	3.6000
982C	3	3	107-109	17.33	668.28	3.70	0.96	2.38	-0.58	36.25	4.2553
982C	3	3	112-114	17.38	670.13	3.75	0.84	2.61	-0.81	24.50	2.3050
982C	3	3	117-119	17.43	671.98	3.82	0.83	2.48	-0.78	19.67	2.0534
982C	3	3	122-124	17.48	673.82	3.68	0.87	2.25	-0.88	46.33	4.3860
982C	3	3	127-129	17.53	675.67	3.55	1.12	2.32	-0.98	34.75	5.8153
982C	3	3	132-134	17.58	677.52	2.86	0.71	2.23	-0.42	35.17	1.4463
982C	3	3	137-139	17.63	679.37	3.51	1.02	2.26	-0.35	40.42	2.3442
982C	3	3	142-144	17.68	681.21	2.95	0.69	2.37	-0.19	32.33	0.0000
982C	3	3	147-149	17.73	683.06	2.72	1.09	2.36	-0.10	75.67	0.0000
982C	3	4	 2-4	17.78	684.91	2.77	1.09	2.25	-0.25	86.25	0.2141
982C	3	4	 7-9	17.83	686.75	2.71	1.17	2.26	0.20	86.75	0.2092
982C	3	4	 12-14	17.88	688.6	2.79	1.11	2.32	0.07	89.00	0.2058
982C	3	4	17-19	17.93	690.45	2.78	1.08	2.20	0.12	88.17	0.2183
982C	3	4	22-24	17.98	692.29	2.87	1.11	2.10	0.17	91.58	0.8621
982C	3	4	27-29	18.03	694.14	2.81	1.08	2.13	-0.15	87.08	0.2227
982C	3	4	32-34	18.08	695.99	2.82	1.06	2.21	0.05	67.58	0.2137
982C	3	4	37-39	18.13	697.84	2.89	1.08	2.04	-0.31	87.83	0.4255
982C	3	4	42-44	18.18	699.68	2.92	1.03	1.92	-0.49	86.50	0.6276
982C	3	4	47-49	18.23	701.53	2.96	0.99	2.08	-0.39	84.17	0.6263
982C	3	4	52-54	18.28	703.38	3.09	1.00	2.08	-0.69	70.58	1.0395
982C	3	4	57-59	18.33	705.22	3.07	0.99	1.91	-0.53	74.50	2.6726
982C	3	4	62-64	18.38	707.07	2.96	1.00	1.94	-0.65	66.92	4.9107
982C	3	4	67-69	18.43	708.92	2.87	0.97	2.00	-1.10	61.67	7.7434
982C	3	4	72-74	18.48	710.76	3.05	0.57	1.83	-1.02	49.33	6.5359
982C	3	4	77-79	18.53	712.61	2.97	0.90	2.17	-0.50	62.00	10.9650
982C	3	4	82-84	18.58	714.46	2.69	1.07	2.04	-1.01	31.92	35.3110
982C	3	4	87-89	18.63	716.31	2.94	0.32	2.27	-0.94	14.33	47.2300
982B	3	2	 2-4	18.68	718.15	3.14	0.19	2.67	-0.80	11.58	20.0420
982B	3	2	 7-9	18.73	720.09	3.31	0.56	2.78	-0.94	13.83	4.7228
982B	3	2	 12-14	18.78	723.4	3.13	1.07	2.61	-0.70	26.42	2.4641
982B	3	2	17-19	18.83	726.72			2.73	-0.93	46.08	0.9980
982B	3	2	22-24	18.88	730.04	3.22	0.78	2.69	-0.59	64.08	0.2058
982B	3	2	27-29	18.93	733.35	3.07	0.82	2.26	-0.86	67.33	0.2092
982B	3	2	32-34	18.98	736.66	2.96	0.88	2.20	-0.77	50.83	1.0331
982B	3	2	37-39	19.03	739.71	3.01	0.90	2.41	-1.04	47.92	10.9090
982B	3	2	42-44	19.08	742.75	3.14	0.88	2.34	-1.20	31.67	8.0569
982B	3	2	47-49	19.13	745.8	2.91	0.94	2.35	-1.34	36.25	6.3187
982B	3	2	52-54	19.18	748.85	3.57	1.00	2.33	-1.30	52.67	13.5980
982B	3	2	57-59	19.23	751.89	3.55	1.02	2.40	-1.21	41.92	1.8750
982B	3	2	62-64	19.28	753.84	3.43	0.70	2.08	-1.18	47.08	2.4948
982B	3	2	67-69	19.33	755.76	2.88	0.66	2.09	-0.74	37.33	2.9412
982B	3	2	72-74	19.38	757.68	3.04	0.81	1.84	-0.76	35.08	2.6316
982B	3	2	77-79	19.43	759.6	3.19	0.92	1.94	-0.54	57.08	3.3755
982B	3	2	82-84	19.48	761.52	2.78	0.88	1.91	-0.68	55.67	4.4776
982B	3	2	87-89	19.53	763.44	2.80	0.93	1.97	-0.54	64.83	1.8828
982B	3	2	92-94	19.58	765.36	2.91	0.88	2.14	-0.39	69.92	0.4175
982B	3	2	97-99	19.63	767.28	2.73	0.86	2.28	-0.14	77.33	0.4180
982B	3	2	100-102	19.66	768.43	2.72	0.69	2.20	-0.62	80.17	1.3250
982B	3	2	102-104	19.68	769.2	2.63	0.69	2.26	-0.40	78.33	0.8493
982B	3	2	107-109	19.73	771.12	2.63	0.83	1.80	-0.56	82.58	0.6370
982B	3	2	112-114	19.78	773.04	2.59	0.97	1.75	-0.77	82.33	0.2155
982B	3	2	117-119	19.83	774.96	2.50	0.78	1.87	-0.70	81.92	1.3129
982B	3	2	122-124	19.88	776.88	2.54	0.72	1.81	-1.10	77.75	0.9259
982B	3	2	127-129	19.93	778.8	2.54	0.80	1.83	-0.80	57.50	4.0573
982B	3	2	132-134	19.98	780.72	2.46	0.63	1.74	-0.89	70.67	1.9560
982B	3	2	137-139	20.03	782.64	2.48	0.69	1.61	-1.12	67.42	2.3196
982B	3	2	142-144	20.08	784.56	2.48	0.73	1.59	-1.16	54.08	5.3892
982B	3	2	147-149	20.13	786.48	2.45	0.55	1.76	-1.18	53.42	3.2020
982B	3	3	 2-4	20.18	788.4	2.48	0.55	1.74	-1.25	37.75	8.9157
982B	3	3	 7-9	20.23	790.32	2.46	0.75	1.80	-1.37	61.08	31.5220
982B	3	3	 12-14	20.28	792.2					16.58	45.6430
982B	3	3	17-19	20.33	794.07	3.06	0.05	2.78	-0.90	19.92	8.3969
982B	3	3	22-24	20.38	795.94			2.81	-0.53	35.83	5.0691
982B	3	3	27-29	20.43	797.81	3.74	0.97	2.79	-0.69	39.42	4.1570
982B	3	3	32-34	20.48	799.69			2.79	-0.63	27.00	11.3250
982B	3	3	37-39	20.53	801.44	3.89	1.16	2.98	-0.59	67.17	0.8231
982B	3	3	42-44	20.58	803.16	3.41	0.97	2.72	-0.69	71.25	1.2090
982B	3	3	47-49	20.63	804.88	3.25	1.06	2.69	-0.63	63.08	1.7241
982B	3	3	52-54	20.68	806.6	3.31	0.98	2.43	-0.52	60.25	1.8828
982B	3	3	57-59	20.73	808.33	2.86	0.88	2.58	-0.08	87.58	0.8511
982B	3	3	62-64	20.78	810.05	2.44	0.88	2.63	-0.33	88.33	1.0965
982B	3	3	67-69	20.83	811.77	2.77	0.87	2.60	-0.40	89.67	2.2642
982B	3	3	72-74	20.88	813.49			2.32	-0.58	83.25	3.9560
982B	3	3	77-79	20.93	815.21	2.48	0.76	2.38	-0.53	74.00	5.0847
982B	3	3	82-84	20.98	816.93	2.62	0.76	2.38	-0.44	73.92	2.9289
982B	3	3	87-89	21.03	818.65	3.56	0.78	2.52	-0.32	85.75	0.6186
982B	3	3	92-94	21.08	820.37	2.83	0.65	2.34	-0.19	78.67	0.2075
982B	3	3	97-99	21.13	822.09	2.83	0.98	2.20	-0.54	80.25	0.4338
982B	3	3	102-104	21.18	823.81	3.03	1.02	2.03	-0.75	80.00	0.4425
982B	3	3	107-109	21.23	825.53	2.78	0.62	1.75	-0.85	69.83	0.2232
982B	3	3	112-114	21.28	827.26	2.95	0.88	2.06	-0.67	57.00	0.5698
982B	3	3	117-119	21.33	828.98	3.29	0.51	2.01	-0.94	29.25	2.3077
982B	3	3	122-124	21.38	830.7	2.78	0.65	2.08	-0.96	63.42	5.4755
982B	3	3	127-129	21.43	832.42			2.34	-0.44	68.75	3.8071
982B	3	3	132-134	21.48	834.14	2.85	0.98	2.41	-0.37	85.58	2.5316
982B	3	3	137-139	21.53	835.86	2.89	0.98	2.22	-0.37	87.00	0.6565
982B	3	3	142-144	21.58	837.58	2.87	0.92	2.21	-0.65	77.75	5.0773
982B	3	3	147-149	21.63	839.3	3.05	0.96	1.99	-0.54	74.58	6.1269
982B	3	4	 2-4	21.68	841.02	2.96	0.97	1.95	-0.89	87.00	1.0823
982B	3	4	 7-9	21.73	842.74	2.62	0.85	1.99	-0.61	84.67	2.7601
982B	3	4	 12-14	21.78	844.47	2.50	0.72	2.14	-0.72	84.33	1.9608
982B	3	4	17-19	21.83	846.19	2.50	0.73	1.94	-0.68	78.33	2.4017
982B	3	4	22-24	21.88	847.91	2.52	0.85	2.06	-0.89	70.42	4.7722
982B	3	4	27-29	21.93	849.63	2.43	0.90	1.93	-0.72	70.17	4.0724
982B	3	4	32-34	21.98	851.35	2.54	0.14	2.01	-0.46	80.67	1.2712
982B	3	4	37-39	22.03	853.07	2.39	0.63	1.92	-0.54	80.83	1.2712
982B	3	4	42-44	22.08	854.79	2.72	0.54	1.83	-0.56	73.58	0.2058
982B	3	4	47-49	22.13	856.51	2.49	0.73	1.99	-0.58	73.83	2.1186
982B	3	4	52-54	22.18	858.23	2.49	0.67	1.76	-0.72	77.00	0.8351
982B	3	4	57-59	22.23	859.95	2.55	0.70	1.77	-0.65	76.25	0.8163
982B	3	4	62-64	22.28	861.67	2.49	-0.09	1.52	-0.95	66.83	3.5165
982B	3	4	67-69	22.33	863.4	2.68	0.01	1.63	-0.92	58.67	5.3812
982B	3	4	72-74	22.38	865.12	2.60	0.27	1.94	-0.88	46.75	5.0526
982B	3	4	77-79	22.43	866.84	2.46	-0.08	1.67	-1.51	37.50	14.5930
982B	3	4	82-84	22.48	868.56	2.53	-0.14	2.22	-1.58	44.33	47.0420
982B	3	4	87-89	22.53	870.44			2.68	-1.83	14.50	23.8200
982B	3	4	92-94	22.58	872.54	3.79	0.70	2.75	-1.49	30.42	7.2961
982B	3	4	97-99	22.63	874.64	3.09	0.54	2.65	-1.46	21.33	7.8351
982B	3	4	102-104	22.68	876.74	3.69	0.68	2.76	-1.39	27.17	3.9014
982B	3	4	107-109	22.73	878.84	3.44	0.89	2.82	-1.44	20.00	9.5890
982B	3	4	112-114	22.78	881	2.76	0.63	2.67	-1.80	18.67	17.2650
982B	3	4	117-119	22.83	883.25	3.17	0.38	2.45	-1.59	9.75	28.1760
982B	3	4	122-124	22.88	885.5	3.09	0.44	2.24	-0.86	11.08	56.1640
982B	3	4	127-129	22.93	887.75	3.22	0.42	2.28	-1.42	11.00	64.3840
982B	3	4	132-134	22.98	890	3.21	0.35	2.45	-1.07	14.17	44.8680
982B	3	4	137-139	23.03	892.25	3.57	0.81	2.45	-1.16	15.17	23.1710
982B	3	4	142-144	23.08	894.5	2.84	0.91	2.35	-1.05	59.92	1.2220
982B	3	4	147-149	23.13	896.75	4.00	0.95	2.49	-1.07	45.17	2.9046
982B	3	5	 2-4	23.18	899	3.29	0.95	2.21	-0.98	69.58	1.8219
982B	3	5	 7-9	23.23	901.25	3.19	0.65	2.39	-0.98	65.67	1.8405
982B	3	5	 12-14	23.28	903.5	3.07	0.34	2.20	-0.99	55.50	2.0877
982B	3	5	17-19	23.33	905.75	3.01	0.42	2.25	-1.13	60.17	2.1645
982B	3	5	22-24	23.38	908	2.78	0.12	2.32	-1.24	29.25	4.8571
982B	3	5	27-29	23.43	910.25	2.92	0.15	2.23	-1.44	18.00	19.6890
982B	3	5	32-34	23.48	912.5	2.95	0.06	2.15	-1.39	17.75	15.9170
982B	3	5	37-39	23.53	914.75	3.98	0.76	2.35	-1.61	21.17	8.9286
982B	3	5	42-44	23.58	917	3.56	0.96	2.47	-1.87	8.50	13.3910
982B	3	5	47-49	23.63	919.25					1.08	97.3030
982B	3	5	52-54	23.68	921.5	2.80	0.69	2.14	-1.02	50.67	0.8333
982B	3	5	57-59	23.73	923.75	2.99	0.82	2.14	-1.23	42.83	2.0877
982B	3	5	62-64	23.78	926	3.14	0.79	2.25	-1.23	52.08	1.8987
982B	3	5	67-69	23.83	928.25	3.02	1.09	2.05	-1.08	47.33	2.1127
982B	3	5	72-74	23.88	930.5	2.73	0.58	2.06	-0.87	53.00	2.6694
982B	3	5	77-79	23.93	932.75	2.75	0.88	2.06	-0.95	52.00	3.1712
982B	3	5	82-84	23.98	935	2.75	0.97	1.86	-0.77	87.57	1.0504
982B	3	5	87-89	24.03	937.25	2.58	0.91	1.75	-0.54	88.25	0.2058
982B	3	5	92-94	24.08	939.5	2.59	0.78	1.69	-0.54	81.83	4.4156
982B	3	5	97-99	24.13	941.75	2.38	0.82	1.61	-0.33	85.75	0.6110
982B	3	5	102-104	24.18	944	2.29	0.83	1.61	-0.41	72.75	0.4098
982B	3	5	107-109	24.23	946.25	2.37	0.69	1.45	-0.52	82.58	0.8493
982B	3	5	112-114	24.28	948.5	2.19	0.67	1.40	-0.77	83.25	0.6494
982B	3	5	117-119	24.33	950.75	2.26	0.74	1.59	-0.47	78.42	1.1038
982B	3	5	122-124	24.38	953	2.27	0.55	1.53	-0.96	74.92	5.0000
982B	3	5	127-129	24.43	955.25	2.27	0.35	1.89	-1.11	59.08	8.1019
982B	3	5	132-134	24.48	957.5	2.33	0.65	2.71	-0.39	65.17	12.3080
982D	1	2	117-119	24.53	959.93	3.18	0.62	2.69	-0.39	26.50	18.7970
982D	1	2	122-124	24.58	964.34	3.56	0.85	2.72	-0.43	66.00	2.0089
982D	1	2	127-129	24.63	968.75	3.42	0.89	2.52	-0.74	72.50	0.2066
982D	1	2	132-134	24.68	973.16	3.42	0.81	2.62	-0.52	52.33	0.4274
982D	1	2	137-139	24.73	977.57	3.24	1.22	2.50	-0.65	67.17	1.4737
982D	1	2	142-144	24.78	982	3.08	1.14	2.27	-0.46	66.75	3.7344
982D	1	2	147-149	24.83	987	2.75	0.90	2.26	-0.45	55.17	1.9231
982D	1	3	 2-4	24.88	992	2.86	0.90	2.34	-0.46	43.00	5.5300
982D	1	3	 7-9	24.93	997	2.52	0.71	2.15	-0.35	35.33	4.0860
982D	1	3	 12-14	24.98	1002	2.82	0.72	2.59	-0.57	17.83	3.0899
											
											
											
											
											
											
											
											
											
											
											
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
