Comp. Depth	LR04 age (ka)	d18O	d13C
25.36	698.9	3.42	0.78
25.44	700.4	3.35	0.99
25.54	703.0	3.6	0.99
25.66	707.6	3.97	0.47
25.84	716.4	4.49	0.31
25.96	720.8	4.33	-0.63
26.04	723.3	4.34	-0.39
26.14	726.0	4.29	-0.57
26.26	728.4	4.1	-0.02
26.59	733.8	4.44	0.67
26.64	734.6	4.34	0.76
26.71	735.7	4.11	0.82
26.94	739.3	3.67	0.27
27.04	741.0	4.02	0.35
27.16	743.3	4.13	0.3
27.34	748.2	4.38	-0.3
27.46	752.2	4.34	-0.41
27.54	754.9	4.36	-0.3
27.64	757.8	4.14	0.03
27.76	760.7	4.27	-0.07
27.94	765.1	4.2	-0.03
28.01	766.8	3.86	0.22
28.21	770.8	3.82	0.19
28.36	773.6	3.76	0.31
28.44	775.2	3.52	0.43
28.54	777.2	3.63	0.25
28.84	784.2	3.24	0.59
28.96	787.0	3.45	-0.58
29.04	789.1	4.02	-0.53
29.14	791.3	4.21	-0.64
29.26	794.1	4.4	-0.63
29.44	800.3	4.43	-0.31
29.51	802.7	4.4	-0.49
29.65	806.9	4.3	-0.03
29.75	809.7	4.29	-0.06
29.84	812.2	4.15	0.16
29.95	815.6	3.97	0.17
30.05	818.8	3.76	0.55
30.17	822.7	3.55	0.61
30.25	825.3	3.93	0.32
30.35	828.6	3.55	0.37
30.45	832.0	3.92	0.62
30.53	834.8	3.61	0.58
30.65	837.9	3.74	0.63
30.75	840.6	3.8	0.33
30.85	843.8	3.62	0.24
30.95	846.4	3.53	0.55
31.05	849.1	3.52	0.15
31.15	852.4	3.52	0.14
31.17	853.0	3.73	0.44
31.27	856.3	3.33	0.44
31.39	860.1	3.51	0.38
31.57	864.4	3.31	0.22
31.64	866.6	4.19	-0.4
31.77	870.9	4.53	-0.52
31.99	877.1	4.51	-0.39
32.07	878.7	4.56	-0.6
32.17	880.6	4.5	-0.48
32.29	882.9	4.44	-0.41
32.47	886.3	4.52	-0.59
32.59	888.6	4.46	-0.53
32.67	890.1	4.5	-0.48
32.89	894.4	4.45	-0.48
33.07	898.2	4.32	0.05
33.14	899.7	4.17	-0.33
33.27	902.6	4.15	0.09
33.33	904.0	3.84	0.25
33.49	907.2	3.89	0.25
33.67	910.8	3.93	0.28
33.79	913.2	3.87	-0.16
33.97	917.1	4	-0.68
34.09	921.0	4.51	-0.7
34.17	924.0	4.19	-0.5
34.27	927.1	4.26	-0.54
34.39	930.2	3.77	-0.11
34.57	934.6	4.2	-0.15
34.64	936.4	3.87	-0.48
34.77	939.6	3.82	0.23
34.83	941.0	3.66	0.05
34.99	944.8	3.72	0.27
35.07	946.5	3.49	0.46
35.17	948.5	3.56	0.61
35.29	950.8	3.29	0.83
35.47	954.4	3.26	0.8
35.59	957.0	3.32	0.28
35.67	958.7	3.86	-0.11
35.77	961.0	4.23	-0.14
35.89	963.6	4.35	-0.17
36.07	967.7	4.15	-0.05
36.14	969.2	4.13	-0.13
36.27	972.1	3.73	0.34
36.33	973.4	3.65	0.52
36.46	976.1	3.73	0.42
36.57	978.4	3.46	0.47
36.67	980.5	3.46	0
36.79	983.1	3.95	0.38
36.97	987.2	3.83	0.23
37.09	991.1	3.93	0.69
37.17	993.8	3.74	0.65
37.27	997.1	3.68	0.78
37.39	1000.5	3.82	0.26
37.57	1005.3	3.9	0.2
37.64	1007.2	3.93	0.35
37.77	1010.7	3.82	0.36
37.83	1012.3	3.99	0.12
37.99	1016.4	3.52	0.49
38.07	1018.1	3.64	0.54
38.17	1020.3	3.54	0.54
38.29	1023.0	3.33	0.73
38.59	1030.1	3.63	0.51
38.67	1032.4	4.01	0.52
38.77	1035.8	4.06	0.59
38.89	1040.7	4.35	0.42
39.07	1049.1	4.13	0.05
39.14	1052.5	4.13	0.02
39.27	1058.6	4.12	-0.16
39.33	1061.0	3.89	-0.13
39.49	1065.1	3.5	0.41
39.57	1066.6	3.14	0.47
39.67	1068.6	3.46	0.66
39.68	1068.8	3.42	0.73
39.76	1070.3	3.24	0.86
39.87	1072.5	3.07	0.87
39.97	1074.9	3.19	0.91
40.07	1077.9	3.28	0.93
40.17	1081.2	3.63	0.67
40.27	1084.7	3.64	0.97
40.37	1088.2	3.75	0.64
40.47	1091.6	3.81	0.31
40.57	1095.1	3.94	0.08
40.67	1098.0	4.44	-0.55
40.77	1100.8	4.09	-0.32
40.82	1102.4	3.91	0.14
