Core label	depth	compdepth	age	cw13	cw18
GeoB1028-5	0,18	0,12	2,75	0,54	2,55
GeoB1028-5	0,23	0,17	3,50	0,71	2,61
GeoB1028-5	0,28	0,22	4,50	0,73	2,37
GeoB1028-5	0,33	0,27	5,51	0,58	2,65
GeoB1028-5	0,38	0,32	6,54	0,49	2,40
GeoB1028-5	0,43	0,37	7,58	0,85	2,38
GeoB1028-5	0,48	0,42	8,64	0,78	2,44
GeoB1028-5	0,53	0,47	9,73	0,50	2,87
GeoB1028-5	0,58	0,52	10,85	0,60	2,60
GeoB1028-5	0,63	0,57	12,01	0,47	3,00
GeoB1028-5	0,68	0,62	13,22	0,10	3,41
GeoB1028-5	0,73	0,67	14,54	0,12	3,60
GeoB1028-5	0,78	0,72	16,03	0,20	4,29
GeoB1028-5	0,83	0,77	17,76	-0,22	4,21
GeoB1028-5	0,88	0,82	19,75	0,02	4,13
GeoB1028-5	0,93	0,87	22,04	0,24	4,29
GeoB1028-5	0,98	0,92	24,60	0,08	4,00
GeoB1028-5	1,03	0,97	27,37	0,14	3,89
GeoB1028-5	1,08	1,02	30,26	0,30	3,82
GeoB1028-5	1,13	1,07	33,16	0,38	3,76
GeoB1028-5	1,18	1,12	35,98	0,33	3,79
GeoB1028-5	1,23	1,17	38,65	0,13	3,90
GeoB1028-5	1,28	1,22	41,17	0,12	3,88
GeoB1028-5	1,33	1,27	43,59	0,38	3,56
GeoB1028-5	1,38	1,32	45,95	0,16	3,65
GeoB1028-5	1,43	1,37	48,27	0,34	3,46
GeoB1028-5	1,48	1,42	50,62	0,24	3,55
GeoB1028-5	1,53	1,47	53,01	0,11	3,36
GeoB1028-5	1,58	1,52	55,47	0,12	3,53
GeoB1028-5	1,63	1,57	57,96	0,36	3,52
GeoB1028-5	1,68	1,62	60,41	0,01	3,51
GeoB1028-5	1,73	1,67	62,77	-0,13	3,51
GeoB1028-5	1,78	1,72	64,97	0,03	3,88
GeoB1028-5	1,83	1,77	66,98	0,18	3,68
GeoB1028-5	1,88	1,82	68,78	0,63	3,39
GeoB1028-5	1,93	1,87	70,41	0,60	3,79
GeoB1028-5	1,98	1,92	71,89	0,70	3,36
GeoB1028-5	2,04	1,98	73,24	0,57	3,19
GeoB1028-5	2,08	2,02	74,49	0,89	3,30
GeoB1028-5	2,13	2,07	75,65	0,59	3,21
GeoB1028-5	2,18	2,12	76,77	0,89	3,28
GeoB1028-5	2,23	2,17	77,85	0,71	3,19
GeoB1028-5	2,28	2,22	78,92	0,65	3,05
GeoB1028-5	2,33	2,27	80,00	0,68	2,90
GeoB1028-5	2,38	2,32	81,12	0,75	2,96
GeoB1028-5	2,43	2,37	82,27	0,48	2,89
GeoB1028-5	2,48	2,42	83,44	0,38	3,01
GeoB1028-5	2,53	2,47	84,62	0,45	3,11
