Depth (mcd)	Species	13/12-C	18/16-O	13/12-C CW+0 glob+0.5	18/16-O CW+0.64 glob-0.1	Age.ka
56.2	 Cw	0.56	2.83	0.56	3.47	3353
56.25	 Cw	0.49	2.81	0.49	3.45	3359
56.3	 Cw	0.46	2.5	0.46	3.14	3365
56.35	 Cw	0.61	2.83	0.61	3.47	3370
56.4	 Cw	0.58	2.82	0.58	3.46	3376
56.45	 Cw	0.37	2.82	0.37	3.46	3381
56.5	 Cw	0.85	2.8	0.85	3.44	3387
56.55	 Cw	0.72	2.84	0.72	3.48	3393
56.6	 Cw	0.57	2.69	0.57	3.33	3398
56.65	 Cw	0.25	2.68	0.25	3.32	3404
56.7	 Cw	0.45	2.69	0.45	3.33	3409
56.75	 Cw	0.56	2.54	0.56	3.18	3415
56.85	Cw	0.81	2.7	0.81	3.34	3426
56.9	Cw	0.4	2.74	0.4	3.38	3432
56.95	Cw	0.16	2.79	0.16	3.43	3437
57	Cw	0.35	2.7	0.35	3.34	3443
57.05	Cw	0.41	3.02	0.41	3.66	3449
57.1	Cw	0.63	2.87	0.63	3.51	3454
57.15	Cw	0.65	2.94	0.65	3.58	3460
57.2	Cw	0.79	2.84	0.79	3.48	3465
57.25	Cw	0.84	2.67	0.84	3.31	3471
57.28	Cw	0.81	2.73	0.81	3.37	3474
57.35	Cw	0.68	2.29	0.68	2.93	3482
57.5	Cw	0.73	2.73	0.73	3.37	3499
57.6	Cw	0.77	2.84	0.77	3.48	3510
57.65	Cw	0.48	2.74	0.48	3.38	3516
57.7	Cw	0.47	2.74	0.47	3.38	3521
57.78	Cw	0.23	2.62	0.23	3.26	3530
57.9	Cw	0.46	2.68	0.46	3.32	3544
58	Cw	0.71	2.77	0.71	3.41	3555
58.05	Cw	0.58	2.78	0.58	3.42	3560
58.2	Cw	0.53	2.89	0.53	3.53	3577
58.3	Cw	0.68	2.71	0.68	3.35	3588
58.4	Cw	0.36	2.42	0.36	3.06	3600
58.45	Cw	0.6	2.73	0.6	3.37	3605
58.5	Cw	0.34	2.72	0.34	3.36	3611
58.55	Cw	0.33	2.77	0.33	3.41	3616
58.6	Cw	0.31	2.91	0.31	3.55	3622
58.65	Cw	-0.1	2.65	-0.1	3.29	3628
58.7	Cw	0	3.13	0	3.77	3633
58.75	Cw	-0.17	3.06	-0.17	3.7	3639
58.75	Cw	0.08	2.95	0.08	3.59	3639
58.78	Cw	-0.15	2.9	-0.15	3.54	3642
58.85	Cw	0.01	3.01	0.01	3.65	3650
58.9	Cw	0.19	2.79	0.19	3.43	3656
58.95	Cw	0.2	2.8	0.2	3.44	3661
59	Cw	0.25	2.66	0.25	3.3	3667
59.05	Cw	0.59	2.58	0.59	3.22	3672
59.05	Cw	0.39	2.76	0.39	3.4	3672
59.1	Cw	0.26	2.65	0.26	3.29	3678
59.15	Cw	0.29	2.82	0.29	3.46	3684
59.2	Cw	0.46	2.61	0.46	3.25	3689
59.25	Cw	0.59	2.69	0.59	3.33	3695
59.28	Cw	0.62	2.59	0.62	3.23	3698
59.35	Cw	0.51	2.46	0.51	3.1	3706
59.35	Cw	0.45	2.55	0.45	3.19	3706
59.4	Cw	0.47	2.73	0.47	3.37	3712
59.45	Cw	0.19	2.76	0.19	3.4	3717
59.5	Cw	0.26	2.74	0.26	3.38	3723
59.55	Cw	0.11	2.84	0.11	3.48	3728
59.6	Cw	-0.04	2.92	-0.04	3.56	3734
59.65	Cw	0.1	2.96	0.1	3.6	3739
59.65	Cw	-0.08	2.86	-0.08	3.5	3739
59.7	Cw	-0.11	2.99	-0.11	3.63	3745
59.75	Cw	0.4	3	0.4	3.64	3751
59.8	Cw	0.25	2.58	0.25	3.22	3756
59.9	Cw	0.08	2.55	0.08	3.19	3767
59.95	Cw	0.46	2.47	0.46	3.11	3773
60	Cw	0.54	2.55	0.54	3.19	3779
60	Cw	0.39	2.42	0.39	3.06	3779
60.05	Cw	0.3	2.76	0.3	3.4	3784
60.1	Cw	0.56	2.6	0.56	3.24	3790
60.15	Cw	0.47	2.49	0.47	3.13	3795
60.2	Cw	0.38	2.58	0.38	3.22	3801
60.25	Cw	0.26	2.53	0.26	3.17	3807
60.3	Cw	0.24	2.76	0.24	3.4	3812
60.3	Cw	0.03	2.83	0.03	3.47	3812
60.35	Cw	0.36	2.56	0.36	3.2	3818
60.4	Cw	0.02	2.85	0.02	3.49	3823
60.45	Cw	0.28	2.66	0.28	3.3	3829
60.5	Cw	0.03	2.77	0.03	3.41	3835
60.55	Cw	0.17	2.96	0.17	3.6	3840
60.6	Cw	0.1	2.93	0.1	3.57	3846
60.7	Cw	0.36	2.84	0.36	3.48	3857
60.75	Cw	0.29	2.64	0.29	3.28	3863
60.8	Cw	0.56	2.67	0.56	3.31	3868
60.85	Cw	0.49	2.61	0.49	3.25	3874
60.9	Cw	0.21	2.81	0.21	3.45	3879
60.95	Cw	-0.03	2.83	-0.03	3.47	3885
61	Cw	0.38	2.55	0.38	3.19	3891
61.05	Cw	0.22	2.66	0.22	3.3	3896
61.1	Cw	0.53	2.57	0.53	3.21	3902
61.15	Cw	0.62	2.55	0.62	3.19	3907
61.2	Cw	0.43	2.56	0.43	3.2	3913
61.25	 Cw	0.48	2.6	0.48	3.24	3919
61.3	 Cw	0.58	2.4	0.58	3.04	3924
61.35	 Cw	0.55	2.45	0.55	3.09	3930
61.4	Cw	0.12	2.81	0.12	3.45	3935
61.45	Cw	0.29	2.72	0.29	3.36	3941
61.5	Cw	0.28	2.75	0.28	3.39	3947
61.55	Cw	0.51	2.71	0.51	3.35	3952
61.6	Cw	0.46	2.39	0.46	3.03	3958
61.65	Cw	0.05	2.43	0.05	3.07	3963
61.7	Cw	0.4	2.78	0.4	3.42	3969
61.75	Cw	0.53	2.56	0.53	3.2	3975
61.8	Cw	0.46	2.66	0.46	3.3	3980
61.85	Cw	0.27	2.53	0.27	3.17	3986
61.9	Cw	0.5	2.44	0.5	3.08	3991
61.95	Cw	0.2	2.54	0.2	3.18	3997
62	Cw	0.48	2.56	0.48	3.2	4002
62.05	Cw	0.22	2.57	0.22	3.21	4008
62.1	Cw	0.21	2.64	0.21	3.28	4014
62.15	Cw	0.12	2.58	0.12	3.22	4019
62.2	Cw	0.17	2.45	0.17	3.09	4025
62.25	Cw	0.2	2.84	0.2	3.48	4030
62.3	Cw	0.28	2.74	0.28	3.38	4036
62.35	Cw	0.18	2.74	0.18	3.38	4042
62.39	Cw	-0.17	2.93	-0.17	3.57	4046
62.44	Cw	-0.07	2.85	-0.07	3.49	4052
62.49	Cw	0.15	2.71	0.15	3.35	4057
62.54	Cw	0.5	2.81	0.5	3.45	4063
62.59	Cw	0.07	2.92	0.07	3.56	4069
62.64	Cw	0.28	2.86	0.28	3.5	4074
62.69	Cw	0.19	2.62	0.19	3.26	4080
62.74	Cw	0.65	2.79	0.65	3.43	4085
62.79	Cw	0.24	2.57	0.24	3.21	4091
62.84	Cw	0.59	2.62	0.59	3.26	4096
62.89	Cw	0.75	2.64	0.75	3.28	4102
62.94	Cw	0.4	2.83	0.4	3.47	4108
62.99	Cw	0.62	2.69	0.62	3.33	4113
63.04	Cw	0.57	2.62	0.57	3.26	4119
63.09	Cw	0.33	2.91	0.33	3.55	4124
63.14	Cw	0.29	2.75	0.29	3.39	4130
63.19	Cw	0.58	2.53	0.58	3.17	4136
63.24	Cw	0.67	2.64	0.67	3.28	4141
63.29	Cw	0.66	2.96	0.66	3.6	4147
63.34	Cw	0.42	2.57	0.42	3.21	4152
63.39	Cw	0.15	2.75	0.15	3.39	4158
63.44	Cw	0.47	2.55	0.47	3.19	4164
63.49	Cw	0.32	2.76	0.32	3.4	4169
63.54	Cw	0.21	2.57	0.21	3.21	4175
63.59	Cw	0.41	2.56	0.41	3.2	4180
