# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982an_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Carin Andersson
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Andersson, C., and E. Jansen. 2003. A Miocene (8–12 Ma) intermediate water benthic
#     stable isotope record from the northeastern Atlantic, ODP Site 982, Paleoceanography,
#     18(1):1013.
#------------------
#
# Description & Notes:
#   Miocene Benthic Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP982
depth         yrBP          d13Cc.wuell   d18Oc.wuell   notes
 30864         8466000       1.53          2.15         982B-32X-1, 25-27           
 30874         8469000       1.64          2.16         982B-32X-1, 35-37           
 30884         8472000       1.66          2.2          982B-32X-1, 45-47           
 30894         8475000       1.49          2.12         982B-32X-1, 55-57           
 30904         8477000       1.6           2            982B-32X-1, 65-67           
 30914         8480000       1.45          1.86         982B-32X-1, 75-77           
 30924         8483000       1.64          2.08         982B-32X-1, 85-87           
 30934         8486000       1.51          2.04         982B-32X-1, 95-97           
 30944         8489000       1.24          1.89         982B-32X-1, 105-107         
 30954         8491000       1.67          2.09         982B-32X-1, 115-117         
 30964         8494000       1.5           2.07         982B-32X-1, 125-127         
 30974         8497000       1.56          2.03         982B-32X-1, 135-137         
 30984         8500000       1.47          2.1          982B-32X-1, 145-147         
 30994         8503000       1.45          2.15         982B-32X-2, 5- 7            
 31004         8505000       1.61          2.25         982B-32X-2, 15-17           
 31014         8508000       1.52          2.05         982B-32X-2, 25-27           
 31024         8511000       1.36          2.03         982B-32X-2, 35-37           
 31034         8514000       1.49          1.95         982B-32X-2, 45-47           
 31044         8516000       1.46          1.9          982B-32X-2, 55-57           
 31054         8519000       1.48          2.15         982B-32X-2, 65-67           
 31064         8522000       1.35          1.87         982B-32X-2, 75-77           
 31074         8525000       1.37          1.99         982B-32X-2, 85-87           
 31084         8528000       1.03          1.86         982B-32X-2, 95-97           
 31094         8530000       1.46          2.33         982B-32X-2, 105-107         
 31104         8533000       1.1           1.8          982B-32X-2, 115-117         
 31124         8539000       1.4           1.99         982B-32X-2, 135-137         
 31144         8544000       1.63          2.02         982B-32X-3, 5- 7            
 31154         8547000       1.35          1.96         982B-32X-3, 15-17           
 31164         8550000       1.51          1.92         982B-32X-3, 25-27           
 31174         8553000       1.58          2.01         982B-32X-3, 35-37           
 31184         8555000       1.48          1.97         982B-32X-3, 45-47           
 31194         8558000       1.54          2.08         982B-32X-3, 55-57           
 31204         8561000       1.54          1.97         982B-32X-3, 65-67           
 31214         8564000       1.48          1.97         982B-32X-3, 75-77           
 31224         8567000       1.52          2            982B-32X-3, 85-87           
 31234         8569000       1.49          1.93         982B-32X-3, 95-97           
 31244         8572000       1.34          1.96         982B-32X-3, 105-107         
 31254         8575000       1.4           1.84         982B-32X-3, 115-117         
 31264         8578000       1.36          1.94         982B-32X-3, 125-127         
 31274         8581000       1.35          2.09         982B-32X-3, 135-137         
 31284         8583000       1.38          2.14         982B-32X-3, 145-147         
 31294         8586000       1.28          1.83         982B-32X-4, 5- 7            
 31304         8589000       1.48          2.02         982B-32X-4, 15-17           
 31314         8592000       1.45          2.06         982B-32X-4, 25-27           
 31324         8594000       1.45          1.97         982B-32X-4, 35-37           
 31334         8597000       1.42          1.94         982B-32X-4, 45-47           
 31344         8600000       1.29          1.84         982B-32X-4, 55-57           
 31354         8603000       1.36          2.06         982B-32X-4, 65-67           
 31364         8606000       1.33          1.87         982B-32X-4, 75-77           
 31374         8608000       1.38          1.86         982B-32X-4, 85-87           
 31384         8611000       1.37          1.98         982B-32X-4, 95-97           
 31804         8728000       1.42          2.02         982B-33X-1, 5- 7            
 31814         8731000       1.4           2.07         982B-33X-1, 15-17           
 31824         8734000       1.45          2.02         982B-33X-1, 25-27           
 31834         8737000       1.49          1.99         982B-33X-1, 35-37           
 31844         8739000       1.34          1.87         982B-33X-1, 45-47           
 31854         8742000       1.33          1.97         982B-33X-1, 55-57           
 31864         8745000       1.45          1.94         982B-33X-1, 65-67           
 31874         8748000       1.4           1.96         982B-33X-1, 75-77           
 31884         8751000       1.39          2.14         982B-33X-1, 85-87           
 31894         8753000       1.32          1.92         982B-33X-1, 95-97           
 31904         8756000       1.34          1.97         982B-33X-1, 105-107         
 31914         8759000       1.22          1.76         982B-33X-1, 115-117         
 31924         8762000       1.44          2.04         982B-33X-1, 125-127         
 31934         8764000       1.22          1.87         982B-33X-1, 135-137         
 31944         8767000       1.38          2.04         982B-33X-1, 145-147         
 31954         8770000       1.27          1.92         982B-33X-2, 5- 7            
 31964         8773000       1.14          1.97         982B-33X-2, 15-17           
 31974         8776000       1.21          2.1          982B-33X-2, 25-27           
 31984         8778000       1             1.86         982B-33X-2, 35-37           
 31994         8781000       1.14          1.83         982B-33X-2, 45-47           
 32014         8787000       1.26          2.11         982B-33X-2, 65-67           
 32034         8792000       1.28          1.7          982B-33X-2, 85-87           
 32054         8798000       1.27          1.7          982B-33X-2, 105-107         
 32064         8801000       1.28          2.03         982B-33X-2, 115-117         
 32074         8803000       1.44          1.71         982B-33X-2, 125-127         
 32084         8806000       1.37          1.77         982B-33X-2, 135-137         
 32094         8809000       1.26          1.85         982B-33X-2, 145-147         
 32104         8812000       1.3           1.93         982B-33X-3, 5- 7            
 32114         8815000       1.3           1.83         982B-33X-3, 15-17           
 32124         8817000       1.27          1.98         982B-33X-3, 25-27           
 32134         8820000       1.09          2.08         982B-33X-3, 35-37           
 32144         8823000       1.06          1.89         982B-33X-3, 45-47           
 32154         8826000       1.12          1.95         982B-33X-3, 55-57           
 32164         8829000       1.14          1.92         982B-33X-3, 65-67           
 32174         8831000       1.07          1.95         982B-33X-3, 75-77           
 32184         8834000       1.13          1.91         982B-33X-3, 85-87           
 32194         8837000       1.06          1.97         982B-33X-3, 95-97           
 32204         8840000       1.06          1.88         982B-33X-3, 105-107         
 32214         8843000       1.35          2.16         982B-33X-3, 115-117         
 32224         8845000       1.23          2.19         982B-33X-3, 125-127         
 32234         8848000       1             2.02         982B-33X-3, 135-137         
 32244         8851000       1.11          1.9          982B-33X-3, 145-147         
 32254         8854000       1.23          2.07         982B-33X-4, 5- 7            
 32264         8856000       1.12          2.04         982B-33X-4, 15-17           
 32274         8859000       1.15          2.07         982B-33X-4, 25-27           
 32284         8862000       1.27          1.84         982B-33X-4, 35-37           
 32294         8865000       1.25          1.92         982B-33X-4, 45-47           
