mcd	c13	o18 (o/oo PDB)	species
18,09	0,19	3,48	C. wuellerstorfi
18,09	0,58	3,40	C. wuellerstorfi
18,19	-0,07	3,70	N. umbonifera
18,39	0,52	3,64	N. umbonifera
18,49	0,47	3,41	N. umbonifera
18,59	1,10	3,11	C. wuellerstorfi
18,59	-0,28	3,55	N. umbonifera
18,69	1,06	3,24	C. wuellerstorfi
18,99	-0,07	3,23	C. spp.
18,99	-0,30	3,23	C. wuellerstorfi
19,04	0,83	3,01	C. wuellerstorfi
19,24	1,15	2,48	C. wuellerstorfi
19,24	1,34	2,23	C. wuellerstorfi
19,34	1,30	2,33	C. wuellerstorfi
19,44	1,15	2,37	C. wuellerstorfi
19,44	1,31	2,28	C. wuellerstorfi
19,54	1,21	2,34	C. wuellerstorfi
19,84	-0,37	3,95	C. wuellerstorfi
19,94	-0,34	4,08	C. wuellerstorfi
20,04	-0,25	4,32	C. wuellerstorfi
20,24	-0,65	4,44	N. umbonifera
20,34	-0,11	4,17	C. wuellerstorfi
20,54	-0,17	4,23	C. wuellerstorfi
20,84	-0,21	3,89	C. wuellerstorfi
20,94	0,17	3,93	C. wuellerstorfi
20,94	0,21	3,94	C. wuellerstorfi
21,04	0,30	3,65	C. wuellerstorfi
21,14	-0,15	3,85	C. wuellerstorfi
21,24	-0,34	3,90	C. wuellerstorfi
21,34	0,37	3,82	C. wuellerstorfi
21,34	-0,17	3,88	C. wuellerstorfi
21,44	0,02	4,01	C. wuellerstorfi
21,54	0,53	3,56	C. wuellerstorfi
21,84	-0,01	3,77	C. wuellerstorfi
21,94	0,42	3,87	C. wuellerstorfi
22,14	0,25	3,71	C. wuellerstorfi
22,24	0,26	3,55	C. wuellerstorfi
22,24	0,44	3,76	C. wuellerstorfi
22,34	0,61	3,39	C. wuellerstorfi
22,44	1,22	3,42	C. wuellerstorfi
22,64	0,89	3,20	C. spp.
22,74	1,37	3,04	C. wuellerstorfi
22,84	1,05	3,11	C. wuellerstorfi
22,94	1,17	2,69	C. wuellerstorfi
23,04	-0,06	2,77	C. wuellerstorfi
23,14	0,72	2,63	C. wuellerstorfi
23,4	1,12	2,92	C. wuellerstorfi
23,5	1,49	2,83	C. wuellerstorfi
23,87	1,26	3,13	C. wuellerstorfi
23,87	1,48	3,15	C. wuellerstorfi
23,97	1,44	3,29	C. wuellerstorfi
24,07	1,50	3,28	C. wuellerstorfi
24,17	1,23	2,92	C. cicatricosus
24,17	1,52	3,09	C. wuellerstorfi
24,27	1,49	3,15	C. wuellerstorfi
24,67	0,80	2,96	C. cicatricosus
24,77	0,76	3,03	C. cicatricosus
24,87	0,42	3,83	C. wuellerstorfi
24,97	0,33	3,85	C. wuellerstorfi
25,07	0,62	3,79	C. wuellerstorfi
25,07	0,68	3,73	C. wuellerstorfi
25,17	0,39	3,84	C. wuellerstorfi
25,27	0,73	3,86	C. wuellerstorfi
25,37	0,60	3,72	C. wuellerstorfi
25,47	0,22	3,70	C. wuellerstorfi
25,67	0,76	3,56	C. wuellerstorfi
25,77	1,00	3,22	C. wuellerstorfi
25,97	0,76	3,26	C. wuellerstorfi
