mcd	c13	o18 (o/oo PDB)	species
76,33	0,50	3,05	C. wuellerstorfi
76,43	0,79	3,06	Cibicidoides spp.
76,53	0,79	2,85	Cibicidoides spp.
76,63	1,07	2,94	C. kullenbergi
76,73	1,10	2,72	Cibicidoides spp.
76,83	0,88	2,59	C. wuellerstorfi
76,93	1,05	2,33	C. wuellerstorfi
77,13	0,62	2,73	Cibicidoides spp.
77,33	-0,26	3,82	C. wuellerstorfi
77,43	0,77	3,39	Cibicidoides spp.
77,53	0,52	3,40	C. kullenbergi
77,63	0,76	3,31	C. kullenbergi
77,734	0,78	3,16	C. kullenbergi
77,83	0,77	3,03	C. wuellerstorfi
77,93	0,95	3,01	C. kullenbergi
78,03	1,02	2,65	C. kullenbergi
78,23	1,12	2,45	C. wuellerstorfi
78,33	1,01	2,47	C. wuellerstorfi
78,43	0,62	2,24	C. wuellerstorfi
78,63	1,06	2,95	C. kullenbergi
78,73	1,28	2,93	C. wuellerstorfi
78,83	1,14	3,01	C. wuellerstorfi
78,93	1,18	3,06	C. wuellerstorfi
79,03	1,15	2,78	C. wuellerstorfi
79,23	0,71	2,70	C. wuellerstorfi
79,33	1,12	2,67	C. wuellerstorfi
79,43	0,97	2,56	C. wuellerstorfi
79,53	0,78	2,39	C. wuellerstorfi
79,63	-0,01	3,02	C. wuellerstorfi
79,73	0,21	3,47	C. wuellerstorfi
79,83	0,50	3,24	C. wuellerstorfi
79,93	0,43	3,40	C. wuellerstorfi
80,03	0,35	3,51	C. wuellerstorfi
80,13	0,29	3,57	C. wuellerstorfi
80,23	0,51	3,11	C. wuellerstorfi
80,33	0,22	3,56	C. wuellerstorfi
80,43	0,28	3,36	C. wuellerstorfi
80,53	-0,12	3,12	C. wuellerstorfi
80,63	0,09	3,24	C. wuellerstorfi
80,83	0,70	3,02	C. wuellerstorfi
80,93	0,88	2,80	C. wuellerstorfi
81,03	0,90	2,72	C. wuellerstorfi
81,13	0,79	2,57	C. wuellerstorfi
81,33	0,83	2,90	C. wuellerstorfi
81,43	0,66	2,75	C. wuellerstorfi
81,53	0,28	2,78	C. wuellerstorfi
81,63	0,91	2,74	C. wuellerstorfi
81,73	0,81	2,69	C. wuellerstorfi
81,83	0,59	2,77	C. wuellerstorfi
81,93	0,60	2,38	C. wuellerstorfi
82,13	0,80	3,16	C. wuellerstorfi
82,23	0,72	3,01	C. wuellerstorfi
82,33	0,83	2,92	C. wuellerstorfi
82,43	0,79	2,48	C. wuellerstorfi
82,53	0,76	2,54	C. wuellerstorfi
82,63	0,84	2,22	C. wuellerstorfi
82,73	0,76	2,11	C. wuellerstorfi
82,83	0,83	2,48	C. wuellerstorfi
82,93	0,75	2,87	C. wuellerstorfi
83,03	-0,21	2,89	C. wuellerstorfi
83,13	0,42	3,42	C. wuellerstorfi
83,23	-0,37	3,67	C. wuellerstorfi
83,33	0,47	3,40	C. wuellerstorfi
83,43	0,38	3,27	C. wuellerstorfi
83,53	-0,29	3,51	C. wuellerstorfi
83,534	0,35	3,38	C. wuellerstorfi
83,63	0,58	3,39	C. wuellerstorfi
83,73	0,36	3,15	C. wuellerstorfi
83,83	0,84	3,29	C. wuellerstorfi
83,93	0,38	3,19	C. wuellerstorfi
84,03	0,77	3,13	C. wuellerstorfi
84,13	0,56	3,01	C. wuellerstorfi
84,23	0,88	2,91	C. wuellerstorfi
84,33	1,08	2,61	Cibicidoides spp.
84,43	1,04	2,84	C. wuellerstorfi
84,53	0,93	2,66	Cibicidoides spp.
84,63	0,89	2,69	C. wuellerstorfi
84,73	0,86	2,32	C. wuellerstorfi
84,83	1,03	2,78	C. wuellerstorfi
84,93	0,78	2,78	Cibicidoides spp.
85,03	0,57	3,11	Cibicidoides spp.
85,13	0,88	2,81	Cibicidoides spp.
85,23	0,20	3,20	C. wuellerstorfi
85,33	-0,03	3,21	C. wuellerstorfi
85,43	0,49	3,30	C. wuellerstorfi
85,53	0,72	2,85	C. wuellerstorfi
85,63	0,90	3,13	C. wuellerstorfi
85,73	0,57	3,07	C. kullenbergi
85,93	0,78	2,78	C. wuellerstorfi
86,03	0,56	2,77	Cibicidoides spp.
86,13	0,66	3,06	C. wuellerstorfi
86,23	0,40	3,01	Cibicidoides spp.
86,33	0,97	2,85	C. wuellerstorfi
86,43	0,46	2,93	Cibicidoides spp.
86,53	0,46	2,60	C. wuellerstorfi
86,63	0,81	2,67	C. wuellerstorfi
86,73	0,74	2,37	Cibicidoides spp.
86,83	0,64	2,59	C. kullenbergi
86,89	0,79	2,72	C. wuellerstorfi
86,99	0,64	2,72	C. wuellerstorfi
87,09	0,32	2,95	C. wuellerstorfi
87,2	-0,08	3,13	C. wuellerstorfi
87,29	-0,64	3,45	C. wuellerstorfi
87,39	0,47	3,00	C. wuellerstorfi
87,49	0,60	2,88	C. wuellerstorfi
87,59	0,80	2,85	C. wuellerstorfi
87,69	0,77	2,32	C. wuellerstorfi
87,79	1,02	2,22	C. wuellerstorfi
87,99	0,57	2,79	C. wuellerstorfi
88,06	0,41	2,37	C. wuellerstorfi
88,29	0,49	2,89	C. wuellerstorfi
88,39	0,54	2,82	C. wuellerstorfi
88,59	0,36	3,30	C. wuellerstorfi
88,7	0,54	3,20	C. wuellerstorfi
88,89	0,01	3,39	C. wuellerstorfi
88,99	0,48	3,03	C. wuellerstorfi
89,09	0,83	2,70	C. wuellerstorfi
89,29	0,87	2,30	C. wuellerstorfi
89,41	0,89	2,47	C. wuellerstorfi
89,49	0,95	2,52	C. wuellerstorfi
89,99	0,71	2,68	C. wuellerstorfi
90,59	0,38	2,96	C. wuellerstorfi
90,69	0,39	3,06	C. wuellerstorfi
90,78	0,30	3,00	C. wuellerstorfi
90,79	0,01	3,05	C. wuellerstorfi
90,88	-0,01	2,94	C. wuellerstorfi
90,91	0,74	2,70	C. wuellerstorfi
90,98	0,57	2,69	C. wuellerstorfi
91,08	0,91	2,59	C. wuellerstorfi
91,18	1,07	2,42	C. wuellerstorfi
91,28	0,90	2,31	C. wuellerstorfi
91,88	0,86	2,34	C. wuellerstorfi
92,18	1,10	2,46	C. wuellerstorfi
92,28	0,65	1,99	C. wuellerstorfi
92,38	1,15	2,65	C. kullenbergi
92,48	1,17	2,68	C. kullenbergi
92,68	1,14	2,58	C. kullenbergi
92,88	1,12	2,32	C. kullenbergi
93,08	1,22	2,64	C. kullenbergi
93,18	0,99	2,55	Cibicidoides spp.
93,28	0,79	2,01	Cibicidoides spp.
93,38	0,78	2,85	C. kullenbergi
93,48	0,84	2,24	C. wuellerstorfi
93,58	0,49	3,38	C. wuellerstorfi
93,68	0,34	3,39	C. wuellerstorfi
93,77	0,38	3,65	C. wuellerstorfi
93,87	0,54	3,42	C. wuellerstorfi
94,17	0,53	3,01	C. wuellerstorfi
94,27	0,80	3,01	C. wuellerstorfi
94,37	0,69	3,11	C. wuellerstorfi
94,47	1,05	2,74	C. wuellerstorfi
94,57	1,09	2,38	C. wuellerstorfi
94,67	1,20	2,63	C. kullenbergi
94,77	1,10	2,72	C. kullenbergi
94,87	0,97	2,57	Cibicidoides spp.
94,97	0,43	2,73	Cibicidoides spp.
95,07	0,89	2,83	C. wuellerstorfi
95,17	0,75	2,88	C. wuellerstorfi
95,27	0,13	3,26	C. wuellerstorfi
95,37	-0,28	3,45	C. wuellerstorfi
95,47	0,10	3,77	C. wuellerstorfi
95,57	0,42	3,52	C. wuellerstorfi
95,67	0,62	3,14	C. wuellerstorfi
95,77	0,77	2,91	C. wuellerstorfi
95,97	0,90	2,60	C. kullenbergi
96,07	0,82	2,70	C. kullenbergi
96,27	0,46	2,91	C. wuellerstorfi
96,47	-0,17	3,65	C. wuellerstorfi
96,57	-0,42	3,62	C. wuellerstorfi
96,67	0,05	3,69	C. wuellerstorfi
96,77	0,01	3,68	C. wuellerstorfi
96,78	-0,09	3,42	C. wuellerstorfi
96,88	0,21	3,42	C. wuellerstorfi
96,98	0,37	3,55	C. wuellerstorfi
97,08	0,03	3,15	C. wuellerstorfi
97,18	0,38	3,25	C. wuellerstorfi
97,28	0,67	3,09	C. kullenbergi
97,38	0,84	2,42	Cibicidoides spp.
97,68	0,86	2,56	C. kullenbergi
97,78	0,85	2,70	C. kullenbergi
97,98	0,63	2,57	Cibicidoides spp.
98,08	0,82	2,95	C. kullenbergi
98,18	0,84	2,92	C. kullenbergi
98,28	0,72	2,84	Cibicidoides spp.
98,38	0,79	2,77	Cibicidoides spp.
98,48	0,65	2,86	C. kullenbergi
98,58	0,84	2,50	Cibicidoides spp.
98,68	0,80	2,59	Cibicidoides spp.
98,78	1,08	2,59	Cibicidoides spp.
98,88	0,38	2,17	C. wuellerstorfi
