Core label	depth	compdepth	age	cw13	cw18
GeoB4403-2	0,03	0,03	0,00	0,35	2,50
GeoB4403-2	0,06	0,06	0,99	0,64	2,63
GeoB4403-2	0,08	0,08	1,64	0,42	2,63
GeoB4403-2	0,11	0,11	2,63	0,70	2,58
GeoB4403-2	0,13	0,13	3,30	1,10	2,70
GeoB4403-2	0,16	0,16	4,30	0,66	2,68
GeoB4403-2	0,18	0,18	4,98	0,38	2,98
GeoB4403-2	0,21	0,21	6,00	0,54	3,35
GeoB4403-2	0,23	0,23	6,69	0,49	2,97
GeoB4403-2	0,26	0,26	7,73	0,62	2,80
GeoB4403-2	0,28	0,28	8,43	0,04	3,39
GeoB4403-2	0,31	0,31	9,49	0,45	3,48
GeoB4403-2	0,33	0,33	10,19	0,58	3,00
GeoB4403-2	0,51	0,51	16,19	-0,24	3,97
GeoB4403-2	0,53	0,53	16,80	0,04	4,26
GeoB4403-2	0,56	0,56	17,68	0,03	4,01
GeoB4403-2	0,58	0,58	18,25	-0,05	4,13
GeoB4403-2	0,61	0,61	19,07	0,05	3,79
GeoB4403-2	0,63	0,63	19,59	-0,03	4,05
GeoB4403-2	0,66	0,66	20,35	0,04	4,08
GeoB4403-2	0,68	0,68	20,84	-0,13	3,88
GeoB4403-2	0,71	0,71	21,55	-0,29	3,93
GeoB4403-2	0,73	0,73	22,01	-0,11	3,91
GeoB4403-2	0,81	0,81	23,70	-0,20	3,81
GeoB4403-2	0,83	0,83	24,09	0,00	3,97
GeoB4403-2	0,86	0,86	24,66	-0,04	4,03
GeoB4403-2	0,88	0,88	25,02	-0,04	3,84
GeoB4403-2	0,93	0,93	25,88	-0,09	3,95
GeoB4403-2	0,96	0,96	26,37	-0,01	3,86
GeoB4403-2	0,98	0,98	26,68	-0,16	3,93
GeoB4403-2	1,03	1,03	27,43	0,00	4,03
GeoB4403-2	1,06	1,06	27,71	-0,22	3,83
GeoB4403-2	1,08	1,08	28,12	-0,29	3,78
GeoB4403-2	1,11	1,11	28,52	0,02	3,95
GeoB4403-2	1,16	1,16	29,14	0,00	3,70
GeoB4403-2	1,18	1,18	29,38	0,08	3,81
GeoB4403-2	1,23	1,23	29,96	-0,18	3,79
GeoB4403-2	1,26	1,26	30,29	0,12	4,06
GeoB4403-2	1,28	1,28	30,50	0,12	3,77
GeoB4403-2	1,31	1,31	30,82	-0,16	3,75
GeoB4403-2	1,33	1,33	31,02	0,01	3,67
GeoB4403-2	1,36	1,36	31,33	-0,11	3,73
GeoB4403-2	1,38	1,38	31,53	-0,59	3,83
GeoB4403-2	1,41	1,41	31,82	0,25	4,01
GeoB4403-2	1,46	1,46	32,31	0,20	3,63
GeoB4403-2	1,48	1,48	32,50	0,27	3,69
GeoB4403-2	1,51	1,51	32,79	0,08	3,60
GeoB4403-2	1,56	1,56	33,27	0,19	3,66
GeoB4403-2	1,58	1,58	33,47	0,46	3,67
GeoB4403-2	1,61	1,61	33,76	0,00	3,92
GeoB4403-2	1,63	1,63	33,96	0,30	3,52
GeoB4403-2	1,66	1,66	34,27	0,01	3,64
GeoB4403-2	1,68	1,68	34,47	0,01	3,81
GeoB4403-2	1,71	1,71	34,79	0,20	3,49
GeoB4403-2	1,73	1,73	35,00	0,27	3,49
GeoB4403-2	1,83	1,83	36,13	0,01	3,43
GeoB4403-2	1,86	1,86	36,48	0,24	3,75
GeoB4403-2	1,88	1,88	36,73	0,35	3,92
GeoB4403-2	1,91	1,91	37,09	0,21	3,48
GeoB4403-2	1,93	1,93	37,34	0,19	3,85
GeoB4403-2	1,96	1,96	37,72	0,32	3,88
GeoB4403-2	1,98	1,98	37,98	0,21	3,70
GeoB4403-2	2,01	2,01	38,37	0,36	3,75
GeoB4403-2	2,03	2,03	38,63	0,26	3,72
GeoB4403-2	2,06	2,06	39,03	0,26	3,58
GeoB4403-2	2,08	2,08	39,30	0,31	3,54
GeoB4403-2	2,11	2,11	39,71	0,10	3,48
GeoB4403-2	2,13	2,13	39,99	0,36	3,63
GeoB4403-2	2,18	2,18	40,68	0,29	3,37
GeoB4403-2	2,21	2,21	41,11	0,01	3,71
GeoB4403-2	2,23	2,23	41,39	0,15	3,41
GeoB4403-2	2,26	2,26	41,82	-0,08	3,72
GeoB4403-2	2,28	2,28	42,11	0,09	3,42
GeoB4403-2	2,41	2,41	44,00	0,64	3,71
GeoB4403-2	2,43	2,43	44,29	0,24	3,40
GeoB4403-2	2,46	2,46	44,74	0,03	3,16
GeoB4403-2	2,51	2,51	45,47	0,42	3,34
GeoB4403-2	2,68	2,68	47,98	-0,09	3,26
GeoB4403-2	2,88	2,88	50,84	0,09	3,59
GeoB4403-2	2,91	2,91	51,26	-0,45	3,70
GeoB4403-2	2,93	2,93	51,53	0,09	3,70
