Core label	depth	compdepth	age	cw13	cw18
GeoB1711-5	0,01	0,01	0,12	0,90	2,49
GeoB1711-5	0,04	0,04	0,49	0,73	2,59
GeoB1711-5	0,07	0,07	0,85	0,70	2,45
GeoB1711-5	0,10	0,10	1,22		
GeoB1711-5	0,13	0,13	1,58	0,16	2,13
GeoB1711-5	0,16	0,16	1,94	0,55	2,48
GeoB1711-5	0,19	0,19	2,31	0,67	2,47
GeoB1711-5	0,22	0,22	2,67		
GeoB1711-5	0,25	0,25	3,03	0,61	2,50
GeoB1711-4	0,23	0,31	3,74	0,77	2,30
GeoB1711-4	0,28	0,36	4,33		
GeoB1711-4	0,33	0,41	4,91		
GeoB1711-4	0,38	0,46	5,49		
GeoB1711-4	0,43	0,51	6,06	0,74	2,48
GeoB1711-4	0,48	0,56	6,62	0,51	3,40
GeoB1711-4	0,53	0,61	7,17	0,51	2,64
GeoB1711-4	0,58	0,66	7,72	0,63	2,77
GeoB1711-4	0,63	0,71	8,25	0,50	3,05
GeoB1711-4	0,68	0,76	8,77	0,44	2,80
GeoB1711-4	0,73	0,81	9,27	0,02	3,26
GeoB1711-4	0,77	0,85	9,67	0,42	3,59
GeoB1711-4	0,83	0,91	10,24	0,62	3,39
GeoB1711-4	0,88	0,96	10,71	0,51	3,54
GeoB1711-4	0,93	1,01	11,16	0,72	3,43
GeoB1711-4	0,98	1,06	11,59	0,48	3,53
GeoB1711-4	1,03	1,11	12,00	0,62	3,65
GeoB1711-4	1,08	1,16	12,40	0,53	3,45
GeoB1711-4	1,13	1,21	12,78	-0,10	3,27
GeoB1711-4	1,18	1,26	13,15	0,41	3,55
GeoB1711-4	1,23	1,31	13,53	0,16	3,96
GeoB1711-4	1,28	1,36	13,90	0,17	4,10
GeoB1711-4	1,33	1,41	14,28	0,15	3,76
GeoB1711-4	1,38	1,46	14,68	0,08	4,22
GeoB1711-4	1,43	1,51	15,09	0,05	4,31
GeoB1711-4	1,48	1,56	15,53	0,24	4,18
GeoB1711-4	1,53	1,61	16,00	0,29	4,30
GeoB1711-4	1,58	1,66	16,50	0,26	4,57
GeoB1711-4	1,63	1,71	17,04	0,24	4,39
GeoB1711-4	1,68	1,76	17,61	0,00	4,27
GeoB1711-4	1,73	1,81	18,19	-0,05	4,08
GeoB1711-4	1,78	1,86	18,80	0,21	4,49
GeoB1711-4	1,83	1,91	19,40	0,34	4,50
GeoB1711-4	1,88	1,96	20,00	0,13	4,56
GeoB1711-4	1,93	2,01	20,59	0,27	4,51
GeoB1711-4	1,98	2,06	21,16	0,15	4,26
GeoB1711-4	2,03	2,11	21,72	0,41	4,41
GeoB1711-4	2,08	2,16	22,26	0,27	4,48
GeoB1711-4	2,13	2,21	22,80	0,53	4,45
GeoB1711-4	2,18	2,26	23,33	0,17	4,28
GeoB1711-4	2,23	2,31	23,85	0,10	4,55
GeoB1711-4	2,28	2,36	24,36	0,38	4,27
GeoB1711-4	2,33	2,41	24,87	-0,10	4,21
GeoB1711-4	2,38	2,46	25,37	0,20	4,31
GeoB1711-4	2,43	2,51	25,87	0,18	4,25
GeoB1711-4	2,48	2,56	26,36	0,15	4,16
GeoB1711-4	2,53	2,61	26,85	0,11	4,08
GeoB1711-4	2,58	2,66	27,34	0,19	4,02
GeoB1711-4	2,63	2,71	27,84	-0,01	3,86
GeoB1711-4	2,68	2,76	28,33	0,30	4,11
GeoB1711-4	2,73	2,81	28,83	0,11	4,08
GeoB1711-4	2,78	2,86	29,33	0,12	3,91
GeoB1711-4	2,83	2,91	29,83	0,20	3,87
GeoB1711-4	2,88	2,96	30,34	-0,03	3,72
GeoB1711-4	2,93	3,01	30,86	0,09	3,91
GeoB1711-4	2,98	3,06	31,38	0,18	4,05
GeoB1711-4	3,03	3,11	31,92	0,22	3,80
GeoB1711-4	3,08	3,16	32,46	0,25	3,93
GeoB1711-4	3,13	3,21	33,02	0,23	3,84
GeoB1711-4	3,18	3,26	33,58	-0,04	3,86
GeoB1711-4	3,23	3,31	34,17	0,28	3,76
GeoB1711-4	3,28	3,36	34,76	0,21	3,60
GeoB1711-4	3,33	3,41	35,37	0,18	3,70
GeoB1711-4	3,38	3,46	36,00	-0,02	3,41
GeoB1711-4	3,43	3,51	36,65	0,14	3,63
GeoB1711-4	3,48	3,56	37,31	0,36	3,80
GeoB1711-4	3,53	3,61	37,98	-0,02	3,82
GeoB1711-4	3,58	3,66	38,68	0,12	3,76
GeoB1711-4	3,63	3,71	39,38	0,25	3,86
GeoB1711-4	3,68	3,76	40,10	0,24	3,93
GeoB1711-4	3,73	3,81	40,83	0,12	3,94
GeoB1711-4	3,78	3,86	41,56	0,12	3,78
