Core label	depth	compdepth	age	cw13	cw18
GeoB3801-6	3,00	0,03	0,00	0,55	2,58
GeoB3801-6	8,00	0,08	5,73	0,43	3,16
GeoB3801-6	13,00	0,13	11,28	0,41	3,20
GeoB3801-6	18,00	0,18	16,50	0,17	4,12
GeoB3801-6	23,00	0,23	21,26	-0,12	4,06
GeoB3801-6	28,00	0,28	25,59	-0,08	3,37
GeoB3801-6	33,00	0,33	29,60	0,23	3,54
GeoB3801-6	38,00	0,38	33,38	0,15	3,69
GeoB3801-6	43,00	0,43	37,00	0,21	3,67
GeoB3801-6	48,00	0,48	40,56	0,04	3,51
GeoB3801-6	53,00	0,53	44,14	0,47	3,45
GeoB3801-6	58,00	0,58	47,82	0,50	3,78
GeoB3801-6	63,00	0,63	51,66	0,19	3,59
GeoB3801-6	68,00	0,68	55,76		
GeoB3801-6	73,00	0,73	60,18	0,21	3,50
GeoB3801-6	78,00	0,78	65,00	0,18	3,49
GeoB3801-6	83,00	0,83	70,26	-0,06	3,34
GeoB3801-6	88,00	0,88	75,80	0,32	3,01
GeoB3801-6	93,00	0,93	81,45	-0,05	2,96
GeoB3801-6	98,00	0,98	87,00	0,20	3,07
GeoB3801-6	103,00	1,03	92,31	0,39	2,95
GeoB3801-6	108,00	1,08	97,38	0,41	2,77
GeoB3801-6	113,00	1,13	102,27	0,67	2,96
GeoB3801-6	118,00	1,18	107,00	0,55	3,08
GeoB3801-6	123,00	1,23	111,62	0,55	2,94
GeoB3801-6	128,00	1,28	116,09	0,53	2,71
GeoB3801-6	133,00	1,33	120,39	0,38	2,42
GeoB3801-6	138,00	1,38	124,47	0,35	2,38
GeoB3801-6	143,00	1,43	128,29	0,14	3,32
GeoB3801-6	148,00	1,48	131,81	-0,16	3,78
GeoB3801-6	153,00	1,53	135,00	-0,19	4,07
GeoB3801-6	158,00	1,58	137,84	0,16	3,53
GeoB3801-6	163,00	1,63	140,45	0,18	3,41
GeoB3801-6	168,00	1,68	142,93	-0,29	3,78
GeoB3801-6	173,00	1,73	145,43		
GeoB3801-6	178,00	1,78	148,08	-0,57	3,84
GeoB3801-6	183,00	1,83	151,00	-0,07	3,93
GeoB3801-6	188,00	1,88	154,30	-0,35	3,71
GeoB3801-6	193,00	1,93	158,02	-0,26	3,34
GeoB3801-6	198,00	1,98	162,15	-0,28	3,67
GeoB3801-6	203,00	2,03	166,71		
GeoB3801-6	208,00	2,08	171,70	-0,13	3,71
GeoB3801-6	213,00	2,13	177,12		
GeoB3801-6	218,00	2,18	183,00	0,20	3,50
GeoB3801-6	223,00	2,23	189,30	0,03	2,69
GeoB3801-6	228,00	2,28	195,91	0,32	3,28
GeoB3801-6	233,00	2,33	202,65	0,72	2,68
GeoB3801-6	238,00	2,38	209,39	0,74	2,91
GeoB3801-6	243,00	2,43	215,96	0,65	2,79
GeoB3801-6	248,00	2,48	222,22	0,42	2,50
GeoB3801-6	253,00	2,53	228,00	-0,17	3,24
GeoB3801-6	258,00	2,58	233,19	0,04	3,57
GeoB3801-6	263,00	2,63	237,85	0,48	2,87
GeoB3801-6	268,00	2,68	242,06	-0,17	2,88
GeoB3801-6	273,00	2,73	245,91		
GeoB3801-6	278,00	2,78	249,50	-0,11	3,72
GeoB3801-6	283,00	2,83	252,90	-0,13	3,72
GeoB3801-6	288,00	2,88	256,13	-0,21	3,60
GeoB3801-6	293,00	2,93	259,20	0,04	3,77
GeoB3801-6	298,00	2,98	262,11	-0,20	3,76
GeoB3801-6	303,00	3,03	264,88	0,07	3,78
GeoB3801-6	308,00	3,08	267,51	-0,15	3,75
GeoB3801-6	313,00	3,13	270,00	-0,34	3,81
GeoB3801-6	318,00	3,18	272,37	0,08	3,67
GeoB3801-6	323,00	3,23	274,66		
GeoB3801-6	328,00	3,28	276,91		
GeoB3801-6	333,00	3,33	279,14	0,15	3,18
GeoB3801-6	338,00	3,38	281,41	0,52	3,12
GeoB3801-6	343,00	3,43	283,76	0,44	3,14
GeoB3801-6	348,00	3,48	286,22	0,44	2,96
GeoB3801-6	353,00	3,53	288,83	0,16	3,27
GeoB3801-6	358,00	3,58	291,64	-0,06	2,87
GeoB3801-6	363,00	3,63	294,68	0,24	3,37
GeoB3801-6	368,00	3,68	298,00	-0,39	3,72
GeoB3801-6	373,00	3,73	301,62		
GeoB3801-6	378,00	3,78	305,50	0,32	3,06
GeoB3801-6	383,00	3,83	309,62	0,31	2,79
GeoB3801-6	388,00	3,88	313,91		
GeoB3801-6	393,00	3,93	318,34		
GeoB3801-6	398,00	3,98	322,86	0,69	2,48
GeoB3801-6	403,00	4,03	327,43		
GeoB3801-6	408,00	4,08	332,01	0,05	3,05
GeoB3801-6	413,00	4,13	336,55	0,31	3,10
GeoB3801-6	418,00	4,18	341,00	-0,12	4,04
GeoB3801-6	423,00	4,23	345,34	-0,03	3,99
GeoB3801-6	428,00	4,28	349,60	-0,17	3,79
GeoB3801-6	433,00	4,33	353,82	-0,35	3,56
GeoB3801-6	438,00	4,38	358,05	-0,16	4,04
GeoB3801-6	443,00	4,43	362,34	-0,22	3,75
GeoB3801-6	448,00	4,48	366,73	-0,01	3,58
GeoB3801-6	453,00	4,53	371,27	-0,12	3,39
GeoB3801-6	458,00	4,58	376,00	-0,09	3,44
GeoB3801-6	463,00	4,63	380,96	0,39	3,31
GeoB3801-6	468,00	4,68	386,12	0,57	2,82
GeoB3801-6	473,00	4,73	391,42	0,55	3,22
GeoB3801-6	478,00	4,78	396,84	0,53	2,68
GeoB3801-6	483,00	4,83	402,32		
GeoB3801-6	488,00	4,88	407,81	0,86	2,57
GeoB3801-6	493,00	4,93	413,28	0,00	3,64
GeoB3801-6	498,00	4,98	418,68	0,50	2,76
GeoB3801-6	503,00	5,03	423,96	0,58	3,22
GeoB3801-6	508,00	5,08	429,08	0,35	3,65
GeoB3801-6	513,00	5,13	434,00	-0,37	4,36
GeoB3801-6	518,00	5,18	438,68		
GeoB3801-6	523,00	5,23	443,13	-0,29	4,34
GeoB3801-6	528,00	5,28	447,39	-0,13	4,01
GeoB3801-6	533,00	5,33	451,46	0,15	3,84
GeoB3801-6	538,00	5,38	455,38	0,07	3,96
