EPICA Dome C Ice Cores Insoluble Dust Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Cores Insoluble Dust Data
LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)


CONTRIBUTORS: Barbara Delmonte, 
Laboratoire de Glaciologie et de Geophysique de l'Environnement, 
BP 96, 38402 St Martin d'Heres Cedex, France.


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-040


SUGGESTED DATA CITATION: Delmonte, B., et al. 2004.
EPICA Dome C Ice Cores Insoluble Dust Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-040.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: EPICA community members. 2004. 
Eight glacial cycles from an Antarctic ice core.
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
doi:10.1038/nature02599.


ABSTRACT:
The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
the amplitude of climate variability was smaller before that time, but such records 
are often poorly resolved. Moreover, it is not possible to infer the abundance of 
greenhouse gases in the atmosphere from marine records. Here we report the recovery 
of a deepice core from Dome C, Antarctica, that provides a climate record for the 
past 740,000 years. For the four most recent glacial cycles, the data agree well 
with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
but a higher proportion of each cycle was spent in the warm mode. The transition 
from glacial to interglacial conditions about 430,000 years ago (Termination V) 
resembles the transition into the present interglacial period in terms of the 
magnitude of change in temperatures and greenhouse gases, but there are significant 
differences in the patterns of change. The interglacial stage following Termination 
V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
recorded so far in the present interglacial period. Given the similarities between 
this earlier warm period and today, our results may imply that without human 
intervention, a climate similar to the present one would extend well into the future.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  2 - 740 kyr BP


DESCRIPTION: 
Concentration of insoluble dust in the EPICA Dome C cores, 100-3138 m depth.

Dust concentration and size distribution were measured by a 256 channel 
CoulterCounter, set to register particles in the size range from 0.7-20 µm. 
In calculating mass concentrations, density was taken as 2500 kg m-3.  
Ages are given on timescale EDC2 (EPICA Community Members, Eight glacial 
cycles from an Antarctic ice core, Nature, 429 (6992), 623-628, 2004).




DATA:  
Col 1: Depth / m
Col 2: Age in years before 1950, EDC2 timescale
Col 3: Mass of dust in parts per billion (micrograms of dust per litre of meltwater)


     Depth/m        Age       Dust mass
    1496.585      110700       14.58
    1502.085      111268        9.85
    1507.585      111805       14.54
    1513.085      112332       14.18
    1518.585      112844       15.29
    1524.085      113353       23.36
      1529.6      113824       24.14
    1535.085      114283       12.57
    1540.585      114729       10.04
    1546.085      115189       12.01
    1551.585      115642         2.7
    1557.085      116066        8.94
    1562.585      116516       35.39
    1568.085      116961         7.4
    1573.585      117403       11.15
    1584.585      118273       12.18
    1590.085      118702       21.49
    1595.585      119123       18.42
    1601.085      119541        9.67
    1606.605      119965          13
    1612.085      120394        9.79
    1617.585      120818        11.8
    1623.085      121246       24.45
    1628.585      121654       24.67
    1634.085      122075       17.61
    1639.625      122528       15.63
    1645.085      122967       19.08
    1650.585      123421       26.18
    1656.085      123872       34.07
    1661.585      124323        12.5
    1667.085      124737       31.05
    1672.585      125152       46.11
    1678.085      125548        9.63
    1683.585      125920       18.89
    1689.085      126272        9.19
    1694.585      126625        9.27
    1700.085      126993       17.02
    1705.585      127374        3.95
    1711.085      127758       35.39
    1716.585      128161        6.81
    1727.585      129071        6.76
    1731.985      129458        7.84
    1733.085      129560       10.05
    1738.585      130115       17.51
    1744.085      130709       19.07
    1749.585      131395       69.51
    1755.085      132114       94.51
    1760.585      132923       97.97
     1766.08      133861      316.02
    1771.585      134870      251.26
    1777.085      135883       167.7
    1782.585      136917      194.36
    1788.085      138024      361.45
    1793.585      139096      324.87
    1799.635      140299      386.28
    1804.035      141147      309.37
    1810.085      142301         875
    1815.585      143356      394.87
    1821.085      144414      403.37
    1832.085      146454      150.91
    1837.585      147492      186.14
    1843.085      148477      182.21
    1848.585      149465      262.09
    1854.085      150459      156.02
    1859.585      151487      369.53
    1865.085      152576      444.73
    1867.835      153149       740.5
    1870.585      153723         632
    1876.085      154887       643.5
    1881.585      156023      450.52
    1887.085      157106       69.42
    1892.585      158083      104.14
    1898.085      159135         567
    1903.585      160212       169.7
    1909.085      161246      204.22
    1914.585      162389      421.48
    1920.085      163569      169.26
    1925.585      164718       217.7
    1931.085      165782       110.6
    1936.585      166812      104.59
    1942.085      167883       86.04
    1947.585      169035      160.88
    1953.085      170158       88.04
    1958.585      171263      189.21
    1964.085      172464       266.2
    1969.585      173657      306.94
    1975.085      174863      150.46
    1980.585      176082       81.19
    1986.085      177350      175.52
    1997.085      179917         507
    2002.585      181283      326.15
    2008.085      182627      264.79
    2013.585      183952      270.32
    2019.085      185206       32.89
    2024.585      186276       29.43
    2030.085      187226       37.98
    2035.585      188333       86.06
    2046.585      190542       34.35
    2052.085      191713       125.7
    2057.585      192839       88.55
    2063.085      193848       64.09
    2068.585      194829       32.89
    2074.085      195719       28.26
    2079.585      196573       35.18
    2085.085      197430       29.13
    2086.185      197603       14.51
    2090.585      198311       12.78
    2096.085      199228       21.05
    2101.585      200225       17.45
    2107.085      201342       28.62
    2112.585      202476       24.05
    2118.085      203586       26.85
    2123.585      204595        14.4
    2129.205      205612       21.21
    2134.585      206564        17.4
    2140.085      207520        21.2
    2145.585      208463       18.78
    2150.535      209289       16.63
    2156.585      210303       26.03
    2162.175      211267       34.57
    2167.585      212238       38.99
    2173.085      213229       18.62
    2178.585      214154       23.35
    2184.085      215133       19.74
    2195.085      217428        49.8
    2202.825      219275      90.235
    2209.425      221170     188.605
    2218.225      223904     108.235
     2222.65      225136      34.985
    2231.425      227559     127.465
    2235.825      228805      36.215
    2240.225      230104       70.02
    2244.625      231344       48.36
    2249.025      232564       43.85
    2253.425      233689       44.05
    2257.825      234746      32.365
    2262.225      235730      39.885
    2271.025      237647       37.61
    2275.425      238585      41.745
    2279.825      239482      23.825
    2284.225      240320      35.415
    2288.615      241079      59.575
    2297.415      242455      21.275
    2301.955      243204         7.5
    2306.215      243958        7.29
    2315.015      245949       23.03
    2319.415      247247      56.945
    2323.825      248516       60.28
    2328.355      249909      114.55
    2332.625      251342     165.655
    2341.425      254368      182.63
    2345.975      255936     246.465
    2350.215      257336     170.765
    2354.615      258745     123.325
    2363.435      261760     184.225
    2367.825      263273      111.25
    2372.225      264672      175.52
    2381.025      267744         824
    2385.425      269437       745.5
    2389.825      271189      1077.5
    2394.225      273031        1431
    2398.625      274840       760.5
    2407.575      278459      371.17
    2416.225      281693     107.975
    2425.025      284767       75.82
    2429.425      286200      62.385
   2433.8375      287581      48.725
    2438.225      288924       54.24
     2442.64      290216       33.66
    2451.425      293153      172.14
    2455.815      294874     195.575
    2460.215      296477       56.18
    2464.625      298216         128
    2473.425      301569       125.7
    2477.815      303269      27.585
    2482.225      304887        32.6
    2491.025      308356       93.58
    2495.425      310161     120.195
    2499.825      311917      89.065
    2504.225      313568        54.3
    2513.025      316477      21.255
    2517.425      317917      20.865
    2521.825      319552       53.51
    2526.225      321192       26.11
    2535.025      324060       13.57
    2539.425      325305      14.595
    2543.825      326512      13.095
    2548.225      327666       14.84
     2552.62      328818        20.5
    2561.425      331065      19.285
    2565.825      332196          32
    2570.375      333314      13.615
    2579.025      335067        9.77
    2583.425      335967       7.265
    2587.825      337025       10.23
    2596.615      339905     100.695
    2605.415      344525     322.895
    2610.125      347202      283.24
    2618.625      351629      227.38
    2627.415      356453         925
    2631.815      359092       769.5
    2636.215      361658      313.17
    2640.615      364058      178.89
    2649.415      368824      191.38
    2653.815      371141      100.45
    2658.215      373249      39.875
    2667.015      377966       80.16
    2671.415      380177       57.23
    2675.815      382179       24.12
    2680.215      384307      87.385
    2689.015      388553     177.165
    2693.415      390862      57.305
    2697.815      392920      21.335
    2702.215      394705      15.825
    2711.015      398006      23.575
    2715.415      399583       107.8
    2719.815      401100       16.89
    2724.355      402604       14.78
    2733.015      405446       8.695
    2737.415      406866       10.76
    2741.955      408364        8.48
    2746.215      409822        8.69
    2750.615      411427        9.16
    2755.015      413091      11.975
    2756.275      413574        13.9
    2757.225      413944      16.415
    2758.325      414379        14.5
    2759.415      414807      11.195
    2760.525      415241      12.395
    2761.625      415675        9.15
    2762.725      416113      15.255
    2763.955      416613       23.59
    2764.925      417009      11.155
    2766.025      417466      12.415
    2767.125      417930       16.44
    2768.355      418460       15.73
    2769.325      418897      25.765
    2770.425      419408       25.32
    2771.525      419926       21.16
    2772.755      420514       36.88
    2773.725      420968       22.34
    2774.825      421454       24.64
    2775.925      421917      17.995
    2777.025      422399       8.335
    2777.155      422461       14.88
    2778.125      422928      20.425
    2779.225      423491      32.045
    2780.325      424101      57.515
    2781.555      424850     106.535
    2782.525      425480      184.88
    2783.625      426248     374.825
    2784.725      427103       705.5
    2785.825      428055         716
    2786.925      429055         819
    2788.025      430035         732
    2789.125      431001      1252.5
    2790.215      431956         933
    2794.615      435908         629
    2799.015      439394       643.5
    2803.415      442890         731
    2812.215      449981         511
    2816.905      453803         568
     2821.27      457294       76.32
    2825.415      460114      183.44
    2829.815      463043      95.565
    2834.215      465991       76.55
    2840.825      470055      22.585
    2846.475      473295      20.745
    2851.815      476574      19.335
    2856.355      479457       31.38
     2865.29      485479       46.64
    2869.415      488373       50.13
    2873.815      491699      44.115
    2878.215      495071       51.67
    2887.015      501434       36.79
    2891.705      504678      48.575
    2895.815      507631       67.56
    2900.215      510992       56.26
    2906.825      516325      311.69
    2912.325      521479         510
    2917.815      526766      222.69
    2922.635      531622      120.89
    2931.015      538933       41.58
    2935.415      542328       39.87
    2939.815      546363      77.335
    2944.215      550189       56.85
    2953.155      557006      20.645
    2957.415      559992        18.8
    2961.815      562997       28.02
    2968.425      567502      32.405
    2972.825      570523       59.45
    2979.415      575193      21.115
    2983.815      578378       23.51
    2988.215      581577       37.59
    2994.825      586239      32.395
    3005.815      597168       21.38
    3012.425      603655     286.085
    3016.825      608165       63.37
    3022.325      612994      58.865
    3027.955      617214      28.555
    3032.355      620635      34.945
    3041.155      629691       711.5
    3045.555      635721      351.11
    3050.105      641521     215.425
    3054.355      647044         803
    3063.155      659227      406.69
    3067.555      664533     146.215
    3071.955      669664         221
    3076.365      674607     106.555
    3080.755      679041       74.84
    3086.125      684174      52.325
    3089.555      687221       32.24
     3093.84      690925      16.615
    3099.375      695856      21.675
    3104.825      700983      24.125
    3111.425      707607       36.97
    3120.505      717932     227.955
    3129.155      729094      118.24
    3133.555      733955       99.89
    3136.725      737620      169.62
    3137.955      739217       527.5
