EPICA Dome C Ice Cores Insoluble Dust Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Cores Insoluble Dust Data
LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)


CONTRIBUTORS: Barbara Delmonte, 
Laboratoire de Glaciologie et de Geophysique de l'Environnement, 
BP 96, 38402 St Martin d'Heres Cedex, France.


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-040


SUGGESTED DATA CITATION: Delmonte, B., et al. 2004.
EPICA Dome C Ice Cores Insoluble Dust Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-040.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: EPICA community members. 2004. 
Eight glacial cycles from an Antarctic ice core.
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
doi:10.1038/nature02599.


ABSTRACT:
The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
the amplitude of climate variability was smaller before that time, but such records 
are often poorly resolved. Moreover, it is not possible to infer the abundance of 
greenhouse gases in the atmosphere from marine records. Here we report the recovery 
of a deepice core from Dome C, Antarctica, that provides a climate record for the 
past 740,000 years. For the four most recent glacial cycles, the data agree well 
with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
but a higher proportion of each cycle was spent in the warm mode. The transition 
from glacial to interglacial conditions about 430,000 years ago (Termination V) 
resembles the transition into the present interglacial period in terms of the 
magnitude of change in temperatures and greenhouse gases, but there are significant 
differences in the patterns of change. The interglacial stage following Termination 
V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
recorded so far in the present interglacial period. Given the similarities between 
this earlier warm period and today, our results may imply that without human 
intervention, a climate similar to the present one would extend well into the future.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  2 - 740 kyr BP


DESCRIPTION: 
Concentration of insoluble dust in the EPICA Dome C cores, 100-3138 m depth.

Dust concentration and size distribution were measured by a 256 channel 
CoulterCounter, set to register particles in the size range from 0.7-20 µm. 
In calculating mass concentrations, density was taken as 2500 kg m-3.  
Ages are given on timescale EDC2 (EPICA Community Members, Eight glacial 
cycles from an Antarctic ice core, Nature, 429 (6992), 623-628, 2004).




DATA:  
Col 1: Depth / m
Col 2: Age in years before 1950, EDC2 timescale
Col 3: Mass of dust in parts per billion (micrograms of dust per litre of meltwater)


     Depth/m        Age       Dust mass
     282.725        9033       22.39
     283.825        9074       18.62
     284.925        9116         6.3
     286.575        9183       16.73
     288.225        9250        7.49
     289.325        9291       19.94
     290.425        9332       20.97
     292.075        9395       17.47
     293.725        9457        8.66
     294.825        9497       13.21
     295.925        9535       17.83
     297.575        9599       17.09
     299.315        9666        6.22
     300.325        9703       11.43
     301.425        9743       10.98
     303.625        9822       15.97
     304.725        9859        8.78
     305.825        9899       13.86
     306.925        9940       16.56
     307.475        9960       15.54
     308.575       10000       14.77
     309.125       10020       20.13
     309.675       10041       11.97
     310.225       10061        9.33
     311.125       10094       10.24
     311.325       10101        2.99
     311.875       10121       21.13
     312.425       10141       11.95
     312.975       10162       25.35
     314.075       10201       27.35
     314.625       10222       17.11
     315.175       10243       14.68
     316.825       10301       11.75
     317.375       10320        6.74
     317.925       10339       14.11
     318.475       10359        70.2
     319.575       10400       16.65
     320.125       10421        5.07
     320.675       10442        7.99
     321.225       10462        4.99
     321.915       10487        3.34
     322.325       10502        11.8
     322.875       10522         6.5
     323.425       10542       56.37
     323.975       10563         9.3
     325.075       10606        7.55
     325.625       10626       21.38
    326.7375       10666       16.09
     327.275       10685       18.61
     327.825       10705       12.72
    328.3753       10725       13.98
     328.925       10744       14.09
     329.475       10765       21.18
     331.125       10828       15.79
     332.225       10870       11.46
     333.175       10906       10.02
     333.325       10911       19.13
     334.425       10954       21.75
     336.075       11022       28.09
     337.725       11086       10.97
     338.825       11129        7.88
     339.875       11170        6.79
     339.925       11172       15.83
     343.225       11301       21.01
     343.625       11316       45.21
     344.325       11343       10.41
     345.425       11388       16.18
     347.075       11455       14.07
     348.725       11517       11.62
     349.825       11560       20.36
     350.925       11605       20.86
     352.575       11666       30.73
     354.225       11730       15.71
     355.325       11774       10.26
     355.725       11789        4.84
     356.425       11816       50.99
     358.075       11878       13.63
     359.725       11946        8.47
     360.825       11991        5.95
     361.925       12033       11.84
     363.025       12075         3.2
     365.225       12164        5.82
     367.425       12258        4.57
     369.625       12356       10.53
     370.725       12407        6.48
     371.125       12425        2.87
     371.825       12455       10.47
     372.925       12504        6.54
     375.125       12609        15.2
     376.225       12663        9.48
     377.875       12739        30.6
     378.425       12765        8.41
     381.125       12904       15.88
     381.825       12939       16.47
     382.825       12991       19.91
     383.925       13050       17.04
     387.225       13231       25.53
     389.125       13335       17.39
     389.425       13351       12.82
     390.525       13410       24.65
     392.725       13529       17.92
     393.825       13588       59.78
     394.975       13651       10.81
     396.575       13733       25.89
     398.225       13815       17.43
     399.325       13871       33.97
     400.425       13930       34.98
     402.075       14019       37.94
     403.725       14100        9.91
     404.825       14157       36.43
     405.925       14219       12.89
     407.575       14308       38.34
     409.225       14396        27.5
     411.425       14516        27.2
     413.075       14597       19.67
     414.725       14682       27.67
     416.375       14765       20.09
     416.925       14791       18.88
     418.575       14870       23.54
     420.225       14947       13.38
     421.875       15031       68.23
     422.425       15061       13.04
     425.725       15239       22.19
     427.375       15332        22.8
     427.925       15364       48.26
     429.575       15454       17.62
     431.225       15540       32.66
     431.625       15561       35.56
     432.875       15626       41.03
     433.425       15655        30.6
     435.075       15747       33.66
     436.725       15839        58.8
     437.125       15861        31.1
      437.84       15902        46.3
     438.375       15933       54.43
     438.935       15966       87.96
     441.125       16097       64.79
     442.725       16189       80.09
     443.875       16258       76.22
     444.425       16290      147.97
     446.075       16389       50.04
     447.725       16488      189.06
     448.825       16555      148.17
     449.925       16625        76.7
     452.075       16763      134.05
     453.225       16841      205.71
     454.325       16914      173.59
     455.425       16988       319.8
     457.075       17100         199
     459.125       17236      162.46
     460.375       17323       135.8
     460.925       17362      319.39
     462.025       17439      449.72
     463.525       17547      235.08
     464.975       17659      216.92
      466.98       17813      359.72
     467.525       17853      441.16
     469.825       18032      278.89
     471.925       18197      314.33
     473.175       18305       640.5
     473.575       18339       529.5
     479.075       18803         933
     479.775       18861      427.99
     482.325       19075         847
     484.175       19239         887
     485.125       19323       559.5
     486.915       19477       504.5
     487.325       19512         572
      489.59       19705         941
     490.075       19748         539
     492.825       19987        1470
     495.625       20222      423.43
     496.125       20265        1279
     498.975       20522      148.93
     499.975       20610       688.5
     501.125       20708         736
     501.625       20752       762.5
     503.925       20954      442.03
     504.375       20991      480.55
     506.065       21131       590.5
     506.575       21174         689
     509.325       21409         829
     511.575       21595      453.83
     512.075       21637       831.5
     514.535       21849      384.15
     514.825       21874       674.5
     517.075       22068         816
     518.125       22159         803
     519.895       22309       745.5
     520.325       22345       702.5
     521.425       22439       972.5
     522.545       22538         678
     524.175       22678         827
     526.375       22854       778.5
     528.025       22998        1334
     528.575       23047         796
     531.325       23287       620.5
     532.975       23425       854.5
     537.375       23814       605.5
     539.075       23960      383.28
     539.575       24000       545.5
     543.825       24362       511.5
     545.075       24465       961.5
     547.825       24693        1322
     548.925       24791         601
     550.575       24941         564
     553.875       25230       640.5
     557.175       25517        1366
     558.825       25667       556.5
     561.575       25909       981.5
     564.325       26157         802
     567.075       26406      1297.5
     569.825       26647        1525
     573.125       26939      374.95
     574.775       27084      372.04
     577.525       27326      896.51
     580.825       27621         589
      585.23       28000      456.66
      586.33       28085      392.65
     587.435       28179      355.97
      588.53       28278         585
      589.63       28370      117.25
      591.22       28499      416.69
      591.83       28549      324.94
      592.96       28647      302.74
      594.03       28743       434.8
      595.13       28842      363.49
      596.72       28982      293.97
      597.82       29074       807.5
      598.42       29122         633
      599.53       29211      127.94
      601.12       29345      205.92
      601.73       29399      330.61
      602.83       29491       341.1
      603.92       29578       375.8
      605.03       29663      464.46
      606.13       29750      436.61
      607.23       29831      493.13
      608.33       29911         713
      609.43       29997         548
      610.58       30089       252.2
      612.73       30262      1126.5
      613.83       30354       592.5
      614.93       30451       881.5
      616.03       30544       844.5
      617.13       30639      1473.5
      618.23       30736       566.5
      619.33       30834         516
      620.43       30933      443.22
      624.83       31322      403.57
      626.42       31451         605
      627.03       31502         550
      628.13       31599      383.83
      629.23       31699         584
      630.33       31796      319.63
      631.43       31889      331.05
      632.53       31982       550.5
      633.63       32074      286.19
      634.73       32162      122.81
      635.89       32255      293.49
      636.93       32338      210.97
      638.03       32420      141.89
      640.23       32599      121.65
      641.33       32690      114.03
      642.46       32780      296.61
      643.53       32866      244.27
      644.63       32960      288.38
      645.73       33059      422.61
      646.83       33156      355.23
      647.93       33249      379.88
      649.26       33358      304.65
      650.13       33426      279.95
      651.23       33512      241.58
      652.86       33639      268.01
      653.42       33684      234.64
      654.53       33775      296.24
      655.63       33868      315.11
      660.03       34274      273.47
      661.13       34367      169.96
      662.23       34460       88.45
     663.335       34553      239.46
     664.923       34681      124.45
      665.53       34729       58.79
      668.21       34935      249.23
      668.83       34984      121.75
      669.93       35074      205.84
      671.03       35162      111.88
      672.13       35248      174.64
      674.33       35422      125.15
      675.43       35512      150.43
      676.53       35601       115.5
      677.63       35691      221.63
      678.73       35782      152.35
