EPICA Dome C Ice Core nss-Ca and Na Data
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core nss-Ca and Na Data
LAST UPDATE: 6/2005 (Original Receipt by WDC Paleo)

CONTRIBUTORS: Regine Röthlisberger et al., Climate and Environmental Physics, 
University of Bern, Bern, Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-046

SUGGESTED DATA CITATION: Röthlisberger, R. et al., 2005.
EPICA Dome C Ice Core nss-Ca and Na Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-046. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 

ORIGINAL REFERENCES:  
Röthlisberger, R., M. Bigler, E.W. Wolff, F. Joos, E. Monnin, 
and M.A. Hutterli. 2004. Ice core evidence for the extent of past 
atmospheric CO2 change due to iron fertilisation.
Geophys. Res. Lett., 31, L16207, doi: 10.1029/2004GL020338. 

Röthlisberger, R., R. Mulvaney, E.W. Wolff, M.A. Hutterli, M. Bigler, 
S. Sommer, and J. Jouzel. 2002. 
Dust and sea-salt variability in central East Antarctica (Dome C) over 
the last 45 kyrs and its implications for southern high-latitude climate. 
Geophys. Res. Lett., 29 (20), 1963, doi:10.1029/2002GL015186.

ADDITIONAL REFERENCES (for methods, isotopes, and dating):
Röthlisberger, R., M. Bigler, M. Hutterli, S. Sommer, B. Stauffer, 
H.G. Junghans, and D. Wagenbach  2000.  
Technique for continuous high-resolution analysis of trace substances 
in firn and ice cores.  Environ. Sci. Technol., 34 (2), 338-342. 

Jouzel, J., V. Masson, O. Cattani, S. Falourd, M. Stievenard, B. Stenni, 
A. Longinelli, S.J. Johnsen, J.P. Steffensen, J.R. Petit, J. Schwander, 
R. Souchez, and N.I. Barkov. 2001. 
A new 27 ky high resolution East Antarctic climate record. 
Geophys. Res. Lett., 28 (16), 3199-3202.
 
Stenni, B., J. Jouzel, V. Masson-Delmotte, R. Röthlisberger, E. Castellano, 
O. Cattani, S. Falourd, S.J. Johnsen, A. Longinelli, J.P. Sachs, E. Selmo, 
R. Souchez, J.P. Steffensen, and R. Udisti. 2003. 
A late-glacial high resolution site and source temperature record derived from 
the EPICA Dome C isotope records (East Antarctica). 
Earth Planet. Sci. Lett., 217 (1-2), 183-195, doi:10.1016/S0012-821X(03)00574-0.
 
Schwander, J., J. Jouzel, C.U. Hammer, J.R. Petit, R. Udisti, and E. Wolff. 2001. 
A tentative chronology for the EPICA Dome Concordia ice core.  
Geophys. Res. Lett., 28 (22), 4243-4246.  
 
EPICA community members. 2004. Eight glacial cycles from an Antarctic ice core. 
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004. doi:10.1038/nature02599. 


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  62KYrBP - present

DESCRIPTION: 
Chemical records of Calcium and Sodium obtained by continuous flow analysis. 
High-resoution data have been averaged to 50-yr. Non-Sea Salt Ca (nss-Ca) 
is calculated as total Ca minus 0.038*Na. 
 
Data from 0 to 44850 yr BP are from EDC96 ice core, those from 43350 to 62000 
yr BP from EDC99 ice core.
 
Dating according to EPICA Dome C ice core timescales EDC1 and EDC2: 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 

Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl


Data: 
1. Core EDC96

Column 1: Age (years before 1950, EDC1 timescale)
Column 2: nss-Ca flux (ng/cm2/yr)
Column 3: Na flux (ng/cm2/yr)
Column 4: delta deuterium (per mil)
 
  Age      nss-Ca         Na         deltaD
 4875         NaN       51.1892    -392.928406
 4925     2.669605      62.1074    -396.565796
 4975     2.010618      57.4294    -395.793518
 5025     2.479036      61.4637    -397.384186
 5075     2.339653      56.4769     -393.47464
 5125     2.011717       71.802     -392.86673
 5175     3.006774      47.4377    -398.564728
 5225     1.731795       54.975    -394.528046
 5275     2.449524      51.3015    -393.893677
 5325     2.047657      47.7224    -395.570892
 5375     2.492458      48.8645      -402.9422
 5425     2.845486      45.4676    -400.290771
 5475     1.718792       51.041    -400.330292
 5525     1.436456       61.224    -392.269135
 5575     2.314235      55.3259     -396.42041
 5625     2.843199      42.8986    -396.910828
 5675     2.746808      41.6731    -392.949524
 5725     2.643579      47.6253    -392.120789
 5775     3.064639      43.7107    -394.795685
 5825     2.991885      48.6304     -393.52005
 5875      1.73327      56.2698    -399.550446
 5925     1.225189      45.0049    -397.552673
 5975     1.356056       47.702    -395.637115
 6025     1.998479      43.8827    -394.869812
 6075     3.138553      45.7371    -396.350922
 6125     2.621853      50.8186    -398.324493
 6175     1.649012      56.5987    -397.139954
 6225     1.014281      43.8933    -396.187347
 6275     1.999198      53.4602    -401.345734
 6325         NaN        46.615    -399.683044
 6375         NaN       39.0515    -394.383911
 6425     6.749739       47.842    -400.237762
 6475     6.272536      44.5866     -395.03891
 6525     2.416582      44.9508    -400.823486
 6575     2.200281      44.1274    -401.199371
 6625     1.854187      47.4619    -398.788513
 6675     2.136696      41.0681    -395.884827
 6725     1.667872      47.3717    -401.820557
 6775     1.829152      47.0411    -397.631317
 6825      1.64309      38.1608    -391.583496
 6875     1.871162      45.8022    -397.814209
 6925     1.587786      42.0978    -397.858917
 6975     1.672615      41.4899    -400.078888
 7025     1.608598      43.4054    -399.506927
 7075     1.764893      35.5216    -400.019989
 7125     1.731314      54.9848     -406.65271
 7175     2.713553      46.4033    -402.145813
 7225     1.729888      52.2133    -400.308319
 7275     2.227463      46.7395    -395.956238
 7325      1.48249      56.3743    -403.144653
 7375      1.76292      60.0372    -400.233765
 7425     1.264048      53.7305    -400.750214
 7475     1.562872      52.3763    -394.360992
 7525      2.64696      53.9304    -394.676361
 7575     2.232248      53.1206    -400.062958
 7625     2.240268      50.8628    -397.449554
 7675     1.423868      39.4052    -393.151123
 7725     3.002384      56.1597    -401.448914
 7775     2.345556      53.2617    -398.630035
 7825     1.891014       56.814    -396.092865
 7875     2.838726      54.7439    -400.894928
 7925     2.104762      52.0719    -402.540802
 7975         1.91      56.6184    -403.366364
 8025     2.401035      62.8584    -402.124115
 8075     2.477197      54.0362    -406.003082
 8125     2.225495      51.8666    -400.632507
 8175     1.880482      61.1468    -400.888214
 8225     2.508425      54.8551    -402.948792
 8275     2.087111      49.5601    -403.211304
 8325     1.768064      54.6939    -397.769958
 8375     2.257273      52.8347    -401.891724
 8425     1.480079      54.1289    -395.695801
 8475     2.157207      59.5621    -397.411469
 8525     1.735322      56.1577    -399.151245
 8575     1.387327      56.5175    -399.951965
 8625     1.596466      48.1181    -399.743073
 8675      1.56422      52.2989    -398.376129
 8725     1.615348      54.6421    -397.020081
 8775     1.575646      43.7644    -395.838562
 8825     1.399073      42.5115    -396.758789
 8875     1.844093      44.9753    -396.909882
 8925     1.894232      45.3195     -396.57428
 8975     2.456843      47.8167    -401.152161
 9025     2.319372        42.18    -393.952606
 9075     2.099872       42.937     -395.46936
 9125       1.6962       51.519     -394.86441
 9175     1.427789      53.4671    -393.952667
 9225     2.493026      40.4244    -392.364227
 9275     1.523907      54.5556    -395.100067
 9325     1.148697      47.6991    -396.504089
 9375     1.356904      39.8196    -391.274414
 9425     1.231412      44.6803    -393.932129
 9475     1.235689      44.3146    -389.547394
 9525      1.59024       44.166     -390.00528
 9575     2.051673      42.6886    -390.840546
 9625      1.39657      48.7285    -394.992279
