EPICA Dome C Core EDC96 Dielectric Profiling Data 
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!

NAME OF DATA SET: EPICA Dome C Core EDC96 Dielectric Profiling Data 
LAST UPDATE: 3/2003 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Eric W. Wolff, British Antarctic Survey

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2003-011

SUGGESTED DATA CITATION: Wolff, E.W., et al., 2003,
EPICA Dome C Core EDC96 Dielectric Profiling Data, 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2003-011. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES: 
Wolff, E.W., Basile, I., Petit, J.-R. and Schwander, J., 1999, 
Comparison of Holocene electrical records from Dome C and Vostok, 
Antarctica. Ann. Glaciol., 29:89-93. 

Schwander, J., Jouzel, J., Hammer, C.U., Petit, J.-R., Udisti, R. 
and Wolff, E.W., 2001, A tentative chronology for the EPICA Dome 
Concordia ice core. Geophys. Res. Lett., 28:4243-4246.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  45 - 0 KYrBP 



DESCRIPTION: 
Dielectric profiling data from the EDC96 EPICA Dome C core. 
Data are presented in 1m. resolution.
Timescale information is included.
Please see file edc96_dep.txt for 2 cm. resolution data.


DATA:
1.
Dielectric profiling data from the EDC96 EPICA Dome C core. 
The data are at 1 m average. 
Depths are according to the core processing log (m), 
ages according to timescale EDC1 (0 BP= 1.1.1950)
and conductivity at 100 kHz, corrected to -15 deg C (S/m). 


Depth   Depth      Age    Age         DEP condy
Top(m.) Bottom     Top   Bottom(yrBP)   S/m

  526     527    22448   22538        1.52E-05
  527     528    22538   22629        1.64E-05
  528     529    22629   22720        1.74E-05
  529     530    22720   22811        1.71E-05
  530     531    22811   22901        1.59E-05
  531     532    22901   22991        1.62E-05
  532     533    22991   23081        1.69E-05
  533     534    23081   23171        1.54E-05
  534     535    23171   23261        1.52E-05
  535     536    23261   23350        1.69E-05
  536     537    23350   23438        1.71E-05
  537     538    23438   23526        1.69E-05
  538     539    23526   23613        1.64E-05
  539     540    23613   23699        1.80E-05
  540     541    23699   23785        1.71E-05
  541     542    23785   23871        1.88E-05
  542     543    23871   23957        1.70E-05
  543     544    23957   24044        1.47E-05
  544     545    24044   24131        1.52E-05
  545     546    24131   24219        1.58E-05
  546     547    24219   24308        1.76E-05
  547     548    24308   24398        1.77E-05
  548     549    24398   24489        1.63E-05
  549     550    24489   24580        1.72E-05
  550     551    24580   24671        1.57E-05
  551     552    24671   24762        1.49E-05
  552     553    24762   24852        1.56E-05
  553     554    24852   24943        1.68E-05
  554     555    24943   25033        1.65E-05
  555     556    25033   25124        1.65E-05
  556     557    25124   25216        1.55E-05
  557     558    25216   25308        1.63E-05
  558     559    25308   25400        1.61E-05
  559     560    25400   25492        1.70E-05
  560     561    25492   25584        1.83E-05
  561     562    25584   25676        1.57E-05
  562     563    25676   25768        1.70E-05
  563     564    25768   25859        1.52E-05
  564     565    25859   25950        1.81E-05
  565     566    25950   26040        1.74E-05
  566     567    26040   26130        1.53E-05
  567     568    26130   26220        1.66E-05
  568     569    26220   26311        1.79E-05
  569     570    26311   26401        1.49E-05
  570     571    26401   26492        1.56E-05
  571     572    26492   26582        1.50E-05
  572     573    26582   26672        1.64E-05
  573     574    26672   26762        1.74E-05
  574     575    26762   26852        1.60E-05
  575     576    26852   26942        1.58E-05
  576     577    26942   27032        1.44E-05
  577     578    27032   27122        1.50E-05
  578     579    27122   27211        1.62E-05
  579     580    27211   27299        1.86E-05
  580     581    27299   27388        1.53E-05
  581     582    27388   27475        1.54E-05
  582     583    27475   27561        1.66E-05
  583     584    27561   27646        1.51E-05
  584     585    27646   27730        1.64E-05
  585     586    27730   27815        1.39E-05
  586     587    27815   27899        1.52E-05
  587     588    27899   27983        1.87E-05
  588     589    27983   28067        1.64E-05
  589     590    28067   28152        1.55E-05
  590     591    28152   28237        1.47E-05
  591     592    28237   28322        1.55E-05
  592     593    28322   28407        1.55E-05
  593     594    28407   28493        1.80E-05
  594     595    28493   28579        1.59E-05
  595     596    28579   28665        1.64E-05
  596     597    28665   28751        1.62E-05
  597     598    28751   28836        1.69E-05
  598     599    28836   28920        1.55E-05
  599     600    28920   29004        1.80E-05
  600     601    29004   29087        1.57E-05
  601     602    29087   29169        1.42E-05
  602     603    29169   29251        1.53E-05
  603     604    29251   29332        1.38E-05
  604     605    29332   29414        1.61E-05
  605     606    29414   29495        1.68E-05
  606     607    29495   29577        1.59E-05
  607     608    29577   29659        1.61E-05
  608     609    29659   29741        1.59E-05
  609     610    29741   29823        1.61E-05
  610     611    29823   29906        1.68E-05
  611     612    29906   29990        1.48E-05
  612     613    29990   30074        1.68E-05
  613     614    30074   30160        1.64E-05
  614     615    30160   30246        1.63E-05
  615     616    30246   30333        1.60E-05
  616     617    30333   30421        1.65E-05
  617     618    30421   30509        1.50E-05
  618     619    30509   30598        1.57E-05
  619     620    30598   30687        1.58E-05
  620     621    30687   30776        1.30E-05
  621     622    30776   30864        1.43E-05
  624     625    31043   31133        1.30E-05
  625     626    31133   31224        1.54E-05
  626     627    31224   31315        1.89E-05
  627     628    31315   31406        1.85E-05
  628     629    31406   31497        1.72E-05
  629     630    31497   31587        1.54E-05
  630     631    31587   31678        1.56E-05
  631     632    31678   31767        1.54E-05
  632     633    31767   31855        2.17E-05
  633     634    31855   31942        1.43E-05
  634     635    31942   32029        1.30E-05
  635     636    32029   32114        1.35E-05
  636     637    32114   32198        1.51E-05
  637     638    32198   32283        1.45E-05
  638     639    32283   32368        1.42E-05
  639     640    32368   32454        1.48E-05
  640     641    32454   32539        1.37E-05
  641     642    32539   32625        1.43E-05
  642     643    32625   32712        1.57E-05
  643     644    32712   32798        1.67E-05
  644     645    32798   32885        1.51E-05
  645     646    32885   32972        1.95E-05
  646     647    32972   33059        1.70E-05
  647     648    33059   33145        1.51E-05
  648     649    33145   33230        1.33E-05
  649     650    33230   33314        1.35E-05
  650     651    33314   33397        1.40E-05
  651     652    33397   33481        1.48E-05
  652     653    33481   33564        1.50E-05
  653     654    33564   33647        1.73E-05
  654     655    33647   33732        1.62E-05
  655     656    33732   33817        1.42E-05
  656     657    33817   33903        1.38E-05
  659     660    34077   34165        1.60E-05
  660     661    34165   34252        1.57E-05
  661     662    34252   34340        1.74E-05
  662     663    34340   34428        1.89E-05
  663     664    34428   34515        1.57E-05
  664     665    34515   34602        1.40E-05
  665     666    34602   34687        1.60E-05
  666     667    34687   34772        1.44E-05
  667     668    34772   34855        1.49E-05
  668     669    34855   34938        1.33E-05
  669     670    34938   35019        1.43E-05
  670     671    35019   35100        1.34E-05
  671     672    35100   35181        1.39E-05
  672     673    35181   35261        1.45E-05
  673     674    35261   35342        1.41E-05
  674     675    35342   35423        1.45E-05
  675     676    35423   35505        1.62E-05
  676     677    35505   35588        1.37E-05
  677     678    35588   35672        1.68E-05
  678     679    35672   35755        1.58E-05
  679     680    35755   35840        1.86E-05
  680     681    35840   35924        1.89E-05
  681     682    35924   36009        1.52E-05
  682     683    36009   36095        1.21E-05
  683     684    36095   36180        1.46E-05
  684     685    36180   36266        1.32E-05
  685     686    36266   36352        1.48E-05
  686     687    36352   36438        1.41E-05
  687     688    36438   36524        1.30E-05
  688     689    36524   36610        1.30E-05
  689     690    36610   36695        1.55E-05
  690     691    36695   36779        1.18E-05
  691     692    36779   36863        1.44E-05
  692     693    36863   36946        1.21E-05
  693     694    36946   37029        1.35E-05
  694     695    37029   37110        1.30E-05
  695     696    37110   37190        1.23E-05
  696     697    37190   37268        1.28E-05
  697     698    37268   37346        1.42E-05
  698     699    37346   37423        1.19E-05
  699     700    37423   37498        1.59E-05
  700     701    37498   37573        1.28E-05
  701     702    37573   37648        1.71E-05
  702     703    37648   37722        1.23E-05
  703     704    37722   37796        1.37E-05
  704     705    37796   37871        1.24E-05
  705     706    37871   37945        1.12E-05
  706     707    37945   38020        1.18E-05
  707     708    38020   38094        1.12E-05
  708     709    38094   38169        1.09E-05
  709     710    38169   38244        1.21E-05
  710     711    38244   38319        1.15E-05
  711     712    38319   38395        1.31E-05
  712     713    38395   38471        1.49E-05
  713     714    38471   38546        1.52E-05
  714     715    38546   38622        1.10E-05
  715     716    38622   38698        1.20E-05
  716     717    38698   38774        1.11E-05
  717     718    38774   38850        1.33E-05
  718     719    38850   38928        1.66E-05
  719     720    38928   39007        1.88E-05
  720     721    39007   39088        1.73E-05
  721     722    39088   39171        1.85E-05
  722     723    39171   39256        1.48E-05
  723     724    39256   39342        1.84E-05
  724     725    39342   39430        1.94E-05
  725     726    39430   39519        1.49E-05
  726     727    39519   39609        1.55E-05
  727     728    39609   39698        1.60E-05
  728     729    39698   39787        9.90E-06
  729     730    39787   39875        8.49E-06
  730     731    39875   39963        7.43E-06
  731     732    39963   40050        7.86E-06
  732     733    40050   40137        9.74E-06
  733     734    40137   40224        1.50E-05
  734     735    40224   40310        1.59E-05
  735     736    40310   40397        1.73E-05
  736     737    40397   40483        1.31E-05
  737     738    40483   40569        1.47E-05
  738     739    40569   40654        1.75E-05
  739     740    40654   40740        1.57E-05
  740     741    40740   40825        1.15E-05
  741     742    40825   40910        1.32E-05
  742     743    40910   40995        1.74E-05
  743     744    40995   41079        1.31E-05
  744     745    41079   41164        1.17E-05
  745     746    41164   41248        1.31E-05
  746     747    41248   41333        1.59E-05
  747     748    41333   41418        2.00E-05
  748     749    41418   41504        2.34E-05
  749     750    41504   41590        1.84E-05
  750     751    41590   41678        1.56E-05
  751     752    41678   41766        1.68E-05
  752     753    41766   41855        1.75E-05
  753     754    41855   41944        1.47E-05
  754     755    41944   42033        1.59E-05
  755     756    42033   42122        1.75E-05
  756     757    42122   42211        1.44E-05
  757     758    42211   42299        1.33E-05
  758     759    42299   42386        1.28E-05
  759     760    42386   42472        1.21E-05
  760     761    42472   42557        1.76E-05
  761     762    42557   42641        1.46E-05
  762     763    42641   42724        1.82E-05
  763     764    42724   42806        1.69E-05
  764     765    42806   42887        1.65E-05
  765     766    42887   42968        1.76E-05
  766     767    42968   43050        1.69E-05
  767     768    43050   43132        1.53E-05
  768     769    43132   43216        1.88E-05
  769     770    43216   43300        1.95E-05
  770     771    43300   43386        1.68E-05
  771     772    43386   43472        1.80E-05
  772     773    43472   43560        1.66E-05
  773     774    43560   43648        1.50E-05
  774     775    43648   43737        1.40E-05
  775     776    43737   43825        1.52E-05
  776     777    43825   43914        1.22E-05
  777     778    43914   44002        1.18E-05
  778     779    44002   44090        1.85E-05
  779     780    44090   44177        1.17E-05
  780     781    44177   44264        1.31E-05
  781     782    44264   44350        1.69E-05
  782     783    44350   44436        1.63E-05
  783     784    44436   44521        1.60E-05
  784     785    44521   44605        1.26E-05
  785     786    44605   44689        1.31E-05
  786     787    44689   44772        1.17E-05
  787     788    44772   44855        1.36E-05
  788     789    44855   44936        2.07E-05
