EPICA Dome C Core EDC96 Dielectric Profiling Data 
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!

NAME OF DATA SET: EPICA Dome C Core EDC96 Dielectric Profiling Data 
LAST UPDATE: 3/2003 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Eric W. Wolff, British Antarctic Survey

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2003-011

SUGGESTED DATA CITATION: Wolff, E.W., et al., 2003,
EPICA Dome C Core EDC96 Dielectric Profiling Data, 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2003-011. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES: 
Wolff, E.W., Basile, I., Petit, J.-R. and Schwander, J., 1999, 
Comparison of Holocene electrical records from Dome C and Vostok, 
Antarctica. Ann. Glaciol., 29:89-93. 

Schwander, J., Jouzel, J., Hammer, C.U., Petit, J.-R., Udisti, R. 
and Wolff, E.W., 2001, A tentative chronology for the EPICA Dome 
Concordia ice core. Geophys. Res. Lett., 28:4243-4246.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  45 - 0 KYrBP 



DESCRIPTION: 
Dielectric profiling data from the EDC96 EPICA Dome C core. 
Data are presented in 1m. resolution.
Timescale information is included.
Please see file edc96_dep.txt for 2 cm. resolution data.


DATA:
1.
Dielectric profiling data from the EDC96 EPICA Dome C core. 
The data are at 1 m average. 
Depths are according to the core processing log (m), 
ages according to timescale EDC1 (0 BP= 1.1.1950)
and conductivity at 100 kHz, corrected to -15 deg C (S/m). 


Depth   Depth      Age    Age         DEP condy
Top(m.) Bottom     Top   Bottom(yrBP)   S/m

  137     138     3653    3686        1.32E-05
  138     139     3686    3720        1.08E-05
  139     140     3720    3754        1.23E-05
  140     141     3754    3788        1.32E-05
  141     142     3788    3823        1.43E-05
  142     143     3823    3858        1.65E-05
  143     144     3858    3893        1.42E-05
  144     145     3893    3928        1.33E-05
  145     146     3928    3963        1.04E-05
  146     147     3963    3998        1.17E-05
  147     148     3998    4032        1.01E-05
  148     149     4032    4067        1.21E-05
  149     150     4067    4102        1.14E-05
  150     151     4102    4137        1.14E-05
  151     152     4137    4171        1.24E-05
  152     153     4171    4206        1.07E-05
  153     154     4206    4241        1.28E-05
  154     155     4241    4276        1.08E-05
  155     156     4276    4311        1.35E-05
  156     157     4311    4347        1.24E-05
  157     158     4347    4382        1.33E-05
  158     159     4382    4417        1.10E-05
  159     160     4417    4452        1.22E-05
  160     161     4452    4488        1.18E-05
  161     162     4488    4524        1.06E-05
  162     163     4524    4559        1.19E-05
  163     164     4559    4595        1.40E-05
  164     165     4595    4631        1.16E-05
  165     166     4631    4667        1.12E-05
  166     167     4667    4704        1.14E-05
  167     168     4704    4740        1.24E-05
  168     169     4740    4776        1.12E-05
  169     170     4776    4812        1.41E-05
  170     171     4812    4848        1.17E-05
  171     172     4848    4883        1.19E-05
  172     173     4883    4919        1.26E-05
  173     174     4919    4954        1.23E-05
  174     175     4954    4990        1.15E-05
  175     176     4990    5026        1.21E-05
  176     177     5026    5061        1.24E-05
  177     178     5061    5097        1.20E-05
  178     179     5097    5132        1.11E-05
  179     180     5132    5168        1.19E-05
  180     181     5168    5203        1.12E-05
  181     182     5203    5239        1.20E-05
  182     183     5239    5275        1.12E-05
  183     184     5275    5311        1.12E-05
  184     185     5311    5348        1.10E-05
  185     186     5348    5385        1.21E-05
  186     187     5385    5423        1.46E-05
  187     188     5423    5460        1.14E-05
  188     189     5460    5497        1.24E-05
  189     190     5497    5533        1.17E-05
  190     191     5533    5569        1.23E-05
  191     192     5569    5605        1.15E-05
  192     193     5605    5640        1.22E-05
  193     194     5640    5675        1.13E-05
  194     195     5675    5710        1.15E-05
  195     196     5710    5745        1.18E-05
  196     197     5745    5780        1.17E-05
  197     198     5780    5815        1.21E-05
  198     199     5815    5851        1.30E-05
  199     200     5851    5887        1.13E-05
  200     201     5887    5923        1.19E-05
  201     202     5923    5959        1.19E-05
  202     203     5959    5995        1.20E-05
  203     204     5995    6032        1.15E-05
  204     205     6032    6068        1.32E-05
  205     206     6068    6104        1.16E-05
