EPICA Dome C Ice Core Cl, Na and NO3 Data
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core Cl, Na and NO3 Data
LAST UPDATE: 6/2005 (Original Receipt by WDC Paleo)

CONTRIBUTORS: Regine Röthlisberger et al., Climate and Environmental Physics, 
University of Bern, Bern, Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-048

SUGGESTED DATA CITATION: Röthlisberger, R. et al., 2005.
EPICA Dome C Ice Core Cl, Na and NO3 Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-048. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES:  
Röthlisberger, R., M.A. Hutterli, S. Sommer, E.W. Wolff, and R. Mulvaney. 2000. 
Factors controlling nitrate in ice cores: Evidence from the Dome C deep ice core.
J. Geophys. Res., 105 (D16), 20565-20572.

Röthlisberger, R., R. Mulvaney, E.W. Wolff, M.A. Hutterli, M. Bigler, M. De Angelis, 
M.E. Hansson, J.P. Steffensen, and R. Udisti.  2003.
Limited dechlorination of sea-salt aerosols during the last glacial period: 
Evidence from the European Project for Ice Coring in Antarctica (EPICA) Dome C ice core. 
J. Geophys. Res., 108 (D16), 4526, doi:10.1029/2003JD003604.

ADDITIONAL REFERENCES (for methods, isotopes, and dating):
Röthlisberger, R., M. Bigler, M. Hutterli, S. Sommer, B. Stauffer, 
H.G. Junghans, and D. Wagenbach  2000.  
Technique for continuous high-resolution analysis of trace substances 
in firn and ice cores.  Environ. Sci. Technol., 34 (2), 338-342. 

Littot, G.C., R. Mulvaney, R. Röthlisberger, R. Udisti, E.W. Wolff, 
E. Castellano, M. De Angelis, M. Hansson, S. Sommer, and J.P. Steffensen. 2002. 
Comparison of analytical methods used for measuring major ions in the 
EPICA Dome C (Antarctica) ice core.  Ann. Glaciol., 35, 299-305.

Jouzel, J., V. Masson, O. Cattani, S. Falourd, M. Stievenard, B. Stenni, 
A. Longinelli, S.J. Johnsen, J.P. Steffensen, J.R. Petit, J. Schwander, 
R. Souchez, and N.I. Barkov. 2001. 
A new 27 ky high resolution East Antarctic climate record. 
Geophys. Res. Lett., 28 (16), 3199-3202.
 
Stenni, B., J. Jouzel, V. Masson-Delmotte, R. Röthlisberger, E. Castellano, 
O. Cattani, S. Falourd, S.J. Johnsen, A. Longinelli, J.P. Sachs, E. Selmo, 
R. Souchez, J.P. Steffensen, and R. Udisti. 2003. 
A late-glacial high resolution site and source temperature record derived from 
the EPICA Dome C isotope records (East Antarctica). 
Earth Planet. Sci. Lett., 217 (1-2), 183-195, doi:10.1016/S0012-821X(03)00574-0.
 
Schwander, J., J. Jouzel, C.U. Hammer, J.R. Petit, R. Udisti, and E. Wolff. 2001. 
A tentative chronology for the EPICA Dome Concordia ice core.  
Geophys. Res. Lett., 28 (22), 4243-4246.  
 


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  44KYrBP - present

DESCRIPTION: 
Chemical records obtained by continuous flow analysis (CFA) and ion chromatography (IC).  
Data from 0 to 44850 yr BP are from EDC96 ice core 
 
Dating according to EPICA Dome C ice core timescale EDC1. 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 

Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl


Data: 

Column 1: Depth of the middle of the 55cm-interval (m)
Column 2: Age (years before 1950, EDC1 timescale)
Column 3: Na concentration, measured by CFA (ppb)
Column 4: Na concentration, measured by IC (ppb)
Column 5: Cl concentration, measured by IC  (ppb)
Column 6: NO3 concentration, measured by CFA (ppb)
Column 7: delta deuterium (per mil)
 
 
 Depth        Age      Na_CFA     Na_IC       Cl_IC    NO3_CFA    deuterium
155.375     4289.3     14.046    17.9973    14.4209       NaN      -401.4
155.925     4308.7      13.89       NaN        NaN        NaN      -395.2
156.475       4328     15.952       NaN        NaN        NaN      -393.4
157.025     4347.4     14.507    16.5036    20.0755       NaN      -394.9
157.575     4366.8     15.383      22.38    13.4191       NaN      -397.1
158.125     4386.2     15.584    24.1533    15.1192       NaN      -400.6
158.675     4405.6     17.984       NaN        NaN        NaN        -393
159.225     4425.1     17.632    20.1118    12.2073       NaN      -387.1
159.775     4444.5     14.079    17.0273    16.0091       NaN      -397.5
160.325       4464      15.76       NaN        NaN        NaN      -390.4
160.875     4483.6     24.933       NaN        NaN        NaN      -399.3
161.425     4503.2     21.401      21.89    10.8073       NaN      -397.5
161.975     4522.8     21.543    22.4982      11.05       NaN      -399.9
162.525     4542.5     15.974    17.4773    9.79273       NaN        -395
163.075     4562.2     10.393       NaN        NaN        NaN      -394.1
163.625     4581.9       NaN     20.6173    13.9491       NaN      -393.4
164.175     4601.6      23.19    21.6155    12.1818       NaN      -398.4
164.725     4621.4     24.439       NaN        NaN        NaN      -395.1
165.275     4641.3     20.398       NaN        NaN        NaN        -396
165.825     4661.2     19.397     17.977     12.111       NaN      -397.3
166.375     4681.1     21.553    21.8291    13.0182       NaN      -389.3
166.925       4701     19.245    24.4409    13.1609       NaN      -399.6
167.475     4720.9     18.751       NaN        NaN        NaN      -402.3
168.025     4740.9      18.08    19.3545    10.3318       NaN      -396.7
168.575     4760.8     21.592    22.7709    12.0545       NaN      -397.2
169.125     4780.6     24.104       NaN        NaN        NaN        -402
169.675     4800.3     18.869       NaN        NaN        NaN      -396.9
170.225       4820     21.907    20.8511    17.4622       NaN      -390.9
170.775     4839.7      18.86    21.4736    14.5945       NaN      -393.4
171.325     4859.2     19.461    20.6455    9.74818       NaN      -395.9
171.875     4878.8       NaN        NaN        NaN        NaN      -395.1
172.425     4898.3       NaN     16.4427       9.93       NaN      -392.7
172.975     4917.9     23.531      22.19    10.3773       NaN        -389
173.525     4937.5     22.169       NaN        NaN        NaN      -397.9
174.075     4957.1     23.193       NaN        NaN        NaN      -398.9
174.625     4976.7     19.434    15.8173    7.44455       NaN      -396.8
175.175     4996.3     22.152      17.97    7.86182       NaN      -396.6
175.725     5015.9     20.507    22.9491    10.1636       NaN      -392.7
176.275     5035.5     27.284       NaN        NaN        NaN      -400.6
176.825       5055     18.845    15.8645    8.17818       NaN      -396.3
177.375     5074.5     20.065    18.9809      10.53       NaN      -395.6
177.925       5094     24.078       NaN        NaN        NaN      -393.3
178.475     5113.5     27.333       NaN        NaN        NaN      -391.4
179.025       5133      25.84    18.0736    10.9027       NaN      -391.3
179.575     5152.5     14.211     20.737      9.798       NaN      -393.2
180.125     5172.1     16.864    20.8736    15.3745       NaN      -397.6
180.675     5191.6     21.451       NaN        NaN        NaN      -395.8
181.225     5211.2     23.997    16.1182    9.29909       NaN      -403.1
181.775     5230.9     16.954    18.7491    10.7782       NaN      -396.3
182.325     5250.6     21.517       NaN        NaN        NaN      -390.6
182.875     5270.4     17.812       NaN        NaN        NaN        -396
183.425     5290.3     19.489    19.6964    12.1255       NaN      -390.6
183.975     5310.3     23.498    23.6764    15.1473       NaN      -396.3
184.525     5330.5     13.348    16.5445    10.2882       NaN      -394.5
185.075     5350.8     19.781       NaN        NaN        NaN      -391.4
185.625     5371.2      20.51    20.3264    13.1373       NaN      -407.6
186.175     5391.7     16.065    22.4627    42.0509       NaN      -401.2
186.725     5412.3     16.546       NaN        NaN        NaN      -402.4
187.275     5432.8     18.642       NaN        NaN        NaN        -395
187.825     5453.3     20.498    20.0536    9.41636       NaN      -402.5
188.375     5473.6     18.697    18.9518    13.9264       NaN      -407.9
188.925     5493.9     16.905    24.5455      19.95       NaN      -399.6
189.475       5514      29.23       NaN        NaN        NaN      -394.6
190.025     5534.1     23.599    17.0045    12.4918       NaN      -387.2
190.575     5553.9     17.484    19.8645    12.0082       NaN      -396.2
191.125     5573.7     22.067       NaN        NaN        NaN        -394
191.675     5593.3     19.948       NaN        NaN        NaN      -399.1
192.225     5612.9     17.438     16.601      8.501       NaN      -395.2
192.775     5632.3      14.18    18.5073    13.0082       NaN        -396
193.325     5651.7      18.33    25.4791    14.6345       NaN      -400.4
193.875       5671     14.627       NaN        NaN        NaN      -391.1
194.425     5690.2     12.218    13.3491    9.95909       NaN      -399.2
194.975     5709.4     21.336    20.7675      12.35       NaN      -386.2
195.525     5728.6      15.68       NaN        NaN        NaN      -398.9
196.075     5747.8     13.836       NaN        NaN        NaN        -389
196.625     5767.1     19.795    18.4118    7.27545       NaN      -388.4
197.175     5786.4     12.916    18.2209      13.65       NaN      -400.4
197.725     5805.7     13.896       NaN        NaN        NaN      -392.7
198.275     5825.2     17.911       NaN        NaN        NaN        -391
198.825     5844.8     18.923    14.0536    11.3318       NaN      -392.5
199.375     5864.5     22.626    22.8073    12.2218       NaN      -397.7
199.925     5884.2     20.861         22    12.6667       NaN      -399.8
200.475     5904.1     19.015       NaN        NaN        NaN      -398.7
201.025       5924     14.656    17.0418    9.22455       NaN      -403.7
201.575     5943.9     16.999    17.3155    10.7818       NaN      -397.4
202.125     5963.8     14.885    22.1755    13.5609       NaN      -391.7
202.675     5983.7     19.773       NaN        NaN        NaN      -394.5
203.225     6003.5     19.714    19.5755    10.4891       NaN      -396.8
203.775     6023.5     15.514    18.4709    11.1409       NaN      -399.2
204.325     6043.3     15.631       NaN        NaN        NaN        -394
204.875     6063.2      16.32       NaN        NaN        NaN      -391.4
205.425     6083.1     17.836    20.1873    14.2218       NaN      -403.5
205.975     6103.1     18.293    21.7445    17.3545       NaN      -389.5
206.525     6123.2     17.924    33.4927    29.2309       NaN      -399.9
207.075     6143.2     19.184       NaN        NaN        NaN      -397.4
207.625     6163.4     17.884    16.9309    11.0127       NaN      -398.6
208.175     6183.6      22.74    20.2164    12.6809       NaN      -394.1
208.725     6203.9     20.866       NaN        NaN        NaN      -398.4
209.275     6224.2     15.996       NaN        NaN        NaN      -401.7
209.825     6244.5      16.62    17.3236    7.36182       NaN      -392.6
210.375       6265     20.177    21.3155    13.1791       NaN      -395.4
210.925     6285.5      21.24    27.8164    20.0891       NaN      -402.1
211.475       6306     21.752       NaN        NaN        NaN      -403.6
212.025     6326.4     21.019    19.3018      10.25       NaN      -396.5
212.575     6346.9     11.573    19.1925    11.7542       NaN      -402.5
213.125     6367.4     15.707       NaN        NaN        NaN      -398.8
213.675     6387.9     15.966       NaN        NaN        NaN        -397
214.225     6408.4     16.789    8.90833    10.9077       NaN      -389.4
214.775     6428.9     18.379      22.08    13.0464       NaN        -395
215.325     6449.5      17.33    22.3782    13.3318       NaN      -404.9
215.875     6470.1      17.87       NaN        NaN        NaN      -402.2
216.425     6490.9      18.21    18.7418      17.39       NaN      -389.2
216.975     6511.7      16.49    21.1391    16.1855       NaN        -397
217.525     6532.5     15.366       NaN        NaN        NaN      -401.8
218.075     6553.4     23.569       NaN        NaN        NaN      -398.4
218.625     6574.3     13.537    15.7536    11.2645       NaN      -407.8
219.175     6595.3     18.882    22.1944    16.1944       NaN      -395.4
219.725     6616.1     18.314    23.0182    21.4891       NaN      -403.1
220.275       6637     17.896       NaN        NaN        NaN      -406.1
220.825     6657.8     17.192     18.569     15.381       NaN      -390.4
221.375     6678.5     15.771    20.8736    16.2845       NaN      -392.6
221.925     6699.3      14.22       NaN        NaN        NaN      -395.7
222.475     6719.9     18.024       NaN        NaN        NaN      -402.9
223.025     6740.5     19.788    21.7191    15.8182       NaN      -401.9
223.575       6761     18.062    19.5173    10.0691       NaN      -401.2
224.125     6781.5     17.901      24.08    15.9525       NaN      -400.4
224.675     6801.9     14.144       NaN        NaN        NaN      -397.5
225.225     6822.2     15.611    20.9236    12.1918       NaN      -389.4
225.775     6842.6     15.241    17.1064    14.6691       NaN      -395.4
226.325       6863      17.92       NaN        NaN        NaN      -387.9
226.875     6883.4     17.126       NaN        NaN        NaN      -398.3
227.425       6904     18.162    15.3527    9.64909       NaN      -398.7
227.975     6924.7     17.541    18.7409      11.41       NaN      -401.3
228.525     6945.5     13.091    18.8845    15.3527       NaN      -396.8
229.075     6966.5     17.647       NaN        NaN        NaN      -395.6
229.625     6987.7     14.926    17.1218      10.73       NaN      -402.5
230.175       7009      18.52    21.4973    11.6736       NaN      -399.5
230.725     7030.5     15.695       NaN        NaN        NaN      -397.8
231.275     7052.2     16.804       NaN        NaN        NaN      -400.5
231.825     7074.1     12.567    11.8991    8.31182       NaN      -400.8
232.375       7096     17.528       21.6    13.3845       NaN      -396.1
232.925       7118      24.37     31.295      19.89       NaN      -405.3
233.475       7140     20.725       NaN        NaN        NaN      -411.9
234.025       7162     20.086    20.2591    12.9118       NaN      -401.7
234.575     7182.9     17.983    20.6718    57.2482       NaN      -399.3
235.125     7203.4     19.271       NaN        NaN        NaN      -404.7
235.675     7222.8     19.655       NaN        NaN        NaN      -403.1
236.225     7242.2     17.166    17.4909      12.95       NaN      -402.3
236.775     7261.5     12.717    17.1818    14.2882       NaN      -396.1
237.325     7280.8      16.43    21.8655    17.7527       NaN      -388.3
237.875       7300     21.928       NaN        NaN        NaN      -398.5
238.425     7319.3     16.947    16.0073    7.07818       NaN      -406.3
238.975     7338.5     24.433    22.6891      13.74       NaN      -399.9
239.525     7357.7     22.989      18.45      14.14       NaN      -404.7
240.075     7376.9     18.228       NaN        NaN        NaN      -403.8
240.625     7395.9     20.092    19.3027    14.1564       NaN        -395
241.175     7414.8     21.205      23.07      15.81       NaN      -402.8
241.725     7433.6     19.389    22.3155    15.8473       NaN      -404.2
242.275     7452.3     16.984       NaN        NaN        NaN      -399.1
242.825     7470.9     18.242    10.6945    19.5191       NaN      -393.3
243.375     7489.4     17.187       NaN        NaN        NaN      -399.1
243.925     7507.8     16.206       NaN        NaN        NaN      -389.2
244.475     7526.2     18.766       NaN        NaN        NaN      -397.7
245.025     7544.5     19.273      17.91    9.76091       NaN      -388.4
245.575     7562.9     17.192    17.5845    10.3527       NaN      -400.3
246.125     7581.3     18.491    33.5233    36.2867       NaN      -403.7
246.675     7599.7     17.214       NaN        NaN        NaN      -398.3
247.225     7618.1     15.668     15.571     12.205       NaN      -396.1
247.775     7636.6     19.687    21.6822    12.9422       NaN      -390.7
248.325       7655     16.907       NaN        NaN        NaN      -404.7
248.875     7673.5     12.756       NaN        NaN        NaN      -400.2
249.425     7692.1     11.742     11.005      7.275       NaN      -388.5
249.975     7710.7       16.4    23.6764    28.0136       NaN      -390.4
250.525     7729.3     19.276      24.51    20.0718       NaN      -405.5
251.075       7748     21.784       NaN        NaN        NaN      -399.5
251.625     7766.7     18.369      19.67    13.8373       NaN      -402.1
252.175     7785.5     18.377    19.5809    16.7555       NaN      -402.2
252.725     7804.4     16.707       NaN        NaN        NaN      -395.2
253.275     7823.3     18.394       NaN        NaN        NaN      -391.6
253.825     7842.4      22.25    17.2555    13.3027       NaN      -396.5
254.375     7861.7     20.257    22.5864    19.8236       NaN      -399.5
254.925       7881     19.639    27.8864     15.724       NaN      -400.6
255.475     7900.5     19.681       NaN        NaN        NaN      -401.6
256.025       7920     21.249    21.5873    13.8373       NaN      -400.6
256.575     7939.7     15.557    19.2545    13.4655       NaN      -406.3
257.125     7959.5     20.859    23.7273    18.5455       NaN      -398.3
257.675     7979.4     21.413       NaN        NaN        NaN      -411.7
258.225     7999.4     18.247    18.1855    9.27909       NaN      -399.8
258.775     8019.4     25.621    26.3473    14.9964       NaN      -396.9
259.325     8039.5     22.887    24.4764    18.1282       NaN      -401.4
259.875     8059.5     21.454       NaN        NaN        NaN      -405.3
260.425     8079.6     19.894      17.28    9.61273       NaN      -408.3
260.975     8099.6     16.205    20.6009    12.8282       NaN      -406.5
261.525     8119.6      20.07       NaN        NaN        NaN      -400.8
262.075     8139.5     18.601       NaN        NaN        NaN      -403.2
262.625     8159.4     20.013    17.9018      18.48       NaN      -397.5
263.175     8179.2     20.267    21.3809    14.2264       NaN        -401
263.725     8198.9      24.96    29.9155    19.9655       NaN      -401.5
264.275     8218.6     20.623       NaN        NaN        NaN      -400.4
264.825     8238.3     19.377    16.7327    5.36727       NaN      -400.3
265.375       8258       18.4    19.2591    10.4364       NaN      -407.3
265.925     8277.5     16.056       NaN        NaN        NaN        -403
266.475       8297     17.352       NaN        NaN      16.521     -404.2
267.025     8316.4     20.667    21.0445    12.8082     16.864     -401.2
267.575     8335.6     18.844    19.0209    21.8109     17.448     -397.2
268.125     8354.7     17.396    22.8936    16.1064     15.634     -396.9
268.675     8373.8      21.81       NaN        NaN      12.362     -397.8
269.225     8392.8     15.702    16.7482    18.8345       NaN      -409.5
269.775     8411.7     18.453       NaN        NaN      13.917     -397.1
270.325     8430.5     16.599       19.5         10     14.732     -390.3
270.875     8449.3     23.343         31          8       NaN      -397.5
271.425     8468.2     21.367    18.1591    24.2218       NaN      -401.9
271.975       8487     17.557    17.0591    14.8918       NaN      -392.4
272.525     8505.9     20.236    23.7473    14.9573       NaN      -399.9
273.075     8524.8       NaN        NaN        NaN        NaN      -399.3
273.625     8543.8       NaN     18.6627    10.1864       NaN      -396.7
274.175     8562.8     19.768    22.7445    20.0891       NaN      -402.1
274.725     8581.8     19.245       24.5    15.5714       NaN      -401.8
275.275     8600.8       NaN        NaN        NaN        NaN      -397.5
275.825     8619.8       NaN      18.688     18.352       NaN      -400.2
276.375     8638.8     16.795    19.7727    14.0355       NaN        -395
276.925     8657.7     16.108    22.0636    23.4173       NaN      -404.4
277.475     8676.6     19.147       NaN        NaN        NaN      -402.1
278.025     8695.4     17.596      15.54    9.24636       NaN      -397.9
278.575     8714.2     18.139    24.2073    31.3682       NaN      -393.4
279.125     8732.8     18.967    22.4286    21.5714       NaN      -397.7
279.675     8751.4     15.804       NaN        NaN        NaN      -397.4
280.225       8770     15.402    14.4564    10.0818       NaN      -397.4
280.775     8788.5     14.146    18.0145    16.2418       NaN        -399
281.325     8807.1     12.578     24.143     23.762       NaN      -391.8
281.875     8825.6     16.303       NaN        NaN        NaN      -392.7
282.425     8844.1     13.788    13.7673    28.0873       NaN      -401.1
282.975     8862.7     16.651       18.5    14.2382       NaN      -396.1
283.525     8881.3      14.36       19.2    38.2667       NaN      -397.7
284.075     8899.9     17.841       NaN        NaN        NaN      -395.6
284.625     8918.6     14.799    14.2818    27.8336       NaN      -398.6
285.175     8937.3     12.605      15.15    17.9027       NaN      -394.9
285.725       8956     18.691    24.6956    29.1856       NaN      -394.9
286.275     8974.6     15.858       NaN        NaN        NaN      -407.4
286.825     8993.2     13.165      14.43    12.7245       NaN      -403.4
287.375     9011.7     15.908    20.3727    23.9545       NaN      -392.2
287.925     9030.1     12.913    16.5833    18.5833       NaN      -400.4
288.475     9048.4     13.398       NaN        NaN        NaN      -391.1
289.025     9066.6     13.967      13.22    12.6536       NaN      -388.5
289.575     9084.8      15.46    17.8082    35.7418       NaN      -394.8
290.125     9102.9     10.817       NaN       47.45       NaN      -397.7
290.675     9120.9     19.279       NaN        NaN        NaN      -401.2
291.225     9138.8     17.885    12.5018    23.1191       NaN      -391.9
291.775     9156.7     17.339    15.2518    21.4491       NaN      -393.3
292.325     9174.5     21.253    16.1667    34.8333       NaN      -394.3
292.875     9192.4     12.827       NaN        NaN        NaN        -395
293.425     9210.1      9.539    13.8555    40.6018       NaN      -392.4
293.975     9227.9     11.785    16.9427    44.2518       NaN      -393.5
294.525     9245.7     16.381       NaN        53.7       NaN        -390
295.075     9263.4      18.43       NaN        NaN        NaN        nan
295.625     9281.2     16.613    16.8945    18.7182       NaN      -388.5
296.175       9299      18.59    18.5118    25.5345       NaN      -394.3
296.725     9316.8     14.425    21.1429    43.8571       NaN      -403.6
297.275     9334.6     14.565       NaN        NaN        NaN      -393.3
297.825     9352.3     15.735      11.72    9.56182       NaN        -398
298.375     9369.9     13.545    15.4764    13.6509       NaN        -391
298.925     9387.5      9.916       NaN      23.599       NaN      -395.8
299.475       9405     15.356       NaN        NaN        NaN      -386.4
300.025     9422.5     14.186    13.1273    14.0064       NaN      -391.8
300.575     9439.8     12.347      16.57    16.5955       NaN      -398.2
301.125       9457     11.476         18      14.75       NaN      -391.6
301.675     9474.2     13.055       NaN        NaN        NaN      -393.4
302.225     9491.3     15.862    13.9118    27.4655       NaN      -384.4
302.775     9508.3     13.945      15.91    45.2255       NaN      -391.3
303.325     9525.4     10.757    14.3636    39.7518       NaN        -391
303.875     9542.5     16.155       NaN        NaN        NaN      -388.3
304.425     9559.7      8.503    12.7309    30.7936       NaN      -391.4
304.975     9576.9     16.324    24.5218    50.5327       NaN      -382.9
305.525     9594.3     15.931    20.2727    47.1818       NaN      -387.2
306.075     9611.7     15.069       NaN        NaN        NaN      -405.5
306.625     9629.2     13.545    13.3773    39.5864       NaN      -391.7
307.175     9646.8     16.621     16.084      51.45       NaN      -392.1
307.725     9664.4     14.117    18.3636    19.6364       NaN      -400.4
308.275       9682     15.107       NaN        NaN        NaN      -386.7
308.825     9699.7     12.292    10.2673    44.5664       NaN      -394.5
309.375     9717.3     17.238    18.4236    19.8727       NaN      -389.9
309.925     9734.9     15.369    19.7273    16.5455       NaN      -394.7
310.475     9752.5     13.582       NaN        NaN        NaN      -396.6
311.025       9770     17.749     14.047     26.242       NaN      -388.6
311.575     9787.4     15.282    19.3891    20.4464       NaN      -392.9
312.125     9804.8     15.405    18.5027      22.24       NaN      -395.2
312.675     9822.2     13.114       NaN        NaN        NaN      -389.1
313.225     9839.5     15.251    15.0718    12.1627       NaN      -388.7
313.775     9856.7     15.884    19.5855    20.8009       NaN      -391.8
314.325     9873.9     19.774    17.3636    27.0909       NaN      -388.8
314.875     9891.1     16.619       NaN        NaN        NaN      -397.7
315.425     9908.3     14.096    9.69636    30.1073       NaN      -390.4
315.975     9925.5     14.893    12.5656    46.3756       NaN      -382.1
316.525     9942.8     17.672    13.7527    20.9664       NaN      -387.9
317.075     9960.1     19.139       NaN        NaN        NaN      -390.6
317.625     9977.5     13.682    11.2591    12.2773       NaN      -393.3
318.175       9995     14.996    15.1464    19.0527       NaN      -388.1
318.725    10012.6     13.142    14.6429    22.4286       NaN      -391.6
319.275    10030.3     15.341       NaN        NaN        NaN      -396.9
319.825    10048.1     13.422          9    9.53818       NaN      -398.7
320.375      10066     14.367    14.9027    15.5509     13.303     -386.6
320.925    10083.9     12.917    15.4764    18.3591     15.261     -390.7
321.475    10101.8     12.208       NaN        NaN       16.21     -391.2
322.025    10119.8      18.21    17.3227    21.5336      14.82     -389.5
322.575    10137.9     11.827    15.2518    19.5636     15.564     -400.9
323.125    10155.9     14.729       NaN        NaN      15.648     -388.6
323.675    10173.8     13.026       NaN        NaN      13.509     -397.9
324.225    10191.7     16.053    14.2627    12.2955     15.377       -393
324.775    10209.5     13.226    17.0218    34.5082     17.469     -394.4
325.325    10227.2       9.37    16.4818    50.6118     27.425     -399.4
325.875    10244.8     13.494       NaN        NaN      18.349     -388.2
326.425    10262.3     12.168    9.46818    19.3382     16.225     -386.8
326.975    10279.7     14.043    14.8118    22.0809     15.382       -383
327.525    10297.1     11.323    11.5833    16.1667     18.115     -387.5
328.075    10314.6     10.837       NaN        NaN      14.745     -390.1
328.625    10332.2     14.141    11.5518      17.05     15.267     -377.1
329.175    10349.9      15.49    15.4045    25.1945     17.572     -397.4
329.725    10367.6     13.999    14.6709    51.4291     17.287     -390.6
330.275    10385.5     15.073       NaN        NaN      15.592     -393.2
330.825    10403.6     14.659    14.3682    22.5918     13.667     -395.2
331.375    10421.7     15.679    17.8455    38.8036     19.461     -393.7
331.925    10439.9     13.876      14.25    36.5833      16.74     -392.9
332.475    10458.3     10.327       NaN        NaN       16.67     -391.4
333.025    10476.7     13.028      12.53    14.8773     14.832     -384.5
333.575    10495.3     13.472    15.9473    20.7809     15.775     -394.4
334.125    10513.8     13.692    15.2827    17.2073     16.426     -394.8
334.675    10532.5     12.439       NaN        NaN      15.963     -395.8
335.225    10551.2     15.702    13.2191    19.5882     15.298     -396.2
335.775    10569.8     13.849    10.7736    31.9409     15.702     -395.4
336.325    10588.5     11.638      14.75      40.75     28.272     -391.7
336.875    10607.3      12.91       NaN        NaN      17.951     -390.9
337.425      10626     16.812      14.57    35.6973     16.843       -388
337.975    10644.7     14.809    15.8282    38.1291       17.7     -392.6
338.525    10663.6     20.968     24.023    47.7273     19.842     -397.7
339.075    10682.4     13.942       NaN        NaN      27.371     -394.3
339.625    10701.2     17.146    14.8336    36.4164     65.768     -391.4
340.175      10720      13.43    14.8482    42.6555     19.869     -387.7
340.725    10738.9     15.092    16.9091    37.2727     15.248     -395.2
341.275    10757.7     15.876       NaN        NaN       16.63     -400.3
341.825    10776.6     13.345    12.7818    32.5336     18.144     -393.3
342.375    10795.5      14.95    16.5173    38.4382     18.805       -390
342.925    10814.4     15.126    20.2491    39.4673     17.134     -390.9
343.475    10833.4     15.213       NaN        NaN      22.039     -387.4
344.025    10852.5     13.645    11.6173    30.5782     21.315     -389.7
344.575    10871.6     12.896      14.35      35.78     19.914       -398
345.125    10890.7     11.712    15.5556    34.1818     20.314     -396.1
345.675    10909.8     15.591       NaN        NaN      19.744       -392
346.225    10928.9     18.558    13.7891    33.3045     17.599     -397.7
346.775    10947.9     14.774    17.2064    37.1973     18.143     -398.9
347.325    10966.9     11.152       NaN     48.8318     19.471     -394.7
347.875    10985.9     14.572       NaN        NaN      16.059     -386.8
348.425    11004.8     14.921    11.7309    27.5264     15.369     -385.8
348.975    11023.7     14.503    16.5182    35.1036     15.475     -387.9
349.525    11042.6     16.272    15.7692    32.3077     17.812     -390.7
350.075    11061.5     13.481       NaN        NaN      23.682       -402
350.625    11080.3     10.767    13.656527.30380952     15.787     -392.6
351.175    11099.2     16.325    17.3695    39.4157      15.53     -390.8
351.725      11118     13.973    15.1264    33.1136     20.503     -394.6
352.275    11136.8     11.065       NaN        NaN      19.379       -381
352.825    11155.7     16.076    16.8748    37.0619     12.561     -382.1
353.375    11174.6     15.219     17.651     22.226     14.666     -399.5
353.925    11193.4     15.535    19.9231    22.7692     15.521     -393.5
354.475    11212.3     17.087       NaN        NaN      16.141     -398.4
355.025    11231.2     12.671    12.9236    25.4971     18.401     -393.4
355.575      11250     11.462     13.019     39.761     18.976     -390.9
356.125    11268.9       9.79       NaN     51.0791     18.461     -386.1
356.675    11287.8     12.832       NaN        NaN       9.775     -387.8
357.225    11306.8     14.476    13.3364    9.63364     12.189     -383.8
357.775    11325.8     12.313    14.7155    13.2418      9.206     -386.9
358.325      11345     17.534       18.2    13.3333     11.885       -393
358.875    11364.2     17.151       NaN        NaN      10.953     -396.6
359.425    11383.6     16.313       NaN        NaN      10.129     -394.1
359.975    11402.9     16.789       NaN        NaN      12.853     -395.5
360.525    11422.4     13.751       NaN        NaN      12.303     -395.4
361.075      11442     16.366       NaN        NaN       9.145     -389.6
361.625    11461.5     15.366       NaN        NaN       7.765     -394.8
362.175    11481.2      18.22       NaN        NaN        NaN      -388.3
362.725    11500.9     12.966    14.1538    7.38462       NaN      -394.8
363.275    11520.8     19.129       NaN        NaN      11.559     -387.9
363.825    11540.8     14.801    11.4043     6.3881     10.448     -396.1
364.375    11561.1     12.741    12.8855    8.99273      8.643     -391.3
364.925    11581.4     13.004     19.247     11.842     10.498     -393.6
365.475    11602.2     19.137       NaN        NaN      13.494     -387.8
366.025    11623.1     28.241    22.7267    21.3117       15.4     -396.1
366.575    11644.4     23.203    20.2873    9.70909     10.313     -403.2
367.125    11665.9     19.411    23.9308    8.98462      9.072     -399.4
367.675    11687.7     14.881       NaN        NaN       9.905     -400.8
368.225    11709.7     22.465     17.749      9.618     10.286     -399.4
368.775      11732     28.057    24.0873    13.2573     10.319     -400.9
369.325    11754.5     29.635    28.1155    10.4509     11.037     -399.2
369.875    11777.1     22.073       NaN        NaN       9.343     -404.9
