EPICA Dome C Ice Core Cl, Na and NO3 Data
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core Cl, Na and NO3 Data
LAST UPDATE: 6/2005 (Original Receipt by WDC Paleo)

CONTRIBUTORS: Regine Röthlisberger et al., Climate and Environmental Physics, 
University of Bern, Bern, Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-048

SUGGESTED DATA CITATION: Röthlisberger, R. et al., 2005.
EPICA Dome C Ice Core Cl, Na and NO3 Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-048. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES:  
Röthlisberger, R., M.A. Hutterli, S. Sommer, E.W. Wolff, and R. Mulvaney. 2000. 
Factors controlling nitrate in ice cores: Evidence from the Dome C deep ice core.
J. Geophys. Res., 105 (D16), 20565-20572.

Röthlisberger, R., R. Mulvaney, E.W. Wolff, M.A. Hutterli, M. Bigler, M. De Angelis, 
M.E. Hansson, J.P. Steffensen, and R. Udisti.  2003.
Limited dechlorination of sea-salt aerosols during the last glacial period: 
Evidence from the European Project for Ice Coring in Antarctica (EPICA) Dome C ice core. 
J. Geophys. Res., 108 (D16), 4526, doi:10.1029/2003JD003604.

ADDITIONAL REFERENCES (for methods, isotopes, and dating):
Röthlisberger, R., M. Bigler, M. Hutterli, S. Sommer, B. Stauffer, 
H.G. Junghans, and D. Wagenbach  2000.  
Technique for continuous high-resolution analysis of trace substances 
in firn and ice cores.  Environ. Sci. Technol., 34 (2), 338-342. 

Littot, G.C., R. Mulvaney, R. Röthlisberger, R. Udisti, E.W. Wolff, 
E. Castellano, M. De Angelis, M. Hansson, S. Sommer, and J.P. Steffensen. 2002. 
Comparison of analytical methods used for measuring major ions in the 
EPICA Dome C (Antarctica) ice core.  Ann. Glaciol., 35, 299-305.

Jouzel, J., V. Masson, O. Cattani, S. Falourd, M. Stievenard, B. Stenni, 
A. Longinelli, S.J. Johnsen, J.P. Steffensen, J.R. Petit, J. Schwander, 
R. Souchez, and N.I. Barkov. 2001. 
A new 27 ky high resolution East Antarctic climate record. 
Geophys. Res. Lett., 28 (16), 3199-3202.
 
Stenni, B., J. Jouzel, V. Masson-Delmotte, R. Röthlisberger, E. Castellano, 
O. Cattani, S. Falourd, S.J. Johnsen, A. Longinelli, J.P. Sachs, E. Selmo, 
R. Souchez, J.P. Steffensen, and R. Udisti. 2003. 
A late-glacial high resolution site and source temperature record derived from 
the EPICA Dome C isotope records (East Antarctica). 
Earth Planet. Sci. Lett., 217 (1-2), 183-195, doi:10.1016/S0012-821X(03)00574-0.
 
Schwander, J., J. Jouzel, C.U. Hammer, J.R. Petit, R. Udisti, and E. Wolff. 2001. 
A tentative chronology for the EPICA Dome Concordia ice core.  
Geophys. Res. Lett., 28 (22), 4243-4246.  
 


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  44KYrBP - present

DESCRIPTION: 
Chemical records obtained by continuous flow analysis (CFA) and ion chromatography (IC).  
Data from 0 to 44850 yr BP are from EDC96 ice core 
 
Dating according to EPICA Dome C ice core timescale EDC1. 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 

Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl


Data: 

Column 1: Depth of the middle of the 55cm-interval (m)
Column 2: Age (years before 1950, EDC1 timescale)
Column 3: Na concentration, measured by CFA (ppb)
Column 4: Na concentration, measured by IC (ppb)
Column 5: Cl concentration, measured by IC  (ppb)
Column 6: NO3 concentration, measured by CFA (ppb)
Column 7: delta deuterium (per mil)
 
 
 Depth        Age      Na_CFA     Na_IC       Cl_IC    NO3_CFA    deuterium
 42.625      804.9     22.503    16.3036      13.92     13.301     -394.2
 43.175        818     35.412    24.7882    10.6236     15.761     -395.9
 43.725      831.2     21.832    23.5745    18.9755     12.309     -392.7
 44.275      844.4     20.805       NaN        NaN       14.43     -390.4
 44.825      857.5     22.229    24.7827    9.53909      12.37       -389
 45.375      870.8     28.948    28.6809    15.3591     11.542       -387
 45.925      884.1     27.105       NaN        NaN      13.041     -402.3
 46.475      897.5     31.187       NaN        NaN      17.803     -392.5
 47.025      910.9     22.639    21.0464      10.04     16.193     -404.6
 47.575      924.5      28.23    25.8945      11.16      13.64     -390.5
 48.125      938.2     26.734    24.2773      16.36     10.844     -402.3
 48.675        952     32.019       NaN        NaN       16.78     -400.1
 49.225      965.8     26.124    25.7136    12.4545     13.967     -399.4
 49.775      979.6     20.986    22.2318    12.0091     11.834     -400.6
 50.325      993.5     28.037       NaN        NaN      13.544     -393.8
 50.875     1007.5     26.352       NaN        NaN      12.452     -398.5
 51.425     1021.5     24.257    17.8082    5.46727     13.333     -398.7
 51.975     1035.6     18.952    23.6767    13.7889     11.448     -401.8
 52.525     1049.5     20.363    25.3136    16.7882      9.948     -395.2
 53.075     1063.5     21.906       NaN        NaN       14.26     -390.1
 53.625     1077.6     23.798    21.9382      12.29       14.9     -393.9
 54.175     1091.6     29.518    27.0245    10.8518     16.034     -400.6
 54.725     1105.5     22.866       NaN        NaN      12.744     -400.9
 55.275     1119.5     24.854       NaN        NaN      12.317     -391.7
 55.825     1133.5     22.273    31.7318    17.5109     15.222     -399.3
 56.375     1147.6     28.061    29.8364    13.3236     12.032     -386.7
 56.925     1161.8     22.988    25.2391    11.1645     12.716     -401.5
 57.475     1175.8     20.367       NaN        NaN      13.066     -398.1
 58.025     1189.7     20.652         22    8.72727     13.893     -390.4
 58.575     1203.7     19.872    21.6936    12.3691     11.719     -389.8
 59.125     1217.7     28.551       NaN        NaN      12.229     -390.7
 59.675     1231.6     30.738       NaN        NaN      14.139     -399.3
 60.225     1245.6      25.64    23.1564    13.7136     12.175     -392.5
 60.775     1259.7      24.36    25.3818      14.48     15.846     -393.8
 61.325     1273.9     23.966    34.4664    19.4245     13.508     -394.4
 61.875     1288.2     26.652       NaN        NaN      16.098       -397
 62.425     1302.4      22.29    16.2809    8.59455     12.849     -397.8
 62.975     1316.6     24.116      23.82    12.7155     13.209     -388.6
 63.525       1331     22.671       NaN        NaN      13.623     -394.7
 64.075     1345.5     26.008       NaN        NaN      14.998     -390.6
 64.625     1360.1     18.226      18.16     10.649     13.686       -397
 65.175     1374.6     18.797    18.6464    8.22818     12.437     -386.6
 65.725     1389.2     26.928    37.9536    19.7627     11.603     -390.6
 66.275     1403.9     22.174       NaN        NaN      14.564       -397
 66.825     1418.8     23.889    21.4009    20.5327     16.086     -396.1
 67.375     1433.9     27.625    26.5164    16.0891     16.284     -398.9
 67.925     1449.2     22.639       NaN        NaN      15.305     -400.2
 68.475     1464.5     13.383       NaN        NaN      15.773     -398.7
 69.025     1479.8     21.804    23.7455    14.4455     15.616     -389.7
 69.575     1495.1     21.186    21.5736    11.7382     13.807     -401.6
 70.125     1510.6     20.603      35.28    23.7018     13.645     -397.9
 70.675     1526.2     20.917       NaN        NaN      11.043     -399.2
 71.225     1541.9     17.925    13.0411    12.1044     12.256     -397.6
 71.775     1557.7       NaN     22.0358    13.4167     12.201     -390.5
 72.325     1573.4       NaN        NaN        NaN      13.158     -401.5
 72.875     1589.1       NaN        NaN        NaN      12.183     -395.7
 73.425       1605       NaN       17.59      6.092      8.646     -394.5
 73.975       1621       NaN     20.6291    9.44455     12.354     -402.9
 74.525     1637.1       NaN     22.3555    13.0427     11.875       -401
 75.075     1653.3       NaN        NaN        NaN      12.779     -391.5
 75.625     1669.3       NaN      19.111     11.395     11.455     -403.4
 76.175     1685.4       NaN     22.0027    13.3355     14.531     -393.4
 76.725     1701.3       NaN        NaN        NaN      14.558     -393.8
 77.275     1717.5     23.955       NaN        NaN      17.221     -400.8
 77.825       1734      23.83     22.735     13.408     15.172     -399.3
 78.375     1750.5     21.242    21.5289    19.9622      20.33     -396.6
 78.925     1766.9     18.754    19.3182    12.7736     14.386     -395.3
 79.475     1783.2     19.762       NaN        NaN      13.596     -392.6
 80.025     1799.5     20.889    17.1944    11.9556     20.285     -404.4
 80.575       1816       NaN     25.4191    23.8209     18.255     -394.4
 81.125     1832.5       NaN        NaN        NaN      18.975     -402.2
 81.675       1849       NaN        NaN        NaN      17.702     -401.9
 82.225     1865.4       NaN        22.9     11.566     18.964     -393.8
 82.775     1881.9     27.172    26.3036    41.8673     30.275     -402.3
 83.325     1898.4     21.235    28.9145    24.0409     22.572     -385.1
 83.875       1915     20.029       NaN        NaN      12.234     -395.9
 84.425     1931.4     25.006    19.8791    11.3491     15.634     -395.8
 84.975     1947.8     20.605       NaN        NaN       12.18     -398.2
 85.525     1964.6       24.4    44.6364    46.2727     15.321     -394.8
 86.075     1981.5     24.617       NaN        NaN      12.478     -397.7
 86.625     1998.4     22.404    21.1409    10.2964     14.314     -400.3
 87.175     2015.3      22.87    23.9945    10.6245     15.254     -402.4
 87.725     2032.3     19.628    33.0736    18.6345     10.914       -396
 88.275     2049.4     19.567       NaN        NaN      13.227     -401.4
 88.825     2066.5     22.815    19.5964    6.78182      12.32     -386.1
 89.375     2083.7      22.54    24.9845    10.9591     13.271     -400.1
 89.925     2100.9     23.101       NaN        NaN      16.906     -400.3
 90.475     2118.2     23.288       NaN        NaN      13.423     -393.2
 91.025     2135.5     21.267    21.9464    10.0445     13.315     -399.7
 91.575     2152.9     26.946    25.5709    16.1682     14.979     -397.9
 92.125     2170.4     21.608    22.5527    12.0082     15.037       -402
 92.675     2188.1     24.816       NaN        NaN      12.486     -398.7
 93.225     2205.8     20.911     22.077       8.47     15.463     -398.6
 93.775     2223.5     23.726    22.0718    10.1718     16.196       NaN
 94.325     2241.3     19.089       NaN        NaN      13.654     -390.6
 94.875     2259.2     22.981       NaN        NaN      15.731       -394
 95.425     2277.5     26.886    20.8873    10.3964     14.648     -397.9
 95.975       2296     29.314    30.7622    14.6422     13.566     -394.8
 96.525     2314.4     26.683    36.9764    23.4882     15.368     -408.2
 97.075     2332.9     24.027       NaN        NaN      13.933     -404.3
 97.625     2351.4     22.703      19.48    6.54455     15.843     -399.6
 98.175     2369.9     26.938    27.7445    16.1245     10.328     -400.8
 98.725     2388.4     25.111       NaN        NaN      13.151     -401.5
 99.275     2406.8     23.473       NaN        NaN      12.922     -407.7
 99.825     2425.1     21.815     24.662     18.444     13.564     -400.5
100.375     2443.3     29.083    23.3764    13.5164     13.224     -395.8
100.925     2461.5     28.177    27.9909    15.6909     11.917     -399.7
101.475     2479.6     23.374       NaN        NaN      14.873     -399.6
102.025     2497.7     24.328      22.84    14.3082     13.657     -394.8
102.575     2515.6     20.398    20.3936    15.3473     13.968     -398.5
103.125     2533.4     24.759       NaN        NaN      14.542     -390.2
103.675     2551.1     23.472       NaN        NaN      13.592     -396.4
104.225     2568.8     33.771    23.8827    27.3364     18.698     -392.7
104.775     2586.5     24.772    18.5382    27.2727     21.853     -400.4
105.325       2604      26.89    29.3436    27.9982     15.292     -393.5
105.875     2621.5     37.584       NaN        NaN       12.94     -390.6
106.425     2639.1     27.046     19.721     15.856      13.01     -395.2
106.975     2656.7       NaN     31.3073      27.55     19.681     -396.9
107.525     2674.1       NaN        NaN        NaN      18.207     -399.1
108.075     2691.4     21.416       NaN        NaN       14.61     -396.9
108.625     2708.7     16.684    13.6917    7.67833     11.254       -401
109.175     2725.8     23.589    23.6336    14.1509     12.392     -387.9
109.725     2742.9     21.275    26.1382    17.8273     12.105     -390.3
110.275       2760       18.8       NaN        NaN       9.937     -390.8
110.825     2777.1     17.903      20.72     10.665      7.576     -390.2
111.375     2794.2     16.041    17.2845    9.29182       8.64     -395.6
111.925     2811.5     18.431       NaN        NaN       7.927     -387.7
112.475       2829     16.548       NaN        NaN       7.242     -388.9
113.025     2846.5     20.608    16.3082    9.30909      6.811     -388.9
113.575     2864.1     21.158    23.0027    11.2527      5.902     -395.4
114.125     2881.7       25.3    30.6064    18.7636       8.02     -399.5
114.675     2899.3     18.201       NaN        NaN      12.567     -401.7
115.225       2917     20.372    19.8755    13.5645     12.472     -392.2
115.775       2935     23.667    24.8527    14.2291     13.232     -393.9
116.325       2953     20.631       NaN        NaN      11.882     -397.7
116.875     2971.1     20.501       NaN        NaN       12.63     -401.1
117.425     2989.1     22.846    23.5555    9.58909     13.009     -395.7
117.975     3007.2     18.325    19.2664      11.98     13.799     -398.7
118.525     3025.4     17.417    26.9291    22.1336     11.884       -395
119.075     3043.7      20.68       NaN        NaN      14.281     -394.7
119.625     3061.8     17.536    20.7655    12.0891     13.666     -395.8
120.175     3080.1     12.352    20.7367    14.6717     15.251     -391.8
120.725     3098.6       NaN        NaN        NaN        NaN        NaN
121.275     3117.3     14.937       NaN        NaN       14.63     -387.9
121.825     3136.1     15.071    21.0655    12.4555      14.19     -404.4
122.375     3155.1     17.953    24.0409    10.8873     11.871     -401.1
122.925     3174.1      15.44    31.3791    17.6109     12.364     -403.4
123.475     3193.2     26.397       NaN        NaN        NaN      -391.8
124.025     3212.4     20.921    22.2236    11.2273       NaN      -400.5
124.575     3231.6     17.714    19.7455    11.4064       NaN      -406.2
125.125     3250.8     21.808       NaN        NaN        NaN      -392.7
125.675       3270     17.634       NaN        NaN        NaN        -400
126.225     3289.2     17.531     22.159      10.98       NaN      -401.9
126.775     3308.3      17.77    24.7173    14.0118       NaN      -391.3
127.325     3327.5     18.533    28.9473    20.1636       NaN      -399.8
127.875     3346.6     18.712       NaN        NaN        NaN      -404.2
128.425     3365.5     13.393    15.1455    8.50364       NaN      -395.6
128.975     3384.4     20.451    22.8618    11.7364       NaN      -397.2
129.525     3403.3     18.571       NaN        NaN        NaN      -398.2
130.075       3422     16.996       NaN        NaN        NaN      -396.6
130.625     3440.7      16.51    20.8218    10.5973       NaN      -395.6
131.175     3459.3     21.282    24.5882      13.69       NaN      -392.7
131.725     3477.8     13.578    32.7582    28.1045       NaN      -401.8
132.275     3496.2     20.301       NaN        NaN        NaN      -387.3
132.825     3514.6       21.1    26.2127    60.6755       NaN      -394.6
133.375     3532.9     18.771    21.2873    18.8309       NaN      -397.2
133.925     3551.2     23.474       NaN        NaN        NaN      -394.5
134.475     3569.4     18.076       NaN        NaN        NaN      -399.5
135.025     3587.6      15.17    15.7091      15.04       NaN      -389.9
135.575     3605.8     17.486    21.4545    9.13091       NaN      -390.8
136.125     3623.9     17.274    19.0945    11.4718       NaN      -394.4
136.675     3642.1     21.834       NaN        NaN        NaN      -391.7
137.225     3660.4     23.299    20.4182    12.1027       NaN      -389.2
137.775     3678.7     16.267    22.1191    12.8509       NaN      -401.6
138.325     3697.1     11.029    21.3636    9.36364       NaN      -387.2
138.875     3715.6     13.567       NaN        NaN        NaN      -387.8
139.425     3734.3     12.112    18.7818       8.88       NaN      -404.9
139.975     3752.9     16.032    20.7111    13.1222       NaN      -388.9
140.525     3771.8     16.464    24.0491    15.8109       NaN      -394.9
141.075     3790.7     14.281       NaN        NaN        NaN      -393.8
141.625     3809.8     14.998    26.1109    18.0136       NaN      -399.6
142.175     3828.9       10.1    21.1682    39.6873       NaN      -400.9
142.725     3848.1     13.395       25.5       37.8       NaN        -391
143.275     3867.3      19.74       NaN        NaN        NaN      -396.1
143.825     3886.6     16.948     23.467     22.282       NaN      -398.5
144.375     3905.8     19.647    22.6764    15.1764       NaN      -396.5
144.925     3925.1     17.873    20.1709    10.6918       NaN      -397.8
145.475     3944.3     13.548       NaN        NaN        NaN      -392.9
146.025     3963.5     20.171    21.5636    12.3773       NaN      -398.7
146.575     3982.7      17.78    20.6918    9.35182       NaN      -398.9
147.125     4001.9      15.61       NaN        NaN        NaN      -390.6
147.675       4021      21.34       NaN        NaN        NaN      -390.4
148.225     4040.1     16.835     16.629     16.227       NaN      -402.3
148.775     4059.3     16.231    19.5809    20.0409       NaN      -389.9
149.325     4078.4     17.317    20.4255    13.2909       NaN      -390.3
149.875     4097.5     19.345       NaN        NaN        NaN      -398.8
150.425     4116.6     16.575    17.8418    9.81364       NaN      -397.8
150.975     4135.7     17.869      17.26    12.3709       NaN      -394.9
151.525     4154.9     17.375       NaN        NaN        NaN      -392.2
152.075       4174     19.533       NaN        NaN        NaN      -404.7
152.625     4193.2     12.247     15.486     12.205       NaN      -391.2
153.175     4212.3     16.265    23.2591    10.9173       NaN      -387.3
153.725     4231.5     18.369    18.7509    12.1855       NaN      -396.4
154.275     4250.7     16.498       NaN        NaN        NaN        -387
154.825       4270     16.041     17.099     12.101       NaN      -398.1
