Core label	depth	compdepth	age	cw13	cw18
GeoB1117-3	0.01	0.01	0.13	0.89	2.46
GeoB1117-3	0.04	0.04	0.53	0.81	2.42
GeoB1117-3	0.07	0.07	0.93	0.76	2.51
GeoB1117-3	0.10	0.10	1.35	0.85	2.56
GeoB1117-3	0.13	0.13	1.80	0.33	2.48
GeoB1117-3	0.16	0.16	2.27	0.93	2.52
GeoB1117-3	0.19	0.19	2.78	0.64	2.59
GeoB1117-3	0.22	0.22	3.34	0.91	2.56
GeoB1117-3	0.25	0.25	3.95	0.91	2.64
GeoB1117-2	0.23	0.30	5.10	0.76	2.58
GeoB1117-2	0.28	0.35	6.45	0.98	2.57
GeoB1117-2	0.33	0.40	8.03	0.51	3.27
GeoB1117-2	0.38	0.45	9.87	0.67	2.86
GeoB1117-2	0.43	0.50	12.00	0.53	3.47
GeoB1117-2	0.48	0.55	14.36	0.04	3.76
GeoB1117-2	0.53	0.60	16.50	-0.77	4.21
GeoB1117-2	0.58	0.65	17.99	-0.08	3.71
GeoB1117-2	0.63	0.70	18.91	-0.35	4.14
GeoB1117-2	0.68	0.75	19.51	-0.42	4.18
GeoB1117-2	0.73	0.80	20.00	-0.27	4.18
GeoB1117-2	0.78	0.85	20.57	-0.36	3.92
GeoB1117-2	0.83	0.90	21.25	-0.52	4.15
GeoB1117-2	0.88	0.95	22.06	-0.60	4.06
GeoB1117-2	0.93	1.00	22.99	-0.34	4.03
GeoB1117-2	0.98	1.05	24.05	0.05	3.88
GeoB1117-2	1.03	1.10	25.23	-0.20	3.87
GeoB1117-2	1.08	1.15	26.55	0.13	3.77
GeoB1117-2	1.13	1.20	28.00	0.28	3.77
GeoB1117-2	1.18	1.25	29.58	0.05	3.87
GeoB1117-2	1.23	1.30	31.27	0.43	3.86
GeoB1117-2	1.28	1.35	33.05	0.28	3.78
GeoB1117-2	1.33	1.40	34.89	0.38	3.82
GeoB1117-2	1.38	1.45	36.77	0.14	3.59
GeoB1117-2	1.43	1.50	38.67	-0.05	3.90
GeoB1117-2	1.48	1.55	40.55	-0.23	3.89
GeoB1117-2	1.53	1.60	42.40	-0.30	3.87
GeoB1117-2	1.58	1.65	44.19	0.13	3.78
GeoB1117-2	1.63	1.70	45.89	0.11	3.67
GeoB1117-2	1.68	1.75	47.49	0.14	3.83
GeoB1117-2	1.73	1.80	48.95	0.62	3.43
GeoB1117-2	1.78	1.85	50.26	0.02	3.55
GeoB1117-2	1.83	1.90	51.39	0.19	3.59
GeoB1117-2	1.88	1.95	52.31	0.65	3.57
GeoB1117-2	1.93	2.00	53.00	0.11	3.31
GeoB1117-2	1.98	2.05	53.47	0.21	3.52
GeoB1117-2	2.03	2.10	53.89	0.17	3.71
GeoB1117-2	2.08	2.15	54.45	-0.02	3.67
GeoB1117-2	2.13	2.20	55.36	-0.14	3.50
GeoB1117-2	2.18	2.25	56.81	-0.27	3.75
GeoB1117-2	2.23	2.30	59.00	-0.34	3.88
GeoB1117-2	2.28	2.35	61.96	-0.41	3.94
GeoB1117-2	2.33	2.40	65.00	-0.51	4.00
GeoB1117-2	2.38	2.45	67.46	-0.30	3.83
GeoB1117-2	2.43	2.50	69.38	-0.58	3.79
GeoB1117-2	2.48	2.55	71.00	-0.39	3.61
GeoB1117-2	2.53	2.60	72.52	0.28	3.14
GeoB1117-2	2.58	2.65	74.01	0.06	3.37
GeoB1117-2	2.63	2.70	75.47	0.21	3.38
GeoB1117-2	2.68	2.75	76.94	0.68	3.16
GeoB1117-2	2.73	2.80	78.45	0.65	3.29
GeoB1117-2	2.78	2.85	80.00	0.52	2.91
GeoB1117-2	2.83	2.90	81.63	0.78	3.16
GeoB1117-2	2.88	2.95	83.33	0.18	3.08
GeoB1117-2	2.93	3.00	85.12	0.38	3.32
GeoB1117-2	2.98	3.05	87.00	0.60	3.53
GeoB1117-2	3.03	3.10	88.96	0.13	3.39
GeoB1117-2	3.08	3.15	90.98	0.61	3.33
GeoB1117-2	3.13	3.20	93.02	0.45	3.05
GeoB1117-2	3.18	3.25	95.06	0.64	3.06
GeoB1117-2	3.23	3.30	97.07	0.58	3.15
GeoB1117-2	3.28	3.35	99.00	0.77	3.14
GeoB1117-2	3.33	3.40	100.84	0.74	3.13
GeoB1117-2	3.38	3.45	102.60	0.40	3.02
GeoB1117-2	3.43	3.50	104.28	0.54	3.25
GeoB1117-2	3.48	3.55	105.89	-0.02	3.15
GeoB1117-2	3.53	3.60	107.46	0.46	3.39
GeoB1117-2	3.58	3.65	109.00	0.40	3.30
GeoB1117-2	3.63	3.70	110.52	-0.08	3.32
GeoB1117-2	3.68	3.75	112.03	0.37	3.29
GeoB1117-2	3.73	3.80	113.55	0.55	2.58
GeoB1117-2	3.78	3.85	115.11	0.62	2.87
GeoB1117-2	3.83	3.90	116.71	0.74	2.60
GeoB1117-2	3.88	3.95	118.38	0.42	2.44
GeoB1117-2	3.93	4.00	120.14	-0.20	3.14
GeoB1117-2	3.98	4.05	122.00	0.47	2.26
GeoB1117-2	4.03	4.10	123.97	0.47	2.69
GeoB1117-2	4.08	4.15	125.99	-0.43	2.44
GeoB1117-2	4.13	4.20	128.00	-0.24	3.59
GeoB1117-2	4.18	4.25	129.94	-0.19	4.09
GeoB1117-2	4.23	4.30	131.77	-0.03	3.93
GeoB1117-2	4.28	4.35	133.47	-0.38	4.20
GeoB1117-2	4.33	4.40	135.00	-0.70	4.34
GeoB1117-2	4.38	4.45	136.34	-0.74	4.25
GeoB1117-2	4.43	4.50	137.50	-0.37	4.32
GeoB1117-2	4.48	4.55	138.48	-1.01	4.13
GeoB1117-2	4.53	4.60	139.31	-0.38	4.07
GeoB1117-2	4.58	4.65	140.00	-0.57	3.92
GeoB1117-2	4.63	4.70	140.55	-0.59	3.95
GeoB1117-2	4.68	4.75	141.00	-0.73	3.94
GeoB1117-2	4.73	4.80	141.34	-0.94	3.83
GeoB1117-2	4.78	4.85	141.59	-0.65	3.86
GeoB1117-2	4.83	4.90	141.77	-0.73	4.02
GeoB1117-2	4.88	4.95	141.89	-0.70	4.00
GeoB1117-2	4.93	5.00	141.96	-0.69	4.06
GeoB1117-2	4.98	5.05	142.00	-0.76	4.10
GeoB1117-2	5.88	5.95	142.50	-1.01	3.87
GeoB1117-2	5.93	6.00	143.27	-0.65	3.71
GeoB1117-2	5.98	6.05	145.00	-0.75	3.70
GeoB1117-2	6.03	6.10	147.11	-0.62	3.76
GeoB1117-2	6.08	6.15	149.47	-0.95	3.86
GeoB1117-2	6.13	6.20	152.06	-0.66	3.76
GeoB1117-2	6.18	6.25	154.85	-0.57	3.70
GeoB1117-2	6.23	6.30	157.82	-0.51	3.73
GeoB1117-2	6.28	6.35	160.95	-0.62	3.60
GeoB1117-2	6.33	6.40	164.20	-0.12	3.53
GeoB1117-2	6.38	6.45	167.56	-0.53	3.52
GeoB1117-2	6.43	6.50	171.00	-0.16	3.69
GeoB1117-2	6.48	6.55	174.47	-0.28	3.50
GeoB1117-2	6.53	6.60	177.77	-0.44	3.50
GeoB1117-2	6.58	6.65	180.69	-0.70	3.74
GeoB1117-2	6.63	6.70	183.00	-0.90	3.81
GeoB1117-2	6.68	6.75	184.56	-0.73	3.69
GeoB1117-2	6.73	6.80	185.46	-0.70	3.61
GeoB1117-2	6.78	6.85	185.88	-1.09	3.70
