Core label	depth	compdepth	age	cw13	cw18
GeoB2204-1	0,01	0,01	0,00	1,27	2,40
GeoB2204-1	0,04	0,04	1,60	1,26	2,32
GeoB2204-1	0,07	0,07	3,20	1,26	2,38
GeoB2204-1	0,10	0,10	4,78		
GeoB2204-1	0,13	0,13	6,36	1,22	2,38
GeoB2204-1	0,16	0,16	7,91		
GeoB2204-1	0,19	0,19	9,43		
GeoB2204-1	0,22	0,22	10,93	0,61	2,85
GeoB2204-1	0,25	0,25	12,39	0,49	2,81
GeoB2204-1	0,28	0,28	13,80	0,63	3,42
GeoB2204-1	0,31	0,31	15,18	0,33	3,39
GeoB2204-1	0,34	0,34	16,50	0,44	3,68
GeoB2204-1	0,37	0,37	17,77	0,22	3,56
GeoB2204-1	0,40	0,40	18,98	0,24	3,53
GeoB2204-2	0,33	0,43	20,15		
GeoB2204-2	0,38	0,48	22,01		
GeoB2204-2	0,43	0,53	23,76		
GeoB2204-2	0,48	0,58	25,42	0,93	3,81
GeoB2204-2	0,53	0,63	27,03		
GeoB2204-2	0,58	0,68	28,58	0,87	3,84
GeoB2204-2	0,63	0,73	30,11	0,67	3,39
GeoB2204-2	0,68	0,78	31,63	0,96	3,55
GeoB2204-2	0,73	0,83	33,16	0,90	3,49
GeoB2204-2	0,78	0,88	34,72		
GeoB2204-2	0,83	0,93	36,33	0,78	3,53
GeoB2204-2	0,88	0,98	38,00	0,92	3,57
GeoB2204-2	0,93	1,03	39,75		
GeoB2204-2	0,98	1,08	41,59	1,30	3,48
GeoB2204-2	1,03	1,13	43,49	0,57	3,29
GeoB2204-2	1,08	1,18	45,46	1,12	3,59
GeoB2204-2	1,13	1,23	47,49	1,01	3,35
GeoB2204-2	1,18	1,28	49,57	1,13	3,28
GeoB2204-2	1,23	1,33	51,69	1,08	3,23
GeoB2204-2	1,28	1,38	53,86	1,02	3,62
GeoB2204-2	1,33	1,43	56,05	0,28	3,06
GeoB2204-2	1,38	1,48	58,27		
GeoB2204-2	1,43	1,53	60,50		
GeoB2204-2	1,48	1,58	62,75		
GeoB2204-2	1,53	1,63	65,00	0,57	3,63
GeoB2204-2	1,58	1,68	67,25	0,69	3,77
GeoB2204-2	1,63	1,73	69,49	0,60	3,01
GeoB2204-2	1,68	1,78	71,73	1,05	3,38
GeoB2204-2	1,73	1,83	73,96	1,07	2,85
GeoB2204-2	1,78	1,88	76,18	1,10	3,04
GeoB2204-2	1,83	1,93	78,38	0,86	2,89
GeoB2204-2	1,88	1,98	80,56	1,24	2,93
GeoB2204-2	1,93	2,03	82,73		
GeoB2204-2	1,98	2,08	84,88		
GeoB2204-2	2,03	2,13	87,00	1,24	3,19
GeoB2204-2	2,08	2,18	89,10	1,20	3,17
GeoB2204-2	2,13	2,23	91,17	1,16	3,18
GeoB2204-2	2,18	2,28	93,22	1,10	2,99
GeoB2204-2	2,23	2,33	95,26		
GeoB2204-2	2,28	2,38	97,27	1,07	2,80
GeoB2204-2	2,33	2,43	99,26		
GeoB2204-2	2,38	2,48	101,24	1,17	2,85
GeoB2204-2	2,43	2,53	103,20		
GeoB2204-2	2,48	2,58	105,15		
GeoB2204-2	2,53	2,63	107,09		
GeoB2204-2	2,58	2,68	109,02		
GeoB2204-2	2,63	2,73	110,94		
GeoB2204-2	2,68	2,78	112,85		
GeoB2204-2	2,73	2,83	114,76		
GeoB2204-2	2,78	2,88	116,66	0,93	2,52
GeoB2204-2	2,83	2,93	118,56	1,14	2,57
GeoB2204-2	2,88	2,98	120,46		
GeoB2204-2	2,93	3,03	122,36	1,11	2,27
GeoB2204-2	2,98	3,08	124,26		
GeoB2204-2	3,03	3,13	126,17	0,48	2,72
GeoB2204-2	3,08	3,18	128,08		
GeoB2204-2	3,13	3,23	130,00	0,43	3,73
GeoB2204-2	3,18	3,28	131,93	0,26	2,91
GeoB2204-2	3,23	3,33	133,86	0,26	3,18
GeoB2204-2	3,28	3,38	135,81		
GeoB2204-2	3,33	3,43	137,76		
GeoB2204-2	3,38	3,48	139,71		
GeoB2204-2	3,43	3,53	141,68		
GeoB2204-2	3,48	3,58	143,65		
GeoB2204-2	3,53	3,63	145,63	0,48	3,91
GeoB2204-2	3,58	3,68	147,61		
GeoB2204-2	3,63	3,73	149,60	0,32	3,65
GeoB2204-2	3,68	3,78	151,60	0,33	3,67
GeoB2204-2	3,73	3,83	153,60		
GeoB2204-2	3,78	3,88	155,61		
GeoB2204-2	3,83	3,93	157,62		
GeoB2204-2	3,88	3,98	159,63		
GeoB2204-2	3,93	4,03	161,65		
GeoB2204-2	3,98	4,08	163,67		
GeoB2204-2	4,03	4,13	165,70	0,58	3,23
GeoB2204-2	4,08	4,18	167,73		
GeoB2204-2	4,13	4,23	169,76		
GeoB2204-2	4,18	4,28	171,80		
GeoB2204-2	4,23	4,33	173,83		
GeoB2204-2	4,28	4,38	175,87		
GeoB2204-2	4,33	4,43	177,91		
GeoB2204-2	4,38	4,48	179,96		
GeoB2204-2	4,43	4,53	182,00	0,55	3,71
GeoB2204-2	4,48	4,58	184,05		
GeoB2204-2	4,53	4,63	186,09	0,56	3,56
GeoB2204-2	4,58	4,68	188,13	0,61	3,49
GeoB2204-2	4,63	4,73	190,17		
GeoB2204-2	4,68	4,78	192,21	1,05	3,22
GeoB2204-2	4,73	4,83	194,24		
GeoB2204-2	4,78	4,88	196,27	0,30	2,82
GeoB2204-2	4,83	4,93	198,29		
GeoB2204-2	4,87	4,97	199,90		
GeoB2204-2	4,93	5,03	202,30		
GeoB2204-2	4,98	5,08	204,29		
GeoB2204-2	5,03	5,13	206,27		
GeoB2204-2	5,08	5,18	208,24		
GeoB2204-2	5,13	5,23	210,19		
GeoB2204-2	5,18	5,28	212,13		
GeoB2204-2	5,23	5,33	214,05		
GeoB2204-2	5,28	5,38	215,96		
GeoB2204-2	5,33	5,43	217,85		
GeoB2204-2	5,38	5,48	219,71		
GeoB2204-2	5,43	5,53	221,56		
GeoB2204-2	5,48	5,58	223,39		
GeoB2204-2	5,53	5,63	225,19		
GeoB2204-2	5,58	5,68	226,97		
GeoB2204-2	5,63	5,73	228,72		
GeoB2204-2	5,68	5,78	230,45		
GeoB2204-2	5,73	5,83	232,15		
