Depth (mcd)	Age (ka)	Cw d13C	Cw d18O
24.62	189.91	0.26	3.33
24.82	191.48	0.49	3.29
25.02	193.04	1.09	3.16
25.22	194.61	0.71	3.05
25.27	195.00	0.88	2.82
25.32	196.11	0.78	2.94
25.52	200.56	0.82	2.90
25.72	205.00	1.00	3.17
26.32	209.22	0.76	2.94
26.72	212.03	1.05	3.06
26.77	212.38	0.75	2.92
26.82	212.73	0.97	2.96
27.02	214.13	0.57	2.96
27.22	215.54	0.75	2.77
27.42	217.91	0.34	2.93
27.82	222.66	0.00	3.61
28.02	225.03	0.53	4.12
28.22	227.41	0.16	3.71
28.27	227.94	0.75	3.89
28.27	228.00	0.79	3.83
28.32	228.31	0.24	3.81
28.52	229.56	0.39	3.73
28.72	230.81	0.45	3.88
29.02	232.69	0.96	3.56
29.12	233.31	0.92	3.84
29.22	233.94	0.90	3.43
29.32	234.56	0.81	3.00
29.42	235.19	0.81	3.16
29.62	236.44	0.44	3.03
29.72	237.06	0.70	2.98
29.77	237.38	0.85	3.04
29.82	237.69	0.91	2.92
29.92	238.31	0.95	2.81
30.02	238.94	0.89	2.91
30.12	239.56	0.82	2.82
30.22	240.19	0.72	2.73
30.32	240.93	0.90	2.83
30.42	241.67	0.10	2.78
30.52	242.41	0.48	2.67
30.72	243.89	0.01	2.56
30.82	244.63	0.58	3.65
30.92	245.37	0.38	3.74
31.27	247.97	0.24	3.74
31.32	248.34	0.10	4.00
31.42	249.08	0.43	3.69
31.63	250.63	0.97	3.75
31.73	251.37	0.53	4.02
31.83	252.11	0.59	4.00
31.93	252.85	0.59	4.06
32.03	253.60	0.40	4.08
32.13	254.34	0.18	4.17
32.33	255.82	0.45	4.11
32.43	256.56	0.78	4.00
32.53	257.30	0.20	4.07
32.63	258.04	0.81	3.51
33.63	265.45	0.54	4.00
33.73	266.19	0.36	3.97
33.83	266.93	0.36	3.95
33.93	267.67	0.39	3.90
34.03	268.41	0.24	3.87
34.08	268.78	0.38	3.65
34.13	269.15	0.34	3.78
34.33	270.63	0.49	3.93
34.68	273.22	0.45	3.60
35.08	275.69	0.48	4.04
35.48	277.41	0.19	3.96
35.68	278.27	0.24	3.86
35.73	278.48	0.28	3.73
35.78	278.70	-0.01	3.58
35.98	279.55	-0.35	3.80
36.18	280.41	0.36	3.88
36.38	281.27	0.60	3.86
36.58	282.13	0.42	3.78
36.78	282.99	0.91	3.43
36.98	283.85	1.02	3.54
37.18	284.71	0.97	3.38
37.23	284.93	0.79	3.43
37.28	285.14	0.61	3.25
37.48	286.00	0.71	3.33
37.68	288.20	0.94	3.29
37.88	290.40	0.61	3.23
38.08	292.60	0.20	3.58
38.28	294.80	0.47	3.53
38.48	297.00	0.21	4.09
38.68	299.10	0.28	3.92
38.73	299.62	0.51	3.86
38.78	300.15	0.36	3.90
38.98	302.25	0.70	3.84
39.18	304.35	0.31	3.73
39.38	306.45	0.88	3.52
39.58	308.55	0.79	3.52
39.78	310.65	0.68	3.43
39.98	312.75	0.18	3.44
40.18	314.85	0.43	3.29
40.23	315.38	0.73	3.32
40.28	315.90	0.74	3.24
40.48	318.00	0.36	3.48
40.68	318.66	0.92	3.60
40.88	319.32	0.90	3.53
41.08	319.99	0.90	3.45
41.28	320.65	0.78	3.24
41.41	321.08	0.83	3.16
41.61	321.74	0.46	3.05
41.66	321.90	0.77	3.31
41.71	322.07	0.30	3.08
41.91	322.73	0.93	3.21
42.11	323.39	0.26	3.06
42.31	324.06	0.45	2.99
42.51	324.72	0.67	2.84
42.61	325.05	0.93	2.66
42.71	325.38	0.61	2.75
42.81	325.71	0.76	2.54
42.91	326.04	0.69	2.68
43.01	326.37	0.89	2.56
43.11	326.70	0.79	2.63
43.16	326.87	0.83	2.61
43.21	327.09	0.69	2.61
43.31	327.94	0.73	2.63
43.61	330.49	0.58	3.39
43.81	332.19	0.77	4.04
44.11	334.74	0.31	3.25
44.21	335.60	-0.25	3.14
44.31	336.45	-0.49	3.27
44.41	337.30	0.09	4.23
44.51	338.15	0.46	4.45
44.61	339.00	0.19	4.58
44.71	339.49	0.14	4.40
44.81	339.98	0.44	4.42
44.91	340.47	0.52	4.57
45.01	340.95	0.48	4.52
45.04	341.10	0.25	4.54
45.24	342.08	0.46	4.61
45.44	343.06	0.59	4.18
45.64	344.03	0.40	4.30
45.84	345.01	0.66	4.33
45.89	345.26	0.38	4.18
45.94	345.50	-0.04	4.27
46.14	346.48	0.36	4.30
46.34	347.45	0.46	3.88
46.54	348.43	-0.57	4.03
46.74	349.41	-0.05	3.88
46.94	350.39	0.32	4.08
46.99	350.61	0.47	4.05
47.02	350.75	0.66	4.18
47.07	351.00	0.47	4.08
47.12	351.24	0.58	4.09
47.14	351.36	0.63	3.99
47.17	351.49	0.51	3.97
47.19	351.58	0.62	4.12
47.22	351.73	0.50	3.93
47.27	351.98	0.61	4.02
47.35	352.55	0.92	4.13
47.37	352.65	0.71	4.11
47.44	353.16	0.95	3.28
47.47	353.33	0.92	3.93
47.49	353.47	0.48	3.88
47.62	354.36	0.94	4.06
47.64	354.53	0.58	3.87
47.67	354.70	0.80	3.88
47.69	354.84	0.89	4.13
47.72	355.04	0.74	3.83
47.77	355.38	0.86	4.02
47.82	355.73	0.78	3.93
47.84	355.90	0.77	3.62
47.87	356.07	0.90	3.77
47.89	356.21	0.64	3.84
47.92	356.41	1.00	3.83
47.97	356.75	0.76	3.79
48.02	357.09	1.07	3.87
48.04	357.26	1.04	3.76
48.07	357.44	0.62	3.81
48.09	357.57	0.74	3.72
48.12	357.78	0.46	3.70
48.17	358.12	0.48	3.69
48.22	358.46	0.80	4.10
48.24	358.63	1.01	3.90
48.27	358.80	0.96	4.05
48.29	358.94	0.81	4.13
48.32	359.15	0.65	4.06
48.42	359.83	0.97	4.00
48.44	360.00	0.83	3.46
48.47	360.17	0.98	3.96
48.52	360.51	0.81	3.89
48.57	360.85	0.79	3.91
48.62	361.20	0.65	3.38
48.64	361.37	0.64	3.73
48.69	361.68	0.88	3.79
48.72	361.88	0.57	3.82
48.77	362.22	0.78	3.80
48.82	362.56	0.42	3.87
48.87	362.91	0.38	3.79
48.89	363.08	0.61	3.58
49.02	363.93	0.89	3.65
49.14	364.79	1.07	3.62
49.17	364.96	0.61	3.60
49.22	365.30	0.34	3.63
49.32	365.98	0.77	3.55
