Depth (mcd)	Age (ka)	Cw d13C	Cw d18O
72.18	588.37	0.78	3.73
72.28	589.71	0.73	3.56
72.38	591.05	0.60	3.55
72.43	591.72	0.65	3.37
72.48	592.39	0.54	3.54
72.53	593.07	0.85	3.77
72.58	593.74	0.97	3.80
72.63	594.41	0.91	3.54
72.68	595.08	0.92	3.68
72.73	595.75	1.14	3.50
72.78	596.42	1.01	3.45
72.83	597.09	0.75	3.07
72.88	597.76	0.77	3.39
72.93	598.43	0.75	3.18
72.98	599.10	0.88	3.25
73.03	599.77	0.78	3.32
73.08	600.44	0.62	3.24
73.13	601.11	0.92	3.15
73.18	601.78	0.49	3.56
73.23	602.45	0.96	3.00
73.28	603.12	0.87	2.97
73.33	603.79	0.90	2.89
73.38	604.46	0.87	2.98
73.43	605.14	0.89	2.89
73.48	605.81	0.93	2.90
73.53	606.48	0.88	2.92
73.58	607.15	0.74	2.94
73.63	607.82	0.94	2.98
73.68	608.49	0.98	2.99
73.73	609.16	0.89	3.01
73.78	609.83	0.75	2.96
73.83	610.50	0.67	3.06
73.88	611.17	0.64	3.13
73.93	611.84	0.69	3.09
73.98	612.51	0.00	2.95
74.03	613.18	0.26	3.14
74.18	615.19	0.24	3.43
74.28	616.53	0.36	3.10
74.38	617.88	-0.03	3.45
74.53	619.89	0.15	3.43
74.58	620.56	0.13	3.52
74.63	621.23	0.11	3.60
74.68	621.90	0.27	3.63
74.73	622.57	0.16	3.91
74.78	623.24	0.16	3.95
74.88	624.12	0.35	4.37
74.93	624.56	0.45	4.59
74.98	625.00	0.33	4.61
75.03	625.45	0.09	4.59
75.28	627.65	-0.05	4.55
75.33	628.09	0.20	4.70
75.38	628.53	0.38	4.75
75.48	629.42	0.13	4.63
75.53	629.86	0.52	4.78
75.58	630.30	0.28	4.84
75.63	630.74	0.80	4.37
75.68	631.18	0.17	4.88
75.73	631.62	0.45	4.77
75.78	632.06	0.04	4.48
75.83	632.50	0.24	4.80
75.88	632.94	0.05	4.82
75.93	633.39	0.09	4.75
75.98	633.83	0.32	4.33
76.03	634.27	0.36	4.69
76.08	634.71	0.68	4.51
76.23	636.03	0.29	4.61
76.28	636.47	0.38	4.62
76.33	636.91	0.17	4.76
76.43	637.80	0.42	4.55
76.48	638.24	-0.21	3.95
76.53	638.68	0.48	4.39
76.63	639.56	0.09	4.53
76.68	640.00	-0.44	4.53
76.73	640.44	-0.20	4.48
76.83	641.32	0.01	4.48
76.88	641.77	-0.72	4.49
77.18	644.41	0.17	4.28
77.38	646.18	0.51	4.65
77.48	647.06	0.66	4.29
77.53	647.50	0.43	4.62
77.58	647.94	0.45	4.58
77.63	648.38	0.42	4.80
77.68	648.82	0.23	3.95
77.78	649.71	0.36	4.60
77.88	650.59	-0.17	4.23
77.93	651.03	0.35	4.12
77.98	651.47	0.50	4.41
78.08	652.35	0.33	4.32
78.28	654.12	0.34	4.00
78.38	655.00	0.51	4.43
78.48	655.88	0.49	3.96
78.58	656.76	-0.11	4.51
78.63	657.20	0.19	4.73
78.73	658.09	0.77	4.71
78.78	658.53	0.15	3.96
78.83	658.97	0.58	4.65
78.88	659.41	0.49	4.63
78.93	659.85	0.61	4.58
78.98	660.29	0.38	4.00
79.03	660.73	0.77	4.59
79.08	661.17	0.44	4.60
79.09	661.26	0.45	4.56
79.14	661.70	0.62	4.53
79.19	662.14	0.45	4.36
79.24	662.58	0.52	4.57
79.34	663.47	0.75	4.30
79.39	663.91	0.53	4.36
79.44	664.35	0.57	4.13
79.49	664.79	0.47	3.79
79.54	665.23	0.42	3.93
79.59	665.67	0.10	4.07
79.64	666.11	0.39	4.17
79.69	666.55	0.30	3.84
79.74	667.00	0.37	4.20
79.79	667.44	0.37	4.20
79.84	667.88	0.52	4.19
79.94	668.76	0.50	4.16
79.99	669.20	0.44	4.32
80.04	669.64	0.45	4.08
80.09	670.08	-0.06	4.16
80.14	670.52	0.46	4.19
80.19	670.97	0.12	3.94
80.24	671.41	0.34	4.33
80.29	671.85	0.31	4.21
80.34	672.29	0.13	4.18
80.39	672.73	0.16	3.81
80.44	673.17	0.00	3.90
80.49	673.61	0.24	4.25
80.54	674.05	0.31	4.25
80.59	674.49	0.33	3.83
80.64	674.94	0.20	4.04
80.69	675.38	0.33	3.94
80.74	675.82	0.19	4.05
80.79	676.26	0.01	3.61
80.84	676.70	0.24	3.91
80.89	677.14	0.31	4.26
80.94	677.58	0.25	4.38
80.99	678.02	0.21	4.00
81.04	678.46	0.42	4.21
81.14	679.35	0.46	4.23
81.19	679.79	0.54	3.92
81.29	680.67	0.20	3.81
81.34	681.11	0.18	3.63
81.39	681.55	0.66	4.06
81.44	681.99	0.63	3.97
81.49	682.43	0.42	3.99
81.54	682.87	0.99	3.70
81.59	683.32	0.86	3.75
81.64	683.76	0.69	3.82
81.69	684.20	0.32	3.48
81.74	684.64	0.52	3.83
81.79	685.08	0.68	3.75
81.84	685.52	0.56	3.82
81.89	685.96	0.17	3.27
81.94	686.40	0.20	3.51
81.99	686.84	0.29	3.32
82.09	687.73	0.77	3.25
82.14	688.17	0.60	3.95
82.19	688.61	0.75	3.29
82.24	689.05	0.67	3.64
82.29	689.49	0.77	3.30
82.34	689.93	0.83	3.47
82.39	690.37	1.15	3.41
82.44	690.81	0.90	3.23
82.49	691.26	1.00	2.97
82.54	691.70	1.01	3.22
82.59	692.14	1.00	3.25
82.69	693.02	0.74	2.76
82.89	694.26	0.91	3.05
83.09	695.49	1.02	2.94
83.24	696.42	0.96	3.15
83.29	696.73	0.96	3.29
83.34	697.04	0.89	3.34
83.39	697.35	0.91	3.06
83.44	697.66	0.73	3.34
83.49	697.97	-0.44	2.98
83.54	698.27	0.58	3.39
83.59	698.58	0.84	3.25
83.99	701.06	-0.78	3.36
84.19	702.29	-0.64	3.59
84.24	702.60	0.51	3.51
84.29	702.91	-0.04	3.85
84.34	703.22	0.13	3.90
84.38	704.13	0.48	4.20
84.43	705.26	0.63	4.11
84.48	706.39	0.66	4.22
84.53	707.52	0.47	4.09
84.58	708.65	0.57	4.16
84.63	709.79	0.72	3.93
84.68	710.92	0.96	3.92
84.73	712.05	0.73	3.91
84.78	713.18	0.69	3.76
84.83	714.31	0.71	3.38
84.88	715.45	0.57	3.38
84.93	716.58	0.70	3.78
84.98	717.71	0.34	3.88
85.03	718.84	0.52	3.61
85.08	719.97	0.36	3.78
85.13	721.11	0.54	3.79
85.18	722.24	0.53	3.90
85.23	723.37	0.42	3.52
85.28	724.50	0.51	3.51
85.33	725.63	0.04	3.79
85.43	727.90	-0.15	3.30
85.48	729.03	0.17	3.97
85.53	730.16	-0.11	4.40
85.58	731.29	0.23	4.30
85.63	732.42	0.23	4.25
85.68	733.56	0.33	4.47
85.73	734.69	0.37	4.23
85.78	735.82	0.76	4.14
85.83	736.95	0.68	3.75
85.88	738.08	0.30	4.15
85.93	739.22	0.45	4.05
85.98	740.35	0.63	4.09
86.03	741.48	0.52	3.98
86.08	742.61	0.65	3.97
86.18	744.88	0.64	3.74
86.23	746.01	0.51	3.67
86.33	748.27	-0.05	3.55
86.38	749.40	0.84	3.85
86.43	750.54	0.59	3.64
86.48	751.67	0.68	3.56
86.53	752.80	0.55	3.15
86.58	753.93	0.82	3.23
86.63	755.06	0.98	3.28
86.68	756.20	0.65	3.39
86.73	757.33	0.57	3.25
86.78	758.46	0.85	4.14
86.83	759.20	0.69	3.39
86.88	759.93	0.52	3.92
86.93	760.67	0.72	3.30
86.98	761.41	0.86	3.48
87.03	762.14	0.74	3.29
87.08	762.88	0.67	3.35
87.13	763.62	0.95	3.20
87.18	764.36	0.87	3.34
87.23	765.09	1.07	3.19
87.28	765.83	0.91	3.28
87.33	766.57	0.88	3.10
87.38	767.30	0.85	3.13
87.43	768.04	0.98	2.84
87.48	768.78	0.82	2.96
87.53	769.51	0.93	3.10
87.58	770.25	0.73	3.09
87.63	770.99	1.04	3.16
87.68	771.72	0.70	3.10
87.73	772.46	0.84	3.05
87.78	773.20	0.80	2.76
87.83	773.93	0.73	2.74
87.88	774.67	0.90	2.89
87.93	775.41	0.63	2.99
87.98	776.15	0.68	3.04
88.03	776.88	0.92	2.77
88.08	777.62	0.55	2.94
88.13	778.36	0.45	3.00
88.18	779.09	0.81	3.02
88.23	779.83	0.71	2.67
88.28	780.57	0.59	2.96
88.33	781.30	0.54	2.92
88.38	782.04	0.38	2.86
88.43	782.78	0.57	2.74
88.48	783.51	0.57	2.94
88.53	784.25	0.68	2.93
88.58	784.99	0.64	2.95
88.63	785.72	-0.06	2.77
88.68	786.46	-0.06	3.24
88.73	787.20	0.04	2.93
88.83	788.67	-0.52	3.29
88.88	789.41	-0.40	3.75
88.93	790.15	-0.35	3.46
88.98	790.88	-0.25	3.87
89.03	791.62	0.42	4.42
89.08	792.44	0.29	4.48
89.13	793.26	0.30	4.19
89.18	794.08	0.39	4.45
89.23	794.90	0.42	4.37
89.28	795.72	0.29	4.37
89.33	796.54	0.03	3.95
89.38	797.36	0.49	4.19
89.43	798.18	0.60	4.13
89.48	799.00	0.58	4.00
89.53	799.82	0.56	3.75
89.58	800.64	0.36	3.97
89.63	801.46	0.79	3.89
89.68	802.28	0.92	3.90
89.73	803.10	0.67	3.59
89.78	803.92	0.40	3.89
89.87	805.40	0.84	3.47
89.92	806.22	0.91	3.62
89.97	807.04	0.89	3.53
90.02	807.86	0.91	3.51
90.07	808.68	0.61	3.10
90.12	809.50	0.74	3.46
90.22	811.14	0.75	3.29
90.27	811.96	0.83	3.14
90.32	812.78	0.68	3.23
90.37	813.60	0.80	3.28
90.42	814.42	0.48	3.05
90.47	815.24	0.56	3.02
90.52	816.06	0.17	3.33
90.57	816.88	0.60	3.89
90.62	817.70	0.48	3.86
90.72	819.34	0.84	3.71
90.77	820.16	-0.20	3.50
90.82	820.98	0.63	3.41
90.87	821.80	0.43	3.86
90.92	822.62	0.62	3.38
90.97	823.44	0.39	3.34
91.02	824.26	0.77	3.39
91.07	825.08	0.67	3.47
91.17	826.73	0.01	3.22
91.22	827.55	0.56	3.90
91.37	830.01	0.01	3.38
91.52	832.47	0.91	3.61
91.57	833.29	-0.22	3.29
91.62	834.11	0.94	3.44
91.72	835.75	0.63	3.27
91.82	837.39	0.45	3.26
91.92	839.03	0.60	3.12
91.97	839.85	0.81	2.99
92.27	844.77	-0.37	2.88
92.32	845.59	0.24	2.66
92.42	846.71	0.75	3.14
92.47	847.27	0.54	3.41
92.52	847.83	0.74	3.28
92.57	848.38	0.68	3.18
92.72	850.06	0.44	3.38
92.87	851.74	0.51	2.91
92.91	852.18	0.53	2.85
92.96	852.74	0.60	3.08
93.06	853.86	0.49	3.05
93.11	854.42	0.45	2.99
93.16	854.98	0.46	2.99
93.21	855.54	0.31	3.21
93.26	856.10	0.64	2.96
93.31	856.66	0.50	2.97
93.36	857.21	0.54	2.94
93.41	857.77	0.23	2.89
93.46	858.33	0.16	2.91
93.51	858.89	0.31	2.92
93.56	859.45	0.44	2.83
93.61	860.01	0.34	2.64
93.66	860.57	0.44	2.86
93.71	861.13	0.19	2.89
93.76	861.69	0.36	2.65
93.81	862.24	0.35	2.56
93.86	862.80	0.22	2.56
93.91	863.36	0.51	2.70
93.96	863.92	0.63	2.67
94.01	864.48	0.12	2.42
94.11	866.15	-0.05	3.24
94.21	867.83	-0.29	3.09
94.31	869.50	-0.40	3.69
94.41	871.17	-0.24	3.45
94.61	874.52	-0.10	4.10
94.81	877.86	0.17	3.88
95.11	882.88	0.31	3.74
95.21	884.55	0.40	4.04
95.26	885.39	0.37	4.04
95.31	886.23	0.19	3.82
95.36	887.06	0.11	3.83
95.41	887.90	0.03	3.68
95.46	888.74	-0.10	3.68
95.51	889.57	-0.21	3.53
95.56	890.41	-0.15	3.73
95.61	891.24	-0.15	3.80
95.66	892.08	-0.20	3.83
95.71	892.92	-0.25	3.78
95.76	893.75	-0.19	3.84
95.81	894.59	0.01	3.85
95.86	895.43	0.04	3.90
95.91	896.26	-0.05	3.68
95.96	897.10	0.44	3.99
96.01	897.94	0.14	3.54
96.06	898.77	0.71	3.99
96.11	899.61	0.58	3.73
96.21	901.28	0.41	3.58
96.26	902.12	0.31	3.68
96.31	902.95	0.42	3.42
96.36	903.79	0.40	3.06
96.41	904.63	0.22	3.45
96.46	905.46	-0.03	3.76
96.56	907.14	0.09	3.43
96.61	907.97	-0.26	3.33
96.71	909.64	-0.21	3.42
96.76	910.48	-0.52	3.18
96.81	911.32	-0.46	3.30
96.91	912.99	0.30	4.22
96.96	914.12	0.20	4.17
97.11	917.50	0.34	4.24
97.16	918.62	-0.22	3.95
97.21	919.75	0.10	3.86
97.26	920.87	0.48	3.97
97.31	922.00	0.44	3.66
97.36	923.13	0.01	3.63
97.41	924.25	0.41	3.25
97.46	925.38	0.08	3.42
97.51	926.51	0.13	3.25
97.56	927.63	0.31	3.45
97.61	928.76	-0.43	3.22
97.66	929.89	0.51	3.56
97.71	931.01	0.70	3.41
97.76	932.14	0.69	3.15
97.81	933.26	0.44	3.10
97.91	935.52	0.11	3.33
97.96	936.64	0.85	3.07
98.01	937.77	0.80	3.03
98.06	938.90	0.92	3.15
98.11	940.02	0.84	3.03
98.16	941.15	0.41	3.17
98.21	942.27	0.73	3.12
98.26	943.40	0.56	3.06
98.31	944.53	0.59	2.77
98.36	945.65	0.25	3.01
98.41	946.78	0.54	2.89
98.46	947.91	0.67	2.67
98.51	949.03	0.59	2.66
98.56	950.16	0.89	2.73
98.61	951.29	0.61	2.64
98.66	952.41	0.65	2.71
98.71	953.54	0.66	2.52
98.76	954.66	0.62	2.67
98.81	955.79	0.68	2.65
98.86	956.92	0.46	2.56
98.91	958.04	-0.16	2.51
98.96	959.17	0.01	3.25
99.01	960.17	-0.13	3.38
99.06	961.17	0.31	3.92
99.11	962.17	0.55	3.78
99.16	963.17	0.79	3.94
99.21	964.16	0.64	3.96
99.26	965.16	0.73	3.59
99.31	966.16	0.55	3.67
99.36	967.16	0.32	3.24
99.46	969.16	0.76	3.61
99.51	970.16	0.61	3.39
99.56	971.16	0.52	3.56
99.61	972.15	0.48	3.18
99.66	973.15	0.54	3.31
99.71	974.15	0.44	3.10
99.76	975.15	0.87	3.22
99.81	976.15	0.80	3.03
99.86	977.15	0.32	3.01
99.91	978.15	0.65	3.50
99.96	979.15	0.33	3.33
100.01	980.14	0.45	3.19
100.06	981.14	0.36	3.36
100.11	982.14	0.82	3.78
100.16	983.14	0.95	4.10
100.21	984.68	0.77	3.49
100.26	986.23	0.91	3.71
100.41	990.86	0.90	3.20
100.61	997.03	0.81	3.06
100.81	1003.20	0.64	3.14
