mcd	c13(o/oo PDB)	o18(o/oo PDB)	species
59.82	0.53	2.59	C. wuellerstorfi
59.9	0.03	3.39	C. wuellerstorfi
60	0.53	2.39	C. wuellerstorfi
60.1	0.75	2.14	C. wuellerstorfi
60.2	0.31	2.28	C. wuellerstorfi
60.3	0.83	2.53	C. wuellerstorfi
60.4	0.58	2.57	C. wuellerstorfi
60.5	0.88	2.52	C. wuellerstorfi
60.6	0.60	2.56	C. wuellerstorfi
60.7	0.47	2.39	C. wuellerstorfi
60.8	0.19	2.99	C. wuellerstorfi
60.9	0.34	3.02	C. wuellerstorfi
61	-0.48	3.54	C. wuellerstorfi
61.1	0.16	3.36	C. wuellerstorfi
61.2	-0.46	2.95	C. wuellerstorfi
61.4	-0.59	3.11	C. wuellerstorfi
61.5	0.49	2.88	C. wuellerstorfi
61.6	0.22	2.65	C. wuellerstorfi
61.7	-0.63	2.79	C. wuellerstorfi
61.8	-0.73	2.87	C. wuellerstorfi
61.9	0.20	2.59	C. wuellerstorfi
62	0.64	2.75	C. wuellerstorfi
62.09	-0.43	2.89	C. wuellerstorfi
62.2	0.05	2.66	C. wuellerstorfi
62.4	-0.08	3.36	C. wuellerstorfi
62.5	-0.64	3.07	C. wuellerstorfi
62.6	0.55	2.84	C. wuellerstorfi
62.7	0.58	2.65	C. wuellerstorfi
62.9	0.39	2.85	C. wuellerstorfi
63	0.51	2.82	C. wuellerstorfi
63.1	0.49	2.80	C. wuellerstorfi
63.2	0.51	2.75	C. wuellerstorfi
63.3	0.84	2.85	C. wuellerstorfi
63.5	0.87	2.51	C. wuellerstorfi
63.6	-0.35	2.65	C. wuellerstorfi
63.7	-0.27	2.63	C. wuellerstorfi
63.8	0.18	2.39	C. wuellerstorfi
63.9	0.39	2.57	C. wuellerstorfi
64	0.35	2.46	C. wuellerstorfi
64.1	0.14	2.62	C. wuellerstorfi
64.2	0.64	2.84	C. wuellerstorfi
64.32	0.67	2.72	C. wuellerstorfi
64.4	-0.02	3.43	C. wuellerstorfi
64.5	0.16	3.46	C. wuellerstorfi
64.6	0.21	3.26	C. wuellerstorfi
64.7	-0.04	3.15	C. wuellerstorfi
64.8	-0.73	2.94	C. wuellerstorfi
64.9	0.17	2.92	C. wuellerstorfi
65.12	0.55	2.97	C. wuellerstorfi
65.2	0.67	2.73	C. wuellerstorfi
65.3	-0.01	2.67	C. wuellerstorfi
65.4	-1.03	2.69	C. wuellerstorfi
65.5	-1.01	2.83	C. wuellerstorfi
65.6	0.76	2.64	C. wuellerstorfi
65.7	-0.32	2.51	C. wuellerstorfi
65.82	-0.63	3.39	C. wuellerstorfi
65.9	0.51	3.14	C. wuellerstorfi
66	-1.05	2.97	C. wuellerstorfi
66.04	0.42	2.76	C. wuellerstorfi
66.1	-0.21	2.89	C. wuellerstorfi
66.14	-0.11	2.83	C. wuellerstorfi
66.24	-0.32	2.85	C. wuellerstorfi
66.54	-0.16	2.63	C. wuellerstorfi
66.64	-0.26	2.60	C. wuellerstorfi
66.84	-1.05	3.18	C. wuellerstorfi
66.94	-0.11	3.01	C. wuellerstorfi
67.44	0.44	2.48	C. wuellerstorfi
67.64	-0.14	2.19	C. wuellerstorfi
67.74	-0.10	2.27	C. wuellerstorfi
67.84	0.78	2.68	C. wuellerstorfi
68.14	0.92	2.91	C. wuellerstorfi
68.24	0.76	2.94	C. wuellerstorfi
68.44	-0.22	2.82	C. wuellerstorfi
68.54	0.35	2.79	C. wuellerstorfi
68.74	0.52	2.54	C. wuellerstorfi
68.84	0.50	2.65	C. wuellerstorfi
68.94	-0.61	3.09	C. wuellerstorfi
69.14	-0.32	3.40	C. wuellerstorfi
69.24	-0.14	3.57	C. wuellerstorfi
69.34	-0.22	3.30	C. wuellerstorfi
69.64	-0.15	2.93	C. wuellerstorfi
69.84	0.14	2.70	C. wuellerstorfi
69.94	0.01	2.46	C. wuellerstorfi
70.14	0.04	2.67	C. wuellerstorfi
70.24	0.39	3.00	C. wuellerstorfi
70.54	0.41	2.50	C. wuellerstorfi
70.74	0.11	2.79	C. wuellerstorfi
70.94	-0.30	3.00	C. wuellerstorfi
71.04	-0.14	2.84	C. wuellerstorfi
71.14	-0.16	2.34	C. wuellerstorfi
71.34	0.62	1.97	C. wuellerstorfi
71.44	0.62	2.47	C. wuellerstorfi
71.54	0.19	2.80	C. wuellerstorfi
71.74	-0.40	3.56	C. wuellerstorfi
71.84	-0.85	3.68	C. wuellerstorfi
72.04	-0.62	3.47	C. wuellerstorfi
72.14	-0.10	3.19	C. wuellerstorfi
72.24	-0.62	3.41	C. wuellerstorfi
72.42	-0.39	2.91	C. wuellerstorfi
72.52	-0.06	2.98	C. wuellerstorfi
72.82	0.17	2.34	C. wuellerstorfi
72.92	0.56	2.48	C. wuellerstorfi
73.02	0.32	2.61	C. wuellerstorfi
73.12	0.33	2.75	C. wuellerstorfi
73.22	0.26	3.02	C. wuellerstorfi
73.32	0.00	2.91	C. wuellerstorfi
73.42	-0.18	3.12	C. wuellerstorfi
73.52	-0.07	2.82	C. wuellerstorfi
73.72	0.38	2.54	C. wuellerstorfi
74.12	-0.61	2.59	C. wuellerstorfi
74.22	0.37	2.30	C. wuellerstorfi
74.32	0.35	2.43	C. wuellerstorfi
74.42	0.22	2.64	C. wuellerstorfi
74.52	-0.44	3.16	C. wuellerstorfi
74.62	-0.45	3.35	C. wuellerstorfi
74.72	-0.60	3.16	C. wuellerstorfi
74.82	0.07	2.96	C. wuellerstorfi
75.22	0.69	2.37	C. wuellerstorfi
75.32	0.68	2.52	C. wuellerstorfi
75.52	0.41	2.58	C. wuellerstorfi
75.62	0.28	2.92	C. wuellerstorfi
75.72	-0.28	2.84	C. wuellerstorfi
75.82	-0.24	3.29	C. wuellerstorfi
75.92	-0.15	2.97	C. wuellerstorfi
76.02	-0.29	3.13	C. wuellerstorfi
76.12	0.29	2.56	C. wuellerstorfi
76.22	-0.20	2.80	C. wuellerstorfi
76.32	0.59	2.47	C. wuellerstorfi
76.42	0.53	2.50	C. wuellerstorfi
76.52	0.58	2.52	C. wuellerstorfi
76.62	0.00	2.90	C. wuellerstorfi
76.72	0.31	2.74	C. wuellerstorfi
76.82	-1.16	3.03	C. wuellerstorfi
77.12	-0.43	2.79	C. wuellerstorfi
77.22	-0.10	2.81	C. wuellerstorfi
77.32	0.18	2.74	C. wuellerstorfi
77.42	-0.21	2.57	C. wuellerstorfi
77.52	-0.24	2.94	C. wuellerstorfi
77.62	0.02	2.78	C. wuellerstorfi
77.72	0.17	2.64	C. wuellerstorfi
77.82	-0.21	2.47	C. wuellerstorfi
77.92	0.59	2.46	C. wuellerstorfi
78.02	0.61	2.30	C. wuellerstorfi
78.12	-0.11	2.83	C. wuellerstorfi
78.32	0.03	3.16	C. wuellerstorfi
78.42	-0.78	2.89	C. wuellerstorfi
78.52	0.01	2.78	C. wuellerstorfi
78.82	-0.32	2.87	C. wuellerstorfi
78.92	0.67	2.28	C. wuellerstorfi
79.12	0.81	2.55	C. wuellerstorfi
79.22	0.30	2.58	C. wuellerstorfi
79.32	0.12	2.68	C. wuellerstorfi
79.42	0.47	2.80	C. wuellerstorfi
79.52	0.39	2.92	C. wuellerstorfi
79.62	-0.22	2.48	C. wuellerstorfi
79.82	0.70	2.29	C. wuellerstorfi
80.02	0.38	2.61	C. wuellerstorfi
80.04	-0.55	2.81	C. wuellerstorfi
80.14	0.05	2.79	C. wuellerstorfi
80.24	-0.08	3.75	C. wuellerstorfi
80.34	-0.35	3.32	C. wuellerstorfi
80.42	-0.09	3.08	C. wuellerstorfi
80.64	-0.33	2.87	C. wuellerstorfi
80.74	0.21	2.81	C. wuellerstorfi
80.94	0.27	2.77	C. wuellerstorfi
81.04	0.60	2.26	C. wuellerstorfi
81.14	0.66	2.30	C. wuellerstorfi
81.24	0.73	2.38	C. wuellerstorfi
81.34	0.10	2.41	C. wuellerstorfi
81.44	0.49	2.04	C. wuellerstorfi
81.54	0.58	2.33	C. wuellerstorfi
81.74	0.15	2.81	C. wuellerstorfi
81.84	0.00	3.08	C. wuellerstorfi
81.94	-0.60	3.47	C. wuellerstorfi
82.04	-0.09	3.67	C. wuellerstorfi
82.34	-0.01	2.78	C. wuellerstorfi
82.44	0.42	2.69	C. wuellerstorfi
82.54	-0.11	2.42	C. wuellerstorfi
82.64	0.44	2.66	C. wuellerstorfi
82.74	-0.21	2.96	C. wuellerstorfi
82.94	-0.48	3.04	C. wuellerstorfi
83.04	-0.31	3.52	C. wuellerstorfi
83.14	-0.17	3.41	C. wuellerstorfi
83.34	-0.19	3.34	C. wuellerstorfi
83.54	0.12	2.75	C. wuellerstorfi
83.74	0.37	1.89	C. wuellerstorfi
83.94	-0.36	2.28	C. wuellerstorfi
84.04	0.41	2.33	C. wuellerstorfi
84.14	0.52	2.56	C. wuellerstorfi
84.34	0.58	2.59	C. wuellerstorfi
84.64	0.10	2.43	C. wuellerstorfi
84.94	0.39	2.31	C. wuellerstorfi
85.01	0.46	2.04	C. wuellerstorfi
85.14	0.52	2.25	C. wuellerstorfi
85.24	0.62	2.18	C. wuellerstorfi
85.34	0.59	2.37	C. wuellerstorfi
85.54	-0.45	2.94	C. wuellerstorfi
85.84	0.02	3.02	C. wuellerstorfi
85.94	0.38	2.87	C. wuellerstorfi
86.04	-0.37	2.83	C. wuellerstorfi
86.14	-0.10	2.53	C. wuellerstorfi
