ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
7H-5. 20-22	59.1	64.66	1313	C.wuellerstorfi	-0.01	0	2.98	0.64	-0.01	3.62
7H-5. 50-52	59.4	64.96	1320.9	C.wuellerstorfi	-0.333	0	3.314	0.64	-0.333	3.954
8H-1. 20-22	62.6	68.42	1407.78	C.wuellerstorfi	-0.189	0	2.888	0.64	-0.189	3.528
8H-1. 30-32	62.7	68.52	1408	C.wuellerstorfi	-0.251	0	3.059	0.64	-0.251	3.699
8H-1. 40-42	62.8	68.62	1409.17	C.wuellerstorfi	-0.502	0	3.395	0.64	-0.502	4.035
8H-1. 50-52	62.9	68.72	1410.33	C.wuellerstorfi	-0.38	0	3.394	0.64	-0.38	4.034
8H-1. 70-72	63.1	68.92	1412.67	C.wuellerstorfi	-0.521	0	3.724	0.64	-0.521	4.364
8H-1. 90-92	63.3	69.12	1415	C.wuellerstorfi	-0.379	0	3.302	0.64	-0.379	3.942
8H-1. 100-102	63.4	69.22	1418.02	C.wuellerstorfi	-0.321	0	3.333	0.64	-0.321	3.973
8H-1. 110-112	63.5	69.32	1421.04	C.wuellerstorfi	-0.257	0	3.323	0.64	-0.257	3.963
8H-1. 120-122	63.6	69.42	1424.06	C.wuellerstorfi	-0.231	0	3.182	0.64	-0.231	3.822
8H-1. 130-132	63.7	69.52	1427.08	C.wuellerstorfi	-0.132	0	3.022	0.64	-0.132	3.662
8H-1. 140-142	63.8	69.62	1430.1	C.wuellerstorfi	-0.042	0	2.82	0.64	-0.042	3.46
8H-2. 0-2	63.9	69.72	1433.66	C.wuellerstorfi	0.004	0	2.933	0.64	0.004	3.573
8H-2. 10-12	64	69.82	1437.22	C.wuellerstorfi	0.136	0	2.867	0.64	0.136	3.507
8H-2. 40-42	64.3	70.12	1447.9	C.wuellerstorfi	-0.149	0	2.67	0.64	-0.149	3.31
8H-2. 50-52	64.4	70.22	1449.33	C.wuellerstorfi	-0.063	0	2.698	0.64	-0.063	3.338
8H-2. 70-72	64.6	70.42	1452.2	C.wuellerstorfi	-0.311	0	2.616	0.64	-0.311	3.256
8H-2. 80-82	64.7	70.52	1453.44	C.wuellerstorfi	-0.74	0	3.072	0.64	-0.74	3.712
8H-2. 100-102	64.9	70.72	1455.92	C.wuellerstorfi	-0.46	0	3.837	0.64	-0.46	4.477
8H-2. 110-112	65	70.82	1457.16	C.wuellerstorfi	-0.513	0	3.804	0.64	-0.513	4.444
8H-2. 120-122	65.1	70.92	1458.4	U.peregrina	-1.165	0.9	4.304	0	-0.265	4.304
8H-2. 130-132	65.2	71.02	1459.64	C.wuellerstorfi	-0.337	0	3.808	0.64	-0.337	4.448
8H-3. 0-2	65.4	71.22	1462.12	C.wuellerstorfi	-0.246	0	3.474	0.64	-0.246	4.114
8H-3. 10-12	65.5	71.32	1463.36	C.wuellerstorfi	0.074	0	3.292	0.64	0.074	3.932
8H-3. 20-22	65.6	71.42	1464.6	C.wuellerstorfi	0.023	0	3.091	0.64	0.023	3.731
8H-3. 30-32	65.7	71.52	1468.23	C.wuellerstorfi	-0.339	0	3.147	0.64	-0.339	3.787
8H-3. 40-42	65.8	71.62	1471.87	C.wuellerstorfi	0.176	0	2.829	0.64	0.176	3.469
8H-3. 50-52	65.9	71.72	1475.5	C.wuellerstorfi	0.281	0	3.028	0.64	0.281	3.668
8H-3. 60-62	66	71.82	1478.2	C.wuellerstorfi	0.216	0	3.161	0.64	0.216	3.801
8H-3. 70-72	66.1	71.92	1480.9	C.wuellerstorfi	0.062	0	2.717	0.64	0.062	3.357
8H-3. 80-82	66.2	72.02	1483.6	C.wuellerstorfi	0.112	0	3.129	0.64	0.112	3.769
8H-3. 90-92	66.3	72.12	1486.3	C.wuellerstorfi	0.154	0	3.003	0.64	0.154	3.643
8H-3. 100-102	66.4	72.22	1489.65	U.peregrina	-0.725	0.9	3.462	0	0.175	3.462
8H-3. 110-112	66.5	72.32	1493.16	C.wuellerstorfi	-0.391	0	2.05	0.64	-0.391	2.69
8H-3. 120-122	66.6	72.42	1496.67	U.peregrina	-1.191	0.9	4.312	0	-0.291	4.312
8H-3. 130-132	66.7	72.52	1500.33	U.peregrina	-0.939	0.9	4.54	0	-0.038	4.54
8H-3. 140-142	66.8	72.62	1504	C.wuellerstorfi	-0.106	0	3.931	0.64	-0.106	4.571
8H-4. 0-2	66.9	72.72	1508.55	C.wuellerstorfi	-0.19	0	3.797	0.64	-0.19	4.437
8H-4. 10-12	67	72.82	1513.1	U.peregrina	-0.888	0.9	4.533	0	0.012	4.533
8H-4. 20-22	67.1	72.92	1515.55	U.peregrina	-0.756	0.9	4.474	0	0.144	4.474
8H-4. 30-32	67.2	73.02	1518	U.peregrina	-0.603	0.9	4.449	0	0.297	4.449
8H-4. 40-42	67.3	73.12	1520.45	C.wuellerstorfi	-0.04	0	3.544	0.64	-0.04	4.184
8H-4. 50-52	67.4	73.22	1522.9	C.wuellerstorfi	0.11	0	3.24	0.64	0.11	3.88
8H-4. 60-62	67.5	73.32	1524.23	C.wuellerstorfi	0.272	0	3.315	0.64	0.272	3.955
8H-4. 70-72	67.6	73.42	1525.57	C.wuellerstorfi	0.214	0	3.149	0.64	0.214	3.789
8H-4. 80-82	67.7	73.52	1526.9	U.peregrina	-0.759	0.9	3.678	0	0.141	3.678
8H-4. 90-92	67.8	73.62	1528.23	C.wuellerstorfi	-0.298	0	3.402	0.64	-0.298	4.042
8H-4. 100-102	67.9	73.72	1529.57	U.peregrina	-1.188	0.9	3.964	0	-0.288	3.964
8H-4. 110-112	68	73.82	1530.9	C.wuellerstorfi	-0.281	0	3.963	0.64	-0.281	4.603
8H-4. 120-122	68.1	73.92	1532.23	C.wuellerstorfi	-0.436	0	3.746	0.64	-0.436	4.386
8H-4. 130-132	68.2	74.02	1533.57	C.wuellerstorfi	-0.372	0	3.925	0.64	-0.372	4.565
8H-4. 140-142	68.3	74.12	1534.9	C.wuellerstorfi	-0.266	0	3.869	0.64	-0.266	4.509
8H-5. 0-2	68.4	74.22	1536.23	U.peregrina	-1.181	0.9	4.624	0	-0.281	4.624
8H-5. 10-12	68.5	74.32	1537.57	C.wuellerstorfi	-0.325	0	3.837	0.64	-0.325	4.477
8H-5. 20-22	68.6	74.42	1538.9	U.peregrina	-0.808	0.9	4.45	0	0.092	4.45
8H-5. 30-32	68.7	74.52	1540.23	C.wuellerstorfi	-0.319	0	3.58	0.64	-0.319	4.22
8H-5. 40-42	68.8	74.62	1541.57	U.peregrina	-0.573	0.9	4.172	0	0.327	4.172
8H-5. 50-52	68.9	74.72	1542.9	C.wuellerstorfi	-0.065	0	3.391	0.64	-0.065	4.031
8H-5. 60-62	69	74.82	1544.59	C.wuellerstorfi	-0.105	0	3.331	0.64	-0.105	3.971
8H-5. 70-72	69.1	74.92	1546.27	C.wuellerstorfi	-0.078	0	3.319	0.64	-0.078	3.959
8H-5. 80-82	69.2	75.02	1547.96	C.wuellerstorfi	-0.133	0	3.372	0.64	-0.133	4.012
8H-5. 90-92	69.3	75.12	1549.64	C.wuellerstorfi	0.071	0	3.582	0.64	0.071	4.222
8H-5. 100-102	69.4	75.22	1551.33	C.wuellerstorfi	0.007	0	3.48	0.64	0.007	4.12
8H-5. 110-112	69.5	75.32	1553.01	U.peregrina	-0.745	0.9	3.861	0	0.155	3.861
8H-5. 120-122	69.6	75.42	1554.7	C.wuellerstorfi	0.098	0	2.913	0.64	0.098	3.553
8H-5. 130-132	69.7	75.52	1557.47	C.wuellerstorfi	0.133	0	3.132	0.64	0.133	3.772
8H-5. 140-142	69.8	75.62	1560.23	C.wuellerstorfi	-0.159	0	3.316	0.64	-0.159	3.956
8H-6. 0-2	69.9	75.72	1563	U.peregrina	-1.093	0.9	3.763	0	-0.193	3.763
8H-6. 10-12	70	75.82	1566.75	U.peregrina	-1.11	0.9	3.884	0	-0.21	3.884
8H-6. 20-22	70.1	75.92	1570.5	C.wuellerstorfi	-0.142	0	3.777	0.64	-0.142	4.417
8H-6. 30-32	70.2	76.02	1574.25	C.wuellerstorfi	-0.277	0	3.752	0.64	-0.277	4.392
8H-6. 40-42	70.3	76.12	1578	C.wuellerstorfi	-0.209	0	3.689	0.64	-0.209	4.329
9H-1. 100-102	72.9	79.48	1664	U.peregrina	-1.028	0.9	4.084	0	-0.128	4.084
9H-1. 110-112	73	79.58	1665.17	U.peregrina	-1.003	0.9	4.174	0	-0.103	4.174
9H-1. 120-122	73.1	79.68	1666.33	U.peregrina	-1.057	0.9	4.228	0	-0.157	4.228
9H-1. 130-132	73.2	79.78	1667.5	C.wuellerstorfi	-0.536	0	3.643	0.64	-0.536	4.283
9H-1. 140-142	73.3	79.88	1668.67	C.wuellerstorfi	-0.518	0	3.265	0.64	-0.518	3.905
9H-2. 0-2	73.4	79.98	1669.83	U.peregrina	-0.926	0.9	4.32	0	-0.026	4.32
9H-2. 10-12	73.5	80.08	1671	U.peregrina	-1.004	0.9	4.147	0	-0.104	4.147
9H-2. 20-22	73.6	80.18	1672.17	C.wuellerstorfi	-0.122	0	3.592	0.64	-0.122	4.232
9H-2. 30-32	73.7	80.28	1673.33	C.wuellerstorfi	-0.315	0	3.472	0.64	-0.315	4.112
9H-2. 40-42	73.8	80.38	1674.5	C.wuellerstorfi	-0.118	0	3.355	0.64	-0.118	3.995
9H-2. 50-52	73.9	80.48	1675.67	C.wuellerstorfi	-0.095	0	3.091	0.64	-0.095	3.731
9H-2. 60-62	74	80.58	1676.5	U.peregrina	-0.977	0.9	3.588	0	-0.077	3.588
9H-2. 70-72	74.1	80.68	1677.25	C.wuellerstorfi	-0.078	0	2.786	0.64	-0.078	3.426
9H-2. 80-82	74.2	80.78	1678	C.wuellerstorfi	-0.066	0	3.135	0.64	-0.066	3.775
9H-2. 90-92	74.3	80.88	1678.75	U.peregrina	-0.915	0.9	3.708	0	-0.015	3.708
9H-2. 100-102	74.4	80.98	1679.5	U.peregrina	-0.893	0.9	3.675	0	0.007	3.675
9H-2. 110-112	74.5	81.08	1681.17	U.peregrina	-0.997	0.9	3.755	0	-0.097	3.755
9H-2. 120-122	74.6	81.18	1682.83	U.peregrina	-0.914	0.9	3.859	0	-0.014	3.859
9H-2. 130-132	74.7	81.28	1684.5	U.peregrina	-1.237	0.9	3.85	0	-0.337	3.85
9H-2. 140-142	74.8	81.38	1688.93	C.wuellerstorfi	-0.372	0	3.113	0.64	-0.372	3.753
9H-3. 0-2	74.9	81.48	1693.37	C.wuellerstorfi	-0.465	0	3.167	0.64	-0.465	3.807
9H-3. 10-12	75	81.58	1697.8	C.wuellerstorfi	-0.393	0	3.152	0.64	-0.393	3.792
9H-3. 20-22	75.1	81.68	1699.34	C.wuellerstorfi	-0.602	0	3.72	0.64	-0.602	4.36
9H-3. 30-32	75.2	81.78	1700.88	C.wuellerstorfi	-0.517	0	3.59	0.64	-0.517	4.23
9H-3. 40-42	75.3	81.88	1702.42	C.wuellerstorfi	-0.431	0	3.487	0.64	-0.431	4.127
9H-3. 50-52	75.4	81.98	1703.96	C.wuellerstorfi	-0.496	0	3.447	0.64	-0.496	4.087
9H-3. 60-62	75.5	82.08	1705.51	C.wuellerstorfi	-0.432	0	3.528	0.64	-0.432	4.168
9H-3. 70-72	75.6	82.18	1707.05	U.peregrina	-1.109	0.9	3.958	0	-0.209	3.958
9H-3. 80-82	75.7	82.28	1708.59	C.wuellerstorfi	-0.366	0	3.141	0.64	-0.366	3.781
9H-3. 90-92	75.8	82.38	1710.13	C.wuellerstorfi	-0.188	0	3.181	0.64	-0.188	3.821
9H-3. 100-102	75.9	82.48	1712.33	U.peregrina	-0.679	0.9	3.561	0	0.221	3.561
9H-3. 110-112	76	82.58	1715.19	U.peregrina	-1.23	0.9	3.591	0	-0.33	3.591
9H-3. 120-122	76.1	82.68	1718.04	U.peregrina	-1.268	0.9	3.583	0	-0.368	3.583
9H-3. 130-132	76.2	82.78	1720.9	U.peregrina	-1.16	0.9	3.934	0	-0.26	3.934
9H-3. 140-142	76.3	82.88	1721.83	U.peregrina	-1.205	0.9	4	0	-0.305	4
9H-4. 0-2	76.4	82.98	1722.75	U.peregrina	-1.302	0.9	3.903	0	-0.402	3.903
9H-4. 10-12	76.5	83.08	1723.68	U.peregrina	-1.194	0.9	3.76	0	-0.294	3.76
9H-4. 20-22	76.6	83.18	1724.61	U.peregrina	-1.108	0.9	3.905	0	-0.208	3.905
9H-4. 30-32	76.7	83.28	1725.54	C.wuellerstorfi	-0.438	0	3.028	0.64	-0.438	3.668
9H-4. 40-42	76.8	83.38	1728.35	C.wuellerstorfi	-0.405	0	3.174	0.64	-0.405	3.814
9H-4. 50-52	76.9	83.48	1733.05	U.peregrina	-1.109	0.9	3.476	0	-0.209	3.476
9H-4. 60-62	77	83.58	1737.75	C.wuellerstorfi	-0.402	0	2.92	0.64	-0.402	3.56
9H-4. 70-72	77.1	83.68	1740.92	C.wuellerstorfi	-0.574	0	3.205	0.64	-0.574	3.845
9H-4. 80-82	77.2	83.78	1742.56	C.wuellerstorfi	-0.489	0	3.01	0.64	-0.489	3.65
9H-4. 90-92	77.3	83.88	1744.2	U.peregrina	-1.056	0.9	3.731	0	-0.156	3.731
9H-4. 100-102	77.4	83.98	1745.84	C.wuellerstorfi	-0.311	0	3.021	0.64	-0.311	3.661
9H-4. 110-112	77.5	84.08	1747.48	U.peregrina	-0.943	0.9	3.799	0	-0.042	3.799
9H-4. 120-122	77.6	84.18	1749.11	U.peregrina	-0.808	0.9	4.049	0	0.092	4.049
9H-4. 130-132	77.7	84.28	1750.75	U.peregrina	-0.859	0.9	3.624	0	0.041	3.624
9H-4. 140-142	77.8	84.38	1752.69	U.peregrina	-0.786	0.9	3.496	0	0.114	3.496
9H-5. 0-2	77.9	84.48	1755.33	U.peregrina	-0.722	0.9	3.58	0	0.178	3.58
9H-5. 10-12	78	84.58	1757.96	C.wuellerstorfi	0.045	0	3.1	0.64	0.045	3.74
9H-5. 20-22	78.1	84.68	1760.6	C.wuellerstorfi	-0.107	0	2.682	0.64	-0.107	3.322
9H-5. 30-32	78.2	84.78	1763.5	C.wuellerstorfi	-0.171	0	2.733	0.64	-0.171	3.373
9H-5. 40-42	78.3	84.88	1766.4	C.wuellerstorfi	0.055	0	3.065	0.64	0.055	3.705
9H-5. 50-52	78.4	84.98	1769.3	C.wuellerstorfi	-0.218	0	3.23	0.64	-0.218	3.87
9H-5. 60-62	78.5	85.08	1772.2	U.peregrina	-1.019	0.9	3.485	0	-0.119	3.485
9H-5. 70-72	78.6	85.18	1775.1	C.wuellerstorfi	-0.187	0	3.097	0.64	-0.187	3.737
9H-5. 80-82	78.7	85.28	1778	C.wuellerstorfi	-0.19	0	3.164	0.64	-0.19	3.804
9H-5. 90-92	78.8	85.38	1780.9	C.wuellerstorfi	-0.649	0	3.193	0.64	-0.649	3.833
9H-5. 100-102	78.9	85.48	1783.8	U.peregrina	-1.125	0.9	3.84	0	-0.225	3.84
9H-5. 110-112	79	85.58	1785.95	C.wuellerstorfi	-0.527	0	3.356	0.64	-0.527	3.996
9H-5. 120-122	79.1	85.68	1788.09	U.peregrina	-1.097	0.9	4.169	0	-0.197	4.169
9H-5. 130-132	79.2	85.78	1790.24	C.wuellerstorfi	-0.437	0	3.57	0.64	-0.437	4.21
9H-5. 140-142	79.3	85.88	1792.39	C.wuellerstorfi	-0.424	0	3.307	0.64	-0.424	3.947
9H-6. 0-2	79.4	85.98	1794.54	C.wuellerstorfi	-0.293	0	3.143	0.64	-0.293	3.783
9H-6. 10-12	79.5	86.08	1796.68	C.wuellerstorfi	-0.273	0	3.575	0.64	-0.273	4.215
9H-6. 20-22	79.6	86.18	1798.57	U.peregrina	-1.044	0.9	3.903	0	-0.144	3.903
9H-6. 30-32	79.7	86.28	1799.43	C.wuellerstorfi	-0.225	0	3.277	0.64	-0.225	3.917
9H-6. 40-42	79.8	86.38	1800.29	C.wuellerstorfi	-0.54	0	3.073	0.64	-0.54	3.713
9H-6. 50-52	79.9	86.48	1801.14	C.wuellerstorfi	-0.136	0	3.072	0.64	-0.136	3.712
9H-6. 60-62	80	86.58	1802	C.wuellerstorfi	-0.358	0	2.903	0.64	-0.358	3.543
9H-6. 70-72	80.1	86.68	1806.45	U.peregrina	-1.372	0.9	3.669	0	-0.472	3.669
9H-6. 80-82	80.2	86.78	1810.9	C.wuellerstorfi	-0.207	0	2.73	0.64	-0.207	3.37
9H-6. 90-92	80.3	86.88	1813.4	C.wuellerstorfi	-0.238	0	3.004	0.64	-0.238	3.644
9H-6. 100-102	80.4	86.98	1815.9	C.wuellerstorfi	-0.191	0	2.936	0.64	-0.191	3.576
9H-6. 110-112	80.5	87.08	1818.4	C.wuellerstorfi	-0.131	0	2.993	0.64	-0.131	3.633
9H-6. 120-122	80.6	87.18	1820.9	C.wuellerstorfi	-0.146	0	2.968	0.64	-0.146	3.608
9H-6. 130-132	80.7	87.28	1823.4	U.peregrina	-1.068	0.9	3.65	0	-0.168	3.65
9H-6. 140-142	80.8	87.38	1825.9	C.wuellerstorfi	-0.296	0	2.857	0.64	-0.296	3.497
9H-7. 0-2	80.9	87.48	1827.97	C.wuellerstorfi	-0.255	0	2.878	0.64	-0.255	3.518
9H-7. 10-12	81	87.58	1830.03	C.wuellerstorfi	-0.495	0	2.761	0.64	-0.495	3.401
9H-7. 20-22	81.1	87.68	1832.1	C.wuellerstorfi	-0.35	0	3.135	0.64	-0.35	3.775
9H-7. 30-32	81.2	87.78	1835	U.peregrina	-1.012	0.9	3.862	0	-0.112	3.862
11H-1. 30-32	91.2	98.3	2084.9	C.wuellerstorfi	-0.511	0	3.321	0.64	-0.511	3.961
11H-1. 40-42	91.3	98.4	2085.38	C.wuellerstorfi	-0.426	0	3.52	0.64	-0.426	4.16
11H-1. 50-52	91.4	98.5	2085.86	U.peregrina	-1.085	0.9	4.123	0	-0.185	4.123
11H-1. 60-62	91.5	98.6	2086.34	U.peregrina	-0.993	0.9	3.784	0	-0.093	3.784
11H-1. 70-72	91.6	98.7	2086.82	C.wuellerstorfi	-0.387	0	3.38	0.64	-0.387	4.02
11H-1. 80-82	91.7	98.8	2087.3	C.wuellerstorfi	-0.21	0	3.126	0.64	-0.21	3.766
11H-1. 90-92	91.8	98.9	2087.78	C.wuellerstorfi	-0.613	0	3.168	0.64	-0.613	3.808
11H-1. 100-102	91.9	99	2088.26	C.wuellerstorfi	-0.303	0	3.11	0.64	-0.303	3.75
11H-1. 110-112	92	99.1	2090.76	C.wuellerstorfi	-0.262	0	2.923	0.64	-0.262	3.563
11H-1. 120-122	92.1	99.2	2095.28	U.peregrina	-1.036	0.9	3.484	0	-0.136	3.484
11H-1. 130-132	92.2	99.3	2099.8	C.wuellerstorfi	-0.323	0	3.049	0.64	-0.323	3.689
11H-1. 140-142	92.3	99.4	2102.48	U.peregrina	-1.26	0.9	3.634	0	-0.36	3.634
11H-2. 0-2	92.4	99.5	2105.16	C.wuellerstorfi	-0.316	0	3.092	0.64	-0.316	3.732
11H-2. 10-12	92.5	99.6	2107.84	U.peregrina	-1.08	0.9	3.651	0	-0.18	3.651
11H-2. 20-22	92.6	99.7	2110.52	C.wuellerstorfi	-0.325	0	2.989	0.64	-0.325	3.629
11H-2. 30-32	92.7	99.8	2113.2	C.wuellerstorfi	-0.28	0	2.851	0.64	-0.28	3.491
11H-2. 40-42	92.8	99.9	2115.93	C.wuellerstorfi	-0.321	0	2.982	0.64	-0.321	3.622
11H-2. 50-52	92.9	100	2118.66	C.wuellerstorfi	-0.372	0	3.182	0.64	-0.372	3.822
11H-2. 60-62	93	100.1	2121.39	U.peregrina	-1.055	0.9	3.504	0	-0.155	3.504
11H-2. 70-72	93.1	100.2	2124.11	C.wuellerstorfi	-0.422	0	3.084	0.64	-0.422	3.724
11H-2. 80-82	93.2	100.3	2126.84	C.wuellerstorfi	-0.081	0	3.213	0.64	-0.081	3.853
11H-2. 90-92	93.3	100.4	2129.57	U.peregrina	-0.784	0.9	3.67	0	0.116	3.67
11H-2. 100-102	93.4	100.5	2132.3	C.wuellerstorfi	-0.093	0	2.757	0.64	-0.093	3.397
11H-2. 110-112	93.5	100.6	2134.13	C.wuellerstorfi	-0.003	0	2.806	0.64	-0.003	3.446
11H-2. 120-122	93.6	100.7	2135.95	C.wuellerstorfi	-0.165	0	2.888	0.64	-0.165	3.528
11H-2. 130-132	93.7	100.8	2137.78	C.wuellerstorfi	-0.25	0	2.852	0.64	-0.25	3.492
11H-2. 140-142	93.8	100.9	2139.6	C.wuellerstorfi	-0.265	0	2.888	0.64	-0.265	3.528
11H-3. 0-2	93.9	101	2145.7	C.wuellerstorfi	-0.607	0	3.214	0.64	-0.607	3.854
11H-3. 10-12	94	101.1	2151.8	C.wuellerstorfi	-0.378	0	3.196	0.64	-0.378	3.836
11H-3. 20-22	94.1	101.2	2157.9	C.wuellerstorfi	-0.493	0	3.319	0.64	-0.493	3.959
11H-3. 30-32	94.2	101.3	2160.64	C.wuellerstorfi	-0.521	0	3.74	0.64	-0.521	4.38
11H-3. 40-42	94.3	101.4	2163.38	C.wuellerstorfi	-0.642	0	3.515	0.64	-0.642	4.155
11H-3. 50-52	94.4	101.5	2166.12	C.wuellerstorfi	-0.595	0	3.748	0.64	-0.595	4.388
11H-3. 60-62	94.5	101.6	2168.86	U.peregrina	-1.14	0.9	4.232	0	-0.24	4.232
11H-3. 70-72	94.6	101.7	2171.6	C.wuellerstorfi	-0.716	0	3.609	0.64	-0.716	4.249
11H-3. 80-82	94.7	101.8	2172.79	U.peregrina	-1.136	0.9	4.18	0	-0.236	4.18
11H-3. 90-92	94.8	101.9	2173.98	C.wuellerstorfi	-0.59	0	3.518	0.64	-0.59	4.158
11H-3. 100-102	94.9	102	2175.17	C.wuellerstorfi	-0.452	0	3.623	0.64	-0.452	4.263
11H-3. 110-112	95	102.1	2176.36	C.wuellerstorfi	-0.413	0	3.39	0.64	-0.413	4.03
11H-3. 120-122	95.1	102.2	2177.55	C.wuellerstorfi	-0.307	0	3.278	0.64	-0.307	3.918
11H-3. 130-132	95.2	102.3	2178.74	C.wuellerstorfi	-0.396	0	3.095	0.64	-0.396	3.735
11H-3. 140-142	95.3	102.4	2179.93	C.wuellerstorfi	-0.223	0	3.268	0.64	-0.223	3.908
11H-4. 0-2	95.4	102.5	2181.12	C.wuellerstorfi	-0.187	0	2.987	0.64	-0.187	3.627
11H-4. 10-12	95.5	102.6	2182.31	C.wuellerstorfi	-0.067	0	2.908	0.64	-0.067	3.548
11H-4. 20-22	95.6	102.7	2183.5	C.wuellerstorfi	-0.032	0	2.697	0.64	-0.032	3.337
11H-4. 30-32	95.7	102.8	2184.88	C.wuellerstorfi	-0.164	0	3.018	0.64	-0.164	3.658
11H-4. 40-42	95.8	102.9	2186.25	C.wuellerstorfi	-0.149	0	2.861	0.64	-0.149	3.501
11H-4. 50-52	95.9	103	2187.63	C.wuellerstorfi	-0.191	0	3.052	0.64	-0.191	3.692
11H-4. 60-62	96	103.1	2189	C.wuellerstorfi	-0.29	0	2.937	0.64	-0.29	3.577
11H-4. 70-72	96.1	103.2	2191.13	C.wuellerstorfi	-0.237	0	3.117	0.64	-0.237	3.757
11H-4. 80-82	96.2	103.3	2193.26	U.peregrina	-0.966	0.9	3.99	0	-0.065	3.99
11H-4. 90-92	96.3	103.4	2195.39	U.peregrina	-1.137	0.9	4.001	0	-0.237	4.001
11H-4. 100-102	96.4	103.5	2197.51	U.peregrina	-1.084	0.9	3.993	0	-0.184	3.993
11H-4. 110-112	96.5	103.6	2199.64	C.wuellerstorfi	-0.392	0	3.087	0.64	-0.392	3.727
11H-4. 120-122	96.6	103.7	2201.77	C.wuellerstorfi	-0.309	0	3.25	0.64	-0.309	3.89
11H-4. 140-142	96.8	103.9	2204.78	C.wuellerstorfi	-0.356	0	2.959	0.64	-0.356	3.599
11H-5. 0-2	96.9	104	2205.66	C.wuellerstorfi	-0.39	0	2.847	0.64	-0.39	3.487
11H-5. 10-12	97	104.1	2206.53	C.wuellerstorfi	-0.45	0	2.93	0.64	-0.45	3.57
11H-5. 20-22	97.1	104.2	2207.41	C.wuellerstorfi	-0.324	0	2.949	0.64	-0.324	3.589
11H-5. 30-32	97.2	104.3	2208.29	C.wuellerstorfi	-0.354	0	2.96	0.64	-0.354	3.6
11H-5. 40-42	97.3	104.4	2209.17	C.wuellerstorfi	-0.233	0	2.694	0.64	-0.233	3.334
11H-5. 50-52	97.4	104.5	2210.04	U.peregrina	-1.09	0.9	3.347	0	-0.19	3.347
11H-5. 60-62	97.5	104.6	2210.92	C.wuellerstorfi	-0.282	0	2.831	0.64	-0.282	3.471
11H-5. 70-72	97.6	104.7	2211.8	C.wuellerstorfi	-0.33	0	2.667	0.64	-0.33	3.307
11H-5. 80-82	97.7	104.8	2218.26	C.wuellerstorfi	-0.414	0	2.893	0.64	-0.414	3.533
11H-5. 90-92	97.8	104.9	2224.71	C.wuellerstorfi	-0.353	0	2.823	0.64	-0.353	3.463
12H-1. 112-114	101.52	108.98	2341.13	U.peregrina	-0.634	0.9	3.15	0	0.266	3.15
12H-1. 118-120	101.58	109.04	2341.86	U.peregrina	-0.848	0.9	3.151	0	0.052	3.151
12H-1. 132-134	101.72	109.18	2343.58	U.peregrina	-0.831	0.9	3.165	0	0.069	3.165
12H-1. 142-144	101.82	109.28	2344.8	C.wuellerstorfi	-0.479	0	2.672	0.64	-0.479	3.312
12H-2. 2-4	101.92	109.38	2349.12	C.wuellerstorfi	-0.288	0	2.79	0.64	-0.288	3.43
12H-2. 12-14	102.02	109.48	2353.44	U.peregrina	-0.799	0.9	3.933	0	0.101	3.933
12H-2. 22-24	102.12	109.58	2357.76	U.peregrina	-1.149	0.9	3.941	0	-0.249	3.941
12H-2. 34-36	102.24	109.7	2362.94	U.peregrina	-1.207	0.9	3.967	0	-0.307	3.967
12H-2. 42-44	102.32	109.78	2365.52	U.peregrina	-1.244	0.9	3.583	0	-0.344	3.583
12H-2. 52-54	102.42	109.88	2366.92	U.peregrina	-1.221	0.9	3.745	0	-0.321	3.745
12H-2. 62-64	102.52	109.98	2368.31	U.peregrina	-1.098	0.9	3.694	0	-0.198	3.694
12H-2. 72-74	102.62	110.08	2369.71	U.peregrina	-1.068	0.9	3.698	0	-0.168	3.698
12H-2. 82-84	102.72	110.18	2371.11	U.peregrina	-0.951	0.9	3.74	0	-0.05	3.74
12H-2. 102-104	102.92	110.38	2373.9	C.wuellerstorfi	-0.078	0	2.837	0.64	-0.078	3.477
12H-2. 112-114	103.02	110.48	2375.3	C.wuellerstorfi	-0.104	0	2.669	0.64	-0.104	3.309
12H-2. 122-124	103.12	110.58	2376.7	C.wuellerstorfi	-0.044	0	2.354	0.64	-0.044	2.994
12H-2. 132-134	103.22	110.68	2381.23	C.wuellerstorfi	-0.072	0	2.658	0.64	-0.072	3.298
12H-2. 142-144	103.32	110.78	2385.77	C.wuellerstorfi	-0.108	0	2.087	0.64	-0.108	2.727
12H-3. 2-4	103.42	110.88	2390.3	C.wuellerstorfi	-0.092	0	2.356	0.64	-0.092	2.996
12H-3. 12-14	103.52	110.98	2405.72	C.wuellerstorfi	-0.242	0	2.554	0.64	-0.242	3.194
