# NOAA Paleoclimatology Program - Paleocean Site Data
# odp981d_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Amy E. Draut
# Core/Site:      ODP981
# Latitude:       55.28.00N	( 55.46667)
# Longitude:      14.39.00W	( -14.65)
# Water Depth(m): 2173
#
# Publications:
#   Draut, A.E., M.E. Raymo, J.F. McManus, and D.W. Oppo. 2003. Climate stability
#     during the Pliocene warm period. Paleoceanography 18(4):1078.
#------------------
#
# Description & Notes:
#   Pliocene Warm Period Foraminifer Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#             d13Ccibid     delta C13 PDB (Cibicidoides sp.)
#             d13Cn.pachy-r delta C13 PDB (Neogloboquadrina pachyderma (right coiling))
#             d18Ocibid     delta O18 PDB (Cibicidoides sp.)
#             d18On.pachy-r delta O18 PDB (Neogloboquadrina pachyderma (right coiling))
#
# CORE: ODP981
depth         yrBP          d18Oc.wuell   d13Ccibid     d13Cn.pachy-r d18Ocibid     d18On.pachy-r notes
 9034          1542330       2.85         -999          -999          -999          -999                        
 9049          1546610       2.94         -999          -999          -999          -999                        
 9064          1550920       2.85         -999          -999          -999          -999                        
 9079          1555240       2.45         -999          -999          -999          -999                        
 9094          1556470       2.79         -999          -999          -999          -999                        
 9109          1557710       2.82         -999          -999          -999          -999                        
 9124          1558960       2.86         -999          -999          -999          -999                        
 9139          1560200       2.79         -999          -999          -999          -999                        
 9154          1561440       2.61         -999          -999          -999          -999                        
 9169          1563460       3.06         -999          -999          -999          -999                        
 9199          1567530       3.79         -999          -999          -999          -999                        
 9214          1569180       3.73         -999          -999          -999          -999                        
 9229          1570810       3.64         -999          -999          -999          -999                        
 9244          1572420       3.36         -999          -999          -999          -999                        
 9259          1574060       3.57         -999          -999          -999          -999                        
 9274          1575660       3.37         -999          -999          -999          -999                        
 9289          1577290       3.12         -999          -999          -999          -999                        
 9304          1578950       3.12         -999          -999          -999          -999                        
 9319          1580570       2.93         -999          -999          -999          -999                        
 9334          1582180       2.87         -999          -999          -999          -999                        
 9364          1583370       3.18         -999          -999          -999          -999                        
 9379          1583970       3.13         -999          -999          -999          -999                        
 9394          1584570       3.29         -999          -999          -999          -999                        
 9409          1585160       3.69         -999          -999          -999          -999                        
 9424          1585750       3.49         -999          -999          -999          -999                        
 9439          1586350       3.48         -999          -999          -999          -999                        
 9454          1586950       3.83         -999          -999          -999          -999                        
 9469          1587900       3.24         -999          -999          -999          -999                        
 9484          1588860       3.75         -999          -999          -999          -999                        
 9499          1589820       3.08         -999          -999          -999          -999                        
 9514          1590760       3.07         -999          -999          -999          -999                        
 9529          1591720       3.16         -999          -999          -999          -999                        
 9544          1592680       3.09         -999          -999          -999          -999                        
 9559          1593630       3.11         -999          -999          -999          -999                        
 9574          1594590       3.06         -999          -999          -999          -999                        
 9589          1595540       3.06         -999          -999          -999          -999                        
 9604          1596500       3.05         -999          -999          -999          -999                        
 9619          1597450       3.11         -999          -999          -999          -999                        
 9634          1598420       3.09         -999          -999          -999          -999                        
 9649          1599370       3.08         -999          -999          -999          -999                        
 9664          1599640       3.16         -999          -999          -999          -999                        
 9679          1599900       3.71         -999          -999          -999          -999                        
 9694          1600170       3.74         -999          -999          -999          -999                        
 9719          1601540       3.11         -999          -999          -999          -999                        
 9723          1601770       3.15         -999          -999          -999          -999                        
 9724          1601820       3.1          -999          -999          -999          -999                        
 9738          1602590       3            -999          -999          -999          -999                        
 9739          1602610       3            -999          -999          -999          -999                        
 9754          1602900       3.38         -999          -999          -999          -999                        
 9756          1602930       3.31         -999          -999          -999          -999                        
 9764          1603090       2.71         -999          -999          -999          -999                        
 9768          1603170       3.23         -999          -999          -999          -999                        
 9783          1603460       3.85         -999          -999          -999          -999                        
 9798          1603740       3.05         -999          -999          -999          -999                        
 9813          1604030       3.18         -999          -999          -999          -999                        
 9828          1604330       2.99         -999          -999          -999          -999                        
 9843          1604610       2.94         -999          -999          -999          -999                        
 9873          1605020       3.13         -999          -999          -999          -999                        
 9888          1605230       3.12         -999          -999          -999          -999                        
 9903          1605430       3.16         -999          -999          -999          -999                        
 9918          1605630       3.25         -999          -999          -999          -999                        
 9933          1605840       3.3          -999          -999          -999          -999                        
 9945          1606010       3.22         -999          -999          -999          -999                        
 9948          1606050       3.07         -999          -999          -999          -999                        
 9960          1606210       3.22         -999          -999          -999          -999                        
 9963          1606250       3.35         -999          -999          -999          -999                        
 9975          1606410       3.18         -999          -999          -999          -999                        
 9978          1606460       3.18         -999          -999          -999          -999                        
 9990          1606630       2.95         -999          -999          -999          -999                        
 10005         1606830       2.92         -999          -999          -999          -999                        
 10020         1607410       2.72         -999          -999          -999          -999                        
 10035         1608540       3.03         -999          -999          -999          -999                        
 10050         1609670       3.05         -999          -999          -999          -999                        
 10065         1610810       3.14         -999          -999          -999          -999                        
 10080         1611950       3.17         -999          -999          -999          -999                        
 10095         1613090       2.74         -999          -999          -999          -999                        
 10110         1614310       3.35         -999          -999          -999          -999                        
 10125         1615540       3.53         -999          -999          -999          -999                        
 10140         1616760       3.82         -999          -999          -999          -999                        
 10155         1618620       3.72         -999          -999          -999          -999                        
 10170         1620490       3.2          -999          -999          -999          -999                        
 10185         1622350       3.12         -999          -999          -999          -999                        
 10200         1624220       3.47         -999          -999          -999          -999                        
 10215         1626070       2.99         -999          -999          -999          -999                        
 10230         1627930       2.88         -999          -999          -999          -999                        
 10245         1629790       2.83         -999          -999          -999          -999                        
 10260         1631130       2.85         -999          -999          -999          -999                        
 10275         1632460       2.96         -999          -999          -999          -999                        
 10290         1633790       3.08         -999          -999          -999          -999                        
 10305         1635120       2.99         -999          -999          -999          -999                        
 10320         1636460       3.03         -999          -999          -999          -999                        
 10335         1637780       3.11         -999          -999          -999          -999                        
 10350         1639130       3.15         -999          -999          -999          -999                        
 10365         1640450       3.13         -999          -999          -999          -999                        
 10395         1643110       3.74         -999          -999          -999          -999                        
 10410         1644440       3.34         -999          -999          -999          -999                        
 10425         1645520       3.48         -999          -999          -999          -999                        
 10440         1646610       3.94         -999          -999          -999          -999                        
 10455         1650110       3.57         -999          -999          -999          -999                        
 10470         1653600       3.27         -999          -999          -999          -999                        
 10485         1657100       3.24         -999          -999          -999          -999                        
 10500         1660570       3.12         -999          -999          -999          -999                        
 10515         1664070       3.18         -999          -999          -999          -999                        
 10530         1667580       3.13         -999          -999          -999          -999                        
 10545         1671070       3.08         -999          -999          -999          -999                        
 10560         1674570       3.12         -999          -999          -999          -999                        
 10575         1678040       3.36         -999          -999          -999          -999                        
 10576         1678280       3.14         -999          -999          -999          -999                        
 10590         1681550       3.22         -999          -999          -999          -999                        
 10591         1681780       2.92         -999          -999          -999          -999                        
 10605         1684550       3.18         -999          -999          -999          -999                        
 10606         1684740       3.53         -999          -999          -999          -999                        
 10621         1687050       3.93         -999          -999          -999          -999                        
 10636         1688500       3.44         -999          -999          -999          -999                        
 10651         1689950       3.5          -999          -999          -999          -999                        
 10661         1690910       3.2          -999          -999          -999          -999                        
 10676         1692370       3.21         -999          -999          -999          -999                        
 10691         1693810       3.05         -999          -999          -999          -999                        
 10708         1695440       2.9          -999          -999          -999          -999                        
 10721         1696690       2.73         -999          -999          -999          -999                        
 10751         1698670       2.9          -999          -999          -999          -999                        
 10766         1699410       2.8          -999          -999          -999          -999                        
 10781         1700160       2.85         -999          -999          -999          -999                        
 10796         1700910       3.21         -999          -999          -999          -999                        
 10811         1701660       2.9          -999          -999          -999          -999                        
 10826         1702160       3.05         -999          -999          -999          -999                        
 10841         1702670       3.12         -999          -999          -999          -999                        
 10856         1703180       3.23         -999          -999          -999          -999                        
 10871         1703680       3.3          -999          -999          -999          -999                        
 10886         1704190       3.29         -999          -999          -999          -999                        
 10901         1704690       3.32         -999          -999          -999          -999                        
 10931         1705710       3.43         -999          -999          -999          -999                        
 10946         1706220       3.26         -999          -999          -999          -999                        
 10961         1706720       3.69         -999          -999          -999          -999                        
 10976         1708420       3.45         -999          -999          -999          -999                        
 10990         1710000       3.13         -999          -999          -999          -999                        
 11006         1711810       2.84         -999          -999          -999          -999                        
 11021         1715470       3.17         -999          -999          -999          -999                        
 11036         1719110       2.91         -999          -999          -999          -999                        
 11051         1722780       3.16         -999          -999          -999          -999                        
 11066         1726410       3.16         -999          -999          -999          -999                        
 11081         1730060       3.07         -999          -999          -999          -999                        
 11096         1731450       3.03         -999          -999          -999          -999                        
 11111         1732850       3            -999          -999          -999          -999                        
 11126         1734250       2.98         -999          -999          -999          -999                        
 11142         1735740       3.04         -999          -999          -999          -999                        
 11156         1737040       2.96         -999          -999          -999          -999                        
 11171         1738440       2.91         -999          -999          -999          -999                        
 11187         1739930       2.87         -999          -999          -999          -999                        
 11201         1741230       2.83         -999          -999          -999          -999                        
 11210         1742500       3.19         -999          -999          -999          -999                        
 11216         1743350       3.27         -999          -999          -999          -999                        
 11225         1750150       2.59         -999          -999          -999          -999                        
 11231         1754670       3.5          -999          -999          -999          -999                        
 11240         1761480       3.08         -999          -999          -999          -999                        
 11255         1772730       3.64         -999          -999          -999          -999                        
 11270         1777360       3.62         -999          -999          -999          -999                        
 11285         1780820       3.28         -999          -999          -999          -999                        
 11300         1784260       3.43         -999          -999          -999          -999                        
 11315         1787740       3.02         -999          -999          -999          -999                        
 11330         1789990       3.06         -999          -999          -999          -999                        
 11345         1792240       3.41         -999          -999          -999          -999                        
 11360         1794490       3.31         -999          -999          -999          -999                        
 11375         1796750       3.18         -999          -999          -999          -999                        
 11390         1798980       3.15         -999          -999          -999          -999                        
 11405         1801250       3.08         -999          -999          -999          -999                        
 11420         1803500       3.14         -999          -999          -999          -999                        
 11435         1805750       3.34         -999          -999          -999          -999                        
 11450         1808000       2.78         -999          -999          -999          -999                        
 11465         1810260       3.5          -999          -999          -999          -999                        
 11480         1812510       3.3          -999          -999          -999          -999                        
 11495         1814780       2.87         -999          -999          -999          -999                        
 11510         1817030       3.34         -999          -999          -999          -999                        
 11525         1819270       3.05         -999          -999          -999          -999                        
 11540         1821510       3.8          -999          -999          -999          -999                        
 11555         1833970       2.98         -999          -999          -999          -999                        
 11570         1846430       2.88         -999          -999          -999          -999                        
 11585         1858890       2.91         -999          -999          -999          -999                        
 11600         1860570       2.89         -999          -999          -999          -999                        
 11615         1862300       2.88         -999          -999          -999          -999                        
 11630         1863810       2.85         -999          -999          -999          -999                        
 11645         1865240       2.83         -999          -999          -999          -999                        
 11660         1866650       2.82         -999          -999          -999          -999                        
 11675         1868050       2.8          -999          -999          -999          -999                        
 11690         1869450       2.79         -999          -999          -999          -999                        
 11705         1870900       3            -999          -999          -999          -999                        
 11720         1874210       2.87         -999          -999          -999          -999                        
 11735         1877530       3.12         -999          -999          -999          -999                        
 11750         1880850       3.05         -999          -999          -999          -999                        
 11780         1887490       3.29         -999          -999          -999          -999                        
 11795         1890810       3.12         -999          -999          -999          -999                        
 11810         1894130       3.22         -999          -999          -999          -999                        
 11825         1897440       3.59         -999          -999          -999          -999                        
 11840         1900760       3.79         -999          -999          -999          -999                        
 11855         1904070       3.9          -999          -999          -999          -999                        
 11870         1907400       3.7          -999          -999          -999          -999                        
 11885         1910690       3.4          -999          -999          -999          -999                        
 11900         1914000       3.38         -999          -999          -999          -999                        
 11915         1917310       3.67         -999          -999          -999          -999                        
 11925         1919550       3.18         -999          -999          -999          -999                        
 11930         1920640       3.36         -999          -999          -999          -999                        
 11945         1923930       3.17         -999          -999          -999          -999                        
 11965         1928360       3.05         -999          -999          -999          -999                        
 11985         1932770       2.93         -999          -999          -999          -999                        
 12005         1937180       2.88         -999          -999          -999          -999                        
 12025         1941590       2.87         -999          -999          -999          -999                        
 12045         1943870       2.87         -999          -999          -999          -999                        
 12065         1945680       2.83         -999          -999          -999          -999                        
 12085         1947670       2.89         -999          -999          -999          -999                        
 12103         1949480       2.85         -999          -999          -999          -999                        
 12120         1951170       2.91         -999          -999          -999          -999                        
 12140         1953170       3.05         -999          -999          -999          -999                        
 12160         1955160       3.49         -999          -999          -999          -999                        
 12180         1957150       3.47         -999          -999          -999          -999                        
 12200         1959150       3.31         -999          -999          -999          -999                        
 12220         1961150       3.26         -999          -999          -999          -999                        
 12240         1963130       3.48         -999          -999          -999          -999                        
 12260         1965140       3.16         -999          -999          -999          -999                        
 12280         1967130       3.15         -999          -999          -999          -999                        
 12300         1969130       3.24         -999          -999          -999          -999                        
 12320         1971130       2.99         -999          -999          -999          -999                        
 12340         1973120       2.87         -999          -999          -999          -999                        
 12360         1975120       2.76         -999          -999          -999          -999                        
 12380         1977120       2.78         -999          -999          -999          -999                        
 12400         1979120       2.57         -999          -999          -999          -999                        
 12420         1981360       2.78         -999          -999          -999          -999                        
 12440         1983620       2.79         -999          -999          -999          -999                        
 12460         1985880       2.96         -999          -999          -999          -999                        
 12480         1988130       3.48         -999          -999          -999          -999                        
 12500         1990370       3.46         -999          -999          -999          -999                        
 12520         1995920       3.13         -999          -999          -999          -999                        
 12521         1996220       3.14         -999          -999          -999          -999                        
 12542         2002040       3.35         -999          -999          -999          -999                        
 12561         2007320       3.07         -999          -999          -999          -999                        
 12581         2012890       3.27         -999          -999          -999          -999                        
 12601         2015140       3.08         -999          -999          -999          -999                        
 12622         2017510       2.93         -999          -999          -999          -999                        
 12662         2022010       2.78         -999          -999          -999          -999                        
 12681         2024150       2.76         -999          -999          -999          -999                        
 12703         2027240       2.79         -999          -999          -999          -999                        
 12801         2041070       3.05         -999          -999          -999          -999                        
 12821         2043880       3.18         -999          -999          -999          -999                        
 12842         2046840       3.36         -999          -999          -999          -999                        
 12861         2047820       3.24         -999          -999          -999          -999                        
 12881         2048860       3.18         -999          -999          -999          -999                        
 12901         2049890       3.15         -999          -999          -999          -999                        
 12921         2050940       2.8          -999          -999          -999          -999                        
 12941         2051970       2.88         -999          -999          -999          -999                        
 12963         2054170       2.85         -999          -999          -999          -999                        
 12981         2056130       2.94         -999          -999          -999          -999                        
 13004         2058610       3            -999          -999          -999          -999                        
 13021         2060440       3.06         -999          -999          -999          -999                        
 13041         2062600       3.1          -999          -999          -999          -999                        
 13061         2064760       3.14         -999          -999          -999          -999                        
 13080         2066820       3.16         -999          -999          -999          -999                        
 13101         2069090       3.15         -999          -999          -999          -999                        
 13139         2073200       3.33         -999          -999          -999          -999                        
 13161         2075580       3.86         -999          -999          -999          -999                        
 13181         2076690       3.81         -999          -999          -999          -999                        
 13192         2078690       3.83         -999          -999          -999          -999                        
 13212         2082370       3.53         -999          -999          -999          -999                        
 13230         2085690       3.33         -999          -999          -999          -999                        
 13247         2088750       3.65         -999          -999          -999          -999                        
 13287         2096080       3.39         -999          -999          -999          -999                        
 13307         2099720       3.1          -999          -999          -999          -999                        
 13327         2103350       3.11         -999          -999          -999          -999                        
 13347         2106990       3.1          -999          -999          -999          -999                        
 13367         2110440       3.23         -999          -999          -999          -999                        
 13387         2113850       3.1          -999          -999          -999          -999                        
 13407         2117260       3.17         -999          -999          -999          -999                        
 13427         2120640       3.04         -999          -999          -999          -999                        
 13447         2124120       3.04         -999          -999          -999          -999                        
 13467         2127530       3.02         -999          -999          -999          -999                        
 13487         2130900       2.91         -999          -999          -999          -999                        
 13499         2132970       2.84         -999          -999          -999          -999                        
 13519         2134850       3.34         -999          -999          -999          -999                        
 13539         2136720       3.36         -999          -999          -999          -999                        
 13559         2137680       3.18         -999          -999          -999          -999                        
 13579         2138620       3.15         -999          -999          -999          -999                        
 13679         2143350       2.86         -999          -999          -999          -999                        
 13699         2144300       2.79         -999          -999          -999          -999                        
 13719         2145240       2.79         -999          -999          -999          -999                        
 13739         2146190       2.78         -999          -999          -999          -999                        
 13759         2147120       2.75         -999          -999          -999          -999                        
 13799         2148740       2.68         -999          -999          -999          -999                        
 13819         2150050       2.71         -999          -999          -999          -999                        
 13839         2151390       2.79         -999          -999          -999          -999                        
 13859         2152700       2.74         -999          -999          -999          -999                        
 13879         2154030       2.83         -999          -999          -999          -999                        
 13939         2158010       3.25         -999          -999          -999          -999                        
 13956         2159120       3.83         -999          -999          -999          -999                        
 13979         2161000       3.52         -999          -999          -999          -999                        
 14002         2165930       3.76         -999          -999          -999          -999                        
 14022         2170240       3.64         -999          -999          -999          -999                        
 14042         2174530       3.18         -999          -999          -999          -999                        
 14062         2178840       3.19         -999          -999          -999          -999                        
 14082         2183120       3.01         -999          -999          -999          -999                        
 14102         2187440       2.94         -999          -999          -999          -999                        
 14122         2191740       2.89         -999          -999          -999          -999                        
 14182         2197120       3.06         -999          -999          -999          -999                        
 14202         2198900       3.02         -999          -999          -999          -999                        
 14220         2200510       3.06         -999          -999          -999          -999                        
 14242         2202470       3.25         -999          -999          -999          -999                        
 14262         2204270       3.35         -999          -999          -999          -999                        
 14282         2206510       3.34         -999          -999          -999          -999                        
 14302         2208200       3.13         -999          -999          -999          -999                        
 14342         2211570       3.14         -999          -999          -999          -999                        
 14362         2213260       2.92         -999          -999          -999          -999                        
 14382         2214950       3.02         -999          -999          -999          -999                        
 14402         2216600       2.87         -999          -999          -999          -999                        
 14422         2218310       2.96         -999          -999          -999          -999                        
 14442         2219990       2.86         -999          -999          -999          -999                        
 14462         2221680       2.8          -999          -999          -999          -999                        
 14482         2223360       2.78         -999          -999          -999          -999                        
 14502         2225050       2.81         -999          -999          -999          -999                        
 14520         2226580       2.83         -999          -999          -999          -999                        
 14542         2231420       2.82         -999          -999          -999          -999                        
 14562         2235830       2.82         -999          -999          -999          -999                        
 14586         2241120       3.19         -999          -999          -999          -999                        
 14606         2245550       3.76         -999          -999          -999          -999                        
 14626         2247790       3.54         -999          -999          -999          -999                        
 14647         2250150       3.13         -999          -999          -999          -999                        
 14666         2252260       2.91         -999          -999          -999          -999                        
 14686         2254500       2.74         -999          -999          -999          -999                        
 14706         2256750       2.74         -999          -999          -999          -999                        
 14726         2258980       2.62         -999          -999          -999          -999                        
 14746         2261230       2.62         -999          -999          -999          -999                        
 14766         2263470       2.6          -999          -999          -999          -999                        
 14786         2265710       2.68         -999          -999          -999          -999                        
 14806         2267950       2.62         -999          -999          -999          -999                        
 14826         2269310       2.6          -999          -999          -999          -999                        
 14846         2270710       2.55         -999          -999          -999          -999                        
 14866         2272090       2.71         -999          -999          -999          -999                        
 14886         2273160       2.73         -999          -999          -999          -999                        
 14906         2274230       2.81         -999          -999          -999          -999                        
 14926         2275310       2.83         -999          -999          -999          -999                        
 14946         2276370       2.73         -999          -999          -999          -999                        
 14966         2277450       2.98         -999          -999          -999          -999                        
 14986         2278510       3.25         -999          -999          -999          -999                        
 15001         2279320       3.25         -999          -999          -999          -999                        
 15016         2281440       3.55         -999          -999          -999          -999                        
 15020         2282030       3.13         -999          -999          -999          -999                        
 15040         2284870       3.99         -999          -999          -999          -999                        
 15060         2290570       3.15         -999          -999          -999          -999                        
 15080         2292450       3.86         -999          -999          -999          -999                        
 15100         2294330       3.43         -999          -999          -999          -999                        
 15160         2299940       3.04         -999          -999          -999          -999                        
 15180         2301810       2.62         -999          -999          -999          -999                        
 15200         2303670       2.56         -999          -999          -999          -999                        
 15220         2306490       3.15         -999          -999          -999          -999                        
 15240         2309320       3.12         -999          -999          -999          -999                        
 15260         2312140       3.29         -999          -999          -999          -999                        
 15280         2314960       3.5          -999          -999          -999          -999                        
 15300         2317790       3.53         -999          -999          -999          -999                        
 15320         2320600       3.71         -999          -999          -999          -999                        
 15340         2322120       3.76         -999          -999          -999          -999                        
 15360         2323230       3.18         -999          -999          -999          -999                        
 15380         2324350       2.5          -999          -999          -999          -999                        
 15400         2327710       2.69         -999          -999          -999          -999                        
 15420         2331080       2.62         -999          -999          -999          -999                        
 15440         2334450       2.66         -999          -999          -999          -999                        
 15460         2337830       2.61         -999          -999          -999          -999                        
 15480         2341390       2.36         -999          -999          -999          -999                        
 15500         2343490       2.68         -999          -999          -999          -999                        
 15520         2345590       2.82         -999          -999          -999          -999                        
 15540         2347680       3.06         -999          -999          -999          -999                        
 15555         2349250       3.36         -999          -999          -999          -999                        
 15579         2351770       3.37         -999          -999          -999          -999                        
 15599         2356380       3.1          -999          -999          -999          -999                        
 15619         2361010       2.69         -999          -999          -999          -999                        
 15639         2365630       2.65         -999          -999          -999          -999                        
 15654         2368880       2.73         -999          -999          -999          -999                        
 15674         2373210       2.62         -999          -999          -999          -999                        
 15694         2376120       2.63         -999          -999          -999          -999                        
 15714         2379040       2.7          -999          -999          -999          -999                        
 15734         2381950       2.67         -999          -999          -999          -999                        
 15754         2384850       2.79         -999          -999          -999          -999                        
 15774         2387770       2.88         -999          -999          -999          -999                        
 15794         2390680       3            -999          -999          -999          -999                        
 15814         2393050       2.86         -999          -999          -999          -999                        
 15834         2395430       2.85         -999          -999          -999          -999                        
 15854         2397810       2.84         -999          -999          -999          -999                        
 15874         2400170       2.78         -999          -999          -999          -999                        
 15894         2402550       2.81         -999          -999          -999          -999                        
 15914         2404930       2.68         -999          -999          -999          -999                        
 15934         2407300       2.75         -999          -999          -999          -999                        
 15949         2409070       2.7          -999          -999          -999          -999                        
 15969         2411430       2.63         -999          -999          -999          -999                        
 15989         2413810       2.73         -999          -999          -999          -999                        
 16009         2416170       2.71         -999          -999          -999          -999                        
 16029         2418570       2.74         -999          -999          -999          -999                        
 16049         2420930       2.75         -999          -999          -999          -999                        
 16069         2423300       2.8          -999          -999          -999          -999                        
 16089         2425650       2.87         -999          -999          -999          -999                        
 16107         2427810       2.99         -999          -999          -999          -999                        
