# NOAA Paleoclimatology Program - Paleocean Site Data
# odp981d_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Amy E. Draut
# Core/Site:      ODP981
# Latitude:       55.28.00N	( 55.46667)
# Longitude:      14.39.00W	( -14.65)
# Water Depth(m): 2173
#
# Publications:
#   Draut, A.E., M.E. Raymo, J.F. McManus, and D.W. Oppo. 2003. Climate stability
#     during the Pliocene warm period. Paleoceanography 18(4):1078.
#------------------
#
# Description & Notes:
#   Pliocene Warm Period Foraminifer Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#             d13Ccibid     delta C13 PDB (Cibicidoides sp.)
#             d13Cn.pachy-r delta C13 PDB (Neogloboquadrina pachyderma (right coiling))
#             d18Ocibid     delta O18 PDB (Cibicidoides sp.)
#             d18On.pachy-r delta O18 PDB (Neogloboquadrina pachyderma (right coiling))
#
# CORE: ODP981
depth         yrBP          d18Oc.wuell   d13Ccibid     d13Cn.pachy-r d18Ocibid     d18On.pachy-r notes
 6466          1124810       3.88         -999          -999          -999          -999                        
 6471          1127420       3.54         -999          -999          -999          -999                        
 6476          1130010       3.4          -999          -999          -999          -999                        
 6481          1132620       3.3          -999          -999          -999          -999                        
 6486          1135230       3.3          -999          -999          -999          -999                        
 6491          1137830       3.42         -999          -999          -999          -999                        
 6496          1140430       3.46         -999          -999          -999          -999                        
 6501          1143020       3.1          -999          -999          -999          -999                        
 6506          1144270       3.11         -999          -999          -999          -999                        
 6511          1145490       3.07         -999          -999          -999          -999                        
 6521          1146820       3.04         -999          -999          -999          -999                        
 6526          1147470       3.16         -999          -999          -999          -999                        
 6531          1148140       3.49         -999          -999          -999          -999                        
 6536          1148800       3.57         -999          -999          -999          -999                        
 6541          1149450       3.58         -999          -999          -999          -999                        
 6546          1150110       3.58         -999          -999          -999          -999                        
 6551          1150770       3.49         -999          -999          -999          -999                        
 6556          1151440       3.34         -999          -999          -999          -999                        
 6561          1152090       3.24         -999          -999          -999          -999                        
 6571          1153420       3.28         -999          -999          -999          -999                        
 6576          1154070       3.16         -999          -999          -999          -999                        
 6586          1155390       3.15         -999          -999          -999          -999                        
 6591          1156030       3.14         -999          -999          -999          -999                        
 6596          1156550       3.29         -999          -999          -999          -999                        
 6601          1157050       3.3          -999          -999          -999          -999                        
 6616          1158570       3.75         -999          -999          -999          -999                        
 6621          1159060       3.61         -999          -999          -999          -999                        
 6626          1159570       3.51         -999          -999          -999          -999                        
 6631          1160080       3.65         -999          -999          -999          -999                        
 6636          1160580       3.46         -999          -999          -999          -999                        
 6641          1161080       3.54         -999          -999          -999          -999                        
 6646          1161590       3.31         -999          -999          -999          -999                        
 6656          1162600       3.6          -999          -999          -999          -999                        
 6661          1163100       3.33         -999          -999          -999          -999                        
 6666          1163610       3.39         -999          -999          -999          -999                        
 6676          1164620       3.31         -999          -999          -999          -999                        
 6681          1165120       3.26         -999          -999          -999          -999                        
 6686          1165620       3.28         -999          -999          -999          -999                        
 6691          1166120       3.13         -999          -999          -999          -999                        
 6696          1166630       3.12         -999          -999          -999          -999                        
 6701          1167140       3.09         -999          -999          -999          -999                        
 6705          1167540       3.09         -999          -999          -999          -999                        
 6720          1169060       3.31         -999          -999          -999          -999                        
 6725          1171040       2.98         -999          -999          -999          -999                        
 6730          1173110       3.22         -999          -999          -999          -999                        
 6735          1175150       3.1          -999          -999          -999          -999                        
 6740          1177210       3.15         -999          -999          -999          -999                        
 6745          1179270       3.19         -999          -999          -999          -999                        
 6750          1184810       3.45         -999          -999          -999          -999                        
 6755          1190260       3.83         -999          -999          -999          -999                        
 6762          1193720       3.77         -999          -999          -999          -999                        
 6765          1195200       3.89         -999          -999          -999          -999                        
 6770          1196930       3.73         -999          -999          -999          -999                        
 6775          1198680       3.54         -999          -999          -999          -999                        
 6780          1200400       3.88         -999          -999          -999          -999                        
 6785          1202180       3.7          -999          -999          -999          -999                        
 6790          1203960       3.76         -999          -999          -999          -999                        
 6795          1205710       3.83         -999          -999          -999          -999                        
 6800          1207500       3.75         -999          -999          -999          -999                        
 6805          1209260       3.76         -999          -999          -999          -999                        
 6811          1211380       3.66         -999          -999          -999          -999                        
 6815          1212830       3.92         -999          -999          -999          -999                        
 6820          1214590       3.71         -999          -999          -999          -999                        
 6823          1215660       3.32         -999          -999          -999          -999                        
 6830          1218130       3.93         -999          -999          -999          -999                        
 6835          1219910       3.36         -999          -999          -999          -999                        
 6840          1221680       3.6          -999          -999          -999          -999                        
 6845          1223450       3.11         -999          -999          -999          -999                        
 6850          1225240       3.01         -999          -999          -999          -999                        
 6855          1226990       2.79         -999          -999          -999          -999                        
 6858          1228080       2.75         -999          -999          -999          -999                        
 6865          1230550       2.63         -999          -999          -999          -999                        
 6874          1231460       2.79         -999          -999          -999          -999                        
 6889          1235180       2.68         -999          -999          -999          -999                        
 6904          1237260       2.89         -999          -999          -999          -999                        
 6919          1239340       2.73         -999          -999          -999          -999                        
 6934          1241440       3.06         -999          -999          -999          -999                        
 6949          1243510       3.41         -999          -999          -999          -999                        
 6964          1245600       3.4          -999          -999          -999          -999                        
 6979          1247680       3.49         -999          -999          -999          -999                        
 6994          1249760       3.61         -999          -999          -999          -999                        
 7009          1254950       3.65         -999          -999          -999          -999                        
 7024          1262700       3.4          -999          -999          -999          -999                        
 7039          1270450       3            -999          -999          -999          -999                        
 7054          1271640       3.07         -999          -999          -999          -999                        
 7069          1272260       3.14         -999          -999          -999          -999                        
 7084          1273320       2.77         -999          -999          -999          -999                        
 7099          1274390       3.28         -999          -999          -999          -999                        
 7114          1275450       3.52         -999          -999          -999          -999                        
 7144          1277580       3.6          -999          -999          -999          -999                        
 7159          1278640       3.47         -999          -999          -999          -999                        
 7174          1279700       3.45         -999          -999          -999          -999                        
 7189          1282960       3.63         -999          -999          -999          -999                        
 7204          1286220       3.84         -999          -999          -999          -999                        
 7219          1290780       3.74         -999          -999          -999          -999                        
 7234          1295320       3.56         -999          -999          -999          -999                        
 7264          1304450       2.87         -999          -999          -999          -999                        
 7279          1315960       3.48         -999          -999          -999          -999                        
 7294          1317230       3.08         -999          -999          -999          -999                        
 7309          1318550       2.95         -999          -999          -999          -999                        
 7324          1319830       2.93         -999          -999          -999          -999                        
 7339          1321130       2.98         -999          -999          -999          -999                        
 7354          1322450       2.9          -999          -999          -999          -999                        
 7369          1323730       2.75         -999          -999          -999          -999                        
 7399          1326330       2.84         -999          -999          -999          -999                        
 7429          1328770       2.99         -999          -999          -999          -999                        
 7444          1329970       2.99         -999          -999          -999          -999                        
 7459          1331190       3.08         -999          -999          -999          -999                        
 7474          1332400       3.13         -999          -999          -999          -999                        
 7489          1333610       3.02         -999          -999          -999          -999                        
 7504          1334830       3.19         -999          -999          -999          -999                        
 7519          1336040       3.13         -999          -999          -999          -999                        
 7534          1337270       3.29         -999          -999          -999          -999                        
 7549          1338480       3.96         -999          -999          -999          -999                        
 7564          1339700       3.91         -999          -999          -999          -999                        
 7579          1340910       4.14         -999          -999          -999          -999                        
 7594          1342070       3.99         -999          -999          -999          -999                        
 7609          1343280       3.91         -999          -999          -999          -999                        
 7624          1344520       3.78         -999          -999          -999          -999                        
 7639          1345760       3.82         -999          -999          -999          -999                        
 7654          1346970       3.62         -999          -999          -999          -999                        
 7669          1348200       3.08         -999          -999          -999          -999                        
 7710          1350350       3.48         -999          -999          -999          -999                        
 7725          1351130       3.52         -999          -999          -999          -999                        
 7740          1351900       3.51         -999          -999          -999          -999                        
 7755          1352690       3.6          -999          -999          -999          -999                        
 7770          1353480       3.46         -999          -999          -999          -999                        
 7785          1354260       2.65         -999          -999          -999          -999                        
 7800          1355040       2.77         -999          -999          -999          -999                        
 7815          1355670       2.77         -999          -999          -999          -999                        
 7847          1356980       2.51         -999          -999          -999          -999                        
 7860          1359150       2.69         -999          -999          -999          -999                        
 7875          1361830       2.79         -999          -999          -999          -999                        
 7890          1367000       2.78         -999          -999          -999          -999                        
 7905          1372190       3.11         -999          -999          -999          -999                        
 7920          1377370       3.4          -999          -999          -999          -999                        
 7935          1380240       3.25         -999          -999          -999          -999                        
 7950          1383100       3.04         -999          -999          -999          -999                        
 7965          1385970       3.06         -999          -999          -999          -999                        
 7975          1387890       2.96         -999          -999          -999          -999                        
 7990          1389010       3.17         -999          -999          -999          -999                        
 7993          1389240       3.08         -999          -999          -999          -999                        
 7998          1389620       3.01         -999          -999          -999          -999                        
 8003          1389990       3.16         -999          -999          -999          -999                        
 8005          1390150       3.06         -999          -999          -999          -999                        
 8008          1390360       3.03         -999          -999          -999          -999                        
 8010          1390520       3.08         -999          -999          -999          -999                        
 8013          1390750       3.08         -999          -999          -999          -999                        
 8015          1390900       3.05         -999          -999          -999          -999                        
 8018          1391120       2.96         -999          -999          -999          -999                        
 8020          1391270       3.01         -999          -999          -999          -999                        
 8023          1391500       3.08         -999          -999          -999          -999                        
 8028          1391870       3.17         -999          -999          -999          -999                        
 8030          1392020       3.17         -999          -999          -999          -999                        
 8033          1392250       3.14         -999          -999          -999          -999                        
 8035          1392410       3.22         -999          -999          -999          -999                        
 8038          1392620       3.1          -999          -999          -999          -999                        
 8040          1392770       2.94         -999          -999          -999          -999                        
 8043          1392990       3.26         -999          -999          -999          -999                        
 8045          1393150       3.33         -999          -999          -999          -999                        
 8048          1393380       3.43         -999          -999          -999          -999                        
 8050          1393530       3.39         -999          -999          -999          -999                        
 8053          1393760       3.32         -999          -999          -999          -999                        
 8055          1393900       3.13         -999          -999          -999          -999                        
 8058          1394130       3.34         -999          -999          -999          -999                        
 8060          1394280       3.45         -999          -999          -999          -999                        
 8063          1394510       3.39         -999          -999          -999          -999                        
 8065          1394660       3.52         -999          -999          -999          -999                        
 8068          1394870       3.46         -999          -999          -999          -999                        
 8070          1395030       2.95         -999          -999          -999          -999                        
 8073          1395260       3.26         -999          -999          -999          -999                        
 8075          1395410       3.36         -999          -999          -999          -999                        
 8078          1395630       3.82         -999          -999          -999          -999                        
 8080          1395780       3.44         -999          -999          -999          -999                        
 8083          1396010       3.67         -999          -999          -999          -999                        
 8085          1396160       3.12         -999          -999          -999          -999                        
 8088          1396390       3.69         -999          -999          -999          -999                        
 8090          1396540       3.9          -999          -999          -999          -999                        
 8093          1396760       3.82         -999          -999          -999          -999                        
 8095          1396900       3.82         -999          -999          -999          -999                        
 8098          1397130       3.69         -999          -999          -999          -999                        
 8100          1397290       3.54         -999          -999          -999          -999                        
 8103          1397520       3.83         -999          -999          -999          -999                        
 8108          1397890       3.66         -999          -999          -999          -999                        
 8110          1398040       3.64         -999          -999          -999          -999                        
 8113          1398260       3.61         -999          -999          -999          -999                        
 8115          1398410       2.71         -999          -999          -999          -999                        
 8118          1398640       3.76         -999          -999          -999          -999                        
 8120          1398790       3.84         -999          -999          -999          -999                        
 8123          1399020       3.65         -999          -999          -999          -999                        
 8125          1399170       2.91         -999          -999          -999          -999                        
 8128          1399380       3.77         -999          -999          -999          -999                        
 8138          1400130       3.42         -999          -999          -999          -999                        
 8140          1400290       2.61         -999          -999          -999          -999                        
 8143          1400510       3.49         -999          -999          -999          -999                        
 8145          1400660       3.3          -999          -999          -999          -999                        
 8148          1400880       3.35         -999          -999          -999          -999                        
 8150          1401040       3.35         -999          -999          -999          -999                        
 8153          1401260       3.52         -999          -999          -999          -999                        
 8155          1401410       3.71         -999          -999          -999          -999                        
 8158          1401640       3.46         -999          -999          -999          -999                        
 8168          1402390       3.37         -999          -999          -999          -999                        
 8170          1402540       3.14         -999          -999          -999          -999                        
 8173          1402760       3.47         -999          -999          -999          -999                        
 8175          1402920       3.34         -999          -999          -999          -999                        
 8178          1403140       3.44         -999          -999          -999          -999                        
 8180          1403290       3.34         -999          -999          -999          -999                        
 8183          1403510       3.45         -999          -999          -999          -999                        
 8188          1403890       3.1          -999          -999          -999          -999                        
 8190          1404040       2.91         -999          -999          -999          -999                        
 8193          1404270       3.3          -999          -999          -999          -999                        
 8195          1404420       3.22         -999          -999          -999          -999                        
 8198          1404640       3.33         -999          -999          -999          -999                        
 8200          1404790       3.22         -999          -999          -999          -999                        
 8203          1405020       3.28         -999          -999          -999          -999                        
 8205          1405180       3.16         -999          -999          -999          -999                        
 8208          1405400       3.14         -999          -999          -999          -999                        
 8210          1405560       3.08         -999          -999          -999          -999                        
 8213          1405770       3.06         -999          -999          -999          -999                        
 8215          1405920       3.07         -999          -999          -999          -999                        
 8218          1406150       2.92         -999          -999          -999          -999                        
 8220          1406290       3            -999          -999          -999          -999                        
 8223          1406530       2.99         -999          -999          -999          -999                        
 8225          1406670       2.94         -999          -999          -999          -999                        
 8228          1406900       2.98         -999          -999          -999          -999                        
 8230          1407050       2.94         -999          -999          -999          -999                        
 8233          1407280       2.95         -999          -999          -999          -999                        
 8235          1407430       2.98         -999          -999          -999          -999                        
 8238          1407650       2.88         -999          -999          -999          -999                        
 8240          1407890       2.78         -999          -999          -999          -999                        
 8243          1408250       2.88         -999          -999          -999          -999                        
 8245          1408490       2.82         -999          -999          -999          -999                        
 8248          1408850       2.91         -999          -999          -999          -999                        
 8250          1409090       3.33         -999          -999          -999          -999                        
 8253          1409460       2.98         -999          -999          -999          -999                        
 8255          1409700       2.69         -999          -999          -999          -999                        
 8260          1410290       3.21         -999          -999          -999          -999                        
 8275          1412100       3.36         -999          -999          -999          -999                        
 8290          1413890       3.04         -999          -999          -999          -999                        
 8305          1415690       3.42         -999          -999          -999          -999                        
 8320          1417480       3.66         -999          -999          -999          -999                        
 8335          1420210       3.61         -999          -999          -999          -999                        
 8350          1422960       3            -999          -999          -999          -999                        
 8365          1425680       2.66         -999          -999          -999          -999                        
 8380          1428420       2.57         -999          -999          -999          -999                        
 8395          1433420       2.73         -999          -999          -999          -999                        
 8410          1437830       2.66         -999          -999          -999          -999                        
 8425          1442240       3.57         -999          -999          -999          -999                        
 8440          1446660       3.15         -999          -999          -999          -999                        
 8455          1448230       3.18         -999          -999          -999          -999                        
 8470          1449810       3.79         -999          -999          -999          -999                        
 8485          1451400       3.09         -999          -999          -999          -999                        
 8500          1452960       3.34         -999          -999          -999          -999                        
 8515          1454540       2.91         -999          -999          -999          -999                        
 8530          1456130       3            -999          -999          -999          -999                        
 8545          1457710       2.99         -999          -999          -999          -999                        
 8560          1459210       2.92         -999          -999          -999          -999                        
 8575          1460060       3.12         -999          -999          -999          -999                        
 8590          1460920       3.3          -999          -999          -999          -999                        
 8605          1461750       3.37         -999          -999          -999          -999                        
 8620          1462610       2.89         -999          -999          -999          -999                        
 8635          1463460       2.73         -999          -999          -999          -999                        
 8650          1464970       2.62         -999          -999          -999          -999                        
 8665          1478650       3.02         -999          -999          -999          -999                        
 8666          1479620       3.51         -999          -999          -999          -999                        
 8681          1483290       2.86         -999          -999          -999          -999                        
 8696          1486930       3.15         -999          -999          -999          -999                        
 8711          1490610       2.94         -999          -999          -999          -999                        
 8726          1494280       2.91         -999          -999          -999          -999                        
 8741          1497930       2.75         -999          -999          -999          -999                        
 8756          1501600       2.77         -999          -999          -999          -999                        
 8771          1502600       2.86         -999          -999          -999          -999                        
 8786          1503600       2.81         -999          -999          -999          -999                        
 8801          1504590       2.9          -999          -999          -999          -999                        
 8816          1505580       2.74         -999          -999          -999          -999                        
 8831          1506580       2.8          -999          -999          -999          -999                        
 8846          1507570       2.76         -999          -999          -999          -999                        
 8861          1508470       2.78         -999          -999          -999          -999                        
 8874          1509240       2.77         -999          -999          -999          -999                        
 8881          1509680       2.73         -999          -999          -999          -999                        
 8896          1510570       2.78         -999          -999          -999          -999                        
 8899          1510750       2.72         -999          -999          -999          -999                        
 8911          1511470       2.53         -999          -999          -999          -999                        
 8914          1511650       3.01         -999          -999          -999          -999                        
 8926          1512370       2.71         -999          -999          -999          -999                        
 8929          1513130       2.49         -999          -999          -999          -999                        
 8941          1516150       3.51         -999          -999          -999          -999                        
 8944          1516900       2.52         -999          -999          -999          -999                        
 8956          1519920       4.01         -999          -999          -999          -999                        
 8959          1520780       3.89         -999          -999          -999          -999                        
 8971          1524180       3.62         -999          -999          -999          -999                        
 8974          1525090       3.56         -999          -999          -999          -999                        
 8986          1528530       2.95         -999          -999          -999          -999                        
 8989          1529370       3.12         -999          -999          -999          -999                        
