Core label	depth	compdepth	age	cw13	cw18
GeoB1034-1	0,01	0,01	0,52	0,60	2,45
GeoB1034-1	0,04	0,04	2,05	0,84	2,63
GeoB1034-1	0,07	0,07	3,51	0,27	2,52
GeoB1034-1	0,10	0,10	4,84	0,75	2,53
GeoB1034-1	0,13	0,13	6,00	0,39	2,49
GeoB1034-3	0,03	0,15	6,66	0,51	2,56
GeoB1034-3	0,08	0,20	8,27	0,87	2,64
GeoB1034-3	0,13	0,25	10,62	0,68	2,84
GeoB1034-3	0,18	0,30	14,59	-0,11	3,63
GeoB1034-3	0,23	0,35	19,00	0,07	4,27
GeoB1034-3	0,28	0,40	22,34	0,03	3,97
GeoB1034-3	0,33	0,45	28,00	0,31	3,62
GeoB1034-3	0,38	0,50	39,14	0,56	3,77
GeoB1034-3	0,43	0,55	53,00	0,38	3,44
GeoB1034-3	0,48	0,60	65,00	-0,32	3,61
GeoB1034-3	0,53	0,65	71,20	-0,17	3,48
GeoB1034-3	0,58	0,70	75,00	0,07	3,63
GeoB1034-3	0,63	0,75	80,00	0,12	3,12
GeoB1034-3	0,68	0,80	84,02	0,05	3,29
GeoB1034-3	0,73	0,85	87,00	0,04	3,71
GeoB1034-3	0,78	0,90	89,70	-0,32	3,13
GeoB1034-3	0,83	0,95	92,30	-0,01	3,37
GeoB1034-3	0,88	1,00	94,81	-0,07	3,46
GeoB1034-3	0,93	1,05	97,27	0,52	2,93
GeoB1034-3	0,98	1,10	99,69	0,65	2,97
GeoB1034-3	1,03	1,15	102,10	0,47	3,05
GeoB1034-3	1,08	1,20	104,53	-0,07	2,98
GeoB1034-3	1,13	1,25	107,00	-0,06	3,20
GeoB1034-3	1,18	1,30	109,54	-0,02	3,05
GeoB1034-3	1,23	1,35	112,16	-0,30	3,35
GeoB1034-3	1,28	1,40	114,89	0,16	3,02
GeoB1034-3	1,33	1,45	117,75	0,49	2,72
GeoB1034-3	1,38	1,50	120,75	0,51	2,37
GeoB1034-3	1,43	1,55	123,98	-0,14	2,15
