# NOAA Paleoclimatology Program - Paleocean Site Data
# rc13-110_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      RC13-110
# Latitude:       0.00.00N	( 0)
# Longitude:      96.00.00W	( -96)
# Water Depth(m): 3231
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#   Mix, A.C., N.G. Pisias, R. Zahn, W. Rugh, C. Lopez, and K. Nelson. 1991. Carbon-13
#     in Pacific deep and intermediate waters, 0-370 ka: Implications for ocean circualation
#     and Pleistocene carbon dioxide. Paleoceanography 6(2):205-226.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: RC13-110
depth         yrBP          d13Cforams-b  d18Oforams-b  
 821           385439.9     -0.14          3.54         
 825           388050        0.04          3.67         
 831           391899.9     -0.04          3.6          
 835           394480        0.27          3.31         
 841           398179.9      0.43          2.92         
 845           400610.1      0.29          3.23         
 851           404100.1      0.22          3.03         
 854           405810.1      0.45          3.19         
 861           409520        0.22          3.09         
 864           411060.1      0.1           3.42         
 871           414530        0.31          3.19         
 873           415510       -0.2           3.52         
 881           419450       -0.13          3.91         
 891           424409.9     -0.21          4.08         
 894           425889.9     -0.42          4.68         
 901           429250       -0.32          4.22         
 905           431189.9     -0.4           4.85         
 911           434060.1     -0.21          4.87         
 914           435540       -0.26          4.92         
 921           438990       -0.34          4.42         
 924           440520       -0.13          4.77         
 931           444010       -0.24          4.65         
 934           445530       -0.06          4.89         
 941           449020       -0.41          4.42         
 945           451040       -0.3           4.54         
 951           454100.1     -0.25          4.1          
 954           455659.9     -0.48          4.67         
 961           459290       -0.54          4.32         
 965           461409.9     -0.27          4.38         
 971           464429.9     -0.07          4.24         
 975           466389.9     -0.41          4.55         
 981           469000       -0.22          4.47         
 985           470590.1     -0.27          4.34         
 991           472629.9     -0.3           4.36         
 995           473860.1     -0.26          4.31         
 1001          475450       -0.09          4.3          
 1005          476490       -0.09          4.05         
 1011          478139.9      0.11          4.34         
 1015          479379.9      0.1           4.07         
 1025          483220        0.14          3.3          
 1031          486169.9      0.36          3.61         
 1035          488439.9      0.53          3.21         
 1041          492399.9      0.32          3.73         
 1051          500070.1      0.29          3.72         
 1054          502510        0.3           3.51         
 1061          508080.1      0.06          4.09         
 1065          511139.9      0.42          4.27         
 1071          515649.9      0.32          4.14         
 1075          518679.9      0.1           4.08         
 1081          523310.1      0.17          3.9          
 1085          526600.1      0.4           3.9          
 1091          531760        0.1           3.87         
 1095          535500       -0.01          4.08         
 1101          541340.1      0.05          3.83         
 1111          551110.1     -0.13          4.27         
 1114          553820.1     -0.14          4.45         
 1121          559360.1     -0.27          4.39         
 1125          562090.1     -0.03          4.5          
 1134          567020       -0.23          4.32         
 1141          570280       -0.11          3.88         
 1145          572070.1     -0.09          4.16         
 1155          576320.1     -0.04          4            
 1161          578840.1     -0.03          3.79         
 1165          580530       -0.31          3.81         
 1171          583080.1     -0.21          3.89         
 1181          587290       -0.04          3.99         
 1185          588970       -0.14          3.98         
 1191          591720        0.02          3.98         
 1194          593230       -0.07          3.93         
 1201          597040        0.06          3.91         
 1205          599480        0             3.76         
 1210          602710        0.15          3.82         
 1214          605500        0.14          3.89         
 1220          609700        0.23          3.86         
