mcd	ageCK92 607O18	607O18adj	607C13
10046.0	2352.8	2.88	3.52	0.89
10060.0	2355.9	2.58	3.22	1.00
10082.0	2360.8	2.63	3.27	1.30
10091.0	2362.8	2.79	3.43	1.01
10108.0	2366.6	2.73	3.37	1.25
10120.0	2369.3	2.77	3.41	1.02
10136.0	2372.8	3.01	3.65	0.84
10166.0	2379.5	3.13	3.77	1.17
10239.0	2395.7	2.91	3.55	0.90
10240.0	2396.0	3.05	3.69	0.91
10248.0	2397.7	2.64	3.28	1.15
10270.0	2402.6	2.71	3.35	1.10
10278.0	2404.4	2.70	3.34	1.03
10293.0	2407.7	2.76	3.40	0.82
10308.0	2411.1	2.58	3.22	1.05
10323.0	2414.4	2.74	3.38	1.03
10335.0	2417.1	2.89	3.53	1.06
10350.0	2420.4	3.11	3.75	0.77
10372.0	2425.3	3.55	4.19	0.37
10380.0	2427.1	3.74	4.38	0.64
10397.0	2430.8	3.52	4.16	0.57
10410.0	2433.7	3.56	4.20	0.50
10440.0	2440.4	3.29	3.93	0.75
10455.0	2443.7	3.10	3.74	0.47
10485.0	2450.4	3.07	3.71	0.89
10522.0	2458.6	2.62	3.26	1.05
10530.0	2460.4	2.59	3.23	1.07
10575.0	2470.4	2.84	3.48	0.92
10590.0	2473.7	3.35	3.99	0.83
10604.0	2476.9	3.49	4.13	0.20
10620.0	2480.4	3.51	4.15	-0.13
10650.0	2487.1	3.39	4.03	0.55
10672.0	2492.0	3.07	3.71	0.92
10680.0	2493.8	3.07	3.71	1.07
10707.0	2499.8	2.81	3.45	0.92
10725.0	2503.8	2.64	3.28	0.78
10740.0	2507.1	3.27	3.91	0.68
10770.0	2513.8	3.78	4.42	-0.15
10785.0	2517.1	3.67	4.31	0.03
10798.0	2520.0	3.66	4.30	-0.16
10822.0	2525.3	3.44	4.08	0.53
10829.0	2526.9	3.52	4.16	0.56
10847.0	2530.9	3.15	3.79	0.72
10858.0	2533.3	2.92	3.56	0.90
10875.0	2537.1	2.71	3.35	1.18
10920.0	2547.1	2.74	3.38	0.98
10950.0	2553.8	3.32	3.96	0.58
10972.0	2558.7	2.87	3.51	1.05
10980.0	2560.4	2.97	3.61	0.99
10997.0	2564.2	2.73	3.37	0.99
11009.0	2566.9	2.64	3.28	0.94
11025.0	2570.4	2.71	3.35	1.00
11055.0	2577.1	2.59	3.23	1.06
11070.0	2580.4	2.69	3.33	1.05
11085.0	2583.8	2.67	3.31	1.00
11100.0	2587.1	2.95	3.59	0.94
11122.0	2592.0	2.97	3.61	0.33
11130.0	2593.8	3.38	4.02	0.12
11147.0	2597.6	3.16	3.80	0.64
11160.0	2600.5	3.13	3.77	0.59
11175.0	2604.3	3.08	3.72	0.61
11190.0	2608.1	3.01	3.65	1.03
11205.0	2611.9	2.77	3.41	0.82
11226.0	2617.2	2.62	3.26	1.10
11240.0	2620.8	2.41	3.05	0.96
11256.0	2624.8	2.70	3.34	1.02
11270.0	2628.4	2.74	3.38	0.91
11286.0	2632.4	3.01	3.65	0.93
11300.0	2636.0	3.12	3.76	0.92
11316.0	2640.0	3.32	3.96	0.57
11346.0	2647.6	2.83	3.47	0.88
11360.0	2651.2	2.72	3.36	0.92
11375.0	2655.0	2.48	3.12	1.06
11418.0	2665.9	2.49	3.13	0.88
11433.0	2669.7	2.73	3.37	0.99
11464.0	2677.5	3.11	3.75	0.90
11479.0	2681.3	3.32	3.96	0.80
11509.0	2688.9	2.79	3.43	0.94
11531.0	2694.5	2.98	3.62	0.84
11555.0	2700.6	2.92	3.56	0.67
11569.0	2704.1	3.31	3.95	0.41
11584.0	2707.9	3.33	3.97	0.56
11613.0	2715.3	3.46	4.10	0.42
11644.0	2723.1	3.49	4.13	0.72
11659.0	2726.9	2.82	3.46	0.54
11689.0	2734.5	2.78	3.42	0.97
11706.0	2738.8	2.75	3.39	0.71
11718.0	2741.9	2.63	3.27	0.49
11733.0	2745.7	2.59	3.23	0.66
11746.0	2749.0	2.61	3.25	1.26
11778.0	2757.1	2.52	3.16	1.02
11794.0	2761.1	2.68	3.32	0.88
11809.0	2764.9	3.36	4.00	0.80
11837.0	2772.0	2.69	3.33	0.95
11855.0	2776.6	2.57	3.21	1.08
11869.0	2780.1	2.41	3.05	0.85
11884.0	2783.9	2.69	3.33	1.09
11914.0	2791.5	2.77	3.41	0.75
11929.0	2795.3	2.95	3.59	1.00
11943.0	2798.9	3.07	3.71	0.70
11958.0	2802.7	3.12	3.76	0.65
11980.0	2808.3	2.94	3.58	0.88
11988.0	2810.3	2.97	3.61	0.93
12006.0	2814.8	2.77	3.41	1.13
12018.0	2817.9	2.66	3.30	1.13
12049.0	2825.7	2.48	3.12	1.19
12064.0	2829.5	2.48	3.12	0.93
12107.0	2840.4	2.79	3.43	1.10
12131.0	2846.5	2.89	3.53	1.00
12138.0	2848.3	2.53	3.17	0.79
12156.0	2852.8	2.68	3.32	1.03
12168.0	2855.9	2.41	3.05	0.87
12183.0	2859.7	2.54	3.18	1.00
12198.0	2863.5	2.43	3.07	0.95
12214.0	2867.5	2.74	3.38	1.17
12243.0	2874.9	2.61	3.25	1.08
12248.0	2876.2	2.59	3.23	0.74
12309.0	2891.6	2.33	2.97	0.49
12320.0	2894.4	2.54	3.18	0.95
12335.0	2898.2	2.17	2.81	0.91
12357.0	2903.8	2.37	3.01	1.06
12365.0	2905.8	2.47	3.11	0.95
12382.0	2910.1	2.50	3.14	0.68
12395.0	2913.4	2.74	3.38	0.87
12425.0	2921.0	2.71	3.35	0.79
12440.0	2924.8	2.76	3.40	0.57
12455.0	2928.6	2.19	2.83	0.80
12470.0	2932.4	2.89	3.53	0.34
12507.0	2941.8	2.35	2.99	0.88
12513.0	2943.3	2.39	3.03	0.86
12532.0	2948.1	2.21	2.85	0.98
12545.0	2951.4	2.16	2.80	0.82
12560.0	2955.2	2.17	2.81	0.84
12575.0	2959.0	2.21	2.85	0.93
12590.0	2962.8	2.36	3.00	1.06
12605.0	2966.6	2.29	2.93	0.77
12620.0	2970.4	2.39	3.03	0.95
12633.0	2973.7	2.68	3.32	0.86
12657.0	2979.8	2.75	3.39	0.81
12665.0	2981.8	2.67	3.31	0.66
12682.0	2986.1	2.62	3.26	0.72
12695.0	2989.4	2.60	3.24	0.75
12710.0	2993.2	2.42	3.06	0.60
12725.0	2997.0	2.34	2.98	0.96
12740.0	3000.8	2.60	3.24	0.73
12757.0	3005.1	2.53	3.17	0.69
12770.0	3008.4	2.58	3.22	0.79
12785.0	3012.2	2.44	3.08	0.93
12807.0	3017.8	2.61	3.25	0.77
12815.0	3019.8	2.59	3.23	0.73
12832.0	3024.1	2.75	3.39	0.64
12843.0	3026.9	2.60	3.24	0.59
12860.0	3031.2	2.66	3.30	0.54
12875.0	3035.0	2.55	3.19	0.71
12890.0	3038.8	2.21	2.85	0.75
12905.0	3042.6	2.44	3.08	0.91
12920.0	3046.4	2.34	2.98	0.70
12935.0	3050.2	2.78	3.42	0.72
12957.0	3055.7	2.58	3.22	0.52
12965.0	3057.6	2.59	3.23	0.62
12982.0	3061.8	2.26	2.90	0.85
12995.0	3064.9	2.45	3.09	0.90
13010.0	3068.6	2.06	2.70	0.79
13023.0	3071.7	2.00	2.64	0.81
13040.0	3075.8	2.33	2.97	1.01
13070.0	3083.1	2.36	3.00	0.81
13083.0	3086.3	2.19	2.83	0.82
13115.0	3094.0	2.35	2.99	0.83
13143.0	3100.8	2.37	3.01	0.66
13162.0	3105.4	2.31	2.95	0.90
13175.0	3108.6	2.43	3.07	0.97
13192.0	3112.7	2.23	2.87	0.92
13207.0	3116.3	2.38	3.02	0.71
13220.0	3119.5	2.43	3.07	0.76
13280.0	3134.1	2.33	2.97	0.51
13295.0	3137.8	2.50	3.14	0.51
13310.0	3141.5	2.19	2.83	0.79
13332.0	3146.9	2.07	2.71	0.77
13357.0	3153.1	2.13	2.77	0.81
13370.0	3156.3	2.18	2.82	0.72
13385.0	3160.0	2.21	2.85	0.87
13415.0	3167.4	2.25	2.89	0.96
13430.0	3171.1	2.24	2.88	0.87
13445.0	3174.7	2.29	2.93	1.00
13460.0	3178.4	2.43	3.07	0.67
13482.0	3183.8	2.02	2.66	1.05
13488.0	3185.3	2.05	2.69	1.08
13507.0	3190.0	2.13	2.77	1.06
13518.0	3192.7	1.98	2.62	1.00
13535.0	3196.9	2.11	2.75	1.01
13548.0	3200.1	1.93	2.57	1.01
13565.0	3204.3	2.03	2.67	1.07
13580.0	3208.0	2.07	2.71	1.01
13610.0	3215.3	2.24	2.88	1.01
13632.0	3220.8	2.02	2.66	0.82
13643.0	3223.6	2.19	2.83	0.94
13657.0	3227.3	2.07	2.71	0.94
13670.0	3230.6	2.11	2.75	0.75
13685.0	3234.6	2.08	2.72	0.77
13700.0	3238.5	2.23	2.87	0.91
13730.0	3246.3	2.10	2.74	1.12
13782.0	3259.8	2.22	2.86	0.85
13790.0	3261.9	2.08	2.72	0.78
