mcd	ageCK92 607O18	607O18adj	607C13
2046.5	501.3	3.15	3.79	0.80
2054.5	503.3	3.33	3.97	0.45
2061.5	505.0	3.60	4.24	-0.01
2071.5	507.5	3.94	4.58	0.24
2084.5	510.7	3.89	4.53	0.46
2099.5	514.3	3.89	4.53	0.61
2114.5	518.0	3.64	4.28	0.02
2129.5	521.7	3.61	4.25	0.17
2144.5	525.4	3.07	3.71	0.62
2159.5	529.0	3.09	3.73	0.53
2174.5	532.7	3.20	3.84	0.53
2204.5	540.1	3.42	4.06	0.48
2212.5	542.0	3.09	3.73	0.77
2221.5	544.2	3.02	3.66	0.94
2234.5	547.4	3.05	3.69	0.81
2255.0	552.4	2.96	3.60	0.84
2263.0	554.4	3.22	3.86	0.94
2272.0	556.6	3.04	3.68	0.97
2280.0	558.5	2.95	3.59	1.04
2293.0	561.7	2.84	3.48	1.02
2300.0	563.4	2.88	3.52	1.14
2323.0	569.1	2.59	3.23	0.90
2368.0	580.1	3.02	3.66	0.85
2383.0	583.8	2.67	3.31	0.95
2405.0	589.2	2.81	3.45	1.13
2413.0	591.1	2.99	3.63	0.83
2430.0	595.3	3.35	3.99	0.19
2443.0	598.5	3.44	4.08	0.08
2488.0	609.5	4.37	5.01	-0.12
2533.0	620.5	4.34	4.98	0.80
2555.0	625.9	4.03	4.67	-0.04
2563.0	627.9	4.12	4.76	0.07
2580.0	632.0	4.01	4.65	-0.39
2653.0	649.9	3.96	4.60	0.13
2668.0	653.6	3.91	4.55	-0.09
2683.0	657.3	3.95	4.59	-0.17
2705.0	662.7	3.87	4.51	0.13
2713.0	664.6	3.80	4.44	-0.08
2730.0	668.8	3.61	4.25	0.28
2743.0	672.0	3.29	3.93	0.43
2758.0	675.6	3.20	3.84	0.68
2773.0	679.3	3.14	3.78	0.69
2788.0	683.0	3.08	3.72	1.05
2803.0	686.7	2.92	3.56	0.98
2818.0	690.3	2.83	3.47	1.19
2833.0	694.0	2.78	3.42	0.92
2855.0	699.4	2.95	3.59	0.80
2863.0	701.4	3.00	3.64	1.17
2880.0	705.5	3.29	3.93	-0.21
2893.0	708.7	3.74	4.38	-0.41
2908.0	712.4	3.89	4.53	-0.55
2923.0	716.1	3.93	4.57	-0.25
2938.0	719.7	3.80	4.44	-0.17
2953.0	723.4	3.78	4.42	-0.26
2968.0	727.1	3.41	4.05	0.27
2983.0	730.8	3.14	3.78	0.98
3005.0	736.2	3.38	4.02	0.82
3013.0	738.1	3.39	4.03	0.38
3030.0	742.3	3.45	4.09	-0.42
3043.0	745.5	3.77	4.41	-0.57
3058.0	749.1	3.91	4.55	-0.50
3073.0	752.8	3.89	4.53	-0.37
3088.0	756.5	3.84	4.48	-0.11
3103.0	760.2	3.73	4.37	-0.24
3118.0	763.8	3.68	4.32	-0.29
3126.0	765.8	3.56	4.20	-0.01
3156.0	773.1	3.32	3.96	0.26
3172.0	777.1	2.94	3.58	0.70
3202.0	784.3	3.11	3.75	0.08
3216.0	787.7	3.64	4.28	-0.43
3232.0	791.5	4.08	4.72	-0.42
3262.0	798.7	3.83	4.47	-0.54
3268.0	800.2	3.68	4.32	-0.56
3277.0	802.3	3.88	4.52	-0.25
3299.0	807.6	3.52	4.16	0.25
3307.0	809.5	3.55	4.19	0.34
3324.0	813.6	3.10	3.74	0.67
3339.0	817.2	3.03	3.67	0.55
3352.0	820.3	3.10	3.74	0.41
3365.0	823.4	3.17	3.81	0.43
3382.0	827.5	3.19	3.83	0.77
3397.0	831.1	2.92	3.56	0.69
3412.0	834.7	2.90	3.54	0.55
3427.0	838.3	2.69	3.33	0.68
3449.0	843.6	3.03	3.67	-0.34
3457.0	845.5	3.53	4.17	-0.29
3474.0	849.6	3.21	3.85	0.31
3487.0	852.7	4.00	4.64	-0.75
3517.0	859.9	3.76	4.40	-0.37
3532.0	863.5	3.17	3.81	-0.79
3547.0	867.1	3.70	4.34	-0.71
3577.0	874.3	3.29	3.93	-0.31
3607.0	881.5	3.46	4.10	0.51
3639.0	889.1	3.40	4.04	0.27
3652.0	892.3	3.47	4.11	0.46
3667.0	895.9	3.26	3.90	0.33
3682.0	899.5	3.45	4.09	-0.16
3689.0	901.1	3.42	4.06	-1.12
3697.0	903.1	3.84	4.48	-0.57
3712.0	906.7	2.73	3.37	0.03
3733.0	911.7	3.64	4.28	-0.08
3749.0	915.5	3.35	3.99	-0.12
3764.0	919.1	3.18	3.82	0.38
3774.0	921.5	3.17	3.81	0.77
3802.0	928.2	2.78	3.42	0.45
3817.0	931.8	2.87	3.51	0.49
3827.0	934.2	2.74	3.38	0.57
3849.0	939.5	2.64	3.28	0.46
3862.0	942.6	2.65	3.29	0.69
3875.0	945.7	2.82	3.46	0.37
3883.0	947.7	3.84	4.48	-0.03
3899.0	951.5	3.78	4.42	0.20
3907.0	953.4	3.21	3.85	0.87
3924.0	957.5	3.45	4.09	0.48
3937.0	960.6	3.20	3.84	0.58
3952.0	964.2	3.17	3.81	0.79
3965.0	967.3	3.15	3.79	0.67
3982.0	971.4	3.33	3.97	0.18
3997.0	975.0	3.41	4.05	0.57
4012.0	978.6	3.23	3.87	0.91
4032.0	983.4	2.97	3.61	0.91
4049.0	986.6	3.13	3.77	0.82
4057.0	988.0	2.92	3.56	0.93
4074.0	991.1	3.48	4.12	0.40
4084.0	992.9	3.58	4.22	0.44
4102.0	996.1	3.26	3.90	0.93
4117.0	998.8	3.08	3.72	0.61
4132.0	1001.5	3.13	3.77	0.99
4147.0	1004.2	2.95	3.59	0.61
4162.0	1006.9	2.74	3.38	0.99
4167.0	1007.8	3.04	3.68	1.13
4182.5	1010.6	2.90	3.54	0.94
4196.5	1013.1	3.13	3.77	0.95
4226.5	1018.5	3.62	4.26	0.83
4232.5	1019.6	3.64	4.28	0.95
4242.5	1021.4	3.82	4.46	1.00
4256.5	1023.9	3.75	4.39	0.85
4286.5	1029.3	3.87	4.51	0.78
4317.0	1034.7	3.21	3.85	-0.28
4332.0	1037.4	3.30	3.94	-0.02
4354.0	1041.4	3.24	3.88	0.76
4371.0	1044.4	2.50	3.14	1.00
4379.0	1045.9	2.50	3.14	1.06
4392.0	1048.2	2.29	2.93	0.94
4407.0	1051.5	2.35	2.99	0.85
4422.0	1055.1	2.56	3.20	0.89
4437.0	1058.7	2.68	3.32	0.91
4467.0	1065.8	3.05	3.69	0.77
4482.0	1069.4	3.20	3.84	1.03
4490.0	1071.3	3.11	3.75	0.50
4504.0	1074.6	2.95	3.59	0.93
4512.0	1076.5	3.11	3.75	0.62
4529.0	1080.6	2.89	3.53	0.89
4540.0	1083.2	2.79	3.43	0.95
4557.0	1087.3	3.19	3.83	0.80
4587.0	1094.4	3.53	4.17	0.24
4602.0	1098.0	3.99	4.63	-0.60
4609.0	1099.7	3.51	4.15	0.09
4624.0	1103.3	3.34	3.98	0.54
4641.0	1107.3	3.19	3.83	0.27
4664.0	1112.8	3.14	3.78	0.46
4679.0	1116.4	3.03	3.67	0.92
4692.0	1119.5	2.76	3.40	0.94
4730.0	1128.5	2.73	3.37	1.07
4752.0	1133.8	2.75	3.39	0.97
4767.0	1137.4	2.77	3.41	1.06
4780.0	1140.5	2.85	3.49	0.94
4791.0	1143.1	3.08	3.72	1.01
4804.0	1146.2	2.67	3.31	0.91
4812.0	1148.1	2.72	3.36	0.92
4829.0	1152.1	2.79	3.43	0.74
4842.0	1155.2	3.45	4.09	0.89
4846.0	1156.2	2.90	3.54	0.74
4857.0	1158.8	3.50	4.14	0.55
4870.0	1161.9	3.52	4.16	0.47
4872.0	1162.4	3.55	4.19	0.47
4887.0	1166.0	3.79	4.43	0.13
4902.0	1169.5	3.79	4.43	0.48
4909.0	1171.2	3.67	4.31	0.17
4917.0	1173.1	3.57	4.21	0.26
4932.0	1176.7	3.58	4.22	-0.21
4939.0	1178.4	3.86	4.50	0.48
4954.0	1181.9	3.51	4.15	0.27
4962.0	1183.9	3.42	4.06	0.37
4979.0	1187.9	3.14	3.78	0.56
4992.0	1191.0	2.96	3.60	0.83
5007.0	1194.6	2.54	3.18	0.92
5022.0	1198.2	2.47	3.11	0.88
5037.0	1201.7	2.56	3.20	0.64
5052.0	1205.3	2.52	3.16	0.63
5082.0	1212.5	3.72	4.36	-0.09
5089.0	1214.1	3.79	4.43	-0.30
5104.0	1217.7	3.87	4.51	-0.51
5112.0	1219.6	3.84	4.48	-0.51
5121.0	1221.8	3.76	4.40	0.45
5129.0	1223.7	3.58	4.22	0.30
5157.0	1230.4	3.26	3.90	0.82
5170.0	1233.5	3.17	3.81	0.74
5187.0	1237.5	3.11	3.75	1.16
5202.0	1241.1	3.24	3.88	1.14
5225.5	1246.7	3.28	3.92	1.01
5239.5	1250.0	3.18	3.82	0.60
5254.5	1253.6	3.71	4.35	0.48
5265.5	1256.2	3.71	4.35	0.04
5269.5	1257.2	3.60	4.24	0.28
5284.5	1260.8	3.35	3.99	0.59
5299.5	1264.3	3.00	3.64	0.83
5312.5	1267.4	3.01	3.65	0.88
5320.5	1269.3	2.92	3.56	1.19
5336.5	1273.2	2.90	3.54	0.99
5361.5	1279.1	3.30	3.94	1.10
5374.5	1282.2	3.24	3.88	0.51
5389.5	1285.8	3.36	4.00	0.42
5404.5	1289.4	2.74	3.38	1.15
5419.5	1293.0	3.41	4.05	0.23
5434.5	1296.5	3.14	3.78	1.10
5449.5	1300.1	3.49	4.13	0.25
5464.5	1303.7	3.62	4.26	0.27
5470.5	1305.1	3.45	4.09	0.44
5486.5	1308.9	2.85	3.49	0.94
5496.5	1311.3	2.93	3.57	1.00
5511.5	1314.9	2.56	3.20	1.23
5524.5	1318.0	2.45	3.09	1.02
5539.5	1321.6	2.73	3.37	1.13
5569.5	1328.7	3.07	3.71	0.99
5584.5	1332.3	3.20	3.84	1.02
5599.5	1335.9	3.45	4.09	0.98
5612.5	1339.0	3.57	4.21	0.87
5636.5	1344.7	3.55	4.19	0.27
5646.5	1347.1	3.53	4.17	1.10
5661.5	1350.7	3.07	3.71	1.00
5674.5	1353.8	3.11	3.75	0.93
5689.5	1357.3	2.90	3.54	1.02
5704.5	1360.9	2.84	3.48	1.11
5719.5	1364.5	2.74	3.38	1.13
5734.5	1368.1	2.95	3.59	1.05
5749.5	1371.6	3.41	4.05	1.04
5766.5	1375.7	3.51	4.15	0.72
5792.5	1381.9	3.24	3.88	0.42
5802.5	1384.3	3.46	4.10	0.61
5824.5	1389.5	2.98	3.62	1.09
5839.5	1393.1	2.59	3.23	1.06
5854.5	1396.7	2.69	3.33	1.03
5869.5	1400.3	2.84	3.48	0.46
5899.5	1407.4	3.40	4.04	-0.07
5913.5	1410.8	3.62	4.26	-0.04
5920.5	1412.4	3.29	3.93	0.10
5936.5	1416.2	3.74	4.38	0.00
5944.5	1418.1	3.70	4.34	0.10
5961.5	1422.2	3.47	4.11	0.44
5989.5	1428.9	2.92	3.56	0.98
6019.5	1436.0	2.67	3.31	0.89
6049.5	1443.2	2.70	3.34	1.15
6064.5	1446.8	2.74	3.38	0.77
6086.5	1452.0	3.63	4.27	0.57
6094.5	1453.9	3.73	4.37	0.53
6111.5	1458.0	3.80	4.44	0.56
6124.5	1461.1	3.58	4.22	0.29
6139.5	1464.6	3.36	4.00	0.60
6147.5	1466.6	3.44	4.08	0.96
6154.5	1468.2	3.36	4.00	1.01
6169.5	1471.8	3.00	3.64	1.22
6184.5	1475.4	2.94	3.58	1.05
6199.5	1479.0	3.02	3.66	1.17
6207.5	1480.9	2.98	3.62	0.94
6237.5	1488.0	3.63	4.27	0.04
6270.5	1495.9	3.78	4.42	0.13
6285.5	1499.5	3.57	4.21	0.10
6310.5	1505.4	3.44	4.08	0.76
6321.5	1508.0	3.27	3.91	0.88
6353.5	1515.7	3.28	3.92	1.14
6361.5	1517.6	3.06	3.70	0.96
6368.5	1519.3	2.90	3.54	1.04
6385.5	1523.3	2.80	3.44	0.95
6398.5	1526.4	2.86	3.50	1.15
6411.5	1529.5	2.89	3.53	1.12
6420.5	1531.7	2.95	3.59	0.81
6435.5	1535.2	3.33	3.97	1.00
6443.5	1537.1	3.52	4.16	0.96
6460.5	1541.2	3.75	4.39	0.92
6473.5	1544.3	3.70	4.34	0.82
6488.5	1547.9	3.56	4.20	0.76
6501.5	1551.0	3.39	4.03	0.86
6518.5	1555.0	3.30	3.94	1.07
6533.5	1558.6	3.06	3.70	1.11
6563.5	1565.8	3.30	3.94	0.97
6570.5	1567.4	3.26	3.90	1.22
6595.5	1573.4	2.81	3.45	1.30
6621.5	1579.6	2.89	3.53	1.19
6638.5	1583.6	2.88	3.52	1.12
6651.5	1586.7	3.18	3.82	1.24
6668.5	1590.8	3.31	3.95	1.04
6683.5	1594.4	2.98	3.62	1.12
6698.5	1597.9	3.15	3.79	1.02
6713.5	1601.5	3.23	3.87	0.92
6719.5	1603.0	3.15	3.79	1.25
6743.5	1608.7	2.86	3.50	1.15
6760.5	1612.7	3.15	3.79	1.30
6773.5	1615.8	3.30	3.94	1.28
6803.5	1623.0	3.74	4.38	1.19
6818.5	1626.6	3.59	4.23	1.25
6848.5	1633.7	3.68	4.32	0.80
6863.5	1637.3	3.70	4.34	1.04
6885.5	1642.5	3.15	3.79	1.21
6908.5	1648.0	3.09	3.73	1.29
6923.5	1651.6	2.79	3.43	1.17
6938.5	1655.2	2.86	3.50	1.19
6953.5	1658.8	3.10	3.74	1.17
6968.5	1662.3	2.95	3.59	1.06
6983.5	1665.9	3.30	3.94	0.55
6998.5	1669.5	2.97	3.61	0.84
7011.5	1672.6	3.50	4.14	0.29
7019.5	1674.5	3.60	4.24	0.49
7035.5	1678.3	3.10	3.74	0.56
7043.5	1680.2	2.92	3.56	0.94
7060.5	1684.3	2.90	3.54	0.82
7071.5	1686.9	3.08	3.72	0.72
7088.5	1691.0	3.44	4.08	0.40
7103.5	1694.5	3.05	3.69	0.89
7118.5	1698.1	3.10	3.74	0.77
7137.5	1702.6	2.85	3.49	0.91
7154.5	1706.7	2.89	3.53	0.44
7170.5	1710.5	3.22	3.86	0.86
7200.5	1717.7	3.26	3.90	0.96
7214.5	1721.0	3.15	3.79	0.75
7230.5	1724.8	3.43	4.07	0.17
7244.5	1728.2	3.20	3.84	0.27
7259.5	1731.7	3.49	4.13	0.62
7270.5	1734.4	2.62	3.26	1.11
7285.5	1737.9	2.73	3.37	0.99
7300.5	1741.5	2.76	3.40	1.23
7322.5	1746.8	2.90	3.54	1.07
7330.5	1748.7	2.91	3.55	1.14
7347.5	1752.7	3.12	3.76	1.00
7375.5	1759.2	3.35	3.99	0.31
7405.5	1765.9	3.36	4.00	0.56
7420.5	1769.2	3.39	4.03	0.47
7435.5	1772.6	3.25	3.89	0.65
7450.5	1775.9	3.00	3.64	0.92
7472.5	1780.8	2.68	3.32	1.10
7480.5	1782.6	2.82	3.46	1.02
7497.5	1786.3	3.05	3.69	0.98
7510.5	1789.2	2.95	3.59	0.95
7525.5	1792.6	2.82	3.46	1.08
7540.5	1795.9	2.94	3.58	0.97
7555.5	1799.2	2.81	3.45	0.95
7570.5	1802.6	3.02	3.66	0.56
7585.5	1805.9	3.68	4.32	0.52
7600.5	1809.2	3.23	3.87	0.76
