/* DATA DESCRIPTION:
Citation:	McIntyre, K et al. (1999): Pliocene-Pleistocene stable oxygen and carbon isotope ratios of Cibicidoides wuellerstorfi from ODP Site 162-983 in the North Atlantic, doi:10.1594/PANGAEA.698996,
	In Supplement to: McIntyre, K; Ravelo, A Christina; Delaney, Margaret Lois (1999): North Atlantic intermediate waters in the Late Pliocene to Early Pleistocene, Paleoceanography, 14(3), 324-335, doi:10.1029/1998PA900005
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: -23.6407 * EAST: -23.6407 * SOUTH: 60.4035 * NORTH: 60.4035
	MINIMUM AGE: 1390.000 ka BP * MAXIMUM AGE: 1967.290 ka BP
	MINIMUM DEPTH, sediment: 179.6 m * MAXIMUM DEPTH, sediment: 287.7 m
Event(s):	162-983 * LATITUDE: 60.4035 * LONGITUDE: -23.6407 * ELEVATION: -1983.7 m * DATE/TIME: 1995-07-21T00:00:00 * DATE/TIME 2: 1995-07-24T00:00:00 * RECOVERY: 798.00 m * PENETRATION: 766.50 m * CAMPAIGN: Leg162 (URI: doi:10.2973/odp.proc.ir.162.1996) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 82 cores; 766.5 m cored; 0 m drilled; 104.1% recovery
Comment:	Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Size fraction > 0.063 mm, sand [%] (>63 µm) * PI: McIntyre, K * METHOD: Grain size, sieving
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: McIntyre, K * METHOD: Mass spectrometer
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: McIntyre, K * METHOD: Mass spectrometer
Size:	873 data points
*/
Depth [m]	Age [ka BP]	>63 µm [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]
214.30	1584.95	1.26		
214.70	1586.69	1.30	0.19	4.57
214.97	1587.87	0.58	0.22	3.60
215.00	1588.00	0.47	0.96	5.75
215.27	1589.30	1.22		
215.57	1590.75	0.60		
215.87	1592.20	0.80	1.08	3.68
216.17	1593.65	0.70	1.38	3.19
216.47	1595.10	0.96		
216.77	1596.55	1.84		
217.07	1598.00	4.25	1.08	3.11
217.37	1599.91	6.21	1.12	2.40
217.67	1601.83	3.13	0.64	3.19
217.97	1603.74	2.95	0.96	3.23
218.27	1605.66	2.58	0.99	3.45
218.57	1607.57	2.16		
218.87	1609.49	1.61	0.81	3.55
219.17	1611.40	1.55	0.67	3.51
219.47	1613.32	2.47	0.80	3.66
219.77	1615.23	2.37	0.53	3.38
220.07	1617.15	2.10		
220.37	1619.06	1.56	1.00	3.79
220.67	1620.98	0.45	0.16	3.45
220.97	1622.89	0.63		
221.27	1624.81	0.72		
221.57	1626.72	1.25	0.52	3.18
221.85	1628.51	0.80		
222.15	1630.43	0.47		
222.45	1632.34	1.66	1.09	3.40
222.75	1634.26	2.43	1.27	4.25
223.05	1636.17	2.57	0.94	3.42
223.35	1638.09	11.77		
223.65	1640.00	0.83	0.93	3.05
223.95	1641.45	1.62		
224.25	1642.89	0.65		
224.55	1644.34	0.66		
224.85	1645.78	0.66		
225.15	1647.23	0.72		
225.24	1647.66	1.06	0.64	3.68
225.44	1648.63	0.71		
225.54	1649.11	0.61	0.63	3.72
225.84	1650.55	0.62		
226.14	1652.00	1.42	0.22	3.94
226.44	1654.50	0.75		
226.74	1657.00	1.07	0.23	3.54
227.04	1659.50	0.92		
227.34	1662.00	2.38		
227.64	1664.50	0.37		
227.94	1667.00	0.94		
228.24	1669.50	2.97		
228.54	1672.00	0.83	0.36	3.66
228.84	1674.50	0.88	0.83	3.54
229.14	1677.00	1.32	0.64	3.59
229.44	1679.50	1.47	0.38	3.37
229.74	1682.00	2.13		
230.04	1684.50	3.31	0.74	3.23
230.34	1687.00	4.23	0.21	3.25
230.64	1687.77	6.27	0.49	3.39
230.94	1688.53	6.09	0.56	3.25
231.24	1689.30	5.74	0.64	3.24
231.54	1690.06	6.91	0.61	3.26
231.84	1690.83	8.26	0.95	3.22
232.14	1691.59	8.41	0.78	3.25
232.44	1692.36	7.80	0.69	3.28
232.53	1692.58	6.67		
232.74	1693.12	5.86	0.73	3.18
232.83	1693.35	4.26	0.85	3.47
233.13	1694.11	2.71	0.62	3.12
233.43	1694.88	3.22	0.74	3.50
233.73	1695.64	3.45	0.72	3.61
234.03	1696.41	0.92	0.53	3.44
234.33	1697.17	0.84		
234.63	1697.94	0.11		
234.93	1698.70	1.62		
235.23	1699.47	0.68		
235.53	1700.23	0.26		
235.79	1700.90	0.24		
235.83	1701.00	0.15	1.24	3.78
236.09	1703.04	2.04		
236.39	1705.39	1.87		
236.69	1707.74	4.63	0.36	3.39
236.99	1710.09	3.07	0.72	2.42
237.29	1712.44	3.69	0.29	2.91
237.59	1714.79	1.45		
237.69	1715.57	0.86	0.10	3.21
237.79	1716.36	0.98	0.40	3.48
237.89	1717.14	1.15	-0.83	3.18
238.19	1719.49	0.52		
238.49	1721.84	0.54		
238.79	1724.19	0.50		
239.09	1726.54	0.60		
239.39	1728.90	0.78		
239.69	1731.25	1.11	0.10	3.38
239.99	1733.60	2.91	0.27	3.42
240.29	1735.95	4.04	0.59	3.22
240.59	1738.30	0.27		
240.89	1740.65	8.52		
241.19	1743.00	0.76	0.39	4.02
241.49	1744.40	0.27		
241.79	1745.79	0.42		
242.09	1747.19	0.32		
242.39	1748.59	0.41		
242.69	1749.98	0.37		
242.99	1751.38	0.28		
243.29	1752.78	0.41		
243.59	1754.17	1.29		
243.77	1755.01	0.56	0.50	3.34
244.07	1756.41	2.23	0.90	3.30
244.37	1757.80	4.55	0.79	3.33
244.67	1759.20	4.69	1.00	3.28
244.97	1760.60	8.39	0.82	3.23
245.27	1761.99	5.92	0.97	3.25
245.53	1763.20	15.68		
245.57	1763.39	10.76	0.78	3.31
245.83	1764.60	7.75	0.85	3.17
246.13	1766.00	12.54		
246.43	1767.39	6.29	0.71	3.20
246.73	1768.79	6.68	0.86	3.14
247.03	1770.38	5.17		
247.19	1771.90	4.96		
247.33	1773.23	6.16		
247.49	1774.75	5.68	0.82	3.12
247.79	1777.60	5.14	0.79	3.14
248.09	1780.45	6.47	0.70	3.42
248.40	1783.39	2.68	0.56	3.48
248.69	1786.15	1.55	0.55	3.48
248.99	1789.00	3.51	0.09	3.59
249.24	1792.20	11.59	-0.41	3.20
249.29	1792.84	0.41	-0.27	3.26
249.59	1796.67	0.50		
249.89	1800.15	1.10		
250.19	1801.31	0.62		
250.49	1802.46	1.38		
250.79	1803.61	0.42		
251.09	1804.76	0.75		
251.40	1805.95	1.17		
251.69	1807.06	0.52		
251.99	1808.22	0.82		
252.31	1809.44	3.17	0.69	3.50
252.61	1810.60	1.59	0.95	3.28
252.91	1811.75	1.99	0.77	3.08
253.21	1812.90	2.21		
253.51	1814.05	1.62	0.28	3.22
253.76	1815.01	0.92	0.40	3.33
253.81	1815.20	1.04	0.12	3.35
254.11	1816.35	0.82		
254.42	1817.54	0.72		
254.71	1818.66	0.73	0.72	3.16
254.72	1818.70	1.64	1.12	3.42
255.01	1819.81	1.08	0.71	3.28
255.02	1819.85	1.22	0.63	3.34
255.32	1821.00	3.13	0.78	3.09
255.62	1825.33	1.71	0.76	3.34
255.92	1829.67	1.98	0.90	3.31
256.22	1834.00	1.44	0.92	3.38
256.52	1838.33	1.33		
256.57	1839.06	3.86	-0.39	2.92
256.62	1839.78	1.98	-0.28	2.84
256.67	1840.50	3.40	-0.09	3.27
256.72	1841.22	4.39	-0.19	2.29
256.82	1842.67	0.71		
257.08	1846.42	0.34		
257.12	1847.00	3.17	0.53	3.78
257.32	1847.28	10.62	-0.08	3.47
257.37	1847.35	2.40	-0.24	3.54
257.38	1847.36	1.35		
257.68	1847.77	0.56		
257.98	1848.19	0.33		
258.28	1848.60	0.88		
258.58	1849.02	3.52		
258.89	1849.45	1.83		
259.28	1849.99	0.82	0.61	3.46
259.48	1850.26	0.39		
259.78	1850.68	0.68		
260.08	1851.09	0.86	0.55	3.28
