# NOAA Paleoclimatology Program - Paleocean Site Data
# dsdp502_isot-tab.txt
# Isotope data only
# File Created: 19-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Peter B. deMenocal
# Core/Site:      DSDP502
# Latitude:       11.00.00N	( 11)
# Longitude:      80.00.00W	( -80)
# Water Depth(m): 3051
#
# Publications:
#   deMenocal, P.B., D.W. Oppo, R.G. Fairbanks, and W.L. Prell. 1992. Pleistocene
#     d13C variability of North Atlantic intermediate water. Paleoceanography
#     7(2):229-250.
#------------------
#
# Description & Notes:
#   North Atlantic Intermediate water carbon isotopes during the Pleistocene.
#   Age correlated to the "TP607" time scale presented by Ruddiman et al. [1989].
#   Notes are core-hole-section followed by depth in section.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: DSDP502
depth	yrBP 	d13Cforams-b	d18Oforams-b	notes
1551.5	720600	0.859	2.811	5B1 71.5
1563	723000	0.662	2.714	5B1 83
1571.5	724700	0.612	2.983	5B1 91.5
1581	726700	0.709	2.71	5B1 101
1591.5	728900	0.458	2.431	5B1 111.5
1601	730900	0.528	-999	5B1 121
1601	730900	0.391	-999	5B1 121
1601	730900	-999	2.57	5B1 121
1601	730900	-999	2.325	5B1 121
1611.5	733000	0.663	2.373	5B1 131.5
1615	733800	0.539	2.365	5B1 135
1621.5	735100	0.096	1.922	5B1 141.5
1671	744600	0.763	3.121	5B2 41
1674.5	746900	0.92	2.938	5B2 44.5
1683	752300	0.843	2.989	5B2 53
1693.5	759000	0.74	3.001	5B2 63.5
1744.5	816600	0.628	2.738	5B2 141.5
1755.5	822700	0.557	2.689	5B3 2.5
1774	840000	0.558	3.176	5B3 21
1784.5	845000	0.697	-999	5B3 31.5
1784.5	845000	0.519	-999	5B3 31.5
1784.5	845000	-999	3.031	5B3 31.5
1784.5	845000	-999	2.907	5B3 31.5
1794	849600	0.59	2.607	5B3 41
1804.5	854600	0.707	2.436	5B3 51.5
1814	859200	0.574	1.975	5B3 61
1824.5	864200	0.298	1.822	5B-3 71.5
1832	867400	0.446	-999	5B3 79
1832	867400	0.148	-999	5B3 79
1832	867400	-999	2.311	5B3 79
1832	867400	-999	2.153	5B3 79
1852	876000	0.819	3.269	5B3 99
1864.5	908100	0.682	2.466	5B3 111.5
1874	910600	0.738	2.619	5B3 121
1882.5	912900	1	2.935	5BCC 3.5
1936.5	927200	0.841	3.224	6B1 1.5
1946.5	931000	0.886	3.164	6B1 11.5
1956	934700	0.67	2.681	6B1 21
1966.5	938700	0.982	2.964	6B1 31.5
1976	942300	0.838	2.741	6B1 41
1986.5	946400	0.89	2.536	6B1 51.5
1996	950000	0.535	2.489	6B1 61.5
2006.5	953700	0.517	2.638	6B1 71.5
2016	957100	0.61	2.826	6B1 81
2026.5	960800	0.928	3.308	6B1 91.5
2036	964000	0.912	3.286	6B1 101
2046.5	967600	0.724	3.159	6B1 111.5
2056	970800	0.618	2.943	6B1 121
2066.5	974400	0.871	2.435	6B1 131.5
2074	976900	0.777	2.462	6B1 139
