age(ma)	PF-13C	PF-18O	age(Ma)	BF-13C	BF-18O
5.338 	1.434 	-2.196 	3.844 	-0.062 	2.156 
5.346 	0.939 	-2.233 	3.861 	0.044 	2.181 
5.386 	0.847 	-2.242 	3.877 	-0.029 	2.219 
5.405 	1.039 	-2.562 	3.894 	-0.376 	2.060 
5.427 	1.134 	-2.374 	3.911 	-0.375 	2.075 
5.437 	1.076 	-2.589 	3.927 	-0.238 	2.188 
5.457 	0.923 	-2.412 	3.961 	-0.054 	2.024 
5.468 	0.486 	-2.765 	3.977 	-0.014 	2.313 
5.560 	0.072 	-2.313 	3.994 	0.347 	2.543 
5.580 	1.039 	-2.282 	4.008 	-0.028 	2.233 
5.590 	0.983 	-2.642 	4.022 	0.027 	2.318 
5.601 	0.491 	-2.454 	4.035 	-0.080 	2.300 
5.631 	1.380 	-2.782 	4.049 	-0.488 	1.804 
5.652 	1.002 	-2.406 	4.063 	-0.427 	2.283 
5.672 	0.545 	-2.467 	4.077 	-0.166 	2.327 
5.693 	0.566 	-2.564 	4.089 	-0.259 	2.206 
5.703 	1.145 	-2.573 	4.118 	-0.087 	2.084 
5.752 	1.274 	-1.573 	4.132 	-0.991 	1.829 
5.763 	1.512 	-2.693 	4.146 	-0.150 	2.183 
5.769 	1.598 	-2.264 	4.159 	-0.211 	2.302 
5.775 	0.488 	-1.738 	4.173 	-0.207 	2.420 
5.798 	0.611 	-2.047 	4.187 	-0.301 	2.360 
5.834 	0.990 	-2.214 	4.201 	0.166 	2.215 
5.844 	0.811 	-1.909 	4.215 	-0.121 	2.211 
5.854 	0.006 	-2.634 	4.227 	-0.122 	2.043 
5.875 	0.773 	-2.300 	4.242 	-0.215 	2.359 
5.905 	1.210 	-2.017 	4.256 	-0.076 	2.366 
5.916 	1.376 	-1.981 	4.270 	-0.290 	2.065 
5.957 	1.039 	-2.043 	4.284 	-0.138 	1.618 
5.977 	0.835 	-2.188 	4.303 	-0.036 	2.278 
5.997 	1.226 	-2.248 	4.330 	-0.135 	2.200 
			4.435 	-0.263 	2.155 
			4.449 	-0.086 	2.155 
			4.463 	-0.316 	2.151 
			4.477 	-0.425 	1.820 
			4.490 	-0.128 	1.977 
			4.504 	-0.133 	2.145 
			4.518 	-0.150 	2.167 
			4.532 	-0.351 	2.115 
			4.545 	-0.238 	2.333 
			4.557 	0.003 	2.241 
			4.573 	-0.384 	2.164 
			4.601 	-0.121 	2.099 
			4.614 	-0.260 	2.061 
			4.628 	-0.236 	2.133 
			4.642 	-0.287 	1.912 
			4.656 	-0.339 	2.218 
			4.670 	-0.242 	2.130 
			4.683 	-0.222 	1.995 
			4.695 	-0.132 	2.132 
			4.711 	-0.162 	2.150 
			4.725 	-0.300 	2.127 
			4.738 	-0.352 	2.188 
			4.766 	0.089 	2.206 
			4.780 	-0.063 	2.152 
			4.794 	-0.299 	2.217 
			4.807 	-0.082 	2.116 
			4.821 	-0.158 	2.041 
			4.833 	-0.134 	2.102 
			4.849 	-0.146 	2.293 
			4.863 	-0.055 	2.139 
			4.876 	-0.303 	2.607 
			4.885 	-0.192 	1.930 
			4.893 	-0.377 	2.446 
			4.902 	-0.138 	2.010 
			4.910 	-0.270 	2.230 
			4.919 	-0.179 	2.169 
			4.927 	0.087 	1.905 
			4.936 	-0.802 	2.487 
			4.944 	-0.117 	2.352 
			4.953 	-0.093 	2.234 
			4.962 	-0.045 	2.076 
			4.970 	0.035 	2.115 
			4.979 	-0.057 	2.055 
			4.987 	0.043 	2.009 
			4.996 	-0.227 	2.113 
			5.004 	-0.079 	2.193 
			5.013 	0.025 	2.294 
			5.020 	-0.352 	2.071 
			5.030 	-0.209 	2.075 
			5.047 	-0.178 	1.993 
			5.056 	-0.102 	2.319 
			5.064 	-0.040 	2.271 
			5.073 	0.110 	2.023 
			5.090 	0.045 	1.988 
			5.095 	0.207 	2.099 
			5.098 	-0.055 	2.174 
			5.106 	0.057 	2.304 
			5.115 	-0.070 	2.370 
			5.124 	-0.091 	2.191 
			5.133 	0.107 	2.130 
			5.147 	0.069 	1.846 
			5.149 	-0.158 	2.249 
			5.158 	-0.114 	2.234 
			5.167 	-0.384 	2.151 
			5.175 	-0.077 	2.090 
			5.184 	-0.063 	2.299 
			5.192 	-0.066 	2.264 
			5.201 	-0.203 	2.391 
			5.210 	-0.074 	2.216 
			5.218 	-0.016 	2.073 
			5.225 	-0.068 	2.185 
			5.235 	-0.422 	2.072 
			5.244 	-0.412 	1.952 
			5.252 	-0.200 	2.271 
			5.261 	-0.516 	2.332 
			5.269 	0.000 	1.979 
			5.278 	-0.442 	2.046 
			5.286 	-0.322 	1.952 
			5.295 	-0.106 	2.164 
			5.304 	-0.001 	2.041 
			5.311 	-0.176 	1.953 
			5.321 	-0.183 	2.016 
			5.324 	-0.263 	2.287 
			5.338 	-0.227 	2.103 
			5.346 	-0.395 	1.841 
			5.355 	-0.675 	2.521 
			5.365 	0.175 	2.074 
			5.375 	0.093 	1.984 
			5.386 	-0.165 	2.162 
			5.396 	0.063 	2.180 
			5.405 	0.011 	2.108 
			5.416 	0.029 	2.075 
			5.427 	0.299 	1.999 
			5.437 	-0.098 	2.009 
			5.447 	0.131 	2.196 
			5.457 	0.018 	2.140 
			5.468 	-0.094 	2.192 
			5.478 	0.251 	2.173 
			5.488 	0.188 	2.196 
			5.498 	0.173 	2.000 
			5.507 	-0.136 	2.234 
			5.519 	0.256 	2.129 
			5.529 	0.354 	2.022 
			5.539 	0.130 	2.028 
			5.550 	-0.246 	2.172 
			5.560 	-0.167 	1.926 
			5.570 	-0.307 	2.022 
			5.580 	0.079 	2.038 
			5.590 	-0.171 	1.896 
			5.601 	0.004 	2.039 
			5.610 	-0.565 	2.275 
			5.621 	0.006 	2.023 
			5.631 	-0.037 	1.811 
			5.642 	0.367 	2.072 
			5.652 	0.062 	1.937 
			5.662 	0.009 	1.874 
			5.672 	0.209 	1.719 
			5.683 	-0.216 	1.986 
			5.693 	-0.061 	2.170 
			5.703 	-0.758 	1.970 
			5.712 	-0.774 	2.492 
			5.719 	-0.932 	2.137 
			5.724 	0.021 	2.375 
			5.730 	-0.546 	2.335 
			5.746 	-0.171 	2.033 
			5.752 	-0.151 	2.217 
			5.763 	-0.233 	2.208 
			5.769 	0.043 	2.083 
			5.775 	-0.448 	2.155 
			5.781 	-0.448 	2.344 
			5.787 	-0.316 	2.195 
			5.793 	-0.172 	1.977 
			5.798 	-0.240 	1.944 
			5.804 	-0.518 	2.159 
			5.810 	-0.383 	2.061 
			5.816 	-0.246 	1.985 
			5.823 	-0.253 	2.276 
			5.834 	-0.528 	1.910 
			5.844 	-0.263 	1.836 
			5.854 	-0.598 	2.155 
			5.864 	-0.377 	1.900 
			5.883 	-0.798 	2.079 
			5.895 	-0.445 	2.283 
			5.905 	-0.310 	1.958 
			5.916 	-0.002 	2.163 
			5.926 	-0.015 	2.134 
			5.936 	-0.514 	2.284 
			5.946 	-0.110 	2.133 
			5.957 	-0.166 	2.031 
			5.967 	-0.336 	2.318 
			5.977 	-0.375 	2.129 
			5.997 	0.066 	2.082 
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
