age(ma)	PF-13C	PF-18O	age(Ma)	BF-13C	BF-18O
0.997 	0.763 	-2.281 	1.053 	-0.309 	3.205 
1.008 	0.778 	-1.882 	1.070 	-0.572 	2.622 
1.026 	0.459 	-2.479 	1.081 	-0.360 	3.260 
1.040 	0.789 	-2.392 	1.087 	-0.385 	3.289 
1.053 	1.104 	-2.187 	1.101 	-0.147 	3.307 
1.070 	-0.138 	-2.092 	1.115 	-1.631 	3.550 
1.081 	0.451 	-2.032 	1.119 	-0.583 	3.474 
1.087 	0.512 	-1.852 	1.126 	-0.433 	3.486 
1.101 	0.789 	-1.712 	1.127 	-0.043 	3.197 
1.115 	0.530 	-2.198 	1.177 	-0.062 	2.946 
1.126 	0.908 	-1.844 	1.199 	-0.355 	3.262 
1.129 	0.359 	-1.482 	1.207 	-0.417 	3.668 
1.177 	0.541 	-2.393 	1.215 	-0.584 	3.499 
1.199 	0.058 	-1.978 	1.242 	-1.148 	2.822 
1.207 	0.588 	-1.923 	1.249 	-0.977 	3.359 
1.215 	0.928 	-1.842 	1.268 	-0.173 	3.296 
1.242 	0.449 	-2.010 	1.276 	-0.238 	2.845 
1.249 	0.475 	-1.197 	1.279 	0.079 	2.877 
1.267 	0.933 	-1.996 	1.286 	-0.795 	3.715 
1.268 	0.154 	-2.104 	1.304 	-0.496 	3.389 
1.276 	0.406 	-2.157 	1.316 	-0.715 	3.058 
1.279 	0.551 	-2.383 	1.322 	-0.541 	3.215 
1.286 	0.354 	-1.599 	1.331 	-0.744 	3.464 
1.304 	-0.313 	-2.619 	1.334 	-0.517 	3.546 
1.316 	0.640 	-2.459 	1.347 	-0.143 	2.948 
1.322 	-0.035 	-2.108 	1.351 	-0.616 	2.809 
1.334 	0.933 	-2.087 	1.376 	-0.524 	3.293 
1.347 	0.801 	-2.283 	1.404 	0.131 	2.881 
1.351 	0.255 	-1.867 	1.422 	-0.235 	3.238 
1.376 	0.082 	-2.041 	1.440 	0.077 	2.790 
1.386 	0.854 	-2.256 	1.445 	-0.494 	2.694 
1.404 	-0.001 	-2.466 	1.460 	-0.417 	3.389 
1.422 	0.095 	-2.306 	1.484 	-0.310 	2.518 
1.435 	0.447 	-2.107 	1.509 	-0.142 	3.545 
1.440 	0.895 	-2.296 	1.516 	0.376 	3.237 
1.440 	0.499 	-2.105 	1.517 	-0.079 	3.311 
1.445 	0.160 	-2.147 	1.524 	-0.332 	3.361 
1.460 	0.145 	-2.316 	1.525 	-0.123 	3.208 
1.469 	0.121 	-2.054 	1.537 	-0.646 	3.490 
1.484 	-0.081 	-2.560 	1.554 	0.165 	2.892 
1.509 	0.518 	-1.648 	1.569 	-0.217 	3.214 
1.516 	0.716 	-2.378 	1.572 	0.079 	3.563 
1.524 	0.435 	-1.782 	1.589 	0.066 	3.150 
1.525 	0.239 	-1.942 	1.611 	0.190 	2.689 
1.537 	0.550 	-1.892 	1.613 	0.102 	2.542 
1.554 	0.194 	-2.246 	1.625 	-0.019 	2.898 
1.589 	0.665 	-2.328 	1.629 	0.001 	2.941 
1.611 	0.764 	-2.244 	1.641 	-0.096 	2.959 
1.613 	0.526 	-2.322 	1.660 	-0.110 	3.557 
