/* DATA DESCRIPTION:
Citation:	Chen, J et al. (1995): (Table 1) Stable oxygen and carbon isotope ratios of Cibicides wuellerstorfi from ODP Site 121-758 in the northeast Indian Ocean, doi:10.1594/PANGAEA.52683,
	In Supplement to: Chen, Jiajie; Farrell, John W; Murray, David; Prell, Warren L (1995): Timescale and paleoceanographic implications of a 3.6 m.y. oxygen isotope record from the northeast Indian Ocean (Ocean Drilling Program Site 758), Paleoceanography, 10(1), 21-48, doi:10.1029/94PA02290
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 90.3612 * EAST: 90.3612 * SOUTH: 5.3841 * NORTH: 5.3841
	MINIMUM DEPTH, sediment: 0.0 m * MAXIMUM DEPTH, sediment: 53.3 m
Event(s):	121-758 * LATITUDE: 5.3841 * LONGITUDE: 90.3612 * ELEVATION: -2935.0 m * DATE/TIME: 1988-06-15T00:00:00 * DATE/TIME 2: 1988-06-15T00:00:00 * RECOVERY: 561.90 m * PENETRATION: 782.20 m * LOCATION: North Indian * CAMPAIGN: Leg121 (URI: doi:10.2973/odp.proc.ir.121.1989) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 84 cores; 782.2 m cored; 0 m drilled; 71.8% recovery
Comment:	Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Sample code/label (Label) * PI: Chen, JH * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: Chen, JH * METHOD: Mass spectrometer VG SIRA 24 * COMMENT: size fraction >150 µm
	Cibicides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Chen, JH * METHOD: Mass spectrometer VG SIRA 24 * COMMENT: size fraction >150 µm
Size:	2418 data points
*/
Depth [m]	Label	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]
21.02	121-758A-3-3,51	0.00	3.54
21.12	121-758A-3-3,61	-0.24	3.42
21.12	121-758A-3-3,61	-0.16	3.08
21.22	121-758A-3-3,71	-0.17	3.56
21.22	121-758A-3-3,71	0.12	3.22
21.32	121-758A-3-3,81	0.20	3.37
21.32	121-758A-3-3,81	0.19	3.50
21.42	121-758A-3-3,91	0.33	3.16
21.42	121-758A-3-3,91	0.05	3.25
21.52	121-758A-3-3,101	0.00	3.39
21.52	121-758A-3-3,101	0.19	3.07
21.62	121-758A-3-3,111	-0.19	3.72
21.62	121-758A-3-3,111	-0.17	3.64
21.72	121-758A-3-3,121	-0.14	3.79
21.82	121-758A-3-3,131	-0.44	3.10
21.82	121-758A-3-3,131	-0.03	3.70
21.92	121-758A-3-3,141	0.12	3.32
21.92	121-758A-3-3,141	-0.06	3.74
22.02	121-758A-3-4,1	0.00	3.58
22.12	121-758A-3-4,11	0.18	3.07
22.12	121-758A-3-4,11	0.32	2.82
22.22	121-758A-3-4,21	0.08	3.03
22.32	121-758A-3-4,31	-0.09	2.98
22.42	121-758A-3-4,41	-0.24	3.75
22.52	121-758A-3-4,51	-0.17	3.64
22.62	121-758A-3-4,61	-0.11	3.88
22.62	121-758A-3-4,61	0.02	3.79
22.72	121-758A-3-4,71	0.16	3.29
22.72	121-758A-3-4,71	0.37	3.21
22.82	121-758A-3-4,81	0.37	3.16
22.92	121-758A-3-4,91	0.48	3.18
23.02	121-758A-3-4,101	-0.03	3.88
23.12	121-758A-3-4,111	0.06	3.93
23.12	121-758A-3-4,111	-0.06	3.63
23.12	121-758A-3-4,111	0.08	3.70
23.22	121-758A-3-4,121	0.12	3.89
23.32	121-758A-3-4,131	0.19	3.42
23.42	121-758A-3-4,141	0.33	3.46
23.52	121-758A-3-5,1	0.26	2.93
23.62	121-758A-3-5,11	0.13	3.47
23.62	121-758A-3-5,11	0.03	3.71
23.72	121-758A-3-5,21	-0.16	3.70
23.82	121-758A-3-5,31	0.06	3.76
23.92	121-758A-3-5,41	0.08	3.92
24.02	121-758A-3-5,51	0.10	3.25
24.02	121-758A-3-5,51	0.16	3.28
24.12	121-758A-3-5,61	0.19	3.40
24.12	121-758A-3-5,61	0.27	3.21
24.22	121-758A-3-5,71	0.00	3.18
24.32	121-758A-3-5,81	-0.02	3.81
24.32	121-758A-3-5,81	0.01	3.53
24.32	121-758A-3-5,81	0.02	3.16
24.42	121-758A-3-5,91	0.08	3.91
24.42	121-758A-3-5,91	-0.03	3.90
24.52	121-758A-3-5,101	0.04	3.85
24.52	121-758A-3-5,101	-0.04	3.91
24.62	121-758A-3-5,111	0.20	3.62
24.62	121-758A-3-5,111	-0.14	3.39
24.72	121-758A-3-5,121	-0.03	3.59
25.02	121-758A-3-6,1	0.13	3.49
25.02	121-758A-3-6,1	0.26	3.63
25.12	121-758A-3-6,11	0.08	3.46
25.12	121-758A-3-6,11	0.48	3.29
25.22	121-758A-3-6,21	0.32	3.62
25.22	121-758A-3-6,21	0.20	3.58
25.32	121-758A-3-6,31	0.20	3.67
25.42	121-758A-3-6,41	0.15	3.43
25.52	121-758A-3-6,51	0.25	3.38
25.52	121-758A-3-6,51	0.03	3.59
25.62	121-758A-3-6,61	0.02	3.77
25.72	121-758A-3-6,71	-0.21	3.70
25.82	121-758A-3-6,81	-0.02	3.91
25.82	121-758A-3-6,81	-0.07	4.01
25.82	121-758A-3-6,81	0.04	3.79
25.92	121-758A-3-6,91	-0.17	3.96
25.92	121-758A-3-6,91	-0.03	4.04
25.92	121-758A-3-6,91	-0.05	3.88
26.02	121-758A-3-6,101	-0.20	4.06
26.12	121-758A-3-6,111	0.17	3.70
26.12	121-758A-3-6,111	-0.09	4.19
26.22	121-758A-3-6,121	0.19	3.62
26.22	121-758A-3-6,121	0.12	3.71
26.32	121-758A-3-6,131	-0.03	3.73
26.42	121-758A-3-6,141	-0.04	3.41
26.42	121-758A-3-6,141	-0.21	3.43
26.42	121-758A-3-6,141	0.03	3.47
26.52	121-758A-3-7,1	-0.20	3.68
26.52	121-758A-3-7,1	-0.09	3.51
26.62	121-758A-3-7,11	-0.35	3.64
26.62	121-758A-3-7,11	-0.38	3.65
26.72	121-758A-3-7,21	-0.29	4.00
26.72	121-758A-3-7,21	-0.07	3.86
26.72	121-758A-3-7,21	-0.16	3.78
26.82	121-758A-3-7,31	-0.19	3.66
26.82	121-758A-3-7,31	-0.15	3.18
26.92	121-758A-3-7,41	-0.16	3.52
26.92	121-758A-3-7,41	-0.29	3.05
27.02	121-758A-3-7,51	0.01	3.81
27.02	121-758A-3-7,51	-0.08	3.59
27.12	121-758A-3-7,61	-0.07	3.57
27.12	121-758A-3-7,61	0.08	3.78
27.13	121-758B-3-3,141	-0.19	3.18
27.13	121-758B-3-3,141	0.00	3.59
27.23	121-758B-3-4,1	-0.09	3.24
27.33	121-758B-3-4,11	-0.11	3.35
27.33	121-758B-3-4,11	-0.13	3.68
27.43	121-758B-3-4,21	-0.25	3.64
27.43	121-758B-3-4,21	-0.21	3.67
27.53	121-758B-3-4,31	-0.16	3.29
27.53	121-758B-3-4,31	-0.01	3.49
27.63	121-758B-3-4,41	0.13	3.28
27.73	121-758B-3-4,51	0.18	3.17
27.95	121-758B-3-4,73	0.28	3.01
28.03	121-758B-3-4,81	0.05	3.39
28.13	121-758B-3-4,91	-0.08	2.86
28.23	121-758B-3-4,101	-0.19	3.43
28.33	121-758B-3-4,111	-0.19	3.54
28.43	121-758B-3-4,121	-0.02	3.36
28.43	121-758B-3-4,121	-0.17	3.26
28.53	121-758B-3-4,131	0.08	3.00
28.63	121-758B-3-4,141	-0.01	3.24
28.63	121-758B-3-4,141	0.10	3.38
28.73	121-758B-3-5,1	0.09	3.16
28.73	121-758B-3-5,1	0.13	3.22
28.83	121-758B-3-5,11	-0.10	3.44
28.93	121-758B-3-5,21	0.00	3.32
29.03	121-758B-3-5,31	0.21	3.19
29.03	121-758B-3-5,31	0.20	3.31
29.13	121-758B-3-5,41	-0.09	3.45
29.23	121-758B-3-5,51	0.16	3.39
29.33	121-758B-3-5,61	0.24	3.16
29.43	121-758B-3-5,71	0.25	2.88
29.53	121-758B-3-5,81	0.07	3.24
29.53	121-758B-3-5,81	0.12	3.34
29.54	121-758A-4-1,1	-0.09	3.64
29.54	121-758A-4-1,1	0.11	3.94
29.64	121-758A-4-1,11	-0.10	3.45
29.64	121-758A-4-1,11	0.00	3.55
29.74	121-758A-4-1,21	0.02	3.47
29.74	121-758A-4-1,21	0.16	3.69
29.84	121-758A-4-1,31	0.15	3.33
29.84	121-758A-4-1,31	0.07	3.59
29.94	121-758A-4-1,41	-0.17	3.34
29.94	121-758A-4-1,41	-0.02	3.44
30.04	121-758A-4-1,51	-0.11	3.44
30.04	121-758A-4-1,51	-0.12	3.38
30.04	121-758A-4-1,51	-0.15	3.51
30.14	121-758A-4-1,61	0.17	3.30
30.14	121-758A-4-1,61	-0.03	2.74
30.24	121-758A-4-1,71	-0.09	3.18
30.24	121-758A-4-1,71	-0.23	3.44
30.34	121-758A-4-1,81	-0.29	3.50
30.44	121-758A-4-1,91	-0.14	3.39
30.54	121-758A-4-1,101	0.13	3.06
30.64	121-758A-4-1,111	-0.05	3.28
30.64	121-758A-4-1,111	0.03	3.53
30.74	121-758A-4-1,121	0.23	3.27
30.74	121-758A-4-1,121	-0.06	3.47
30.84	121-758A-4-1,131	0.28	2.94
30.94	121-758A-4-1,141	0.41	2.88
31.04	121-758A-4-2,1	0.25	3.15
31.04	121-758A-4-2,1	0.32	3.05
31.04	121-758A-4-2,1	0.38	2.84
31.14	121-758A-4-2,11	0.22	3.22
31.14	121-758A-4-2,11	0.10	3.30
31.24	121-758A-4-2,21	0.20	3.45
31.24	121-758A-4-2,21	0.27	3.52
31.34	121-758A-4-2,31	0.15	3.34
31.34	121-758A-4-2,31	0.29	3.50
31.44	121-758A-4-2,41	-0.06	3.18
31.54	121-758A-4-2,51	-0.32	3.79
31.64	121-758A-4-2,61	-0.38	3.69
31.64	121-758A-4-2,61	-0.45	3.67
31.74	121-758A-4-2,71	-0.30	3.60
31.84	121-758A-4-2,81	-0.22	3.60
31.94	121-758A-4-2,91	-0.22	3.40
31.94	121-758A-4-2,91	-0.15	3.32
32.04	121-758A-4-2,101	0.00	3.58
32.14	121-758A-4-2,111	-0.11	3.36
32.24	121-758A-4-2,121	-0.05	3.29
32.34	121-758A-4-2,131	-0.04	3.21
32.44	121-758A-4-2,141	-0.15	3.30
32.54	121-758A-4-3,1	-0.33	3.54
32.54	121-758A-4-3,1	-0.21	3.72
32.54	121-755A-4-3,1	-0.29	3.61
32.64	121-758A-4-3,11	-0.38	3.74
32.64	121-758A-4-3,11	-0.51	3.49
32.74	121-758A-4-3,21	-0.38	3.90
32.74	121-758A-4-3,21	-0.37	3.89
32.74	121-758A-4-3,621	-0.40	3.86
32.84	121-758A-4-3,31	-0.15	3.13
32.84	121-758A-4-3,31	-0.13	3.80
32.94	121-758A-4-3,41	0.01	3.44
33.04	121-758A-4-3,51	0.22	3.30
33.14	121-758A-4-3,61	0.16	3.03
33.14	121-758A-4-3,61	0.13	3.08
33.24	121-758A-4-3,71	0.11	3.23
33.24	121-758A-4-3,71	0.02	3.38
33.34	121-758A-4-3,81	-0.21	3.30
33.44	121-758A-4-3,91	-0.10	2.74
33.44	121-758A-4-3,91	-0.30	3.31
33.54	121-758A-4-3,101	0.00	3.41
33.54	121-758A-4-3,101	-0.06	3.50
33.64	121-758A-4-3,111	0.02	3.33
33.74	121-758A-4-3,121	-0.21	3.33
33.84	121-758A-4-3,131	0.01	3.36
33.84	121-758A-4-3,131	-0.29	3.20
33.94	121-758A-4-3,141	-0.17	3.58
33.94	121-758A-4-3,141	-0.03	3.57
34.04	121-758A-4-3,1	-0.17	3.46
34.04	121-758A-4-3,1	-0.28	3.44
34.14	121-758A-4-3,11	0.13	3.04
34.14	121-758A-4-3,11	0.05	2.63
34.24	121-758A-4-3,21	0.05	2.97
34.24	121-758A-4-3,21	0.12	2.97
34.34	121-758A-4-3,31	-0.05	3.64
34.34	121-758A-4-3,31	-0.07	3.24
34.44	121-758A-4-3,41	-0.25	3.41
34.44	121-758A-4-3,41	-0.28	3.45
34.44	121-758A-4-3,41	-0.08	3.58
34.54	121-758A-4-3,51	-0.17	3.17
34.54	121-758A-4-3,51	-0.16	3.33
34.54	121-758A-4-3,51	0.38	3.20
34.64	121-758A-4-3,61	0.13	3.26
34.64	121-758A-4-3,61	0.01	3.13
34.74	121-758A-4-3,71	0.09	3.31
34.74	121-758A-4-3,71	0.14	3.24
34.84	121-758A-4-3,81	-0.16	3.28
34.84	121-758A-4-3,81	0.06	3.33
34.94	121-758A-4-3,91	-0.05	3.33
34.94	121-758A-4-3,91	-0.12	3.42
35.04	121-758A-4-3,101	-0.09	3.08
35.04	121-758A-4-3,101	0.05	3.15
35.14	121-758A-4-3,111	0.15	3.13
35.14	121-758A-4-3,111	0.24	3.30
35.24	121-758A-4-3,121	-0.09	3.01
35.24	121-758A-4-3,121	0.05	3.32
35.34	121-758A-4-3,131	-0.06	3.49
35.34	121-758A-4-3,131	-0.78	2.99
35.44	121-758A-4-3,141	0.04	3.42
35.44	121-758A-4-3,141	-0.30	3.20
35.44	121-758A-4-3,141	-0.01	3.58
35.60	121-758A-4-5,1	-0.03	3.22
35.60	121-758A-4-5,1	0.06	3.41
35.60	121-758A-4-5,1	-0.04	3.45
35.64	121-758A-4-5,11	-0.07	3.12
35.74	121-758A-4-5,21	0.40	2.78
35.84	121-758A-4-5,31	0.36	3.30
35.94	121-758A-4-5,41	0.22	3.09
36.04	121-758A-4-5,51	0.25	3.25
36.04	121-758A-4-5,51	0.16	3.19
36.14	121-758A-4-5,61	0.29	3.08
36.14	121-758A-4-5,61	0.46	2.87
36.14	121-758A-4-5,61	0.07	3.11
36.24	121-758A-4-5,71	0.38	3.14
36.34	121-758A-4-5,81	-0.29	3.26
36.44	121-758A-4-5,91	-0.13	3.69
36.44	121-758A-4-5,91	0.04	3.50
36.54	121-758A-4-5,101	-0.17	3.71
36.54	121-758A-4-5,101	-0.05	3.49
36.64	121-758A-4-5,111	-0.13	3.35
36.74	121-758A-4-5,121	0.10	3.09
36.84	121-758A-4-5,131	0.31	3.09
36.94	121-758A-4-5,141	0.04	3.39
37.04	121-758A-4-6,1	-0.31	3.66
37.14	121-758A-4-6,11	-0.33	3.79
37.24	121-758A-4-6,21	-0.04	3.32
37.24	121-758A-4-6,21	0.01	3.15
37.34	121-758A-4-6,31	-0.22	3.05
37.44	121-758A-4-6,41	-0.14	3.45
37.54	121-758A-4-6,51	-0.38	3.55
37.54	121-758A-4-6,51	-0.43	3.66
37.64	121-758A-4-6,61	-0.34	3.59
37.64	121-758A-4-6,61	-0.61	3.65
37.64	121-758A-4-6,61	-0.61	3.65
37.74	121-758A-4-6,71	-0.20	3.42
37.74	121-758A-4-6,71	-0.51	3.52
37.84	121-758A-4-6,81	-0.25	3.26
37.84	121-758A-4-6,81	-0.24	3.17
37.94	121-758A-4-6,91	0.18	3.09
37.94	121-758A-4-6,91	0.17	3.06
38.04	121-758A-4-6,101	-0.46	2.88
38.14	121-758A-4-6,111	-0.05	3.15
38.24	121-758A-4-6,121	0.11	3.10
38.24	121-758A-4-6,121	-0.01	3.03
38.34	121-758A-4-6,131	-0.40	2.49
38.34	121-758A-4-6,131	0.05	2.94
38.44	121-758A-4-6,141	0.24	2.90
38.44	121-758A-4-6,141	0.15	3.01
38.54	121-758A-4-7,1	-0.36	3.03
38.64	121-758A-4-7,11	-0.06	3.33
38.74	121-758A-4-7,21	0.00	3.07
38.74	121-758A-4-7,21	-0.19	3.58
38.84	121-758A-4-7,31	-0.25	2.94
38.94	121-758A-4-7,41	-0.19	2.98
39.04	121-758A-4-7,51	0.02	3.15
39.04	121-758A-4-7,51	-0.06	2.83
39.14	121-758A-4-7,61	-0.06	3.10
39.14	121-758A-4-7,61	-0.16	3.17
39.24	121-758A-4-7,71	-0.14	3.24
39.25	121-758B-4-5,101	-0.16	3.30
39.35	121-758B-4-5,111	-0.11	2.98
39.45	121-758B-4-5,121	0.23	3.04
39.55	121-758B-4-5,131	-0.16	2.45
39.65	121-758B-4-5,141	0.17	3.16
39.75	121-758B-4-6,1	0.08	3.29
39.85	121-758B-4-6,11	0.05	3.27
39.95	121-758B-4-6,21	-0.09	3.17
40.05	121-758B-4-6,31	-0.26	2.63
40.15	121-758B-4-6,41	-0.22	3.18
40.16	121-758A-5-1,21	-0.39	3.12
40.16	121-758A-5-1,21	-0.71	3.19
40.26	121-758A-5-1,31	-0.37	3.47
40.26	121-758A-5-1,31	-0.28	3.43
40.36	121-758A-5-1,41	-0.08	3.24
40.46	121-758A-5-1,51	0.01	3.08
40.46	121-758A-5-1,51	0.15	3.02
40.56	121-758A-5-1,61	0.05	2.77
40.56	121-758A-5-1,61	0.47	2.75
40.66	121-758A-5-1,71	0.01	2.71
40.76	121-758A-5-1,81	0.06	2.95
40.86	121-758A-5-1,91	0.05	3.02
40.86	121-758A-5-1,91	0.09	3.21
40.96	121-758A-5-1,101	0.05	3.07
40.96	121-758A-5-1,101	0.16	2.98
41.06	121-758A-5-1,111	0.32	2.98
41.16	121-758A-5-1,121	0.15	2.96
41.26	121-758A-5-1,131	0.19	2.96
41.36	121-758A-5-1,141	0.07	3.18
41.46	121-758A-5-2,1	-0.06	2.94
41.56	121-758A-5-2,11	-0.01	3.50
41.56	121-758A-5-2,11	0.06	2.97
41.66	121-758A-5-2,21	0.35	3.08
41.76	121-758A-5-2,31	0.25	2.52
41.76	121-758A-5-2,31	0.40	2.86
41.86	121-758A-5-2,41	0.32	3.17
41.86	121-758A-5-2,41	0.15	2.78
41.96	121-758A-5-2,51	0.20	3.11
42.06	121-758A-5-2,61	0.11	2.78
42.06	121-758A-5-2,61	0.15	3.11
42.16	121-758A-5-2,71	0.15	2.90
42.26	121-758A-5-2,81	0.05	2.98
42.36	121-758A-5-2,91	0.19	3.26
42.46	121-758A-5-2,101	0.17	3.16
42.56	121-758A-5-2,111	0.19	3.27
42.66	121-758A-5-2,121	0.23	2.94
42.66	121-758A-5-2,121	0.11	2.68
42.76	121-758A-5-2,131	0.32	2.81
42.76	121-758A-5-2,131	0.36	2.97
42.86	121-758A-5-2,141	0.11	2.97
42.96	121-758A-5-3,1	0.00	3.02
42.96	121-758A-5-3,1	-0.05	2.79
43.06	121-758A-5-3,11	-0.05	3.41
43.16	121-758A-5-3,21	0.12	2.43
43.16	121-758A-5-3,21	0.24	2.96
43.26	121-758A-5-3,31	0.14	2.73
43.36	121-758A-5-3,41	0.23	2.85
43.46	121-758A-5-3,51	0.29	2.94
43.56	121-758A-5-3,61	0.08	2.97
43.66	121-758A-5-3,71	0.18	3.27
43.76	121-758A-5-3,81	0.25	3.05
43.86	121-758A-5-3,91	0.09	2.87
43.96	121-758A-5-3,101	0.02	2.96
44.06	121-758A-5-3,111	0.02	3.26
44.16	121-758A-5-3,121	0.01	3.38
44.26	121-758A-5-3,131	-0.16	3.00
44.36	121-758A-5-3,141	-0.32	2.78
44.46	121-758A-5-4,1	-0.12	2.84
44.56	121-758A-5-4,11	-0.04	2.92
44.56	121-758A-5-4,11	-0.53	3.25
44.66	121-758A-5-4,21	-0.25	2.74
44.76	121-758A-5-4,31	-0.05	2.95
44.86	121-758A-5-4,41	0.11	2.72
44.96	121-758A-5-4,51	0.14	2.88
45.06	121-758A-5-4,61	0.23	2.70
45.16	121-758A-5-4,71	0.20	2.64
45.26	121-758A-5-4,81	0.32	2.80
45.36	121-758A-5-4,91	0.23	2.96
45.46	121-758A-5-4,101	0.34	2.87
45.56	121-758A-5-4,111	-0.06	2.77
45.66	121-758A-5-4,121	0.09	2.95
45.76	121-758A-5-4,131	-0.01	3.04
45.86	121-758A-5-4,141	-0.43	3.12
45.86	121-758A-5-4,141	0.03	3.11
45.96	121-758A-5-5,1	-0.22	2.89
46.06	121-758A-5-5,11	-0.26	2.88
46.16	121-758A-5-5,21	0.09	2.45
46.26	121-758A-5-5,31	0.19	2.66
46.36	121-758A-5-5,41	0.27	2.98
46.46	121-758A-5-5,51	0.23	2.83
46.56	121-758A-5-5,61	0.30	2.71
46.66	121-758A-5-5,71	0.37	2.59
46.76	121-758A-5-5,81	0.46	2.67
46.86	121-758A-5-5,91	-0.20	2.58
46.96	121-758A-5-5,101	0.01	2.89
47.06	121-758A-5-5,111	0.15	2.71
47.16	121-758A-5-5,121	0.26	2.97
47.16	121-758A-5-5,121	0.33	2.82
47.26	121-758A-5-5,131	0.33	2.96
47.26	121-758A-5-5,131	0.13	2.94
47.46	121-758A-5-6,1	-0.12	3.22
47.46	121-758A-5-6,1	0.11	3.08
47.56	121-758A-5-6,11	-0.09	3.50
47.56	121-758A-5-6,11	-0.25	3.10
47.66	121-758A-5-6,21	-0.36	3.28
47.66	121-758A-5-6,21	-0.31	3.30
47.66	121-758A-5-6,21	-0.46	3.42
47.76	121-758A-5-6,31	-0.29	3.04
47.76	121-758A-5-6,31	-0.24	3.28
47.86	121-758A-5-6,41	-0.14	3.09
47.86	121-758A-5-6,41	-0.35	3.03
47.96	121-758A-5-6,51	-0.04	3.08
47.96	121-758A-5-6,51	-0.01	2.85
48.06	121-758A-5-6,61	-0.05	2.79
48.16	121-758A-5-6,71	0.04	2.98
48.26	121-758A-5-6,81	-0.07	2.99
48.26	121-758A-5-6,81	0.13	3.01
48.36	121-758A-5-6,91	-0.09	2.72
48.46	121-758A-5-6,101	-0.11	2.81
48.46	121-758A-5-6,101	-0.11	2.96
48.56	121-758A-5-6,111	0.17	2.85
48.66	121-758A-5-6,121	-0.30	3.02
48.76	121-758A-5-6,131	-0.19	2.82
48.86	121-758A-5-6,141	-0.01	2.87
48.96	121-758A-5-7,1	0.12	2.98
49.06	121-758A-5-7,11	-0.05	2.78
49.16	121-758A-5-7,21	-0.27	2.62
49.26	121-758A-5-7,31	-0.14	2.44
49.36	121-758A-5-7,41	-0.17	2.78
49.46	121-758A-5-7,51	-0.03	2.78
49.47	121-758B-5-4,131	-0.22	2.29
49.57	121-758B-5-4,141	0.07	2.86
49.67	121-758B-5-5,1	-0.05	2.65
49.77	121-758B-5-5,11	0.02	2.56
49.77	121-758B-5-5,11	-0.18	2.35
49.87	121-758B-5-5,21	0.09	2.75
49.97	121-758B-5-5,31	0.30	2.56
50.07	121-758B-5-5,41	0.15	2.62
50.17	121-758B-5-5,51	0.26	2.89
50.27	121-758B-5-5,61	0.24	2.65
50.37	121-758B-5-5,71	-0.02	2.67
50.47	121-758B-5-5,81	0.12	2.72
50.57	121-758B-5-5,91	-0.07	2.56
50.57	121-758B-5-5,91	0.25	2.64
50.67	121-758B-5-5,101	0.11	2.82
50.77	121-758B-5-5,111	0.22	2.86
50.87	121-758B-5-5,121	0.21	2.76
50.97	121-758B-5-5,131	0.21	2.43
51.07	121-758B-5-5,141	0.17	2.27
51.17	121-758B-5-6,1	0.45	2.83
51.37	121-758B-5-6,21	0.35	2.55
51.46	121-758B-5-6,30	0.13	2.64
51.57	121-758B-5-6,41	-0.14	2.45
51.67	121-758B-5-6,51	0.02	2.85
51.77	121-758B-5-6,61	0.09	2.91
51.77	121-758B-5-6,61	0.16	2.76
51.87	121-758B-5-6,71	0.13	2.96
51.87	121-758B-5-6,71	-0.22	2.83
51.97	121-758B-5-6,81	0.15	2.67
52.07	121-758B-5-6,91	0.39	2.65
52.08	121-758A-6-1,31	0.08	2.69
52.18	121-758A-6-1,41	0.06	2.98
52.28	121-758A-6-1,51	-0.03	2.91
52.38	121-758A-6-1,61	0.26	2.76
52.48	121-758A-6-1,71	0.34	2.55
52.58	121-758A-6-1,81	0.29	2.56
52.68	121-758A-6-1,91	0.32	2.57
52.68	121-758A-6-1,91	-0.27	2.54
52.78	121-758A-6-1,101	0.15	2.64
52.88	121-758A-6-1,111	0.08	2.91
52.98	121-758A-6-1,121	-0.08	2.94
52.98	121-758A-6-1,121	0.02	2.94
53.08	121-758A-6-1,131	0.40	3.02
53.18	121-758A-6-1,141	0.23	2.64
53.28	121-758A-6-2,1	0.07	2.55
