Core label	depth	compdepth	age	cw13	cw18
GeoB3603-2	0,08	0,08	2,50	0,55	2,82
GeoB3603-2	0,13	0,13	6,00	0,36	2,92
GeoB3603-2	0,18	0,18	9,60	0,61	2,76
GeoB3603-2	0,23	0,23	13,16	0,05	4,04
GeoB3603-2	0,28	0,28	16,50	0	4,37
GeoB3603-2	0,33	0,33	19,45	0,10	4,43
GeoB3603-2	0,38	0,38	22,03	0,17	4,31
GeoB3603-2	0,43	0,43	24,26	-0,10	4,21
GeoB3603-2	0,48	0,48	26,20	-0,12	4,28
GeoB3603-2	0,53	0,53	27,88	-0,02	4,25
GeoB3603-2	0,58	0,58	29,35	0,01	4,20
GeoB3603-2	0,63	0,63	30,64	0,04	4,24
GeoB3603-2	0,68	0,68	31,81	-0,28	4,17
GeoB3603-2	0,73	0,73	32,89	-0,12	4,12
GeoB3603-2	0,78	0,78	33,92	-0,09	4,06
GeoB3603-2	0,83	0,83	34,94	-0,04	3,99
GeoB3603-2	0,88	0,88	36,00	0,04	3,92
GeoB3603-2	0,93	0,93	37,13	0,09	3,95
GeoB3603-2	0,98	0,98	38,33	0,07	4,02
GeoB3603-2	1,03	1,03	39,60	0,24	3,91
GeoB3603-2	1,08	1,08	40,93	0,14	3,94
GeoB3603-2	1,13	1,13	42,31	0,18	3,85
GeoB3603-2	1,18	1,18	43,74	0,31	3,79
GeoB3603-2	1,23	1,23	45,21	0,40	3,90
GeoB3603-2	1,28	1,28	46,72	0,27	3,96
GeoB3603-2	1,33	1,33	48,26	0,58	3,90
GeoB3603-2	1,38	1,38	49,82	0,22	3,86
GeoB3603-2	1,43	1,43	51,41	0,31	3,84
GeoB3603-2	1,48	1,48	53,00	0,15	3,74
GeoB3603-2	1,53	1,53	54,60	-0,09	3,92
GeoB3603-2	1,58	1,58	56,19	0,06	3,75
GeoB3603-2	1,63	1,63	57,77	-0,07	3,70
GeoB3603-2	1,68	1,68	59,32	-0,05	3,90
GeoB3603-2	1,73	1,73	60,83	-0,23	4,02
GeoB3603-2	1,78	1,78	62,29	0,05	4,05
GeoB3603-2	1,83	1,83	63,68	-0,07	4,11
GeoB3603-2	1,88	1,88	65,00	-0,32	4,11
GeoB3603-2	1,93	1,93	66,24	0,02	4,05
GeoB3603-2	1,98	1,98	67,41	0,28	3,86
GeoB3603-2	2,03	2,03	68,54	0,24	3,84
GeoB3603-2	2,08	2,08	69,64	0,11	3,74
GeoB3603-2	2,13	2,13	70,73	0,14	3,89
GeoB3603-2	2,23	2,23	73,00	0,17	3,41
GeoB3603-2	2,28	2,28	74,20	0,31	3,47
GeoB3603-2	2,33	2,33	75,48	0,37	3,45
GeoB3603-2	2,38	2,38	76,86	0,43	3,39
GeoB3603-2	2,43	2,43	78,36	0,63	3,29
GeoB3603-2	2,48	2,48	80,00	0,67	3,17
GeoB3603-2	2,53	2,53	81,78	0,58	3,16
GeoB3603-2	2,58	2,58	83,60	0,30	3,47
GeoB3603-2	2,63	2,63	85,38	0,46	3,56
GeoB3603-2	2,68	2,68	87,00	0,54	3,74
GeoB3603-2	2,73	2,73	88,39	0,63	3,61
GeoB3603-2	2,78	2,78	89,58	0,45	3,49
GeoB3603-2	2,83	2,83	90,66	0,46	3,42
GeoB3603-2	2,93	2,93	92,79	0,33	3,43
GeoB3603-2	2,98	2,98	93,99	0,53	3,26
GeoB3603-2	3,03	3,03	95,37	0,46	3,30
GeoB3603-2	3,08	3,08	97,02	0,16	3,37
GeoB3603-2	3,13	3,13	99,00	0,43	3,36
GeoB3603-2	3,18	3,18	101,35	0,27	3,47
GeoB3603-2	3,23	3,23	103,93	0,21	3,41
GeoB3603-2	3,28	3,28	106,54	0,11	3,36
GeoB3603-2	3,33	3,33	109,00	0,39	3,61
GeoB3603-2	3,38	3,38	111,15	0,61	3,51
GeoB3603-2	3,43	3,43	113,03	0,40	3,14
GeoB3603-2	3,48	3,48	114,69	0,59	3,14
GeoB3603-2	3,53	3,53	116,19	0,51	2,67
GeoB3603-2	3,58	3,58	117,61	0,60	2,62
GeoB3603-2	3,63	3,63	119,01	0,64	2,56
GeoB3603-2	3,68	3,68	120,45	0,69	2,54
GeoB3603-2	3,73	3,73	122,00	0,59	2,60
GeoB3603-2	3,78	3,78	123,70	0,52	2,56
GeoB3603-2	3,83	3,83	125,53	0,51	2,66
GeoB3603-2	3,88	3,88	127,45	0,26	3,04
GeoB3603-2	3,93	3,93	129,39	0,01	3,88
GeoB3603-2	3,98	3,98	131,33	0,01	3,98
GeoB3603-2	4,03	4,03	133,22	0	3,88
GeoB3603-2	4,08	4,08	135,00	-0,17	4,32
GeoB3603-2	4,13	4,13	136,65	0,08	4,26
GeoB3603-2	4,18	4,18	138,17	-0,03	4,20
GeoB3603-2	4,23	4,23	139,59	0,26	4,01
GeoB3603-2	4,28	4,28	140,93	0,15	3,94
GeoB3603-2	4,33	4,33	142,20	0,03	4,24
GeoB3603-2	4,38	4,38	143,43	-0,25	4,36
GeoB3603-2	4,43	4,43	144,63	-0,28	4,20
GeoB3603-2	4,48	4,48	145,83	-0,20	4,13
GeoB3603-2	4,53	4,53	147,05	-0,36	4,17
GeoB3603-2	4,58	4,58	148,30	-0,21	4,18
GeoB3603-2	4,63	4,63	149,61	-0,30	4,27
GeoB3603-2	4,68	4,68	151,00	-0,22	4,28
GeoB3603-2	4,73	4,73	152,48	-0,38	4,23
GeoB3603-2	4,78	4,78	154,05	-0,12	4,01
GeoB3603-2	4,83	4,83	155,71	-0,26	4,07
GeoB3603-2	4,88	4,88	157,44	-0,08	4,06
GeoB3603-2	4,93	4,93	159,24	-0,30	4,01
GeoB3603-2	4,98	4,98	161,09	-0,52	3,95
GeoB3603-2	5,03	5,03	163,00	0,03	3,91
GeoB3603-2	5,08	5,08	164,95	0,11	3,78
