ODP 925        
         
4¡12.25 N 43¡29.33 W 3042 m    
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Age model        
         
Site Hole Core Type Sect Top mcd d18O d13C species 
925 D 1 H 5 131 9.31 3.01 1.00 C.wuellerstorfi
925 D 1 H 5 141 9.41 2.42 0.96 C.wuellerstorfi
925 D 1 H 6 1 9.51 3.42 0.08 C.wuellerstorfi
925 D 1 H 6 1 9.51 2.83 -0.04 C.spp.
925 D 1 H 6 11 9.61 3.61 0.36 C.kullenbergi
925 D 1 H 6 21 9.71 3.61 0.46 C.spp.
925 D 1 H 6 31 9.81 3.89 0.68 C.wuellerstorfi
925 D 1 H 6 51 10.01 3.80 0.63 C.wuellerstorfi
925 C 2 H 1 131 10.03 3.98 0.84 C.wuellerstorfi
925 D 1 H 6 61 10.11 3.80 0.67 C.wuellerstorfi
925 C 2 H 1 141 10.13 3.66 0.66 C.wuellerstorfi
925 C 2 H 1 141 10.13 3.54 0.77 C.wuellerstorfi
925 D 1 H 6 71 10.21 3.63 0.73 C.wuellerstorfi
925 C 2 H 1 150 10.22 3.72 0.09 C.spp.
925 D 1 H 6 81 10.31 3.73 0.56 C.wuellerstorfi
925 C 2 H 2 11 10.33 3.71 0.67 C.wuellerstorfi
925 D 1 H 6 91 10.41 3.66 -0.25 C.wuellerstorfi
925 C 2 H 2 21 10.43 3.85 -0.27 C.wuellerstorfi
925 D 1 H 6 101 10.51 3.86 -0.25 C.wuellerstorfi
925 D 1 H 6 101 10.51 3.80 -0.36 C.wuellerstorfi
925 C 2 H 2 31 10.53 3.93 -0.23 C.wuellerstorfi
925 C 2 H 2 31 10.53 3.75 -0.36 C.wuellerstorfi
925 D 1 H 6 111 10.61 3.83 -0.24 C.wuellerstorfi
925 D 1 H 6 121 10.71 3.68 -0.07 C.wuellerstorfi
925 C 2 H 2 51 10.73 3.87 -0.02 C.wuellerstorfi
925 D 1 H 6 131 10.81 3.77 -0.04 C.wuellerstorfi
925 D 1 H 6 141 10.91 3.60 0.11 C.wuellerstorfi
925 C 2 H 2 71 10.93 3.80 -0.42 C.wuellerstorfi
925 C 2 H 2 111 11.33 3.21 0.18 C.wuellerstorfi
925 C 2 H 2 121 11.43 3.44 -0.12 C.wuellerstorfi
925 C 2 H 2 131 11.53 3.58 0.04 C.wuellerstorfi
925 C 2 H 2 131 11.53 3.45 -0.02 C.wuellerstorfi
925 C 2 H 2 141 11.63 3.39 -0.05 C.wuellerstorfi
925 C 2 H 2 150 11.72 3.70 0.48 C.wuellerstorfi
925 C 2 H 3 11 11.83 3.41 -0.03 C.wuellerstorfi
925 C 2 H 3 21 11.93 3.51 1.10 C.wuellerstorfi
925 C 2 H 3 31 12.03 3.58 1.00 C.wuellerstorfi
925 C 2 H 3 31 12.03 3.15 1.14 C.wuellerstorfi
925 C 2 H 3 51 12.23 3.73 -0.14 C.spp.
925 C 2 H 3 71 12.43 2.83 0.64 C.wuellerstorfi
925 C 2 H 3 81 12.53 2.89 0.68 C.wuellerstorfi
925 C 2 H 3 91 12.63 3.03 0.30 C.wuellerstorfi
925 C 2 H 3 101 12.73 2.46 1.21 C.wuellerstorfi
925 C 2 H 3 111 12.83 2.51 1.20 C.wuellerstorfi
925 C 2 H 3 121 12.93 2.51 0.84 C.spp.
925 C 2 H 3 131 13.03 2.15 0.69 C.wuellerstorfi
925 C 2 H 3 141 13.13 2.27 -0.06 C.kullenbergi
925 C 2 H 3 141 13.13 2.52 -0.14 C.wuellerstorfi
925 C 2 H 3 150 13.22 3.24 -0.29 C.spp.
925 C 2 H 3 150 13.22 3.22 -0.75 C.spp.
925 C 2 H 4 21 13.43 3.90 0.04 C.wuellerstorfi
925 C 2 H 4 21 13.43 3.77 -0.21 C.wuellerstorfi
925 C 2 H 4 31 13.53 4.11 0.48 C.wuellerstorfi
925 C 2 H 4 41 13.63 3.33 -0.08 C.wuellerstorfi
925 C 2 H 4 51 13.73 3.73 0.64 C.wuellerstorfi
925 C 2 H 4 61 13.83 3.74 -0.17 C.wuellerstorfi
925 C 2 H 4 71 13.93 3.69 -0.19 C.wuellerstorfi
925 C 2 H 4 81 14.03 3.82 -0.10 C.wuellerstorfi
925 C 2 H 4 111 14.33 3.74 0.40 C.wuellerstorfi
925 C 2 H 4 121 14.43 3.78 0.62 C.wuellerstorfi
925 C 2 H 4 121 14.43 3.69 0.70 C.wuellerstorfi
925 C 2 H 4 131 14.53 3.58 0.63 C.wuellerstorfi
925 C 2 H 4 141 14.63 3.62 0.27 C.wuellerstorfi
925 C 2 H 4 150 14.72 3.52 0.75 C.wuellerstorfi
