   
   
   
   
   
   
   
   
   
   
   
   
   
   
Soc. of Edinburgh: Earth
   
   
   
each sample indicated by
   
   
   
   
depth kyrBP d18Oforams-b notes
2485 638 5.13 UVIG
2495 641 4.96 UVIG
2505 643 4.68 UVIG
2515 646 4.98 UVIG
2515 646 4.69 UVIG
2525 649 4.87 UVIG
2525 649 4.72 UVIG
2532 650 4.74 UVIG
2535 651 4.78 UVIG
2542 653 4.84 UVIG
2555 656 4.67 UVIG
2555 656 4.83 UVIG
2564 659 4.92 UVIG
2565 659 4.75 UVIG
2575 662 4.62 UVIG
2584 664 4.71 UVIG
2594 667 4.92 UVIG
2595 667 4.81 UVIG
2604 669 4.41 UVIG
2614 672 4.62 UVIG
2618 673 4.33 UVIG
2625 675 4.43 UVIG
2625 675 4.35 UVIG
2635 678 4.24 UVIG
2635 678 4.57 UVIG
2645 680 4.23 UVIG
2645 680 4.34 UVIG
2650 682 4.32 UVIGORID
2655 683 4.28 UVIG
2660 684 4.2 UVIG
2664 685 4.16 UVIG
2670 687 4.2 UVIG
2674 688 4.01 UVIGORID
2683 690 4.47 UVIG
2684 691 3.89 UVIG
2690 692 3.85 UVIG
2700 695 3.97 UVIG
2710 698 3.93 UVIG
2720 701 4.18 UVIG
2730 703 4.32 UVIG
2740 706 4.25 UVIG
2750 709 4.5 UVIG
2760 712 4.53 UVIG
2770 714 4.69 UVIG
2780 717 4.79 UVIG
2790 719 4.9 UVIG
2800 722 4.97 UVIG
2810 724 4.57 UVIG
2814 725 4.41 UVIG
2820 727 4.38 UVIG
2824 728 4.37 UVIG
2830 729 4.36 UVIG
2834 731 4.33 UVIG
2840 732 4.2 UVIG
2841 732 4.41 UVIG
2877 742 4.37 UVIG
2885 744 4.33 UVIG
2895 746 4.63 UVIG
2905 749 4.73 UVIG
2912 750 4.76 UVIG
2925 754 4.71 UVIG
2935 756 4.64 UVIG
2946 759 4.67 UVIG
2955 761 4.58 UVIG
2965 764 4.37 UVIG
2975 767 4.39 UVIG
2985 769 4.52 UVIG
2994 771 4.6 UVIG
3005 774 4.24 UVIG
3016 777 4.02 UVIG
3024 779 3.85 UVIG
3031 781 3.8 UVIG
3043 784 3.66 UVIG
3055 786 3.73 UVIG
3065 788 3.88 UVIG
3074 790 4.01 UVIG
3085 792 4.61 UVIG
3095 794 4.58 UVIG
3105 796 4.69 UVIG
3115 798 4.71 UVIG
3125 799 4.68 UVIG
3135 801 4.65 UVIG
3145 803 4.7 UVIG
3152 804 4.67 UVIG
3162 806 4.47 UVIG
3174 809 4.09 UVIG
3184 810 4.19 UVIG
3193 812 3.92 UVIG
3204 814 3.98 UVIG
3215 816 4.14 UVIG
3225 818 4.04 UVIG
3235 820 4.2 UVIG
3245 822 4.06 UVIG
3255 825 4.06 UVIG
3275 831 4.12 UVIG
3285 834 3.98 UVIG
3295 837 3.86 UVIG
3305 840 3.87 UVIG
3315 843 3.82 UVIG
3325 846 3.71 UVIG
3334 848 3.97 UVIG
3343 851 3.89 UVIG
3355 854 3.71 UVIG
3365 857 3.65 UVIG
3375 860 4.01 UVIG
3385 862 3.64 UVIG
3395 865 4.18 UVIG
3405 867 4.49 UVIG
3415 870 4.62 UVIG
3425 872 5.09 UVIG
3435 875 4.99 UVIG
3445 877 5.04 UVIG
3455 880 4.86 UVIG
3467 883 4.76 UVIG
3470 884 4.56 UVIG
3475 885 4.75 UVIG
3480 886 4.6 UVIG
3485 887 4.75 UVIG
3490 889 4.55 UVIG
3493 889 4.74 UVIG
3503 892 4.56 UVIG
3505 892 4.74 UVIG
3510 894 4.62 UVIG
3515 895 4.6 UVIG
3520 896 4.49 UVIG
3525 897 4.37 UVIG
3530 899 4.48 UVIG
3535 900 4.37 UVIG
3536 900 4.21 UVIG
3545 902 4.21 UVIG
3550 904 4.33 UVIG
3555 905 4.02 UVIG
3560 906 4.18 UVIG
3565 907 4.26 UVIG
3573 909 4.29 UVIG
3575 910 4.21 UVIG
3580 911 4.3 UVIG
3585 912 4.48 UVIG
3588 913 4.36 UVIG
3600 916 4.6 UVIG
3605 917 4.59 UVIG
3610 918 4.61 UVIG
3615 920 4.56 UVIG
3620 921 4.49 UVIG
3625 922 4.4 UVIG
3630 923 4.49 UVIG
3635 925 4.43 UVIG
3641 926 4.22 UVIG
3643 927 4.2 UVIG
3650 928 4.25 UVIG
3655 930 4.26 UVIGORID
