Paleocean Site Data 
   
   
   
   
'-999'   
   
   
   
   
   
   
   
   
Trans. Of the Royal
   
   
lower Pleistocene.  
and B. Source of
   
   
   
CORE: ODP-677  
depth kyrBP d18Oforams-p notes
1593 393 -1.84 GRUBER
1600 395 -2.2 GRUBER
1605 397 -2.22 GRUBER
1608 398 -2.31 GRUBER
1614 399 -2.48 GRUBER
1624 402 -2.5 GRUBER
1634 405 -2.66 GRUBER
1645 407 -2.38 GRUBER
1654 409 -2.34 GRUBER
1664 412 -2.03 GRUBER
1674 414 -1.68 GRUBER
1684 416 -1.59 GRUBER
1684 416 -1.45 GRUBER
1693 418 -0.51 GRUBER
1703 420 -0.64 GRUBER
1735 427 -0.46 GRUBER
1745 429 -0.63 GRUBER
1755 432 -0.91 GRUBER
1765 434 -0.75 GRUBER
1775 437 -0.87 GRUBER
1785 439 -0.67 GRUBER
1792 441 -1.13 GRUBER
1792 441 -0.83 GRUBER
1805 444 -1.1 GRUBER
1815 447 -1.11 GRUBER
1823 449 -1.08 GRUBER
1835 452 -1.44 GRUBER
1841 453 -1.35 GRUBER
1845 454 -1.4 GRUBER
1855 457 -1.23 GRUBER
1865 459 -1.48 GRUBER
1875 463 -1.34 GRUBER
1875 463 -1.31 GRUBER
1885 466 -1.35 GRUBER
1885 466 -1 GRUBER
1895 470 -1.14 GRUBER
1895 470 -1.7 GRUBER
1905 474 -1.91 GRUBER
1905 474 -1.88 GRUBER
1915 477 -1.9 GRUBER
1915 477 -1.55 GRUBER
1925 481 -2.05 GRUBER
1925 481 -2.04 GRUBER
1935 484 -1.99 GRUBER
1935 484 -1.78 GRUBER
1942 487 -1.84 GRUBER
1942 487 -1.62 GRUBER
1955 491 -1.73 GRUBER
1955 491 -1.33 GRUBER
1965 494 -1.66 GRUBER
1965 494 -1.61 GRUBER
1973 497 -1.3 GRUBER
1973 497 -1.73 GRUBER
1985 501 -1.84 GRUBER
1985 501 -1.69 GRUBER
1995 503 -1.62 GRUBER
2005 505 -1.5 GRUBER
2015 507 -1.53 GRUBER
2025 509 -1.3 GRUBER
2035 512 -1.17 GRUBER
2045 514 -1.32 GRUBER
2055 517 -1.34 GRUBER
2065 519 -1.4 GRUBER
2075 521 -1.43 GRUBER
2084 524 -1.69 GRUBER
2092 526 -1.63 GRUBER
2103 528 -1.52 GRUBER
2114 531 -1.52 GRUBER
2122 533 -1.29 GRUBER
2134 537 -1.1 GRUBER
2145 540 -1.42 GRUBER
2155 543 -1.31 GRUBER
2165 546 -1.36 GRUBER
2175 550 -1.67 GRUBER
2185 553 -1.55 GRUBER
2195 556 -1.66 GRUBER
2205 559 -2.15 GRUBER
2215 562 -1.96 GRUBER
2225 565 -2.23 GRUBER
2235 568 -1.92 GRUBER
2242 571 -2.16 GRUBER
2255 575 -2.2 GRUBER
2260 578 -1.45 GRUBER
2264 579 -1.66 GRUBER
2270 582 -1.42 GRUBER
2275 583 -1.55 GRUBER
2279 584 -1.43 GRUBER
2285 586 -1.51 GRUBER
2290 587 -1.79 GRUBER
2310 591 -1.72 GRUBER
2320 594 -1.82 GRUBER
2325 595 -1.97 GRUBER
2325 595 -1.81 GRUBER
2330 596 -1.94 GRUBER
2335 598 -1.58 GRUBER
2335 598 -1.93 GRUBER
2340 599 -1.92 GRUBER
2345 601 -1.68 GRUBER
2345 601 -1.68 GRUBER
2350 602 -1.65 GRUBER
2355 604 -1.58 GRUBER
2355 604 -1.78 GRUBER
2360 606 -1.7 GRUBER
2365 608 -1.85 GRUBER
2365 608 -1.72 GRUBER
2375 612 -2.23 GRUBER
2375 612 -1.99 GRUBER
2380 614 -1.93 GRUBER
2385 616 -2.08 GRUBER
2385 616 -2.02 GRUBER
2390 617 -1.89 GRUBER
2392 617 -2.39 GRUBER
2392 617 -1.83 GRUBER
2392 617 -1.78 GRUBER
2395 618 -1.78 GRUBER
2400 619 -1.44 GRUBER
2405 620 -1.32 GRUBER
2405 620 -0.98 GRUBER
2410 621 -0.98 GRUBER
2415 621 -0.92 GRUBER
2415 621 -0.83 GRUBER
2422 623 -0.43 GRUBER
