Paleocean Site Data 
   
   
   
   
'-999'   
   
   
   
   
   
   
   
   
Trans. Of the Royal
   
   
lower Pleistocene.  
and B. Source of
   
   
   
CORE: ODP-677  
depth kyrBP d18Oforams-p notes
5620 1386 -1.34 GRUBER
5630 1388 -1.84 GRUBER
5640 1390 -1.93 GRUBER
5650 1392 -1.75 GRUBER
5660 1394 -1.73 GRUBER
5670 1396 -1.59 GRUBER
5680 1398 -1.91 GRUBER
5690 1400 -1.61 GRUBER
5700 1402 -1.61 GRUBER
5712 1404 -1.82 GRUBER
5720 1406 -1.85 GRUBER
5730 1408 -1.87 GRUBER
5740 1409 -1.83 GRUBER
5750 1411 -1.74 GRUBER
5756 1412 -1.57 GRUBER
5756 1412 -1.34 GRUBER
5760 1413 -1.11 GRUBER
5765 1414 -1.48 GRUBER
5765 1414 -1.17 GRUBER
5770 1415 -1.39 GRUBER
5775 1416 -1.3 GRUBER
5780 1417 -1.01 GRUBER
5785 1418 -1.33 GRUBER
5790 1419 -1.15 GRUBER
5795 1420 -1.24 GRUBER
5800 1421 -1.06 GRUBER
5805 1422 -1.33 GRUBER
5810 1423 -1.11 GRUBER
5815 1424 -1.4 GRUBER
5820 1425 -1.17 GRUBER
5825 1425 -1.51 GRUBER
5830 1426 -1.32 GRUBER
5835 1427 -1.4 GRUBER
5840 1428 -1.45 GRUBER
5845 1429 -1.56 GRUBER
5850 1430 -1.28 GRUBER
5855 1431 -1.37 GRUBER
5860 1432 -1.28 GRUBER
5865 1433 -1.63 GRUBER
5870 1434 -1.45 GRUBER
5875 1435 -1.76 GRUBER
5880 1436 -1.73 GRUBER
5885 1437 -1.65 GRUBER
5890 1438 -1.65 GRUBER
5895 1439 -1.79 GRUBER
5898 1439 -1.7 GRUBER
5910 1441 -1.79 GRUBER
5920 1443 -1.73 GRUBER
5930 1445 -1.86 GRUBER
5940 1447 -1.75 GRUBER
5950 1449 -1.96 GRUBER
5960 1451 -1.8 GRUBER
5970 1453 -1.55 GRUBER
5980 1455 -1.22 GRUBER
5990 1456 -1.21 GRUBER
6000 1458 -0.99 GRUBER
6010 1460 -1.07 GRUBER
6019 1462 -1 GRUBER
6030 1464 -1.19 GRUBER
6040 1465 -1.07 GRUBER
6048 1467 -1.73 GRUBER
6060 1469 -1.9 GRUBER
6070 1471 -1.85 GRUBER
6080 1474 -1.86 GRUBER
6090 1477 -1.64 GRUBER
6100 1481 -1.62 GRUBER
6110 1484 -1.58 GRUBER
6120 1487 -1.72 GRUBER
6130 1490 -1.9 GRUBER
6140 1495 -1.34 GRUBER
6150 1499 -1.05 GRUBER
6160 1501 -1.15 GRUBER
6170 1503 -1.36 GRUBER
6180 1505 -1.21 GRUBER
6190 1508 -1.07 GRUBER
6198 1509 -1.23 GRUBER
6210 1512 -1.45 GRUBER
6220 1514 -1.46 GRUBER
6230 1516 -1.53 GRUBER
6240 1518 -1.43 GRUBER
6250 1520 -1.41 GRUBER
6260 1522 -1.26 GRUBER
6270 1525 -1.07 GRUBER
6280 1527 -1.29 GRUBER
6290 1529 -1.01 GRUBER
6300 1531 -0.84 GRUBER
6310 1534 -0.84 GRUBER
6320 1537 -1.17 GRUBER
6330 1541 -1.4 GRUBER
6340 1544 -1.55 GRUBER
6348 1547 -1.4 GRUBER
6360 1551 -1.48 GRUBER
6370 1554 -1.77 GRUBER
6380 1558 -1.51 GRUBER
6390 1561 -1.82 GRUBER
6400 1564 -1.83 GRUBER
6410 1566 -1.7 GRUBER
6420 1567 -1.52 GRUBER
6430 1569 -1.59 GRUBER
6440 1570 -1.5 GRUBER
6450 1572 -1.02 GRUBER
6460 1576 -1.31 GRUBER
6462 1577 -1.02 GRUBER
6470 1580 -1.12 GRUBER
6470 1580 -1.3 GRUBER
6480 1584 -1.64 GRUBER
6480 1584 -1.49 GRUBER
6490 1588 -1.7 GRUBER
6490 1588 -1.52 GRUBER
6498 1591 -1.47 GRUBER
6500 1592 -1.35 GRUBER
6510 1596 -1.73 GRUBER
6510 1596 -1.73 GRUBER
6520 1599 -1.56 GRUBER
6530 1603 -1.9 GRUBER
6530 1603 -1.75 GRUBER
6540 1606 -1.68 GRUBER
6540 1606 -1.86 GRUBER
6550 1610 -1.65 GRUBER
6550 1610 -1.79 GRUBER
6557 1612 -1.67 GRUBER
6560 1613 -1.52 GRUBER
6570 1616 -1.75 GRUBER
6570 1616 -1.57 GRUBER
6580 1619 -1.68 GRUBER
6580 1619 -1.28 GRUBER
6590 1622 -1.71 GRUBER
6590 1622 -1.42 GRUBER
6598 1625 -1.38 GRUBER
6600 1625 -1.34 GRUBER
6608 1628 -1.11 GRUBER
6611 1629 -1.74 GRUBER
6620 1632 -1.9 GRUBER
6630 1635 -1.48 GRUBER
6640 1638 -1.54 GRUBER
6650 1641 -1.57 GRUBER
6660 1643 -1.54 GRUBER
6670 1644 -1.46 GRUBER
6680 1646 -1.16 GRUBER
6690 1647 -1.27 GRUBER
6700 1649 -0.89 GRUBER
6708 1650 -0.8 GRUBER
6720 1653 -0.96 GRUBER
6730 1655 -0.88 GRUBER
6730 1655 -0.97 GRUBER
6740 1658 -0.98 GRUBER
6740 1658 -0.71 GRUBER
6750 1660 -1.08 GRUBER
6750 1660 -1.09 GRUBER
6760 1663 -1.13 GRUBER
6760 1663 -1.09 GRUBER
6770 1665 -0.92 GRUBER
6780 1668 -0.72 GRUBER
6790 1670 -0.98 GRUBER
6800 1673 -1.07 GRUBER
6810 1675 -1.14 GRUBER
6818 1677 -1.41 GRUBER
6830 1679 -1.28 GRUBER
6840 1682 -1.23 GRUBER
6840 1682 -0.95 GRUBER
6850 1684 -1.15 GRUBER
6860 1686 -1.15 GRUBER
6870 1689 -1.24 GRUBER
6880 1691 -1.27 GRUBER
6890 1693 -1.24 GRUBER
6900 1695 -1.39 GRUBER
6910 1698 -1.19 GRUBER
6920 1700 -1.02 GRUBER
6930 1702 -0.95 GRUBER
6950 1707 -1.48 GRUBER
6968 1711 -1 GRUBER
6980 1714 -1.36 GRUBER
6990 1716 -1.57 GRUBER
7000 1719 -1.5 GRUBER
7010 1721 -1.45 GRUBER
7020 1724 -1.21 GRUBER
7031 1726 -1.23 GRUBER
7040 1729 -1.29 GRUBER
7050 1731 -1.45 GRUBER
7060 1734 -1.71 GRUBER
7060 1734 -1.7 GRUBER
7080 1739 -1.29 GRUBER
7090 1742 -1.2 GRUBER
7100 1745 -0.99 GRUBER
7110 1748 -1.26 GRUBER
7118 1750 -0.99 GRUBER
7130 1754 -1.5 GRUBER
7140 1757 -1.79 GRUBER
7150 1759 -1.73 GRUBER
7160 1761 -1.55 GRUBER
7170 1763 -1.7 GRUBER
7180 1765 -1.59 GRUBER
7190 1767 -1.45 GRUBER
7200 1769 -1.36 GRUBER
7210 1772 -1.12 GRUBER
7220 1774 -1.15 GRUBER
7230 1776 -1.12 GRUBER
7240 1778 -1.19 GRUBER
7250 1780 -0.86 GRUBER
7260 1782 -1.22 GRUBER
7268 1784 -1.14 GRUBER
7280 1786 -1.14 GRUBER
7290 1788 -0.72 GRUBER
7300 1790 -0.74 GRUBER
7310 1792 -0.72 GRUBER
7320 1795 -0.88 GRUBER
7330 1797 -1.19 GRUBER
7340 1799 -1.11 GRUBER
7350 1801 -1.13 GRUBER
7360 1803 -1.24 GRUBER
7370 1805 -1.36 GRUBER
7380 1807 -1.47 GRUBER
7390 1809 -1.71 GRUBER
7400 1812 -1.53 GRUBER
7414 1816 -1.54 GRUBER
7430 1821 -1.34 GRUBER
7440 1823 -1.51 GRUBER
7450 1826 -1.72 GRUBER
7460 1829 -1.76 GRUBER
7470 1831 -1.47 GRUBER
7480 1832 -1.06 GRUBER
7490 1834 -1.21 GRUBER
7500 1836 -0.93 GRUBER
7510 1838 -1.18 GRUBER
7520 1839 -1.09 GRUBER
7530 1841 -1.1 GRUBER
7540 1843 -1.49 GRUBER
7550 1844 -1.67 GRUBER
7560 1846 -1.57 GRUBER
7568 1847 -1.43 GRUBER
7580 1849 -1.29 GRUBER
7590 1852 -1.43 GRUBER
7600 1859 -1.06 GRUBER
7610 1866 -1.17 GRUBER
7620 1873 -1.49 GRUBER
7630 1881 -1.64 GRUBER
7640 1888 -1.67 GRUBER
7650 1896 -1.84 GRUBER
7670 1910 -1.58 GRUBER
7680 1914 -1.38 GRUBER
7690 1917 -1.45 GRUBER
7700 1921 -1.47 GRUBER
7710 1924 -1.43 GRUBER
7720 1927 -1.38 GRUBER
7728 1930 -1.3 GRUBER
7740 1934 -1.53 GRUBER
7749 1937 -1.37 GRUBER
7759 1941 -1.57 GRUBER
7768 1944 -1.7 GRUBER
7779 1946 -1.45 GRUBER
7789 1948 -1.37 GRUBER
7800 1950 -1.51 GRUBER
7809 1952 -1.02 GRUBER
7820 1955 -1.31 GRUBER
7830 1957 -1.18 GRUBER
7838 1958 -1.37 GRUBER
7848 1961 -1.38 GRUBER
7860 1963 -1.26 GRUBER
7870 1965 -1.69 GRUBER
7878 1967 -1.49 GRUBER
7890 1969 -1.89 GRUBER
7900 1971 -1.35 GRUBER
7918 1975 -1.61 GRUBER
7940 1980 -1.52 GRUBER
7950 1982 -1.65 GRUBER
7960 1984 -1.67 GRUBER
7970 1985 -1.57 GRUBER
7980 1987 -1.44 GRUBER
7989 1988 -1.59 GRUBER
8000 1990 -1.35 GRUBER
8010 1992 -0.8 GRUBER
8020 1993 -1.15 GRUBER
8027 1994 -1.26 GRUBER
8040 1996 -1.31 GRUBER
8050 1998 -1.21 GRUBER
8060 1999 -1.21 GRUBER
8070 2001 -1.4 GRUBER
8081 2003 -1.71 GRUBER
8120 2009 -1.38 GRUBER
8130 2010 -1.6 GRUBER
8139 2012 -1.49 GRUBER
8150 2013 -1.48 GRUBER
8160 2015 -1.67 GRUBER
8170 2016 -1.69 GRUBER
8178 2018 -1.47 GRUBER
8190 2020 -1.48 GRUBER
8200 2021 -1.33 GRUBER
8210 2022 -1.49 GRUBER
8218 2023 -1.39 GRUBER
8230 2024 -1.6 GRUBER
8240 2025 -1.29 GRUBER
8250 2026 -1.29 GRUBER
8260 2028 -1.32 GRUBER
8270 2029 -1.14 GRUBER
8280 2030 -1.27 GRUBER
8289 2031 -1.14 GRUBER
8300 2032 -1.3 GRUBER
8310 2033 -1.14 GRUBER
8320 2034 -1.21 GRUBER
8330 2035 -1.29 GRUBER
8340 2036 -1.21 GRUBER
8350 2037 -1.32 GRUBER
8360 2038 -1.15 GRUBER
8368 2039 -0.94 GRUBER
8380 2040 -1.37 GRUBER
8390 2042 -1.06 GRUBER
8401 2043 -1.17 GRUBER
8410 2044 -1.27 GRUBER
8420 2045 -1.28 GRUBER
8429 2046 -1.26 GRUBER
8439 2047 -1.37 GRUBER
8449 2048 -1.16 GRUBER
8459 2049 -1.32 GRUBER
8469 2050 -1.3 GRUBER
8479 2051 -1.15 GRUBER
8490 2052 -1.47 GRUBER
8500 2053 -1.29 GRUBER
8510 2054 -1.3 GRUBER
8518 2055 -1.28 GRUBER
8530 2057 -1.39 GRUBER
8541 2058 -1.2 GRUBER
8550 2059 -1.27 GRUBER
8560 2060 -1.36 GRUBER
8620 2066 -1.31 GRUBER
8630 2067 -1.27 GRUBER
8639 2068 -1.3 GRUBER
8650 2069 -1.21 GRUBER
8660 2071 -1.58 GRUBER
8670 2072 -1.45 GRUBER
8680 2073 -1.42 GRUBER
8690 2074 -0.89 GRUBER
8700 2075 -1.33 GRUBER
8710 2076 -1.56 GRUBER
8718 2077 -1.12 GRUBER
8730 2078 -1.76 GRUBER
8740 2079 -1.22 GRUBER
8750 2081 -1.31 GRUBER
8760 2082 -1.27 GRUBER
8770 2083 -1.35 GRUBER
8780 2085 -1.5 GRUBER
8780 2085 -1.6 GRUBER
8789 2086 -0.71 GRUBER
8789 2086 -0.89 GRUBER
8800 2087 -1.82 GRUBER
8800 2087 -1.64 GRUBER
8810 2089 -0.98 GRUBER
8820 2090 -1.72 GRUBER
8829 2091 -1.45 GRUBER
8840 2093 -0.93 GRUBER
8850 2094 -1.58 GRUBER
8860 2096 -1.79 GRUBER
8868 2097 -1.66 GRUBER
8879 2098 -1.52 GRUBER
8889 2100 -1.73 GRUBER
8900 2101 -1.82 GRUBER
8910 2103 -1.82 GRUBER
8920 2104 -1.65 GRUBER
8930 2105 -1.69 GRUBER
8939 2107 -1.67 GRUBER
8950 2108 -1.54 GRUBER
8960 2110 -1.72 GRUBER
8970 2111 -1.71 GRUBER
8979 2112 -1.82 GRUBER
8990 2114 -1.57 GRUBER
9000 2115 -1.81 GRUBER
9010 2118 -1.95 GRUBER
9018 2119 -1.64 GRUBER
9030 2122 -1.54 GRUBER
9040 2124 -1.77 GRUBER
9050 2127 -1.55 GRUBER
9060 2129 -1.36 GRUBER
9070 2131 -1.59 GRUBER
9080 2133 -1.96 GRUBER
9089 2134 -1.78 GRUBER
9100 2136 -1.81 GRUBER
9110 2138 -1.73 GRUBER
9120 2139 -1.58 GRUBER
9129 2141 -1.35 GRUBER
9139 2142 -1.36 GRUBER
9150 2144 -1.15 GRUBER
9160 2146 -1.18 GRUBER
9168 2147 -0.86 GRUBER
9168 2147 -0.67 GRUBER
9180 2150 -1.3 GRUBER
9190 2153 -1.11 GRUBER
9200 2156 -1.31 GRUBER
9210 2160 -1.42 GRUBER
9220 2163 -1.5 GRUBER
9230 2166 -1.52 GRUBER
9239 2168 -1.33 GRUBER
9250 2172 -1.43 GRUBER
9260 2175 -1.49 GRUBER
9270 2178 -1.67 GRUBER
9279 2181 -1.59 GRUBER
9290 2184 -1.78 GRUBER
9300 2187 -1.83 GRUBER
9310 2189 -1.54 GRUBER
9318 2191 -1.79 GRUBER
9330 2193 -1.36 GRUBER
9340 2195 -1.28 GRUBER
9350 2197 -1.47 GRUBER
9360 2199 -1.52 GRUBER
9370 2201 -1.9 GRUBER
9380 2203 -1.51 GRUBER
9389 2205 -1.9 GRUBER
9400 2207 -1.92 GRUBER
9410 2209 -1.66 GRUBER
9420 2211 -1.65 GRUBER
9429 2213 -1.63 GRUBER
9440 2215 -1.88 GRUBER
9450 2217 -1.63 GRUBER
9460 2219 -1.63 GRUBER
9467 2221 -1.47 GRUBER
9480 2223 -1.64 GRUBER
9490 2225 -1.9 GRUBER
9500 2227 -1.75 GRUBER
9510 2229 -1.57 GRUBER
9520 2231 -1.69 GRUBER
9530 2234 -1.47 GRUBER
9539 2237 -1.47 GRUBER
9550 2240 -1.51 GRUBER
9560 2243 -1.2 GRUBER
9570 2246 -1.42 GRUBER
9571 2246 -1.6 GRUBER
9580 2249 -1.48 GRUBER
9590 2252 -1.45 GRUBER
9600 2255 -1.57 GRUBER
9610 2258 -1.56 GRUBER
9620 2260 -1.54 GRUBER
9630 2263 -1.45 GRUBER
9640 2266 -1.84 GRUBER
9650 2269 -2.04 GRUBER
9660 2272 -1.73 GRUBER
9668 2275 -1.83 GRUBER
9680 2278 -1.68 GRUBER
9690 2281 -1.8 GRUBER
9700 2284 -1.75 GRUBER
9710 2287 -1.52 GRUBER
9720 2290 -1.42 GRUBER
9730 2293 -1.59 GRUBER
9740 2296 -1.47 GRUBER
9750 2298 -1.65 GRUBER
9760 2301 -1.96 GRUBER
9770 2304 -1.75 GRUBER
9780 2309 -1.48 GRUBER
9790 2313 -1.39 GRUBER
9800 2317 -1.41 GRUBER
9810 2321 -1.63 GRUBER
9818 2325 -1.73 GRUBER
9830 2330 -1.93 GRUBER
9840 2334 -1.88 GRUBER
9850 2338 -2.03 GRUBER
9860 2342 -1.91 GRUBER
9870 2346 -1.6 GRUBER
9880 2349 -1.55 GRUBER
9890 2352 -1.73 GRUBER
9900 2354 -1.53 GRUBER
9910 2357 -1.46 GRUBER
9920 2359 -1.79 GRUBER
9930 2362 -1.33 GRUBER
9941 2365 -1.33 GRUBER
9950 2367 -1.51 GRUBER
9960 2370 -1.52 GRUBER
9968 2372 -1.52 GRUBER
9980 2375 -1.54 GRUBER
9990 2378 -1.67 GRUBER
10000 2380 -1.71 GRUBER
10010 2383 -1.66 GRUBER
10020 2386 -1.64 GRUBER
10030 2388 -1.4 GRUBER
10030 2388 -1.56 GRUBER
10040 2392 -1.49 GRUBER
10050 2395 -1.54 GRUBER
10060 2398 -1.47 GRUBER
10070 2402 -1.68 GRUBER
10070 2402 -0.95 GRUBER
10080 2405 -1.54 GRUBER
10091 2409 -1.47 GRUBER
10100 2412 -1.71 GRUBER
10110 2415 -1.71 GRUBER
10118 2418 -1.86 GRUBER
10130 2422 -1.72 GRUBER
10140 2425 -1.6 GRUBER
10150 2428 -1.73 GRUBER
10160 2430 -1.95 GRUBER
10170 2431 -1.69 GRUBER
10180 2433 -1.66 GRUBER
10190 2434 -1.57 GRUBER
10200 2435 -1.55 GRUBER
10210 2437 -1.53 GRUBER
10220 2438 -1.26 GRUBER
10230 2440 -1.17 GRUBER
10241 2441 -1.34 GRUBER
10250 2443 -1.25 GRUBER
10261 2444 -1.28 GRUBER
10268 2445 -1.34 GRUBER
10280 2447 -1.28 GRUBER
10290 2449 -1.48 GRUBER
10300 2450 -1.33 GRUBER
10310 2451 -1.34 GRUBER
10320 2453 -1.57 GRUBER
10330 2454 -1.47 GRUBER
10340 2456 -1.53 GRUBER
10350 2457 -1.51 GRUBER
10360 2459 -1.65 GRUBER
10370 2460 -1.74 GRUBER
10380 2462 -1.73 GRUBER
10391 2463 -1.65 GRUBER
10400 2465 -1.85 GRUBER
10411 2466 -1.84 GRUBER
10418 2467 -1.84 GRUBER
10430 2469 -1.83 GRUBER
10440 2470 -1.78 GRUBER
10450 2472 -1.63 GRUBER
10460 2473 -1.6 GRUBER
10470 2475 -1.92 GRUBER
10490 2478 -1.39 GRUBER
10510 2481 -1.4 GRUBER
10520 2483 -1.58 GRUBER
10520 2483 -1.15 GRUBER
10530 2484 -1.28 GRUBER
10530 2484 -1.62 GRUBER
10740 2520 -1.45 GRUBER
10750 2522 -1.29 GRUBER
10760 2524 -1.38 GRUBER
10770 2525 -1.14 GRUBER
10780 2526 -1.41 GRUBER
10791 2528 -1.24 GRUBER
10800 2529 -1.32 GRUBER
10810 2530 -1.29 GRUBER
10818 2531 -1.08 GRUBER
10830 2533 -1.48 GRUBER
10840 2534 -1.34 GRUBER
10850 2536 -1.39 GRUBER
10860 2537 -1.19 GRUBER
10870 2538 -0.89 GRUBER
10880 2540 -1.36 GRUBER
10890 2541 -1.38 GRUBER
10900 2542 -1.53 GRUBER
10910 2544 -1.56 GRUBER
10920 2545 -1.98 GRUBER
10930 2546 -1.82 GRUBER
10940 2547 -1.87 GRUBER
10950 2549 -1.87 GRUBER
10960 2550 -1.65 GRUBER
10968 2552 -1.69 GRUBER
10980 2555 -2.03 GRUBER
10990 2557 -1.66 GRUBER
11000 2559 -1.87 GRUBER
11010 2561 -1.65 GRUBER
11020 2564 -1.96 GRUBER
11030 2566 -1.75 GRUBER
11040 2568 -1.97 GRUBER
11049 2570 -1.64 GRUBER
11060 2573 -1.36 GRUBER
11070 2575 -1.94 GRUBER
11080 2577 -1.67 GRUBER
11087 2579 -1.75 GRUBER
11100 2582 -1.82 GRUBER
11110 2584 -1.74 GRUBER
11118 2586 -1.75 GRUBER
11130 2588 -1.79 GRUBER
11140 2591 -1.74 GRUBER
11150 2593 -1.68 GRUBER
11160 2595 -1.46 GRUBER
11170 2598 -1.49 GRUBER
11180 2600 -1.17 GRUBER
11190 2602 -0.98 GRUBER



