NOAA Paleoclimatology Program -
odp-677-fwc.txt   
Complete Data  
File Created: 18-jan-05 
   
Missing Values indicated by
   
PI: Nicholas J. Shackleton
Core/Site: ODP-677  
Latitude: 1.12.00N ( 1.2)
Longitude: 83.44.00W ( -83.73333)
Water depth. m: 3450
   
Publications:   
Shackleton et al.. 1990.
   
Description & Notes: 
Astronomical timescale for the
Patching of ODP-677 A
sample id.  
   
   
CORE: ODP-677 CORE: ODP-677
depth kyrBP d18Oforams-b notes
9941 2365 3.58 ORIDGYR
3795 965 4.64 ORIDMIX
4470 1132 3.8 ORIDMIX
4775 1203 4.33 ORIDMIX
6500 1592 3.74 ORIDMIX
6557 1612 3.48 ORIDMIX
6570 1616 3.82 ORIDMIX
10118 2418 3.81 ORIDMIX
11000 2559 3.73 ORIDMIX
4745 1190 3.96 ORIDSBUL
2587 665 4.53 ORIDUVIG
6110 1484 3.52 ORIDUVIG
6480 1584 4.18 ORIDUVIG
10750 2522 3.72 ORIDUVIG
10400 2465 3.52 ORIGLOBU
10950 2549 3.44 ORIGYRGL
10920 2545 3.35 ORIGYRPY
11100 2582 3.44 ORIGYRST
2392 617 3.65 PWUELCIB
3723 947 3.61 PWUELCIB
3730 948 3.27 PWUELCIB
4775 1203 4.25 PWUELCIB
4975 1242 3.04 PWUELCIB
5215 1297 4.08 PWUELCIB
6130 1490 3.39 PWUELCIB
6160 1501 4.22 PWUELCIB
6180 1505 4.13 PWUELCIB
6190 1508 4.26 PWUELCIB
6240 1518 3.88 PWUELCIB
6260 1522 3.85 PWUELCIB
6460 1576 4.04 PWUELCIB
6580 1619 3.65 PWUELCIB
6650 1641 3.59 PWUELCIB
6670 1644 3.54 PWUELCIB
6770 1665 4.11 PWUELCIB
7225 1775 3.41 PWUELCIB
7450 1826 3.58 PWUELCIB
7580 1849 3.64 PWUELCIB
7759 1941 3.7 PWUELCIB
8190 2020 3.13 PWUELCIB
8200 2021 3.14 PWUELCIB
8260 2028 3.63 PWUELCIB
8290 2031 3.69 PWUELCIB
9300 2187 3.52 PWUELCIB
9650 2269 3.8 PWUELCIB
9800 2317 3.52 PWUELCIB
9810 2321 3.5 PWUELCIB
9840 2334 3.3 PWUELCIB
9870 2346 3.07 PWUELCIB
9880 2349 3.84 PWUELCIB
9900 2354 3.73 PWUELCIB
9920 2359 3.62 PWUELCIB
10091 2409 3.7 PWUELCIB
10100 2412 3.65 PWUELCIB
10330 2454 3.64 PWUELCIB
10350 2457 3.81 PWUELCIB
10360 2459 3.87 PWUELCIB
10850 2536 3.79 PWUELCIB
10010 2383 3.65 PWUELCIL
11130 2588 3.17 PWUELCIL
290 46 4.35 PWUELL
843 200 3.62 PWUELL
1324 321 3.6 PWUELL
1755 432 4.58 PWUELL
1765 434 4.62 PWUELL
1815 447 4.51 PWUELL
1845 454 4.41 PWUELL
1855 457 4.51 PWUELL
1875 463 4.4 PWUELL
1885 466 4.27 PWUELL
1985 501 3.78 PWUELL
2090 525 4 PWUELL
2215 562 4.06 PWUELL
2285 586 4.07 PWUELL
2415 621 4.6 PWUELL
2422 623 4.74 PWUELL
2440 626 4.89 PWUELL
2485 638 4.67 PWUELL
2690 692 3.92 PWUELL
2710 698 4.09 PWUELL
3725 947 3.66 PWUELL
4415 1122 4.2 PWUELL
4475 1133 4.3 PWUELL
4491 1136 4.4 PWUELL
4645 1163 3.59 PWUELL
4651 1164 3.8 PWUELL
4725 1181 3.87 PWUELL
4725 1181 3.71 PWUELL
4735 1186 4.15 PWUELL
4745 1190 3.85 PWUELL
4756 1195 3.88 PWUELL
4795 1210 4.49 PWUELL
4985 1244 3.71 PWUELL
5104 1271 3.93 PWUELL
5265 1309 3.83 PWUELL
5285 1314 3.54 PWUELL
5295 1316 3.72 PWUELL
5295 1316 3.6 PWUELL
5306 1320 3.82 PWUELL
5355 1334 4.52 PWUELL
5560 1375 4.31 PWUELL
5740 1409 3.84 PWUELL
5750 1411 3.75 PWUELL
5756 1412 4.03 PWUELL
5770 1415 3.75 PWUELL
5775 1416 4.01 PWUELL
5780 1417 3.9 PWUELL
5785 1418 4.21 PWUELL
5795 1420 4.33 PWUELL
5805 1422 4.39 PWUELL
5820 1425 4.14 PWUELL
5825 1425 4.3 PWUELL
5895 1439 3.43 PWUELL
5930 1445 3.28 PWUELL
5950 1449 3.43 PWUELL
5960 1451 3.49 PWUELL
5970 1453 3.37 PWUELL
5980 1455 3.75 PWUELL
5990 1456 3.81 PWUELL
6070 1471 3.24 PWUELL
6090 1477 3.53 PWUELL
6100 1481 3.45 PWUELL
6120 1487 3.46 PWUELL
6150 1499 3.78 PWUELL
6210 1512 4.31 PWUELL
6370 1554 3.77 PWUELL
6410 1566 3.5 PWUELL
6420 1567 3.33 PWUELL
