Core label	depth	compdepth	age	cw13	cw18
GeoB1515-2	0,01	0,01	0,29	0,92	2,41
GeoB1515-2	0,04	0,04	1,35	1,41	2,41
GeoB1515-2	0,07	0,07	2,42	1,40	2,57
GeoB1515-2	0,10	0,10	3,48	1,30	2,46
GeoB1515-2	0,13	0,13	4,55	1,31	2,45
GeoB1515-2	0,16	0,16	5,61	1,26	2,52
GeoB1515-2	0,22	0,22	7,74	1,26	2,66
GeoB1515-2	0,25	0,25	8,81	0,00	2,51
GeoB1515-2	0,34	0,34	12,00	0,79	3,45
GeoB1515-1	0,26	0,35	12,18	0,07	3,88
GeoB1515-1	0,28	0,37	12,54	0,09	3,85
GeoB1515-1	0,30	0,39	12,90	-0,01	3,75
GeoB1515-1	0,36	0,45	13,98	0,14	3,97
GeoB1515-1	0,38	0,47	14,34	0,30	3,89
GeoB1515-1	0,40	0,49	14,70	0,23	4,01
GeoB1515-1	0,43	0,52	15,24	0,39	4,03
GeoB1515-1	0,45	0,54	15,60	0,43	4,15
GeoB1515-1	0,46	0,55	15,78	0,39	4,06
GeoB1515-1	0,48	0,57	16,14	0,16	4,03
GeoB1515-1	0,50	0,59	16,50	0,52	4,19
GeoB1515-1	0,55	0,64	17,48	0,33	3,98
GeoB1515-1	0,56	0,65	17,67	0,29	3,91
GeoB1515-1	0,58	0,67	18,06	0,38	4,17
GeoB1515-1	0,63	0,72	19,04	0,43	4,18
GeoB1515-1	0,67	0,76	19,82	0,46	3,94
GeoB1515-1	0,68	0,77	20,02	0,50	4,09
GeoB1515-1	0,70	0,79	20,41	0,35	4,04
GeoB1515-1	0,75	0,84	21,59	0,05	3,77
GeoB1515-1	0,77	0,86	22,06	0,12	4,10
GeoB1515-1	0,78	0,87	22,30	0,46	3,97
GeoB1515-1	0,83	0,92	23,48	0,71	4,04
GeoB1515-1	0,85	0,94	23,95	0,60	3,97
GeoB1515-1	0,87	0,96	24,42	0,50	4,15
GeoB1515-1	0,88	0,97	24,66	0,38	3,72
GeoB1515-1	0,90	0,99	25,13	0,44	3,70
GeoB1515-1	0,93	1,02	25,84	0,52	3,85
GeoB1515-1	0,97	1,06	26,47	0,45	3,89
GeoB1515-1	0,98	1,07	26,83	0,20	3,80
GeoB1515-1	1,00	1,09	27,20	0,67	3,80
GeoB1515-1	1,02	1,11	27,57	0,75	4,15
GeoB1515-1	1,03	1,12	27,76	0,76	3,97
GeoB1515-1	1,05	1,14	28,12	0,52	3,69
GeoB1515-1	1,07	1,16	28,49	0,65	3,79
GeoB1515-1	1,08	1,17	28,68	0,59	3,76
GeoB1515-1	1,10	1,19	28,86	0,58	3,96
GeoB1515-1	1,11	1,20	29,23	0,55	3,91
GeoB1515-1	1,13	1,22	29,56	0,77	3,75
GeoB1515-1	1,17	1,26	30,23	0,64	3,59
GeoB1515-1	1,18	1,27	30,40	0,41	3,65
GeoB1515-1	1,20	1,29	30,73	0,75	3,73
GeoB1515-1	1,25	1,34	31,57	0,50	3,69
GeoB1515-1	1,27	1,36	31,90	0,48	3,69
GeoB1515-1	1,28	1,37	32,07	0,59	3,76
GeoB1515-1	1,30	1,39	32,45	0,58	3,67
GeoB1515-1	1,32	1,41	32,97	0,49	3,89
GeoB1515-1	1,33	1,42	33,23	0,62	3,80
GeoB1515-1	1,35	1,44	33,76	0,52	3,90
GeoB1515-1	1,37	1,46	34,28	0,63	3,85
GeoB1515-1	1,38	1,47	34,54	0,54	3,82
GeoB1515-1	1,40	1,49	35,06	0,94	3,71
GeoB1515-1	1,42	1,51	35,59	1,09	3,80
GeoB1515-1	1,43	1,52	35,85	0,83	3,89
GeoB1515-1	1,45	1,54	36,37	0,78	3,80
GeoB1515-1	1,46	1,55	36,63	0,61	3,76
GeoB1515-1	1,48	1,57	37,16	0,79	3,80
GeoB1515-1	1,50	1,59	37,68	0,99	3,51
GeoB1515-1	1,51	1,60	37,94	0,82	3,72
GeoB1515-1	1,53	1,62	38,46	0,63	3,88
