/* DATA DESCRIPTION:
Citation:	Ruddiman, WF et al. (1989): (Table A1) Stable carbon and oxygen isotope ratios of benthic foraminifera from DSDP Site 94-607 in the North Atlantic, doi:10.1594/PANGAEA.418231,
	In Supplement to: Ruddiman, William F; Raymo, Maureen E; Martinson, Douglas G; Clement, Bradford M; Backman, Jan (1989): Pleistocene evolution: northern hemisphere ice sheets and North Atlantic Ocean, Paleoceanography, 4(4), 353-412, doi:10.1029/PA004i004p00353
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -32.9573 * EAST: -32.9573 * SOUTH: 41.0012 * NORTH: 41.0012
	MINIMUM AGE: 245.400 ka BP * MAXIMUM AGE: 7583.800 ka BP
	MINIMUM DEPTH, sediment: 9.3 m * MAXIMUM DEPTH, sediment: 73.2 m
Event(s):	94-607_Site * LATITUDE: 41.0012 * LONGITUDE: -32.9573 * ELEVATION: -3427.0 m * DATE/TIME: 1983-07-06T00:00:00 * RECOVERY: 4.54 m * PENETRATION: 5.96 m * LOCATION: North Atlantic/FLANK * CAMPAIGN: Leg94 (URI: doi:10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Composite Core * COMMENT: 56 cores; 511 m cored; 0 m drilled; 88.8% recovery
Comment:	Age based on TP607 time scale. Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Sample code/label (Label) * PI: Ruddiman, William F * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Uvigerina spp., d18O [per mil PDB] (Uvigerina spp. d18O) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
	Uvigerina spp., d13C [per mil PDB] (Uvigerina spp. d13C) * PI: Ruddiman, William F * METHOD: Mass spectrometer Finnigan MAT 251
Size:	1383 data points
*/
Depth [m]	Age [ka BP]	Label	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]	Uvigerina spp. d18O [per mil PDB]	Uvigerina spp. d13C [per mil PDB]
57.04	1273.0	94-607-7-3,121	2.99	1.11	3.33	0.20
57.19	1277.2	94-607-7-3,136	2.80	1.14	3.51	0.25
57.19	1277.2	94-607-7-3,136	3.20	0.19		
57.34	1278.6	94-607-7-4,1	2.95	1.05		
57.49	1285.7	94-607-7-4,16	3.41	1.04		
57.66	1290.5	94-607-7-4,33	3.51	0.72		
57.92	1297.5	94-607-7-4,59	3.24	0.42		
58.02	1300.1	94-607-7-4,69	3.46	0.61		
58.24	1305.8	94-607-7-4,91	2.98	1.09		
58.40	1309.7	94-607-7-4,106	2.59	1.06		
58.54	1313.5	94-607-7-4,121	2.69	1.03		
58.69	1317.2	94-607-7-4,136	2.84	0.46		
58.99	1325.4	94-607-7-5,16			4.04	-0.97
59.13	1331.4	94-607-7-5,30	3.48	0.01	4.40	-0.98
59.20	1335.5	94-607-7-5,37	3.00	0.24	4.23	-0.94
59.36	1342.0	94-607-7-5,53			4.38	-0.90
59.44	1343.9	94-607-7-5,61			4.34	-0.80
59.61	1346.8	94-607-7-5,78			4.11	-0.46
59.90	1350.4	94-607-7-5,106	2.92	0.98		
60.19	1354.3	94-607-7-5,136	2.67	0.89		
60.49	1359.0	94-607-7-6,16	2.70	1.15		
60.65	1361.6	94-607-7-6,31	2.74	0.77		
60.86	1365.3	94-607-7-6,53	3.63	0.57		
60.94	1366.7	94-607-7-6,61	3.73	0.53		
61.11	1371.1	94-607-7-6,78	3.80	0.56		
61.24	1375.6	94-607-7-6,91	3.58	0.29		
61.40	1380.7	94-607-7-6,106	3.36	0.60		
61.47	1383.2	94-607-7-6,114	3.44	0.96		
61.54	1385.2	94-607-7-6,121	3.36	1.01		
61.69	1389.3	94-607-7-6,136	3.00	1.22		
61.84	1393.5	94-607-7-7,1	2.94	1.05		
61.99	1397.6	94-607-7-7,16	3.02	1.17		
62.07	1399.8	94-607-7-7,24	2.98	0.94		
62.38	1407.8	94-607-8-1,5	3.63	0.04		
62.70	1415.7	94-607-8-1,38	3.78	0.13		
62.85	1417.2	94-607-8-1,53	3.57	0.10		
63.10	1419.9	94-607-8-1,78	3.44	0.76		
63.22	1421.2	94-607-8-1,89	3.27	0.88		
63.53	1424.2	94-607-8-1,121	3.35	1.16	3.85	0.23
63.61	1425.1	94-607-8-1,129			3.70	0.06
63.68	1426.0	94-607-8-1,136			3.54	0.14
63.85	1428.1	94-607-8-2,3			3.44	0.05
63.98	1433.5	94-607-8-2,16	3.00	1.20	3.37	0.20
64.11	1439.1	94-607-8-2,29	2.89	1.12		
64.21	1442.1	94-607-8-2,38			3.52	-0.19
64.21	1442.1	94-607-8-2,38			3.65	0.01
64.35	1447.0	94-607-8-2,53	3.42	1.09	3.89	0.02
64.43	1449.5	94-607-8-2,61			4.16	0.06
64.60	1455.2	94-607-8-2,78			4.39	0.02
64.74	1458.7	94-607-8-2,91			4.34	-0.08
64.89	1460.6	94-607-8-2,106			4.20	-0.14
65.01	1461.5	94-607-8-2,119			4.03	-0.04
65.18	1462.8	94-607-8-2,136	3.30	1.07		
65.33	1463.9	94-607-8-3,1	3.06	1.11		
65.64	1466.9	94-607-8-3,31			3.94	0.07
65.71	1467.7	94-607-8-3,38	3.26	1.22		
65.96	1470.4	94-607-8-3,63	2.81	1.30		
66.21	1477.8	94-607-8-3,89	2.89	1.19		
66.39	1485.7	94-607-8-3,106	2.88	1.12		
66.51	1491.7	94-607-8-3,119	3.18	1.24		
66.68	1498.8	94-607-8-3,136	3.31	1.04		
66.83	1503.8	94-607-8-4,1	3.16	1.20	3.43	0.13
66.99	1508.8	94-607-8-4,16	3.15	1.02		
67.14	1513.6	94-607-8-4,31			3.87	0.02
67.19	1515.3	94-607-8-4,37	3.10	1.21		
67.19	1515.3	94-607-8-4,37	3.20	1.29		
67.43	1519.6	94-607-8-4,61	2.83	1.14		
67.43	1519.6	94-607-8-4,61	2.89	1.17		
67.60	1522.2	94-607-8-4,78	3.15	1.30		
67.74	1524.1	94-607-8-4,91	3.28	1.23		
67.74	1524.1	94-607-8-4,91	3.33	1.32		
68.03	1528.7	94-607-8-4,121	3.74	1.19		
68.18	1530.9	94-607-8-4,136	3.59	1.25		
68.49	1536.7	94-607-8-5,16	3.68	0.80		
68.64	1539.8	94-607-8-5,31	3.70	1.04		
68.85	1544.4	94-607-8-5,53	3.15	1.21		
69.08	1549.3	94-607-8-5,76	3.09	1.29		
69.24	1552.5	94-607-8-5,91	2.80	1.08		
69.24	1552.5	94-607-8-5,91	2.78	1.20		
69.24	1552.5	94-607-8-5,91	2.78	1.24		
69.39	1556.0	94-607-8-5,106	2.86	1.19		
69.53	1559.7	94-607-8-5,121	3.10	1.17		
69.68	1563.4	94-607-8-5,136	3.00	0.94		
69.68	1563.4	94-607-8-5,136	2.90	1.18		
69.83	1567.1	94-607-8-6,1			3.94	-0.35
69.99	1570.7	94-607-8-6,16	2.85	0.69		
69.99	1570.7	94-607-8-6,16	3.10	0.98		
70.11	1573.9	94-607-8-6,29	3.50	0.29		
70.19	1575.9	94-607-8-6,37			4.13	-0.51
70.19	1575.9	94-607-8-6,37			4.36	-0.30
70.35	7579.0	94-607-8-6,53	3.10	0.56		
70.43	1580.6	94-607-8-6,61	2.92	0.94		
70.60	7583.8	94-607-8-6,78	2.86	0.90	3.58	-0.15
70.71	1586.0	94-607-8-6,89	3.21	0.74	3.60	-0.21
70.89	1589.2	94-607-8-6,106			4.08	-0.50
71.03	1592.1	94-607-8-6,121	3.05	0.89		
71.18	1595.0	94-607-8-6,136	3.07	0.63		
71.18	1595.0	94-607-8-6,136	3.17	1.03	3.71	-0.26
71.38	1598.7	94-607-8-7,5	2.84	0.86		
71.38	1598.7	94-607-8-7,5	2.87	0.96		
71.71	1605.1	94-607A-9-4,91	3.22	0.86		
72.00	1610.8	94-607A-9-4,121			3.90	0.06
72.14	1614.4	94-607A-9-4,135	3.18	0.71	3.75	-0.10
72.31	1618.5	94-607A-9-5,1			4.07	-0.73
72.44	1622.3	94-607A-9-5,15			3.84	-0.63
72.60	1626.4	94-607A-9-5,30			4.13	-0.28
72.85	1633.8	94-607-9-1,16	2.73	0.99		
73.00	1637.5	94-607-9-1,31	2.76	1.23		
73.22	1642.6	94-607-9-1,53	2.90	1.07		
