/* DATA DESCRIPTION:
Citation:	Raymo, ME et al. (1992): (Table A3) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from DSDP Hole 94-610A in the North Atlantic, doi:10.1594/PANGAEA.358432,
	In Supplement to: Raymo, Maureen E; Hodell, David A; Jansen, Eystein (1992): Response of deep ocean circulation to initiation of Northern Hemisphere glaciation (3-2 MA), Paleoceanography, 7(5), 645-672, doi:10.1029/92PA01609
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -18.8868 * EAST: -18.8868 * SOUTH: 53.2215 * NORTH: 53.2215
	DATE/TIME START: 1983-07-28T00:00:00 * DATE/TIME END: 1983-07-28T00:00:00
	MINIMUM DEPTH, sediment: 116.2 m * MAXIMUM DEPTH, sediment: 180.1 m
Event(s):	94-610A * LATITUDE: 53.2215 * LONGITUDE: -18.8868 * ELEVATION: -2417.0 m * DATE/TIME: 1983-07-28T00:00:00 * RECOVERY: 191.40 m * PENETRATION: 201.00 m * LOCATION: North Atlantic/RIDGE * CAMPAIGN: Leg94 (URI: doi:10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 21 cores; 201 m cored; 0 m drilled; 95.2 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Age model [ka] (Age model) * PI: Raymo, Maureen E * METHOD: Age model, paleomag, Berggren et al (1985) (URI: doi:10.1130/0016-7606(1985)96<1407:CG>2.0.CO;2) * COMMENT: calculated ages
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Raymo, Maureen E * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: adjusted by 0.64 ‰ (Shackleton & Hall, 1984, doi:10.2973/dsdp.proc.81.116.1984)
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Raymo, Maureen E * METHOD: Mass spectrometer Finnigan MAT 251
Size:	1011 data points
*/
Depth [m]	Age model [ka]	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]
144.01	2786	3.27	0.80
144.16	2788	3.33	0.62
144.31	2791	3.35	0.49
144.46	2794	3.22	0.83
144.61	2796	3.28	0.82
144.87	2801	3.64	0.45
145.08	2805	3.53	0.20
145.18	2807	3.72	0.20
145.33	2811	3.69	0.24
145.68	2818	3.07	0.19
145.91	2824	3.29	0.75
145.96	2825	3.03	0.89
146.11	2828	3.15	1.05
146.31	2833	2.75	0.76
146.39	2834	2.92	0.73
146.56	2838	3.31	1.14
146.71	2840	3.33	0.87
146.83	2843	3.13	0.75
147.01	2846	3.35	1.04
147.16	2849	3.54	1.09
147.31	2852	3.69	1.14
147.46	2854	3.59	0.88
147.61	2857	3.42	0.94
148.21	2870	3.71	0.97
148.51	2876	3.20	1.02
148.66	2879	3.29	1.16
148.81	2882	3.21	0.92
148.96	2885	3.49	1.00
149.11	2888	3.53	0.99
149.31	2892	3.81	0.95
149.39	2894	3.85	1.08
149.56	2898	3.81	0.85
149.83	2905	3.30	0.88
150.31	2916	3.77	0.72
150.46	2920	3.63	0.70
150.61	2923	3.69	0.74
150.76	2926	3.65	0.73
150.89	2929	3.26	0.91
151.06	2932	3.42	0.80
151.21	2935	3.47	0.84
151.33	2937	3.09	0.60
151.51	2941	3.52	0.50
151.66	2944	3.15	0.81
151.81	2947	3.20	0.66
151.96	2950	3.27	0.83
152.11	2953	3.24	0.85
152.26	2956	3.19	0.76
152.39	2958	3.14	0.84
153.16	2974	3.36	0.42
153.31	2977	3.14	0.99
153.46	2980	3.16	0.46
153.61	2982	3.27	0.89
153.76	2985	3.20	0.30
153.91	2988	3.13	0.79
154.06	2992	3.19	0.73
154.21	2994	3.17	0.62
154.36	2997	3.29	0.71
154.49	3000	3.50	0.74
154.66	3005	3.37	0.75
154.81	3009	3.00	0.68
154.96	3017	3.14	0.73
155.11	3024	3.22	0.32
155.26	3032	3.60	0.19
155.41	3039	3.51	0.46
155.56	3042	3.52	0.61
155.71	3044	3.39	0.76
155.91	3048	3.28	0.88
155.99	3049	3.21	0.84
156.16	3052	3.31	1.06
156.31	3055	3.31	0.80
156.46	3058	3.00	0.63
156.61	3060	3.21	0.41
156.76	3063	3.31	0.78
156.91	3066	3.28	0.77
157.06	3068	3.31	0.91
157.21	3071	3.40	0.74
157.36	3074	3.21	0.72
157.49	3076	3.18	0.54
157.66	3079	3.52	1.31
157.81	3082	3.21	0.65
158.11	3087	3.19	0.94
158.26	3090	3.22	1.03
158.41	3092	3.20	0.99
158.56	3095	3.23	0.91
158.71	3098	3.20	1.13
158.91	3101	3.34	0.97
158.99	3103	3.23	0.86
159.15	3106	3.31	0.98
159.31	3108	3.04	0.99
159.44	3111	3.30	1.14
159.61	3114	3.36	1.05
159.79	3117	2.95	0.64
159.91	3119	3.54	0.81
160.06	3122	3.35	0.96
160.31	3126	3.41	0.84
