Core label	depth	compdepth	age	cw13	cw18
GeoB1112-3	0,01	0,01	0,47	0,60	3,13
GeoB1112-3	0,04	0,04	1,88	0,98	2,46
GeoB1112-3	0,07	0,07	3,28	0,87	2,52
GeoB1112-3	0,10	0,10	4,66	1,03	2,51
GeoB1112-3	0,13	0,13	6,00	1,01	2,67
GeoB1112-3	0,16	0,16	7,30	1,08	2,52
GeoB1112-3	0,19	0,19	8,56	0,77	2,59
GeoB1112-3	0,22	0,22	9,76	0,79	2,88
GeoB1112-3	0,25	0,25	10,91	0,54	3,23
GeoB1112-4	0,28	0,28	12,00	0,58	3,60
GeoB1112-4	0,33	0,33	13,67	0,53	3,18
GeoB1112-4	0,38	0,38	15,17	0,11	3,88
GeoB1112-4	0,43	0,43	16,50	0,23	4,22
GeoB1112-4	0,48	0,48	17,68	0,26	4,40
GeoB1112-4	0,53	0,53	18,81	0,30	4,39
GeoB1112-4	0,58	0,58	20,00	0,32	4,40
GeoB1112-4	0,63	0,63	21,35	0,52	4,38
GeoB1112-4	0,68	0,68	22,86	0,34	3,90
GeoB1112-4	0,73	0,73	24,49	0,44	3,91
GeoB1112-4	0,78	0,78	26,21	0,51	3,78
GeoB1112-4	0,83	0,83	28,00	0,58	3,74
GeoB1112-4	0,88	0,88	29,83	0,58	3,80
GeoB1112-4	0,93	0,93	31,71	0,53	3,91
GeoB1112-4	0,98	0,98	33,62	0,70	3,85
GeoB1112-4	1,03	1,03	35,58	0,59	3,87
GeoB1112-4	1,08	1,08	37,58	0,49	3,87
GeoB1112-4	1,13	1,13	39,63	0,54	3,76
GeoB1112-4	1,18	1,18	41,72	0,54	3,83
GeoB1112-4	1,23	1,23	43,87	0,47	3,71
GeoB1112-4	1,28	1,28	46,07	0,55	3,67
GeoB1112-4	1,33	1,33	48,32	0,50	3,67
GeoB1112-4	1,38	1,38	50,63	0,70	3,77
GeoB1112-4	1,43	1,43	53,00	0,66	3,52
GeoB1112-4	1,48	1,48	55,42	0,31	3,71
GeoB1112-4	1,53	1,53	57,87	0,43	3,64
GeoB1112-4	1,58	1,58	60,30	0,33	3,77
GeoB1112-4	1,63	1,63	62,69	0,22	3,76
GeoB1112-4	1,68	1,68	65,00	0,05	3,97
GeoB1112-4	1,73	1,73	67,21	0,28	3,87
GeoB1112-4	1,78	1,78	69,41	0,61	3,61
GeoB1112-4	1,83	1,83	71,69	0,62	3,76
GeoB1112-4	1,88	1,88	74,15	0,65	3,46
GeoB1112-4	1,93	1,93	76,89	0,84	3,42
GeoB1112-4	1,98	1,98	80,00	0,85	3,24
GeoB1112-4	2,03	2,03	83,50	0,89	3,33
GeoB1112-4	2,08	2,08	87,00	0,55	3,50
GeoB1112-4	2,13	2,13	90,13	0,71	3,46
GeoB1112-4	2,18	2,18	92,84	0,93	3,32
GeoB1112-4	2,23	2,23	95,19	0,64	3,29
GeoB1112-4	2,28	2,28	97,23	0,81	3,21
GeoB1112-4	2,33	2,33	99,00	0,93	3,10
GeoB1112-4	2,38	2,38	100,56	0,88	3,14
GeoB1112-4	2,43	2,43	101,96	1,06	2,53
GeoB1112-4	2,48	2,48	103,25	0,61	3,15
GeoB1112-4	2,53	2,53	104,49	0,25	3,26
GeoB1112-4	2,58	2,58	105,72	0,40	3,29
GeoB1112-4	2,63	2,63	107,00	0,55	3,38
GeoB1112-4	2,68	2,68	108,37	0,63	3,32
GeoB1112-4	2,73	2,73	109,83	0,63	3,11
GeoB1112-4	2,78	2,78	111,38	0,63	3,14
GeoB1112-4	2,83	2,83	113,00	0,82	2,82
GeoB1112-4	2,88	2,88	114,70	0,88	2,62
GeoB1112-4	2,93	2,93	116,45	0,68	2,68
GeoB1112-4	2,98	2,98	118,26	0,78	2,70
GeoB1112-4	3,03	3,03	120,11	0,64	3,11
GeoB1112-4	3,08	3,08	122,00	0,64	2,37
GeoB1112-4	3,13	3,13	123,92	0,41	3,57
GeoB1112-4	3,18	3,18	125,85	0,34	3,37
GeoB1112-4	3,23	3,23	127,77	-0,01	4,02
GeoB1112-4	3,28	3,28	129,66	0,27	4,12
GeoB1112-4	3,33	3,33	131,51	0,19	4,24
GeoB1112-4	3,38	3,38	133,30	0,04	4,26
GeoB1112-4	3,43	3,43	135,00	0,04	4,25
GeoB1112-4	3,48	3,48	136,61	-0,08	4,28
GeoB1112-4	3,53	3,53	138,13	-0,07	3,97
GeoB1112-4	3,58	3,58	139,58	-0,11	4,00
GeoB1112-4	3,63	3,63	140,98	-0,12	4,03
GeoB1112-4	3,68	3,68	142,34	-0,13	4,06
GeoB1112-4	3,73	3,73	143,67	-0,14	4,00
GeoB1112-4	3,78	3,78	145,00	0,02	4,02
GeoB1112-4	3,83	3,83	146,35	-0,07	3,96
GeoB1112-4	3,88	3,88	147,76	-0,09	3,62
