Core label	depth	compdepth	age	cw13	cw18
GeoB1118-2	0,01	0,01	0,66	0,22	2,64
GeoB1118-2	0,04	0,04	1,50	-0,23	2,58
GeoB1118-2	0,07	0,07	2,63	0,67	2,62
GeoB1118-2	0,10	0,10	3,76	0,32	2,95
GeoB1118-2	0,13	0,13	4,88	0,09	3,32
GeoB1118-2	0,16	0,16	6,00	0,46	2,58
GeoB1118-2	0,19	0,19	7,12	0,60	2,83
GeoB1118-2	0,22	0,22	8,26	0,34	2,97
GeoB1118-2	0,25	0,25	9,44	-0,29	3,68
GeoB1118-2	0,28	0,28	10,68	0,50	2,77
GeoB1118-2	0,31	0,31	12,24	-0,02	3,44
GeoB1118-3	0,33	0,36	14,35	-0,14	3,97
GeoB1118-3	0,38	0,41	16,47	-1,04	4,28
GeoB1118-3	0,43	0,46	18,04	-0,21	4,26
GeoB1118-3	0,48	0,51	19,13	-0,68	4,07
GeoB1118-3	0,53	0,56	20,00	-0,37	4,17
GeoB1118-3	0,58	0,61	20,84	-0,50	3,89
GeoB1118-3	0,63	0,66	21,72	-0,47	4,07
GeoB1118-3	0,68	0,71	22,68		
GeoB1118-3	0,73	0,76	23,75	-0,43	4,19
GeoB1118-3	0,78	0,81	24,98	-0,27	4,40
GeoB1118-3	0,83	0,86	26,39	-0,35	3,90
GeoB1118-3	0,88	0,91	28,01	-0,41	3,87
GeoB1118-3	0,93	0,96	29,87	-0,36	3,89
GeoB1118-3	0,98	1,01	31,93	0,03	3,77
GeoB1118-3	1,03	1,06	34,15	0,04	3,75
GeoB1118-3	1,08	1,11	36,47	-0,54	3,77
GeoB1118-3	1,13	1,16	38,85	-0,38	3,75
GeoB1118-3	1,18	1,21	41,24	0,00	3,73
GeoB1118-3	1,23	1,26	43,59	-0,08	3,61
GeoB1118-3	1,28	1,31	45,84	-0,20	3,82
GeoB1118-3	1,33	1,36	47,96	0,00	3,75
GeoB1118-3	1,38	1,41	49,89	-0,28	3,68
GeoB1118-3	1,43	1,46	51,58	-0,26	3,58
GeoB1118-3	1,48	1,51	52,99	-0,25	3,49
GeoB1118-3	1,53	1,56	54,10	0,11	3,66
GeoB1118-3	1,58	1,61	55,00	0,07	3,59
GeoB1118-3	1,63	1,66	55,81	-0,08	3,73
GeoB1118-3	1,68	1,71	56,67	-0,11	3,76
GeoB1118-3	1,73	1,76	57,70	-0,34	3,69
GeoB1118-3	1,78	1,81	59,02	-0,35	3,80
GeoB1118-3	1,83	1,86	60,71	-0,62	3,72
GeoB1118-3	1,88	1,91	62,74	-0,48	3,72
GeoB1118-3	1,93	1,96	65,01	-0,68	4,09
GeoB1118-3	1,98	2,01	67,60	-0,38	3,94
GeoB1118-3	2,03	2,06	71,06	0,02	3,63
GeoB1118-3	2,08	2,11	75,58	0,05	3,29
GeoB1118-3	2,13	2,16	79,77		
GeoB1118-3	2,18	2,21	82,77	0,31	3,27
GeoB1118-3	2,23	2,26	84,43	0,20	3,27
GeoB1118-3	2,28	2,31	85,59	-0,44	3,51
GeoB1118-3	2,33	2,36	87,04	0,14	3,76
GeoB1118-3	2,38	2,41	89,31	0,19	3,36
GeoB1118-3	2,43	2,46	92,29		
GeoB1118-3	2,48	2,51	95,63	0,10	3,42
