# NOAA Paleoclimatology Program - Paleocean Site Data
# odp999ab-tab.txt
# Complete Data
# File Created: 26-Apr-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Torsten Bickert
# Core/Site:      ODP999A
# Latitude:       12.45.00N	( 12.75)
# Longitude:      78.44.00W	( -78.73333)
# Water Depth(m): 2827
#
# Publications:
#   Bickert, T., G.H. Haug, and R. Tiedemann.  2004. Late Neogene benthic stable
#     isotope record of Ocean Drilling Program Site 999: Implications for Caribbean
#     paleoceanography, organic carbon burial, and the Messinian Salinity Crisis.Paleoceanography,
#     Vol. 19, PA1023.
#------------------
#
# Description & Notes:
#   Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
#   Notes column has sample ID, core section and section top depth.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             cfrac%>63     Course fraction percent (>63 micron)
#             corrdptcm     Corrected depth (cm)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP999A
depth	yrBP 	cfrac%>63	corrdptcm	d13Cc.wuell	d18Oc.wuell	notes
16708	5491870	2.920241	16633.2	0.5188157	1.629704	999A18H 05 145
16718	5497500	2.831224	16642.2	0.5719661	1.803217	999A18H 06 5
16728	5503120	2.718469	16651.2	0.3218453	1.417564	999A18H 06 15
16738	5508750	3.529431	16660.2	0.6904474	1.980954	999A18H 06 25
16748	5514370	3.533957	16669.2	0.3977439	1.979588	999A18H 06 35
16758	5520000	3.241092	16678.2	0.3853261	2.16618	999A18H 06 45
16778	5525670	3.083754	16696.2	7.255685E-02	1.6246	999A18H 06 65
16788	5528500	2.519885	16705.2	0.3398663	1.542178	999A18H 06 75
16798	5531330	1.541394	16714.2	0.4243208	1.48707	999A18H 06 85
16808	5534170	2.109447	16723.2	0.5277834	1.851984	999A18H 06 95
16818	5537000	2.169213	16732.2	0.6503654	1.793211	999A18H 06 105
16828	5539830	3.133453	16741.2	0.2818083	1.915641	999A18H 06 115
16838	5542670	2.889984	16750.2	0.2696164	1.959462	999A18H 06 125
16848	5545500	2.151168	16759.2	0.3239247	1.855049	999A18H 06 135
16858	5548330	3.221616	16768.2	8.980611E-02	1.689242	999A18H 06 145
16868	5551170	5.866405	16777.2	-999	-999	999A18H 07 5
16878	5554000	2.683346	16786.2	0.3976069	2.351056	999A18H 07 15
16888	5555630	2.439219	16795.2	-999	-999	999A18H 07 25
16898	5557260	1.854788	16804.2	0.2590568	1.950346	999A18H 07 35
16908	5558890	1.717864	16813.2	0.6593589	1.659509	999A18H 07 45
16915	5577220	2.873306	16914.5	0.404183	1.723937	999A19H 01 5
16922	5561170	1.599802	16825.8	0.2375635	2.085876	999A18H 07 59
16925	5578850	3.117476	16923.5	0.4583387	1.950063	999A19H 01 15
16932	5562800	1.601111	16834.8	0.6068071	1.781248	999A18H CC 5
16935	5580480	4.183989	16932.5	0.4340667	2.216644	999A19H 01 25
16942	5564430	1.563839	16843.8	0.3592712	1.876635	999A18H CC 15
16945	5582110	4.203753	16941.5	0.2060209	2.125365	999A19H 01 35
16950	5565730	2.405236	16851	0.5766307	2.160667	999A18H CC 23
16955	5583740	3.987684	16950.5	0.3749819	2.11285	999A19H 01 45
16975	5587000	3.595721	16968.5	0.3948452	2.148345	999A19H 01 65
16985	5589950	3.809462	16977.5	0.7029119	1.956172	999A19H 01 75
16995	5592890	4.274359	16986.5	0.6728057	1.822946	999A19H 01 85
17005	5595840	6.543425	16995.5	0.4761617	2.074913	999A19H 01 95
17015	5598790	3.227441	17004.5	0.5392009	2.000735	999A19H 01 105
17025	5601740	4.236505	17013.5	0.5154669	1.83159	999A19H 01 115
17035	5604680	3.616609	17022.5	0.5528099	1.861761	999A19H 01 125
17045	5607630	3.470836	17031.5	0.7043616	1.579531	999A19H 01 135
17055	5610580	2.701922	17040.5	0.5146658	1.972151	999A19H 01 145
17065	5613530	3.321985	17049.5	0.6160536	2.022022	999A19H 02 5
17075	5616470	3.121672	17058.5	0.4946693	1.85112	999A19H 02 15
17085	5619420	3.813878	17067.5	0.4601728	1.571612	999A19H 02 25
17095	5622370	3.814838	17076.5	0.2828206	1.952538	999A19H 02 35
17105	5625320	4.507742	17085.5	0.5559008	1.630531	999A19H 02 45
17125	5631210	2.381573	17103.5	0.5775224	1.934469	999A19H 02 65
17135	5634160	2.339216	17112.5	0.574998	1.850058	999A19H 02 75
17147	5637690	2.476811	17123.3	0.4322132	1.953242	999A19H 02 87
17155	5640050	2.654726	17130.5	0.4059407	1.997688	999A19H 02 95
17165	5643000	2.584946	17139.5	0.5226707	2.111607	999A19H 02 105
17175	5649440	2.603519	17148.5	0.6980937	1.94487	999A19H 02 115
17185	5655890	1.929224	17157.5	0.6790863	2.033605	999A19H 02 125
17195	5662330	2.299167	17166.5	0.6999243	1.782507	999A19H 02 135
17205	5668780	2.696973	17175.5	0.5639235	1.800211	999A19H 02 145
17215	5675220	2.012033	17184.5	0.5896095	1.875839	999A19H 03 5
17225	5681670	2.217549	17193.5	0.4148208	1.96687	999A19H 03 15
17235	5688110	1.751849	17202.5	0.4426962	2.031851	999A19H 03 25
17245	5694560	2.494549	17211.5	0.7257614	1.857562	999A19H 03 35
17255	5701000	3.092636	17220.5	0.5978117	2.126002	999A19H 03 45
17275	5707400	4.563826	17238.5	0.488908	1.759099	999A19H 03 65
17285	5710590	3.956981	17247.5	0.6620033	1.97745	999A19H 03 75
17295	5713790	4.109083	17256.5	0.321532	1.978191	999A19H 03 85
17305	5716990	4.040601	17265.5	0.6376539	1.911491	999A19H 03 95
17315	5720190	3.9015	17274.5	0.2823254	2.091246	999A19H 03 105
17325	5723380	2.778673	17283.5	0.4390089	1.956954	999A19H 03 115
17335	5726580	2.568779	17292.5	0.6913626	1.864488	999A19H 03 125
17345	5729780	3.611457	17301.5	0.6195319	2.116801	999A19H 03 135
17355	5732980	4.258622	17310.5	0.4593018	1.758905	999A19H 03 145
17367	5736810	4.593508	17321.3	0.4556591	2.103109	999A19H 04 5
17377	5740010	4.045714	17330.3	0.4182264	2.000529	999A19H 04 15
17387	5743210	4.271275	17339.3	0.3878111	2.087856	999A19H 04 25
17397	5746410	3.997995	17348.3	0.2063843	2.139074	999A19H 04 35
17407	5749600	4.747275	17357.3	-999	-999	999A19H 04 45
17427	5756000	3.555018	17375.3	0.110646	2.390888	999A19H 04 65
17437	5758480	2.240236	17384.3	0.28334	2.250836	999A19H 04 75
17447	5760970	3.959465	17393.3	0.2794235	1.869774	999A19H 04 85
17457	5763450	2.942587	17402.3	0.4917106	1.998703	999A19H 04 95
17467	5765930	3.248337	17411.3	0.3546432	1.908736	999A19H 04 105
17477	5768420	2.882091	17420.3	0.2004403	1.969791	999A19H 04 115
17487	5770900	2.590603	17429.3	0.319369	1.920094	999A19H 04 125
17497	5773390	3.153406	17438.3	0.3803681	2.080876	999A19H 04 135
17507	5775870	4.854143	17447.3	0.5249394	2.001201	999A19H 04 145
17520	5779100	2.380229	17459	0.3570439	1.968055	999A19H 05 5
17530	5781580	3.251698	17468	0.3926207	1.826211	999A19H 05 15
17540	5784070	2.30412	17477	0.3764932	1.785646	999A19H 05 25
17550	5786550	1.922306	17486	0.2223851	2.012693	999A19H 05 35
17560	5789030	2.117055	17495	0.2602083	2.292101	999A19H 05 45
17580	5794000	1.66263	17513	0.2715328	2.323913	999A19H 05 65
17590	5798890	1.620735	17522	0.466379	1.788531	999A19H 05 75
17600	5803780	2.449897	17531	0.5984331	2.016849	999A19H 05 85
17610	5808670	1.757554	17540	0.3626734	1.911925	999A19H 05 95
17620	5813560	1.6791	17549	0.5167314	1.848792	999A19H 05 105
17630	5818440	2.20513	17558	0.5729252	1.931504	999A19H 05 115
17640	5823330	1.599271	17567	0.4041552	1.506011	999A19H 05 125
17650	5828220	2.565548	17576	0.5197624	1.87556	999A19H 05 135
17660	5833110	3.27299	17585	0.5148608	2.106292	999A19H 05 145
17670	5838000	3.326972	17594	0.6036283	2.096101	999A19H 06 5
17680	5843620	3.400754	17603	0.4382299	1.96787	999A19H 06 15
17690	5849230	3.737191	17612	0.2596757	1.723099	999A19H 06 25
17700	5854850	2.995558	17621	0.284909	1.830852	999A19H 06 35
17710	5860460	2.938351	17630	0.3739543	1.795517	999A19H 06 45
17730	5871690	3.033701	17648	0.0547175	1.54296	999A19H 06 65
17740	5877310	3.339957	17657	0.3588167	1.808081	999A19H 06 75
17750	5882920	3.248007	17666	0.396197	1.531653	999A19H 06 85
17760	5888540	4.203117	17675	0.2881734	1.659026	999A19H 06 95
17770	5894150	3.546865	17684	0.1733475	1.526305	999A19H 06 105
17780	5899770	4.588652	17693	-3.716349E-02	1.753591	999A19H 06 115
17790	5905380	4.82658	17702	3.225973E-02	2.178586	999A19H 06 125
17800	5911000	3.610923	17711	0.2058162	2.212744	999A19H 06 135
17810	5912780	2.730515	17720	0.1054618	1.995292	999A19H 06 145
17820	5914560	3.570124	17729	0.3676807	2.076541	999A19H 07 5
17830	5916330	3.041479	17738	0.3541787	1.931032	999A19H 07 15
17840	5918110	2.056728	17747	0.4732764	1.879626	999A19H 07 25
17850	5919890	1.062537	17756	0.3478794	1.507006	999A19H 07 35
17860	5921670	1.144642	17765	0.439723	2.031042	999A19H 07 45
17865	5941330	2.529159	17864.5	0.3753982	1.977177	999A20H 01 5
17870	5923450	1.481669	17774	0.5000396	1.795202	999A19H 07 55
17875	5943110	2.376894	17873.5	0.5136116	1.765202	999A20H 01 15
17884	5925940	2.297082	17786.6	0.5389658	2.09411	999A19H CC 5
17885	5944890	2.033964	17882.5	0.4652197	2.086104	999A20H 01 25
17894	5927720	4.621649	17795.6	0.6148109	1.885015	999A19H CC 15
17895	5946670	3.283981	17891.5	0.4697428	2.105274	999A20H 01 35
17904	5929490	2.191935	17804.6	0.408761	2.039301	999A19H CC 25
17905	5948440	4.236471	17900.5	0.4208941	2.190813	999A20H 01 45
17925	5952000	2.287946	17918.5	0.4550506	2.315775	999A20H 01 65
17935	5954800	3.350866	17927.5	0.673887	2.003683	999A20H 01 75
17945	5957600	2.210622	17936.5	0.5127031	1.97612	999A20H 01 85
17955	5960400	3.512521	17945.5	0.6546524	2.093962	999A20H 01 95
17965	5963200	3.525421	17954.5	0.3842604	2.222189	999A20H 01 105
17975	5966000	3.700532	17963.5	0.5634465	1.238149	999A20H 01 115
17985	5968800	3.104101	17972.5	0.6285825	1.611938	999A20H 01 125
17995	5971600	3.582253	17981.5	0.5676431	2.093395	999A20H 01 135
18005	5974400	2.244605	17990.5	0.7706813	1.984744	999A20H 01 145
18015	5977200	3.060157	17999.5	0.5575191	1.96454	999A20H 02 5
18025	5980000	4.822537	18008.5	0.5392236	1.983916	999A20H 02 15
18035	5982800	3.706213	18017.5	0.4151107	2.15751	999A20H 02 25
18045	5985600	2.645484	18026.5	0.3768885	2.004664	999A20H 02 35
18055	5988400	2.542089	18035.5	0.2992696	1.895359	999A20H 02 45
18075	5994000	4.682024	18053.5	0.2735831	2.345429	999A20H 02 65
18085	5998630	4.504914	18062.5	-999	-999	999A20H 02 75
18095	6003250	-999	18071.5	0.6326377	2.029548	999A20H 02 85
18105	6007880	2.1282	18080.5	0.4271611	1.956523	999A20H 02 95
18115	6012510	2.551015	18089.5	0.4018174	1.922416	999A20H 02 105
18125	6017130	2.912636	18098.5	0.4077986	2.047437	999A20H 02 115
18135	6021760	5.684513	18107.5	0.4717439	2.169684	999A20H 02 125
18142	6025000	10.21519	18113.8	0.6787946	2.309641	999A20H 02 132
18157	6029060	7.902968	18127.3	0.5481915	1.874918	999A20H 02 147
18165	6031230	8.480072	18134.5	-999	-999	999A20H 03 5
18175	6033940	8.639764	18143.5	0.736849	2.052654	999A20H 03 15
18185	6036650	4.043728	18152.5	0.5925331	2.078488	999A20H 03 25
18195	6039360	3.386428	18161.5	0.5594183	2.034763	999A20H 03 35
18205	6042070	4.120474	18170.5	0.5439566	2.072642	999A20H 03 45
18225	6047490	3.041819	18188.5	0.6149852	2.091019	999A20H 03 65
18235	6050200	3.818125	18197.5	0.7145215	2.040735	999A20H 03 75
18245	6052910	5.997121	18206.5	0.7443461	2.052583	999A20H 03 85
18255	6055620	2.020378	18215.5	0.89671	2.052285	999A20H 03 95
18265	6058330	2.722708	18224.5	0.7520036	1.935128	999A20H 03 105
18275	6061030	1.805367	18233.5	0.7003628	2.01027	999A20H 03 115
18285	6063740	2.17679	18242.5	0.770372	1.831313	999A20H 03 125
18295	6066450	2.939709	18251.5	0.7100515	1.849902	999A20H 03 135
18305	6069160	3.12425	18260.5	0.5114526	2.159815	999A20H 03 145
18315	6071870	5.851205	18269.5	0.3353643	2.06893	999A20H 04 5
18325	6074580	1.046892	18278.5	0.6249849	2.112624	999A20H 04 15
18335	6077290	4.651355	18287.5	0.4633161	2.166304	999A20H 04 25
18345	6080000	1.667769	18296.5	0.3651827	2.188823	999A20H 04 35
18355	6082600	1.38191	18305.5	-999	-999	999A20H 04 45
18375	6087800	1.021143	18323.5	0.7483913	2.263148	999A20H 04 65
18385	6090400	0.7441791	18332.5	0.7359247	1.905147	999A20H 04 75
18395	6093000	1.544003	18341.5	0.7577066	1.793215	999A20H 04 85
18405	6095600	1.379121	18350.5	0.8787357	1.991053	999A20H 04 95
18415	6098200	1.515207	18359.5	0.8489187	1.812785	999A20H 04 105
18425	6100800	2.139812	18368.5	0.6001178	1.746863	999A20H 04 115
18435	6103400	2.453576	18377.5	0.5486868	1.754349	999A20H 04 125
18445	6106000	1.878167	18386.5	0.5238974	1.889199	999A20H 04 135
18455	6108600	4.411542	18395.5	0.2233325	1.83364	999A20H 04 145
18465	6111200	4.961328	18404.5	0.3340342	1.802148	999A20H 05 5
18475	6113800	4.335061	18413.5	0.2322957	2.148949	999A20H 05 15
18485	6116400	3.409834	18422.5	0.3520613	2.098366	999A20H 05 25
18495	6119000	5.051476	18431.5	0.2627396	2.248262	999A20H 05 35
18505	6122640	3.894443	18440.5	-999	-999	999A20H 05 45
18525	6129910	10.71119	18458.5	0.8016709	1.926839	999A20H 05 65
18535	6133550	1.447014	18467.5	0.5014091	1.919669	999A20H 05 75
18545	6137180	1.743536	18476.5	0.8115649	1.904682	999A20H 05 85
18555	6140820	1.647376	18485.5	0.6367759	1.798533	999A20H 05 95
18565	6144450	1.379032	18494.5	0.6433767	1.80843	999A20H 05 105
18575	6148090	1.643165	18503.5	0.7587491	1.80481	999A20H 05 115
18585	6151730	0.8467928	18512.5	0.6789628	1.837659	999A20H 05 125
18595	6155360	0.984303	18521.5	0.6781384	1.713516	999A20H 05 135
18605	6159000	1.066732	18530.5	0.5290531	1.886699	999A20H 05 145
18615	6164140	0.6761623	18539.5	0.5687504	1.776652	999A20H 06 5
18625	6169290	0.770866	18548.5	0.5392607	1.713572	999A20H 06 15
18635	6174430	0.7153971	18557.5	0.2785504	1.631494	999A20H 06 25
18645	6179570	0.5769256	18566.5	0.289602	1.587336	999A20H 06 35
18655	6184710	0.7123966	18575.5	0.2351344	1.645467	999A20H 06 45
18675	6195000	2.148648	18593.5	0.2984556	1.904627	999A20H 06 65
18685	6198010	1.233732	18602.5	0.3203517	1.919325	999A20H 06 75
18695	6201010	0.8540792	18611.5	0.4605371	1.843593	999A20H 06 85
18705	6204020	0.5103328	18620.5	0.4331429	1.725749	999A20H 06 95
18715	6207020	0.4616882	18629.5	0.260636	1.771628	999A20H 06 105
18725	6210030	0.4052498	18638.5	0.5431919	1.666785	999A20H 06 115
18735	6213040	0.4637418	18647.5	0.4816753	1.743287	999A20H 06 125
18745	6216040	1.668009	18656.5	0.3565433	1.925607	999A20H 06 135
18755	6219050	1.474796	18665.5	0.366495	1.520503	999A20H 06 145
18765	6222060	1.637902	18674.5	0.4126009	1.897933	999A20H 07 5
18775	6225060	1.277641	18683.5	0.2921472	1.847558	999A20H 07 15
18785	6228070	1.287099	18692.5	0.4783633	1.914198	999A20H 07 25
18795	6231070	1.705617	18701.5	0.2685249	1.655902	999A20H 07 35
18805	6234080	1.336118	18710.5	0.3056581	1.758483	999A20H 07 45
18815	6257950	1.294837	18814.5	0.6862006	1.862205	999A21H 01 5
18819	6238290	2.041662	18723.1	0.2358851	1.349942	999A20H 07 59
18825	6259640	0.9860086	18823.5	0.7591836	1.868561	999A21H 01 15
18828	6240990	1.713996	18731.2	0.2566351	1.705348	999A20H CC 5
18835	6261340	0.9997091	18832.5	0.7150418	1.733329	999A21H 01 25
18838	6244000	3.273183	18740.2	0.4933271	2.285001	999A20H CC 15
18845	6263030	1.124789	18841.5	0.7810435	1.721591	999A21H 01 35
18848	6245690	2.52078	18749.2	0.3398779	2.028616	999A20H CC 25
18855	6264720	1.170991	18850.5	0.8649099	1.747528	999A21H 01 45
18858	6247380	1.651126	18758.2	0.3896513	1.86964	999A20H CC 35
18875	6268100	1.427727	18868.5	0.5123768	1.83828	999A21H 01 65
18885	6269790	1.800359	18877.5	0.630873	1.777833	999A21H 01 75
18895	6271480	1.998208	18886.5	0.1884837	1.701098	999A21H 01 85
18905	6273170	1.051671	18895.5	0.2630273	1.769811	999A21H 01 95
18915	6274860	1.662524	18904.5	0.3102429	1.612739	999A21H 01 105
18925	6276550	1.476183	18913.5	0.2538524	2.001971	999A21H 01 115
18935	6278240	3.662989	18922.5	0.3116953	1.7916	999A21H 01 125
18945	6279930	2.095029	18931.5	6.255177E-02	1.959525	999A21H 01 135
18955	6281620	0.8985537	18940.5	0.182153	1.874052	999A21H 01 145
18965	6283310	0.7441599	18949.5	0.7977043	1.812975	999A21H 02 5
