depth (mcd)	LR04 age (ka)	benthic O18
84.87	582.18	4.18
85.07	583.79	4.06
85.27	585.40	3.81
85.87	590.62	3.86
86.07	592.64	3.20
86.17	593.64	3.37
86.37	595.66	3.22
86.57	597.67	3.28
86.97	600.65	3.84
87.17	601.94	3.48
87.37	603.23	3.39
87.57	604.52	2.34
87.57	604.52	2.95
87.87	606.46	3.36
88.07	608.08	3.25
88.27	610.49	2.83
88.47	613.17	2.85
88.67	615.94	3.08
88.87	618.86	3.21
89.07	621.54	3.87
89.07	621.54	4.37
89.37	625.13	4.66
89.57	626.57	4.07
89.97	629.15	4.95
90.19	630.56	4.84
90.57	633.02	4.82
90.74	634.11	4.64
90.94	635.40	4.41
91.14	636.69	4.48
91.34	637.98	4.48
91.54	639.27	4.64
91.74	640.56	4.65
91.94	641.85	4.60
92.14	643.14	4.42
92.24	643.79	4.37
92.44	645.11	4.42
92.64	646.72	4.28
92.84	648.34	4.28
93.04	649.90	4.31
93.24	651.19	4.36
93.36	651.96	4.57
93.56	653.25	4.48
93.76	654.48	4.47
93.96	655.69	4.39
93.96	655.69	4.20
94.06	656.29	3.72
94.26	657.37	4.09
94.46	658.45	4.19
94.66	659.52	3.84
94.86	660.60	4.07
95.26	662.75	4.10
95.46	663.82	3.88
95.56	664.32	3.74
96.36	668.19	4.31
96.56	669.16	4.48
96.56	669.16	4.28
96.76	670.13	4.21
97.06	671.58	4.15
97.26	672.55	4.46
97.66	674.48	4.04
97.86	675.45	4.07
98.06	676.53	4.19
98.46	678.68	3.63
98.56	679.21	3.56
99.16	682.60	3.82
99.76	687.34	3.54
99.96	689.48	3.24
100.06	690.67	2.79
100.06	690.67	3.41
100.26	693.14	3.39
100.26	693.14	3.24
100.46	695.83	2.75
100.66	698.76	2.75
100.86	702.67	3.28
101.06	706.11	3.49
101.26	708.80	3.53
101.95	716.91	4.51
102.15	719.06	4.69
102.25	720.13	4.57
102.45	722.43	4.69
102.85	729.83	3.93
103.05	735.36	4.27
103.25	740.84	3.68
103.25	740.84	3.84
103.45	744.35	4.56
103.65	745.76	5.02
104.17	749.12	4.17
104.37	750.41	4.19
104.57	751.70	4.01
104.67	752.34	4.08
105.07	754.92	4.26
105.27	756.21	4.17
105.47	757.78	3.83
105.67	759.66	4.01
105.87	761.68	3.75
106.17	764.81	3.72
106.57	769.39	3.77
106.77	772.04	3.27
106.97	774.73	3.04
107.57	782.08	2.89
107.67	783.14	3.30
107.87	784.56	3.26
108.07	785.77	3.23
108.27	786.97	3.52
108.47	788.04	3.08
109.07	791.58	3.23
109.17	792.37	4.23
110.57	803.65	4.22
112.17	816.33	3.50
112.32	817.30	3.64
112.32	817.30	3.59
112.52	818.59	2.80
112.92	821.17	3.14
113.02	821.81	3.49
113.22	823.11	2.89
113.22	823.11	3.13
113.40	824.69	3.70
113.90	829.74	3.37
114.10	831.75	3.28
114.30	833.72	3.42
114.30	833.72	3.17
114.50	835.34	3.12
115.10	839.23	3.34
115.20	839.87	3.64
115.40	841.16	2.84
115.60	842.45	3.38
115.80	843.91	3.16
116.00	845.53	2.99
116.20	847.13	2.96
116.40	848.75	2.81
116.70	851.52	2.86
117.10	855.55	2.87
117.30	857.57	2.97
117.70	861.60	3.00
117.90	863.61	2.83
118.10	865.73	3.42
118.20	866.81	3.57
118.60	871.92	4.44
118.80	874.61	4.25
119.00	877.29	4.48
119.20	879.98	4.44
119.20	879.98	4.46
119.40	882.67	4.14
119.60	885.36	4.19
119.70	886.70	3.52
119.90	888.89	3.56
120.70	896.75	4.05
121.20	900.67	3.69
121.25	900.99	3.59
121.25	900.99	3.43
121.25	900.99	3.69
121.35	901.64	3.67
121.35	901.64	3.77
121.45	902.28	3.66
121.55	902.93	3.43
121.55	902.93	3.47
121.65	903.58	3.39
121.65	903.58	3.56
121.65	903.58	3.53
121.75	904.21	3.56
121.75	904.21	3.47
121.85	904.81	3.37
121.85	904.81	3.38
122.15	906.63	3.40
122.15	906.63	3.64
122.15	906.63	3.63
122.25	907.19	3.29
122.25	907.19	3.38
122.35	907.73	3.51
122.45	908.27	3.15
122.45	908.27	3.23
122.55	908.81	2.88
124.37	923.29	4.01
124.97	929.74	3.61
125.07	930.81	3.47
125.27	932.88	3.68
125.67	936.82	2.80
125.67	936.82	3.75
125.77	937.58	3.30
125.77	937.58	2.94
125.77	937.58	2.80
125.97	938.87	3.33
126.17	940.16	3.34
126.17	940.16	2.70
126.27	940.80	3.53
126.47	942.35	2.88
126.47	942.35	3.29
126.57	943.36	2.97
126.67	944.37	2.88
126.67	944.37	2.91
126.77	945.38	2.92
126.77	945.38	2.89
126.87	946.38	2.70
126.87	946.38	2.72
126.87	946.38	2.83
127.07	948.40	3.10
127.07	948.40	3.13
127.07	948.40	2.91
