Core label	depth	compdepth	age	cw13	cw18
GeoB1035-3	0,01	0,05	2,30	0,60	2,31
GeoB1035-3	0,04	0,08	3,63	0,89	2,44
GeoB1035-3	0,07	0,11	4,87	0,18	3,14
GeoB1035-3	0,10	0,14	6,00	0,30	2,98
GeoB1035-3	0,13	0,17	7,12	0,35	2,60
GeoB1035-3	0,16	0,20	8,87	0,14	2,67
GeoB1035-3	0,19	0,23	12,00	-0,03	3,78
GeoB1035-3	0,22	0,26	16,50	-0,18	4,31
GeoB1035-3	0,25	0,29	20,00	-0,10	4,33
GeoB1035-4	0,33	0,33	23,00	-0,16	4,13
GeoB1035-4	0,38	0,38	25,07	-0,31	4,10
GeoB1035-4	0,43	0,43	26,36	0,28	3,66
GeoB1035-4	0,48	0,48	28,00	0,22	3,59
GeoB1035-4	0,53	0,53	30,91	0,05	3,64
GeoB1035-4	0,58	0,58	35,06	0,02	3,71
GeoB1035-4	0,63	0,63	40,18	0,29	3,41
GeoB1035-4	0,68	0,68	46,00	0,05	3,53
GeoB1035-4	0,73	0,73	52,26	0,09	3,44
GeoB1035-4	0,78	0,78	58,68	0,05	3,37
GeoB1035-4	0,83	0,83	65,00	-0,71	3,76
GeoB1035-4	0,88	0,88	70,93	0,23	3,21
GeoB1035-4	0,93	0,93	76,06	0,27	3,14
GeoB1035-4	0,98	0,98	80,00	0,38	2,80
GeoB1035-4	1,08	1,08	84,54	0,54	3,01
GeoB1035-4	1,13	1,13	87,00	0,12	3,25
GeoB1035-4	1,18	1,18	90,65	0,55	2,76
GeoB1035-4	1,23	1,23	94,95	0,69	3,04
GeoB1035-4	1,28	1,28	99,00	0,26	3,03
GeoB1035-4	1,33	1,33	102,16	0,42	2,95
GeoB1035-4	1,38	1,38	104,68	0,37	2,98
GeoB1035-4	1,43	1,43	107,00	0,12	3,13
GeoB1035-4	1,48	1,48	109,52	0,00	3,04
GeoB1035-4	1,53	1,53	112,30	0,17	2,66
GeoB1035-4	1,58	1,58	115,32	0,15	2,40
GeoB1035-4	1,63	1,63	118,56	-0,03	2,29
GeoB1035-4	1,68	1,68	122,00	0,25	2,75
GeoB1035-4	1,73	1,73	125,68	0,37	2,26
GeoB1035-4	1,78	1,78	129,90	-0,41	4,14
GeoB1035-4	1,83	1,83	135,00	-0,46	4,53
GeoB1035-4	1,88	1,88	140,93	-0,62	3,88
GeoB1035-4	1,93	1,93	146,00	-0,82	3,91
GeoB1035-4	1,98	1,98	148,83	-0,63	3,61
GeoB1035-4	2,03	2,03	151,00	-0,60	4,01
GeoB1035-4	2,08	2,08	154,39	-0,60	3,74
GeoB1035-4	2,13	2,13	159,09	-0,54	3,72
GeoB1035-4	2,18	2,18	164,75	-0,39	3,62
GeoB1035-4	2,23	2,23	171,00	-0,35	3,55
GeoB1035-4	2,28	2,28	177,39	-0,39	3,76
GeoB1035-4	2,33	2,33	183,00	-0,55	3,79
GeoB1035-4	2,38	2,38	187,24	0,04	3,29
GeoB1035-4	2,43	2,43	191,26	0,32	2,65
GeoB1035-4	2,48	2,48	196,66	0,32	2,84
GeoB1035-4	2,53	2,53	205,00	0,72	3,42
GeoB1035-4	2,58	2,58	216,00	0,17	2,58
GeoB1035-4	2,63	2,63	223,73	0,35	3,84
GeoB1035-4	2,68	2,68	228,00	-0,45	3,64
GeoB1035-4	2,73	2,73	230,44	-0,50	3,63
GeoB1035-4	2,78	2,78	232,21	-0,22	3,43
GeoB1035-4	2,83	2,83	234,38	-0,10	2,88
GeoB1035-4	2,88	2,88	238,00	-0,02	2,45
GeoB1035-4	2,93	2,93	243,65	-0,39	2,63
GeoB1035-4	2,98	2,98	250,00	-0,21	3,47
GeoB1035-4	3,03	3,03	255,59	-0,25	3,36
GeoB1035-4	3,08	3,08	260,41	-0,54	3,70
GeoB1035-4	3,13	3,13	264,76	-0,73	3,47
GeoB1035-4	3,18	3,18	269,00	-0,60	3,78
GeoB1035-4	3,23	3,23	273,38	-0,59	3,67
GeoB1035-4	3,28	3,28	277,88	-0,89	3,59
GeoB1035-4	3,33	3,33	282,45	0,40	3,08
GeoB1035-4	3,38	3,38	287,00	0,23	2,99
GeoB1035-4	3,43	3,43	291,43	-0,24	3,30
GeoB1035-4	3,48	3,48	295,51	-0,64	3,48
GeoB1035-4	3,53	3,53	299,00	-0,28	3,58
GeoB1035-4	3,58	3,58	301,72	0,25	3,30
GeoB1035-4	3,63	3,63	303,89	0,12	3,22
GeoB1035-4	3,68	3,68	305,79	0,12	2,90
GeoB1035-4	3,73	3,73	307,73	-0,18	3,10
GeoB1035-4	3,78	3,78	310,00	0,24	2,74
GeoB1035-4	3,83	3,83	312,82	0,27	2,66
GeoB1035-4	3,88	3,88	316,11	0,03	2,89
GeoB1035-4	3,93	3,93	319,73	0,43	2,72
GeoB1035-4	3,98	3,98	323,52	0,58	2,58
GeoB1035-4	4,03	4,03	327,33	0,53	2,38
GeoB1035-4	4,08	4,08	331,00	0,56	2,42
GeoB1035-4	4,13	4,13	334,44	0,13	2,37
GeoB1035-4	4,18	4,18	337,73	-0,18	3,11
GeoB1035-4	4,23	4,23	341,00	-0,60	4,21
GeoB1035-4	4,28	4,28	344,37	-0,41	3,93
GeoB1035-4	4,33	4,33	347,82	-0,38	3,90
GeoB1035-4	4,38	4,38	351,34	-0,34	3,84
GeoB1035-4	4,43	4,43	354,90	-0,73	3,83
GeoB1035-4	4,48	4,48	358,46	-0,67	3,89
GeoB1035-4	4,53	4,53	362,00	-0,32	3,68
